"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,079.90","1,043.00","1,092.95","1,033.95","1.85M","3.38%"
"05-11-2024","1,044.60","1,030.00","1,050.00","1,013.15","1.98M","0.77%"
"04-11-2024","1,036.60","1,028.00","1,049.80","1,010.75","4.67M","2.88%"
"01-11-2024","1,007.55","1,025.00","1,025.00","1,000.15","85.78K","-0.99%"
"31-10-2024","1,017.60","993.80","1,023.95","992.35","1.76M","2.54%"
"30-10-2024","992.35","975.30","997.15","975.30","1.44M","-0.22%"
"29-10-2024","994.50","968.00","999.00","965.30","1.83M","2.74%"
"28-10-2024","968.00","938.00","973.50","937.95","1.77M","3.20%"
"25-10-2024","938.00","903.20","943.00","902.45","1.47M","3.51%"
"24-10-2024","906.15","903.00","912.80","888.90","2.27M","-0.88%"
"23-10-2024","914.20","899.05","924.95","892.20","2.09M","-0.97%"
"22-10-2024","923.20","958.00","958.00","913.00","2.96M","-2.97%"
"21-10-2024","951.45","940.10","957.30","939.65","1.75M","1.50%"
"18-10-2024","937.40","942.50","942.50","924.80","1.13M","0.02%"
"17-10-2024","937.25","961.40","964.20","931.50","913.33K","-2.80%"
"16-10-2024","964.20","979.00","982.00","956.30","980.16K","-0.50%"
"15-10-2024","969.00","947.25","978.00","945.15","1.25M","2.30%"
"14-10-2024","947.25","944.40","952.00","937.70","390.15K","0.79%"
"11-10-2024","939.80","954.95","956.65","936.00","511.82K","-1.32%"
"10-10-2024","952.35","965.80","968.25","942.60","861.91K","-1.03%"
"09-10-2024","962.30","969.10","978.30","957.00","2.11M","0.67%"
"08-10-2024","955.85","916.00","963.90","913.00","5.19M","4.30%"
"07-10-2024","916.40","930.30","944.95","912.00","1.94M","-1.07%"
"04-10-2024","926.35","928.35","938.85","907.75","4.54M","-1.68%"
"03-10-2024","942.15","963.95","963.95","923.00","4.58M","-2.89%"
"01-10-2024","970.20","986.50","988.70","965.35","1.33M","-1.58%"
"30-09-2024","985.75","953.70","996.50","953.00","2.91M","-0.90%"
"27-09-2024","994.75","995.95","999.75","976.60","3.75M","-0.26%"
"26-09-2024","997.35","990.00","999.00","975.10","3.73M","0.76%"
