"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,279.05","4,250.00","4,327.95","4,220.00","2.55M","1.94%"
"05-11-2024","4,197.80","4,027.00","4,325.00","3,986.60","4.56M","4.24%"
"04-11-2024","4,027.00","4,120.00","4,129.95","4,015.00","883.86K","-1.97%"
"01-11-2024","4,107.95","4,100.05","4,130.00","4,091.20","221.89K","0.69%"
"31-10-2024","4,079.65","4,092.05","4,124.90","4,048.05","998.56K","0.18%"
"30-10-2024","4,072.45","4,031.00","4,145.00","4,022.00","2.10M","1.50%"
"29-10-2024","4,012.45","4,035.00","4,221.35","3,964.00","3.02M","-0.09%"
"28-10-2024","4,015.95","4,100.00","4,151.05","3,992.00","1.58M","-1.14%"
"25-10-2024","4,062.30","4,218.00","4,239.20","4,005.00","2.00M","-3.62%"
"24-10-2024","4,214.70","4,200.60","4,320.00","4,176.00","1.96M","0.52%"
"23-10-2024","4,193.05","4,246.60","4,344.90","4,075.00","4.80M","0.83%"
"22-10-2024","4,158.35","4,685.00","4,699.00","4,116.00","5.21M","-10.89%"
"21-10-2024","4,666.50","4,610.00","4,850.00","4,605.00","4.92M","3.10%"
"18-10-2024","4,526.35","4,306.00","4,655.00","4,285.00","8.49M","6.81%"
"17-10-2024","4,237.80","4,338.95","4,378.00","4,220.00","994.86K","-2.03%"
"16-10-2024","4,325.45","4,400.00","4,475.00","4,290.00","1.78M","-1.76%"
"15-10-2024","4,403.15","4,289.50","4,600.00","4,253.05","5.00M","2.94%"
"14-10-2024","4,277.60","4,399.00","4,424.00","4,268.00","1.41M","-2.45%"
"11-10-2024","4,384.95","4,460.00","4,479.40","4,350.20","2.50M","-0.98%"
"10-10-2024","4,428.35","4,154.95","4,510.00","4,150.00","7.46M","8.35%"
"09-10-2024","4,086.95","4,085.05","4,170.90","4,070.05","901.68K","0.15%"
"08-10-2024","4,080.85","3,889.00","4,099.00","3,852.55","1.76M","4.12%"
"07-10-2024","3,919.35","4,095.75","4,106.85","3,893.25","1.06M","-3.83%"
"04-10-2024","4,075.35","4,076.90","4,147.00","3,975.05","1.31M","-0.04%"
"03-10-2024","4,076.90","4,140.95","4,179.40","4,061.00","788.69K","-2.91%"
"01-10-2024","4,199.25","4,230.00","4,246.80","4,185.80","453.51K","-0.73%"
"30-09-2024","4,230.10","4,195.00","4,265.00","4,125.00","1.01M","0.82%"
"27-09-2024","4,195.80","4,251.00","4,268.75","4,180.00","759.65K","-0.92%"
"26-09-2024","4,234.95","4,252.50","4,280.30","4,200.00","864.01K","-0.38%"
"25-09-2024","4,250.90","4,258.15","4,350.00","4,226.00","1.74M","0.67%"
"24-09-2024","4,222.60","4,320.00","4,320.00","4,211.30","894.53K","-2.21%"
"23-09-2024","4,318.15","4,392.00","4,425.00","4,310.00","1.51M","-1.28%"
"20-09-2024","4,374.10","4,081.30","4,423.00","4,012.15","6.03M","7.75%"
"19-09-2024","4,059.65","4,210.00","4,255.00","3,970.00","1.73M","-2.83%"
"18-09-2024","4,178.00","4,194.30","4,265.00","4,170.00","933.81K","-0.36%"
"17-09-2024","4,193.30","4,263.45","4,305.90","4,180.00","915.07K","-1.35%"
"16-09-2024","4,250.55","4,312.80","4,338.85","4,240.15","734.39K","-1.44%"
"13-09-2024","4,312.80","4,329.85","4,410.00","4,295.50","969.08K","-0.05%"
"12-09-2024","4,315.05","4,330.00","4,349.85","4,270.00","983.99K","0.03%"
"11-09-2024","4,313.55","4,400.00","4,400.00","4,301.75","823.31K","-1.80%"
"10-09-2024","4,392.70","4,372.05","4,456.00","4,350.00","1.50M","0.95%"
"09-09-2024","4,351.15","4,490.00","4,544.00","4,300.50","2.99M","-1.12%"
"06-09-2024","4,400.40","4,580.00","4,602.25","4,370.05","2.78M","-3.90%"
"05-09-2024","4,579.10","4,822.00","4,925.00","4,537.40","4.77M","-4.10%"
"04-09-2024","4,774.80","4,460.00","4,821.15","4,452.00","7.97M","7.19%"
"03-09-2024","4,454.50","4,322.90","4,561.15","4,322.25","7.88M","6.06%"
"02-09-2024","4,199.80","4,250.00","4,315.70","4,182.65","1.20M","-0.98%"
"30-08-2024","4,241.45","4,240.00","4,414.90","4,174.00","3.46M","0.07%"
"29-08-2024","4,238.40","4,329.95","4,336.00","4,209.05","1.31M","-1.74%"
"28-08-2024","4,313.65","4,323.15","4,370.00","4,241.00","1.64M","0.46%"
"27-08-2024","4,293.85","4,307.50","4,367.40","4,281.30","1.46M","-0.32%"
"26-08-2024","4,307.50","4,442.65","4,457.60","4,300.00","1.50M","-2.36%"
"23-08-2024","4,411.60","4,475.20","4,554.00","4,397.00","2.38M","-1.26%"
"22-08-2024","4,467.95","4,568.30","4,630.40","4,450.00","2.97M","-1.58%"
"21-08-2024","4,539.65","4,220.95","4,633.65","4,111.10","9.44M","5.58%"
