"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,896.40","2,900.00","2,939.60","2,877.00","1.69M","1.35%"
"05-11-2024","2,857.70","2,874.95","2,884.75","2,825.00","439.03K","-0.43%"
"04-11-2024","2,870.15","2,899.95","2,899.95","2,858.05","400.46K","-0.83%"
"01-11-2024","2,894.15","2,885.00","2,919.00","2,871.90","54.17K","0.51%"
"31-10-2024","2,879.55","3,004.05","3,004.05","2,852.30","913.64K","-4.24%"
"30-10-2024","3,007.00","3,027.00","3,059.60","3,000.00","443.71K","-0.51%"
"29-10-2024","3,022.50","3,025.00","3,040.95","2,970.00","244.25K","0.32%"
"28-10-2024","3,012.85","3,057.10","3,084.85","2,988.90","423.58K","-0.93%"
"25-10-2024","3,041.05","3,100.95","3,119.55","3,010.00","371.51K","-1.86%"
"24-10-2024","3,098.75","3,003.00","3,132.35","3,003.00","384.86K","-0.68%"
"23-10-2024","3,119.85","2,986.00","3,144.75","2,977.70","1.18M","4.78%"
"22-10-2024","2,977.65","2,985.15","3,040.00","2,965.50","659.44K","-0.26%"
"21-10-2024","2,985.50","3,100.00","3,136.75","2,977.70","710.84K","-3.56%"
"18-10-2024","3,095.75","3,070.00","3,108.90","3,002.40","965.12K","0.50%"
"17-10-2024","3,080.20","3,006.30","3,109.00","2,947.00","5.36M","5.80%"
"16-10-2024","2,911.35","2,929.00","2,952.05","2,878.35","764.38K","-0.63%"
"15-10-2024","2,929.80","2,977.40","3,012.90","2,890.00","923.50K","-1.11%"
"14-10-2024","2,962.60","2,890.20","2,973.90","2,890.20","992.49K","3.00%"
"11-10-2024","2,876.35","2,859.00","2,913.55","2,855.80","532.44K","0.78%"
"10-10-2024","2,854.05","2,921.00","2,932.95","2,841.80","311.24K","-1.56%"
"09-10-2024","2,899.15","2,924.00","2,957.00","2,886.00","509.43K","-0.07%"
"08-10-2024","2,901.10","2,888.00","2,912.90","2,841.15","628.53K","0.93%"
"07-10-2024","2,874.45","2,899.00","2,979.00","2,848.15","2.25M","0.98%"
"04-10-2024","2,846.60","2,925.00","2,959.95","2,836.60","964.39K","-2.55%"
"03-10-2024","2,921.00","2,959.10","3,015.60","2,905.60","809.63K","-3.14%"
"01-10-2024","3,015.60","3,034.80","3,051.80","3,004.05","899.96K","0.17%"
"30-09-2024","3,010.40","3,081.80","3,081.80","3,002.05","283.00K","-2.34%"
"27-09-2024","3,082.60","3,100.00","3,159.00","3,051.15","903.99K","0.95%"
"26-09-2024","3,053.70","3,039.90","3,060.05","3,020.10","274.46K","1.17%"
"25-09-2024","3,018.50","3,070.40","3,087.80","2,993.45","387.86K","-1.75%"
"24-09-2024","3,072.15","3,056.40","3,095.00","3,030.05","251.10K","0.98%"
"23-09-2024","3,042.40","3,050.00","3,072.00","3,013.45","355.46K","0.46%"
"20-09-2024","3,028.35","3,019.90","3,046.00","2,972.45","662.11K","1.68%"
"19-09-2024","2,978.25","3,035.00","3,092.00","2,918.55","1.63M","-0.87%"
