"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","6,456.75","6,538.00","6,599.10","6,402.00","373.35K","-1.25%"
"05-11-2024","6,538.80","6,400.00","6,580.00","6,137.00","974.68K","1.26%"
"04-11-2024","6,457.25","6,485.05","6,485.05","6,215.45","653.09K","-0.49%"
"01-11-2024","6,489.35","6,540.05","6,617.85","6,363.30","65.00K","-0.41%"
"31-10-2024","6,515.90","6,405.50","6,541.60","6,345.70","658.03K","1.96%"
"30-10-2024","6,390.35","6,850.00","6,864.75","6,222.00","1.09M","-6.37%"
"29-10-2024","6,824.75","6,587.90","6,870.00","6,496.05","842.28K","3.95%"
"28-10-2024","6,565.40","6,499.00","6,604.95","6,386.05","376.00K","1.20%"
"25-10-2024","6,487.55","6,646.40","6,679.35","6,340.00","536.37K","-2.43%"
"24-10-2024","6,649.30","6,700.00","6,734.00","6,503.20","486.41K","-0.55%"
"23-10-2024","6,686.05","6,416.00","6,809.45","6,416.00","659.52K","3.97%"
"22-10-2024","6,431.05","6,640.00","6,698.40","6,395.00","568.83K","-2.99%"
"21-10-2024","6,629.00","6,645.65","6,680.00","6,434.95","958.95K","1.03%"
"18-10-2024","6,561.15","6,305.00","6,605.95","6,280.55","534.59K","3.46%"
"17-10-2024","6,341.45","6,438.70","6,479.85","6,318.55","316.18K","-1.35%"
"16-10-2024","6,428.30","6,450.00","6,590.00","6,401.00","471.58K","-1.27%"
"15-10-2024","6,511.00","6,533.95","6,547.75","6,424.40","432.29K","0.10%"
"14-10-2024","6,504.50","6,443.80","6,536.00","6,395.00","393.20K","1.47%"
"11-10-2024","6,410.55","6,223.90","6,441.95","6,204.90","588.32K","3.51%"
"10-10-2024","6,193.15","6,127.50","6,219.00","6,119.45","387.21K","1.50%"
"09-10-2024","6,101.40","6,049.95","6,134.95","5,958.55","419.49K","1.65%"
"08-10-2024","6,002.45","5,771.70","6,031.00","5,760.30","521.88K","4.00%"
"07-10-2024","5,771.65","5,857.95","5,881.00","5,677.45","318.04K","-0.58%"
"04-10-2024","5,805.15","5,795.00","5,949.85","5,692.90","482.35K","0.35%"
"03-10-2024","5,784.70","5,750.00","5,977.20","5,740.00","470.20K","-0.75%"
"01-10-2024","5,828.60","5,700.00","5,879.55","5,700.00","359.43K","2.97%"
"30-09-2024","5,660.30","5,718.00","5,771.90","5,642.00","207.09K","-0.75%"
"27-09-2024","5,702.90","5,715.65","5,796.50","5,646.15","183.01K","-0.22%"
"26-09-2024","5,715.65","5,800.00","5,813.45","5,630.00","387.47K","-1.09%"
"25-09-2024","5,778.35","6,000.00","6,035.45","5,750.35","865.16K","-1.72%"
"24-09-2024","5,879.35","5,856.10","6,014.40","5,790.00","410.31K","0.08%"
"23-09-2024","5,874.55","5,815.00","5,899.00","5,745.80","389.71K","1.21%"
"20-09-2024","5,804.15","5,754.00","5,834.65","5,745.65","407.69K","1.42%"
"19-09-2024","5,722.90","5,828.70","5,899.00","5,547.00","856.51K","-1.45%"
"18-09-2024","5,807.10","5,669.90","5,966.55","5,660.15","1.71M","2.72%"
"17-09-2024","5,653.35","5,593.10","5,707.70","5,541.00","691.98K","1.08%"
"16-09-2024","5,592.70","5,328.00","5,718.65","5,320.00","1.57M","5.35%"
"13-09-2024","5,308.80","5,305.00","5,350.00","5,282.00","216.09K","0.67%"
"12-09-2024","5,273.55","5,325.00","5,408.90","5,252.00","317.63K","-0.42%"
"11-09-2024","5,295.80","5,230.00","5,338.40","5,225.05","353.12K","1.26%"
"10-09-2024","5,230.00","5,288.00","5,311.80","5,217.10","228.21K","-0.59%"
"09-09-2024","5,261.30","5,359.95","5,382.10","5,211.60","306.46K","-2.15%"
"06-09-2024","5,377.05","5,375.00","5,419.00","5,304.10","325.56K","-0.35%"
"05-09-2024","5,395.85","5,325.00","5,422.20","5,322.30","393.17K","0.82%"
"04-09-2024","5,351.95","5,174.95","5,364.90","5,150.00","707.13K","2.77%"
"03-09-2024","5,207.60","5,169.00","5,222.00","5,125.60","252.06K","0.81%"
"02-09-2024","5,165.75","5,209.85","5,268.00","5,142.05","368.79K","-0.33%"
"30-08-2024","5,182.80","5,040.00","5,234.60","4,990.00","961.03K","3.56%"
"29-08-2024","5,004.75","4,965.00","5,019.00","4,923.15","364.67K","0.52%"
"28-08-2024","4,978.70","4,875.90","5,010.00","4,863.05","658.88K","2.54%"
"27-08-2024","4,855.45","4,895.00","4,910.00","4,836.50","173.19K","-0.53%"
"26-08-2024","4,881.35","4,890.90","4,935.00","4,860.50","304.93K","0.48%"
"23-08-2024","4,858.20","4,790.90","4,935.40","4,741.55","571.52K","1.66%"
"22-08-2024","4,778.85","4,803.95","4,833.60","4,763.20","358.95K","-0.41%"
"21-08-2024","4,798.35","4,774.80","4,821.00","4,746.65","255.80K","0.50%"
"20-08-2024","4,774.35","4,787.00","4,914.80","4,759.25","925.06K","0.05%"
"19-08-2024","4,771.80","4,630.00","4,784.40","4,630.00","647.63K","2.92%"
"16-08-2024","4,636.35","4,379.55","4,669.00","4,379.05","1.18M","5.86%"
"14-08-2024","4,379.55","4,368.00","4,401.70","4,302.00","327.69K","0.50%"
"13-08-2024","4,357.55","4,427.00","4,427.00","4,345.95","242.13K","-1.58%"
"12-08-2024","4,427.70","4,390.00","4,465.00","4,345.00","576.31K","1.14%"
"09-08-2024","4,377.95","4,310.00","4,433.10","4,281.15","1.48M","3.92%"
"08-08-2024","4,213.00","4,276.00","4,353.90","4,160.35","600.31K","-1.76%"
"07-08-2024","4,288.30","4,225.00","4,299.00","4,170.05","245.75K","3.37%"
"06-08-2024","4,148.65","4,250.00","4,303.80","4,130.05","346.25K","-1.20%"
"05-08-2024","4,198.85","4,151.55","4,299.90","4,130.75","752.23K","-3.04%"
"02-08-2024","4,330.40","4,269.00","4,379.95","4,232.30","537.10K","-1.14%"
"01-08-2024","4,380.55","4,328.00","4,400.00","4,267.35","731.21K","2.12%"
"31-07-2024","4,289.70","4,203.05","4,346.85","4,125.00","1.36M","2.08%"
"30-07-2024","4,202.15","4,225.00","4,324.90","4,190.25","902.44K","-0.01%"
"29-07-2024","4,202.50","4,175.00","4,288.90","4,155.40","882.41K","1.51%"
"26-07-2024","4,140.00","4,185.00","4,244.00","4,104.55","540.45K","-1.05%"
"25-07-2024","4,183.80","4,049.85","4,203.00","4,021.00","733.75K","2.88%"
"24-07-2024","4,066.60","3,900.00","4,153.45","3,885.00","1.51M","3.84%"
"23-07-2024","3,916.35","3,810.05","3,965.00","3,620.30","919.31K","2.90%"
"22-07-2024","3,805.80","3,815.40","3,870.00","3,763.05","481.51K","-0.48%"
"19-07-2024","3,824.15","4,025.00","4,039.95","3,805.30","1.14M","-5.99%"
"18-07-2024","4,067.85","3,950.55","4,093.05","3,888.00","716.35K","2.97%"
"16-07-2024","3,950.55","3,904.85","3,974.00","3,878.00","406.25K","1.17%"
"15-07-2024","3,904.85","3,772.00","3,936.35","3,767.75","657.17K","3.54%"
"12-07-2024","3,771.35","3,780.00","3,807.00","3,730.00","549.54K","0.32%"
