"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,190.55","2,146.50","2,204.05","2,127.60","125.62K","1.93%"
"05-11-2024","2,149.15","2,091.00","2,153.80","2,089.45","183.30K","2.15%"
"04-11-2024","2,103.95","2,124.25","2,154.75","2,090.25","98.95K","-2.01%"
"01-11-2024","2,147.20","2,142.50","2,174.15","2,142.35","3.16K","0.05%"
"31-10-2024","2,146.20","2,135.00","2,172.85","2,123.80","150.98K","0.26%"
"30-10-2024","2,140.55","2,119.00","2,156.80","2,092.65","79.49K","1.01%"
"29-10-2024","2,119.10","2,145.00","2,157.80","2,080.70","77.47K","-1.23%"
"28-10-2024","2,145.45","2,097.00","2,162.50","2,085.85","110.04K","1.89%"
"25-10-2024","2,105.55","2,134.30","2,152.15","2,085.10","162.13K","-1.40%"
"24-10-2024","2,135.35","2,134.95","2,165.05","2,109.50","79.48K","0.66%"
"23-10-2024","2,121.45","2,129.05","2,173.70","2,116.45","87.49K","-0.56%"
"22-10-2024","2,133.30","2,189.85","2,190.50","2,127.00","62.56K","-1.98%"
"21-10-2024","2,176.50","2,200.85","2,217.90","2,170.50","27.46K","-1.32%"
"18-10-2024","2,205.65","2,189.60","2,218.00","2,175.75","71.19K","0.82%"
"17-10-2024","2,187.80","2,237.00","2,261.50","2,178.55","187.85K","-1.84%"
"16-10-2024","2,228.70","2,249.80","2,269.25","2,218.60","38.68K","-1.37%"
"15-10-2024","2,259.55","2,283.00","2,289.05","2,235.10","66.98K","-1.26%"
"14-10-2024","2,288.45","2,286.75","2,303.30","2,212.55","127.73K","0.63%"
"11-10-2024","2,274.05","2,260.00","2,295.90","2,236.30","132.44K","0.64%"
"10-10-2024","2,259.55","2,308.00","2,318.30","2,226.00","96.25K","-1.27%"
"09-10-2024","2,288.55","2,270.00","2,312.35","2,268.05","105.61K","0.51%"
"08-10-2024","2,276.90","2,175.00","2,284.00","2,172.60","114.75K","3.57%"
"07-10-2024","2,198.45","2,255.00","2,277.50","2,183.80","288.38K","-1.63%"
"04-10-2024","2,234.85","2,243.35","2,299.00","2,219.20","284.79K","-0.38%"
"03-10-2024","2,243.35","2,235.05","2,271.00","2,226.05","131.06K","-0.34%"
"01-10-2024","2,251.05","2,200.30","2,264.80","2,185.10","267.62K","2.69%"
"30-09-2024","2,192.05","2,178.00","2,208.15","2,164.55","47.11K","0.41%"
"27-09-2024","2,183.20","2,174.80","2,205.80","2,151.90","73.59K","1.02%"
"26-09-2024","2,161.10","2,180.20","2,186.80","2,125.00","111.04K","-0.88%"
"25-09-2024","2,180.20","2,194.90","2,222.00","2,170.20","159.01K","-0.70%"
"24-09-2024","2,195.55","2,174.00","2,218.80","2,170.70","225.70K","0.92%"
"23-09-2024","2,175.55","2,111.95","2,190.00","2,111.95","154.14K","3.08%"
"20-09-2024","2,110.50","2,129.55","2,137.95","2,082.25","121.23K","-0.81%"
"19-09-2024","2,127.70","2,137.25","2,182.55","2,115.05","108.18K","-0.36%"
"18-09-2024","2,135.40","2,178.10","2,191.90","2,124.65","72.42K","-2.14%"
"17-09-2024","2,182.10","2,174.55","2,191.40","2,143.25","138.10K","0.35%"
"16-09-2024","2,174.55","2,189.00","2,202.95","2,170.00","65.09K","-0.14%"
"13-09-2024","2,177.55","2,194.00","2,194.00","2,171.05","39.14K","0.06%"
"12-09-2024","2,176.25","2,189.00","2,202.70","2,171.15","57.02K","0.34%"
"11-09-2024","2,168.90","2,170.05","2,214.00","2,159.50","224.49K","-0.13%"
"10-09-2024","2,171.80","2,161.95","2,196.65","2,159.80","228.99K","0.84%"
"09-09-2024","2,153.65","2,115.10","2,160.00","2,114.55","71.56K","0.67%"
"06-09-2024","2,139.30","2,149.90","2,189.55","2,130.00","159.70K","-0.26%"
"05-09-2024","2,144.90","2,122.30","2,171.95","2,122.30","133.79K","0.88%"
"04-09-2024","2,126.20","2,086.00","2,134.95","2,085.00","78.40K","0.80%"
"03-09-2024","2,109.25","2,130.00","2,149.00","2,105.10","100.20K","-0.10%"
"02-09-2024","2,111.40","2,157.90","2,162.45","2,095.25","116.77K","-1.33%"
"30-08-2024","2,139.80","2,071.35","2,145.20","2,071.35","140.67K","2.93%"
"29-08-2024","2,078.85","2,087.00","2,100.20","2,043.95","95.88K","-0.88%"
"28-08-2024","2,097.30","2,079.50","2,127.80","2,057.20","142.58K","0.86%"
"27-08-2024","2,079.50","2,090.00","2,124.60","2,075.00","69.13K","-1.08%"
"26-08-2024","2,102.25","2,082.00","2,110.95","2,065.05","84.88K","1.79%"
"23-08-2024","2,065.25","2,110.00","2,115.60","2,056.00","129.33K","-1.64%"
"22-08-2024","2,099.75","2,095.85","2,111.45","2,083.30","85.55K","0.19%"
"21-08-2024","2,095.85","2,085.00","2,123.95","2,075.00","94.13K","0.19%"
"20-08-2024","2,091.80","2,120.50","2,133.45","2,064.65","126.48K","-1.33%"
"19-08-2024","2,119.95","2,076.00","2,169.70","2,076.00","384.20K","2.32%"
"16-08-2024","2,071.90","2,007.15","2,077.95","1,984.20","227.81K","4.57%"
"14-08-2024","1,981.35","2,008.00","2,056.95","1,976.10","97.66K","-1.45%"
"13-08-2024","2,010.55","2,040.35","2,067.35","2,004.05","156.13K","-1.38%"
"12-08-2024","2,038.65","2,069.05","2,137.80","2,004.65","236.76K","-0.94%"
"09-08-2024","2,058.00","2,075.00","2,098.00","2,050.05","75.56K","-0.37%"
"08-08-2024","2,065.70","2,104.35","2,126.95","2,053.35","158.73K","-1.83%"
"07-08-2024","2,104.30","2,050.10","2,121.25","2,050.10","230.16K","3.15%"
"06-08-2024","2,040.00","2,057.30","2,106.00","2,033.65","61.16K","-0.67%"
"05-08-2024","2,053.75","2,026.00","2,139.90","1,965.10","130.04K","-1.44%"
"02-08-2024","2,083.85","2,078.00","2,110.00","2,054.00","73.75K","-0.06%"
"01-08-2024","2,085.05","2,118.90","2,127.15","2,071.05","76.58K","-1.60%"
"31-07-2024","2,118.90","2,101.00","2,139.70","2,101.00","133.92K","0.90%"
"30-07-2024","2,100.10","2,109.55","2,129.70","2,091.70","53.28K","-0.45%"
"29-07-2024","2,109.55","2,139.00","2,150.25","2,094.25","66.37K","-0.56%"
"26-07-2024","2,121.40","2,054.55","2,137.00","2,045.65","215.28K","3.38%"
"25-07-2024","2,051.95","2,068.20","2,072.10","2,033.00","118.11K","-0.99%"
"24-07-2024","2,072.45","2,010.00","2,089.00","2,009.95","159.23K","2.21%"
"23-07-2024","2,027.55","2,041.10","2,045.75","1,968.55","99.66K","-0.34%"
"22-07-2024","2,034.55","1,960.00","2,042.00","1,955.30","79.90K","2.86%"
"19-07-2024","1,977.95","2,044.00","2,044.00","1,967.70","135.33K","-2.61%"
"18-07-2024","2,031.05","2,038.00","2,047.05","2,010.00","80.86K","-0.46%"
"16-07-2024","2,040.40","2,075.75","2,081.95","2,023.55","90.86K","-1.61%"
"15-07-2024","2,073.75","2,060.15","2,117.50","2,057.95","402.54K","0.98%"
"12-07-2024","2,053.55","2,058.30","2,079.90","2,046.05","150.69K","-0.23%"
"11-07-2024","2,058.30","2,060.00","2,072.90","2,030.00","158.90K","0.23%"
"10-07-2024","2,053.55","2,059.90","2,061.95","2,011.00","154.92K","0.28%"
"09-07-2024","2,047.90","2,044.00","2,088.00","2,038.10","287.05K","0.28%"
"08-07-2024","2,042.25","2,050.00","2,056.95","1,990.00","183.68K","0.21%"
"05-07-2024","2,037.90","2,100.00","2,109.20","2,030.00","334.57K","-2.33%"
"04-07-2024","2,086.45","2,029.90","2,095.50","2,011.70","287.58K","3.08%"
"03-07-2024","2,024.20","2,022.10","2,058.45","2,017.05","137.93K","0.54%"
"02-07-2024","2,013.25","2,080.00","2,080.00","2,005.00","262.77K","-2.01%"
"01-07-2024","2,054.65","1,994.80","2,062.30","1,979.25","349.83K","3.87%"
"28-06-2024","1,978.05","1,940.00","1,986.50","1,939.95","157.55K","2.11%"
"27-06-2024","1,937.15","1,943.35","1,949.20","1,911.55","95.06K","-0.32%"
"26-06-2024","1,943.35","1,935.65","1,949.40","1,926.10","48.55K","0.40%"
"25-06-2024","1,935.65","1,936.20","1,971.80","1,929.90","77.85K","-0.03%"
"24-06-2024","1,936.20","1,915.10","1,957.30","1,912.85","89.13K","-0.20%"
"21-06-2024","1,940.00","1,949.00","1,989.90","1,935.05","193.20K","-0.33%"
"20-06-2024","1,946.35","1,952.95","1,965.00","1,935.95","61.85K","-0.15%"
"19-06-2024","1,949.35","1,971.95","1,973.15","1,927.00","108.84K","-0.30%"
"18-06-2024","1,955.20","1,974.95","1,974.95","1,922.10","190.68K","-0.15%"
"14-06-2024","1,958.20","1,991.00","1,991.95","1,953.10","181.64K","-1.61%"
"13-06-2024","1,990.25","1,968.80","2,023.00","1,962.30","342.23K","2.03%"
"12-06-2024","1,950.70","2,010.00","2,010.05","1,944.10","321.42K","-2.27%"
"11-06-2024","1,996.10","2,013.05","2,038.90","1,989.70","120.95K","-0.55%"
"10-06-2024","2,007.20","2,000.15","2,035.70","1,996.20","169.81K","0.25%"
"07-06-2024","2,002.20","2,044.00","2,057.00","1,995.00","490.86K","-1.30%"
"06-06-2024","2,028.55","2,019.80","2,067.95","1,996.10","507.18K","2.19%"
"05-06-2024","1,985.15","1,900.00","2,021.00","1,890.80","403.41K","5.07%"
"04-06-2024","1,889.35","1,938.95","1,938.95","1,798.05","223.68K","-1.69%"
"03-06-2024","1,921.80","1,941.90","1,948.60","1,908.65","60.82K","0.79%"
"31-05-2024","1,906.65","1,935.00","1,955.00","1,885.95","182.11K","-0.71%"
"30-05-2024","1,920.35","1,960.50","1,970.50","1,910.90","172.57K","-2.58%"
"29-05-2024","1,971.15","1,999.95","1,999.95","1,954.25","101.47K","-1.17%"
"28-05-2024","1,994.55","1,977.35","2,010.00","1,968.60","170.78K","0.87%"
"27-05-2024","1,977.35","1,971.90","2,019.90","1,940.00","382.34K","0.33%"
"24-05-2024","1,970.75","1,940.00","2,001.00","1,890.00","475.50K","1.23%"
"23-05-2024","1,946.85","1,956.00","1,976.45","1,923.05","318.13K","-0.47%"
"22-05-2024","1,956.05","1,920.00","2,050.00","1,895.70","2.63M","2.80%"
"21-05-2024","1,902.75","1,840.60","1,915.00","1,825.30","356.92K","3.35%"
"18-05-2024","1,841.10","1,841.10","1,841.10","1,841.10","","0.16%"
"17-05-2024","1,838.20","1,865.05","1,880.95","1,821.75","191.37K","-1.59%"
"16-05-2024","1,867.90","1,867.45","1,887.55","1,845.10","287.65K","0.95%"
"15-05-2024","1,850.25","1,819.15","1,860.10","1,805.05","187.62K","0.77%"
