"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,434.70","1,396.90","1,439.00","1,390.20","675.28K","4.00%"
"05-11-2024","1,379.55","1,388.00","1,390.00","1,350.00","689.24K","-0.59%"
"04-11-2024","1,387.80","1,453.70","1,453.70","1,383.05","668.16K","-4.03%"
"01-11-2024","1,446.05","1,448.00","1,455.25","1,435.80","57.49K","0.31%"
"31-10-2024","1,441.60","1,449.90","1,449.90","1,417.30","569.77K","-0.02%"
"30-10-2024","1,441.90","1,430.45","1,456.75","1,390.55","1.01M","1.12%"
"29-10-2024","1,425.95","1,420.00","1,434.10","1,394.00","713.53K","0.72%"
"28-10-2024","1,415.70","1,480.00","1,485.65","1,412.75","893.93K","-5.45%"
"25-10-2024","1,497.25","1,515.00","1,524.65","1,469.25","793.54K","-2.96%"
"24-10-2024","1,542.95","1,581.20","1,592.85","1,530.75","510.22K","-2.32%"
"23-10-2024","1,579.55","1,531.80","1,589.60","1,524.30","470.85K","3.11%"
"22-10-2024","1,531.85","1,566.55","1,597.90","1,525.20","461.20K","-2.22%"
"21-10-2024","1,566.55","1,588.05","1,616.60","1,562.50","579.71K","-0.99%"
"18-10-2024","1,582.25","1,689.95","1,689.95","1,503.75","5.20M","-10.21%"
"17-10-2024","1,762.10","1,790.00","1,795.70","1,754.00","302.78K","-1.38%"
"16-10-2024","1,786.75","1,833.40","1,840.85","1,765.00","537.07K","-2.54%"
"15-10-2024","1,833.40","1,791.85","1,857.00","1,791.85","544.80K","2.32%"
"14-10-2024","1,791.85","1,837.00","1,842.70","1,786.10","676.74K","-2.30%"
"11-10-2024","1,834.00","1,861.00","1,870.90","1,831.30","185.64K","-1.90%"
"10-10-2024","1,869.50","1,829.90","1,909.80","1,826.50","1.05M","2.70%"
"09-10-2024","1,820.30","1,840.00","1,860.00","1,818.00","238.08K","-0.46%"
"08-10-2024","1,828.80","1,816.10","1,856.05","1,797.30","449.20K","0.22%"
"07-10-2024","1,824.80","1,920.00","1,923.75","1,818.75","364.14K","-4.48%"
"04-10-2024","1,910.35","1,955.00","1,955.00","1,893.65","524.93K","-1.87%"
"03-10-2024","1,946.75","1,899.10","1,958.00","1,877.00","885.78K","1.65%"
