"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","651.90","644.15","660.00","640.75","436.01K","1.20%"
"05-11-2024","644.15","619.90","650.00","618.00","573.71K","3.90%"
"04-11-2024","619.95","639.95","640.00","613.20","184.43K","-2.94%"
"01-11-2024","638.75","631.00","640.00","627.50","128.08K","2.06%"
"31-10-2024","625.85","628.00","634.00","615.65","216.86K","-0.19%"
"30-10-2024","627.05","610.00","636.55","605.30","497.54K","2.72%"
"29-10-2024","610.45","592.00","614.85","592.00","487.45K","4.46%"
"28-10-2024","584.40","570.90","619.00","570.90","1.14M","2.55%"
"25-10-2024","569.85","585.90","585.90","566.50","444.39K","-1.72%"
"24-10-2024","579.85","578.10","594.50","576.70","198.16K","-0.04%"
"23-10-2024","580.10","576.25","593.00","576.00","443.21K","0.84%"
"22-10-2024","575.25","598.00","599.75","573.60","335.80K","-4.09%"
"21-10-2024","599.80","606.00","609.40","588.75","250.69K","-0.87%"
"18-10-2024","605.05","607.00","607.00","592.30","201.81K","-0.15%"
"17-10-2024","605.95","614.00","616.80","605.00","144.72K","-1.45%"
"16-10-2024","614.85","611.05","621.00","610.10","242.03K","0.70%"
"15-10-2024","610.60","614.05","618.75","608.00","167.08K","-0.42%"
"14-10-2024","613.15","618.95","624.15","611.35","125.57K","-0.91%"
"11-10-2024","618.75","624.35","631.40","614.80","192.39K","-0.90%"
"10-10-2024","624.35","622.00","632.45","618.80","164.52K","1.41%"
"09-10-2024","615.65","615.80","635.10","614.00","332.03K","0.65%"
"08-10-2024","611.70","610.00","632.00","604.80","482.84K","-0.69%"
"07-10-2024","615.95","635.00","640.20","612.25","298.16K","-2.69%"
"04-10-2024","632.95","632.00","647.00","624.15","223.02K","0.02%"
"03-10-2024","632.80","644.95","647.80","624.10","263.76K","-1.92%"
"01-10-2024","645.20","646.90","655.80","643.00","153.39K","0.45%"
"30-09-2024","642.30","636.90","643.70","633.15","111.02K","0.85%"
"27-09-2024","636.90","645.00","651.00","633.90","229.78K","-1.14%"
"26-09-2024","644.25","648.20","649.50","640.00","137.57K","-0.61%"
"25-09-2024","648.20","646.00","650.00","638.10","183.13K","0.79%"
"24-09-2024","643.15","631.00","648.55","631.00","320.14K","2.02%"
"23-09-2024","630.40","640.00","642.65","627.40","285.49K","-1.18%"
"20-09-2024","637.90","641.75","648.80","636.30","251.64K","-0.53%"
"19-09-2024","641.30","658.00","662.15","635.00","282.17K","-2.60%"
"18-09-2024","658.45","676.25","676.25","651.95","181.12K","-1.90%"
"17-09-2024","671.20","679.95","679.95","668.65","107.94K","-0.61%"
"16-09-2024","675.35","676.95","678.75","671.80","152.66K","0.83%"
"13-09-2024","669.80","665.60","683.60","664.70","364.23K","1.52%"
"12-09-2024","659.75","671.00","672.00","656.75","311.39K","-0.03%"
"11-09-2024","659.95","669.00","673.90","657.75","386.56K","-1.39%"
"10-09-2024","669.25","650.05","674.20","650.05","261.22K","3.26%"
"09-09-2024","648.10","668.85","669.40","645.05","251.85K","-2.99%"
"06-09-2024","668.10","682.00","684.00","662.50","282.22K","-1.97%"
"05-09-2024","681.50","684.00","694.50","677.00","220.63K","0.93%"
"04-09-2024","675.20","670.00","686.85","670.00","317.91K","-1.29%"
"03-09-2024","684.05","685.00","688.50","677.85","226.27K","0.44%"
"02-09-2024","681.05","680.00","695.00","674.10","491.38K","1.36%"
"30-08-2024","671.90","672.55","684.75","670.05","204.18K","-0.33%"
"29-08-2024","674.15","689.85","692.10","670.20","944.28K","-1.96%"
"28-08-2024","687.60","693.70","698.00","683.00","577.98K","-0.58%"
"27-08-2024","691.60","674.95","696.90","670.55","891.58K","3.27%"
"26-08-2024","669.70","664.90","702.90","655.65","1.77M","2.14%"
"23-08-2024","655.65","646.90","659.80","641.90","410.60K","1.49%"
"22-08-2024","646.05","641.00","651.95","637.10","382.19K","0.99%"
"21-08-2024","639.70","615.00","656.00","614.05","1.44M","4.53%"
"20-08-2024","611.95","626.65","630.00","608.00","511.37K","-1.81%"
"19-08-2024","623.20","599.90","632.20","599.90","759.67K","4.32%"
"16-08-2024","597.40","576.60","601.05","574.05","366.24K","3.64%"
"14-08-2024","576.40","586.85","588.00","569.70","294.26K","-2.51%"
"13-08-2024","591.25","601.95","602.30","587.15","292.07K","-0.48%"
"12-08-2024","594.10","580.60","600.50","576.55","393.33K","2.49%"
"09-08-2024","579.65","583.20","595.00","569.25","767.18K","0.24%"
"08-08-2024","578.25","608.85","608.90","572.50","1.31M","-4.33%"
"07-08-2024","604.45","610.60","612.70","601.15","321.10K","0.56%"
"06-08-2024","601.10","624.25","628.95","597.05","405.74K","-2.66%"
"05-08-2024","617.55","633.00","633.00","613.00","435.24K","-3.39%"
"02-08-2024","639.20","643.05","648.95","633.00","434.17K","-1.56%"
"01-08-2024","649.30","651.60","655.75","640.65","282.42K","-0.05%"
"31-07-2024","649.60","660.00","664.00","647.00","343.51K","-0.92%"
"30-07-2024","655.60","631.00","668.00","622.00","1.42M","-1.85%"
"29-07-2024","667.95","660.00","675.00","653.25","577.55K","2.31%"
"26-07-2024","652.90","641.00","657.25","639.80","358.52K","2.29%"
"25-07-2024","638.30","640.00","643.00","633.10","186.93K","-0.80%"
"24-07-2024","643.45","634.45","652.80","630.80","298.17K","1.93%"
"23-07-2024","631.25","641.80","641.90","613.00","453.25K","-1.36%"
"22-07-2024","639.95","637.95","644.75","627.50","212.57K","0.03%"
"19-07-2024","639.75","650.00","653.20","638.00","309.93K","-1.54%"
"18-07-2024","649.75","660.50","662.50","641.85","377.45K","-1.04%"
"16-07-2024","656.60","637.00","667.15","636.05","619.26K","3.09%"
