"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","530.00","522.95","537.80","520.00","402.86K","1.86%"
"05-11-2024","520.30","505.50","524.70","498.55","507.47K","3.30%"
"04-11-2024","503.70","510.55","518.30","498.00","218.76K","-2.90%"
"01-11-2024","518.75","515.00","520.80","513.95","41.40K","0.93%"
"31-10-2024","513.95","500.00","516.60","499.95","276.42K","1.56%"
"30-10-2024","506.05","502.00","510.35","498.35","183.30K","0.76%"
"29-10-2024","502.25","502.85","505.65","488.45","290.41K","-0.13%"
"28-10-2024","502.90","478.00","506.70","478.00","459.26K","4.92%"
"25-10-2024","479.30","495.00","496.60","469.05","459.90K","-2.93%"
"24-10-2024","493.75","508.10","517.10","490.10","493.98K","-3.07%"
"23-10-2024","509.40","500.00","522.70","483.05","597.35K","1.71%"
"22-10-2024","500.85","522.40","523.95","497.75","515.82K","-4.13%"
"21-10-2024","522.40","540.00","550.00","520.20","307.16K","-2.63%"
"18-10-2024","536.50","530.00","541.00","518.30","466.11K","1.00%"
"17-10-2024","531.20","555.00","556.80","529.80","784.47K","-3.59%"
"16-10-2024","551.00","564.40","569.00","545.55","573.20K","-2.18%"
"15-10-2024","563.30","572.50","576.75","559.55","220.59K","-1.41%"
"14-10-2024","571.35","574.00","583.60","566.00","239.48K","-0.02%"
"11-10-2024","571.45","584.10","584.90","570.00","215.24K","-1.67%"
"10-10-2024","581.15","584.60","593.00","578.65","248.12K","0.55%"
"09-10-2024","577.95","565.00","586.95","565.00","405.91K","2.85%"
"08-10-2024","561.95","552.45","577.40","552.45","1.53M","-0.03%"
"07-10-2024","562.10","597.00","602.10","558.60","619.20K","-5.77%"
"04-10-2024","596.55","601.00","609.35","582.00","599.51K","-0.83%"
"03-10-2024","601.55","601.00","607.00","590.00","398.38K","-1.80%"
"01-10-2024","612.60","600.60","614.90","595.10","435.62K","1.77%"
"30-09-2024","601.95","605.00","605.05","591.15","324.61K","-0.22%"
"27-09-2024","603.25","621.80","621.80","600.10","580.14K","-2.47%"
"26-09-2024","618.55","605.70","623.80","593.90","1.56M","2.83%"
"25-09-2024","601.50","591.50","609.55","590.10","1.40M","0.95%"
"24-09-2024","595.85","585.10","599.50","579.50","1.33M","1.34%"
"23-09-2024","587.95","556.00","616.00","550.00","6.38M","5.07%"
"20-09-2024","559.60","525.00","580.00","516.00","11.67M","7.58%"
"19-09-2024","520.15","537.45","539.70","517.25","893.76K","-3.46%"
"18-09-2024","538.80","557.80","558.00","534.00","654.00K","-2.97%"
"17-09-2024","555.30","560.55","562.00","547.50","488.23K","-0.11%"
"16-09-2024","555.90","548.00","558.75","536.05","597.38K","2.24%"
"13-09-2024","543.70","542.55","547.00","538.45","301.33K","1.11%"
"12-09-2024","537.75","535.00","545.00","530.00","397.63K","1.26%"
