"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","156.980","160.000","160.000","155.000","15.48M","-1.26%"
"05-11-2024","158.980","152.500","159.720","151.720","13.76M","3.98%"
"04-11-2024","152.900","159.640","159.720","150.450","11.03M","-4.22%"
"01-11-2024","159.640","159.000","160.740","157.270","3.00M","1.65%"
"31-10-2024","157.050","158.060","159.320","153.250","17.69M","-2.63%"
"30-10-2024","161.290","154.000","162.590","154.000","12.14M","3.46%"
"29-10-2024","155.890","149.900","156.950","147.380","15.97M","4.99%"
"28-10-2024","148.480","146.650","150.250","143.550","6.92M","2.24%"
"25-10-2024","145.220","148.200","148.700","141.500","8.65M","-2.01%"
"24-10-2024","148.200","146.490","152.000","145.270","9.15M","1.06%"
"23-10-2024","146.650","140.800","149.160","138.350","18.67M","5.13%"
"22-10-2024","139.500","146.900","147.150","138.350","16.12M","-5.04%"
"21-10-2024","146.900","155.000","155.440","145.500","30.51M","-4.16%"
"18-10-2024","153.270","159.590","159.590","145.420","80.78M","-13.57%"
"17-10-2024","177.330","181.500","182.250","176.760","3.64M","-1.54%"
"16-10-2024","180.110","183.000","183.760","178.810","5.30M","-1.69%"
"15-10-2024","183.200","184.600","186.950","181.500","4.81M","-0.46%"
"14-10-2024","184.050","186.060","187.420","183.550","3.61M","-1.07%"
"11-10-2024","186.040","189.000","192.700","185.490","2.65M","-1.40%"
"10-10-2024","188.680","192.000","193.000","188.260","2.37M","-1.27%"
"09-10-2024","191.100","184.850","192.350","184.000","7.49M","4.47%"
"08-10-2024","182.920","183.000","184.090","181.100","6.63M","0.09%"
"07-10-2024","182.750","189.860","191.980","181.700","6.50M","-3.46%"
