"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,750.10","2,850.05","2,882.75","2,708.60","77.12K","1.32%"
"05-11-2024","2,714.40","2,746.60","2,746.60","2,652.55","16.23K","-0.75%"
"04-11-2024","2,734.95","2,688.55","2,751.00","2,666.40","19.23K","1.65%"
"01-11-2024","2,690.55","2,724.95","2,731.80","2,650.85","2.60K","0.90%"
"31-10-2024","2,666.60","2,627.80","2,730.00","2,594.45","17.20K","1.46%"
"30-10-2024","2,628.25","2,574.75","2,651.00","2,556.45","18.28K","3.99%"
"29-10-2024","2,527.35","2,421.45","2,539.20","2,414.10","25.40K","4.07%"
"28-10-2024","2,428.60","2,449.95","2,468.90","2,405.00","12.22K","-1.15%"
"25-10-2024","2,456.95","2,510.05","2,526.90","2,450.00","22.35K","-1.99%"
"24-10-2024","2,506.95","2,525.00","2,543.70","2,479.80","10.26K","-0.90%"
"23-10-2024","2,529.80","2,568.05","2,585.05","2,514.55","11.39K","-1.46%"
"22-10-2024","2,567.40","2,679.65","2,684.00","2,555.00","6.82K","-2.78%"
"21-10-2024","2,640.95","2,632.05","2,684.05","2,628.80","10.08K","-0.28%"
"18-10-2024","2,648.35","2,682.35","2,682.35","2,611.20","5.31K","-1.27%"
"17-10-2024","2,682.35","2,710.95","2,747.00","2,651.00","10.68K","-1.10%"
"16-10-2024","2,712.10","2,745.00","2,745.00","2,688.05","4.83K","-1.21%"
"15-10-2024","2,745.45","2,787.95","2,787.95","2,714.90","7.41K","-0.50%"
"14-10-2024","2,759.35","2,811.00","2,839.00","2,717.05","18.20K","-1.25%"
"11-10-2024","2,794.40","2,717.95","2,808.30","2,635.35","17.16K","4.34%"
"10-10-2024","2,678.10","2,700.30","2,743.55","2,664.55","13.65K","-0.33%"
"09-10-2024","2,687.00","2,609.00","2,696.00","2,592.05","14.65K","3.13%"
"08-10-2024","2,605.40","2,510.00","2,616.00","2,497.95","10.01K","1.83%"
"07-10-2024","2,558.55","2,614.95","2,614.95","2,510.00","7.62K","-1.91%"
"04-10-2024","2,608.25","2,515.20","2,619.80","2,515.00","12.07K","3.08%"
"03-10-2024","2,530.40","2,578.00","2,615.00","2,498.55","15.95K","-1.80%"
"01-10-2024","2,576.75","2,549.45","2,590.35","2,501.00","38.73K","2.19%"
"30-09-2024","2,521.55","2,602.65","2,608.35","2,507.25","13.03K","-2.68%"
"27-09-2024","2,591.10","2,682.95","2,684.00","2,572.05","9.82K","-3.47%"
"26-09-2024","2,684.35","2,670.15","2,717.10","2,654.35","12.71K","-0.53%"
"25-09-2024","2,698.75","2,744.85","2,744.85","2,681.00","12.58K","-1.19%"
