"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","945.15","940.40","959.00","932.00","2.03M","1.51%"
"05-11-2024","931.05","946.00","963.50","913.10","2.51M","-1.23%"
"04-11-2024","942.65","976.00","976.65","933.55","1.77M","-3.48%"
"01-11-2024","976.65","948.00","989.15","945.85","1.20M","4.20%"
"31-10-2024","937.30","926.05","945.00","911.75","1.63M","1.44%"
"30-10-2024","924.00","952.40","954.90","917.00","2.26M","-2.51%"
"29-10-2024","947.80","934.70","955.05","909.30","3.46M","3.18%"
"28-10-2024","918.55","884.90","952.50","864.05","4.59M","5.34%"
"25-10-2024","872.00","938.05","943.90","852.30","2.70M","-7.16%"
"24-10-2024","939.20","946.30","955.60","921.60","856.50K","-0.75%"
"23-10-2024","946.30","920.70","962.00","900.95","2.70M","2.07%"
"22-10-2024","927.15","965.90","988.00","920.00","2.80M","-3.85%"
"21-10-2024","964.25","1,021.95","1,040.60","956.15","5.12M","-6.36%"
"18-10-2024","1,029.70","932.90","1,064.00","898.10","17.84M","10.79%"
"17-10-2024","929.40","962.00","971.70","917.05","4.81M","-3.39%"
"16-10-2024","962.05","907.05","988.10","896.75","12.02M","4.07%"
"15-10-2024","924.45","834.00","941.95","833.50","15.76M","11.81%"
"14-10-2024","826.80","815.00","832.00","806.30","2.00M","2.26%"
"11-10-2024","808.55","778.80","813.45","768.85","2.00M","4.63%"
"10-10-2024","772.80","790.00","794.05","768.90","845.78K","-1.64%"
"09-10-2024","785.70","755.80","793.00","752.05","1.37M","4.51%"
"08-10-2024","751.80","707.00","758.00","696.60","1.11M","6.80%"
"07-10-2024","703.90","728.30","747.50","699.30","1.64M","-3.21%"
"04-10-2024","727.25","719.75","733.90","691.15","997.48K","1.04%"
"03-10-2024","719.75","729.95","738.60","696.95","1.31M","-3.10%"
"01-10-2024","742.80","755.00","756.45","730.00","1.63M","-2.53%"
"30-09-2024","762.10","744.95","769.00","740.00","941.12K","1.53%"
"27-09-2024","750.65","759.70","764.10","747.00","610.99K","-0.55%"
"26-09-2024","754.80","757.05","786.00","752.00","674.52K","-1.22%"
"25-09-2024","764.15","775.90","781.45","761.40","526.33K","-1.43%"
"24-09-2024","775.25","789.00","791.00","773.00","521.54K","-1.46%"
"23-09-2024","786.70","798.00","803.00","781.15","821.78K","-0.52%"
"20-09-2024","790.80","760.05","799.90","751.75","4.14M","3.14%"
"19-09-2024","766.70","782.50","789.70","733.25","1.49M","-1.06%"
"18-09-2024","774.95","780.00","828.85","771.10","3.98M","0.53%"
"17-09-2024","770.85","766.60","774.20","756.10","771.27K","0.96%"
"16-09-2024","763.50","765.90","778.00","754.00","808.15K","0.90%"
"13-09-2024","756.70","747.50","759.00","741.55","827.01K","1.95%"
"12-09-2024","742.25","759.30","760.20","733.20","711.14K","-1.26%"
"11-09-2024","751.75","739.10","757.00","736.05","997.13K","2.02%"
"10-09-2024","736.85","735.00","749.50","727.05","924.15K","1.31%"
"09-09-2024","727.30","763.10","765.10","722.90","2.04M","-4.69%"
"06-09-2024","763.10","785.00","806.45","756.60","2.40M","-1.61%"
"05-09-2024","775.60","775.35","782.00","753.00","1.64M","1.09%"
"04-09-2024","767.20","754.80","777.50","733.10","1.84M","1.23%"
"03-09-2024","757.85","756.70","766.35","747.45","1.41M","0.78%"
"02-09-2024","751.95","729.70","756.70","715.00","2.24M","4.42%"
"30-08-2024","720.10","728.05","734.25","709.00","1.14M","-0.74%"
"29-08-2024","725.45","748.80","755.00","720.60","1.04M","-2.55%"
"28-08-2024","744.40","760.75","770.00","737.65","1.17M","-1.42%"
"27-08-2024","755.15","766.95","778.00","747.60","1.57M","-0.65%"
"26-08-2024","760.10","702.00","775.00","700.15","6.56M","9.14%"
"23-08-2024","696.45","703.85","704.60","689.10","718.65K","-0.86%"
"22-08-2024","702.50","697.00","705.75","686.05","1.02M","1.10%"
"21-08-2024","694.85","677.00","716.50","665.10","2.64M","2.57%"
"20-08-2024","677.45","639.00","683.85","633.00","3.05M","7.13%"
"19-08-2024","632.35","630.00","637.00","627.15","596.06K","1.48%"
"16-08-2024","623.15","607.40","628.70","603.00","1.48M","3.42%"
"14-08-2024","602.55","590.10","608.00","590.10","775.78K","3.00%"
"13-08-2024","585.00","601.10","605.00","578.00","410.38K","-2.68%"
"12-08-2024","601.10","603.45","609.85","596.90","456.73K","-1.02%"
"09-08-2024","607.30","605.00","611.75","600.40","578.71K","1.95%"
"08-08-2024","595.70","610.00","612.55","592.95","525.02K","-2.34%"
"07-08-2024","609.95","606.00","616.95","594.65","1.12M","3.24%"
"06-08-2024","590.80","620.00","637.00","586.85","856.43K","-3.88%"
"05-08-2024","614.65","624.05","650.00","598.00","1.71M","-6.50%"
"02-08-2024","657.35","640.10","667.85","636.40","900.98K","0.60%"
"01-08-2024","653.40","660.00","678.00","645.45","1.51M","-0.77%"
"31-07-2024","658.45","639.15","667.00","636.45","1.85M","3.10%"
"30-07-2024","638.65","611.40","645.95","606.75","1.69M","5.27%"
"29-07-2024","606.70","600.00","611.50","590.90","1.44M","2.70%"
"26-07-2024","590.75","595.00","608.45","579.25","2.25M","2.33%"
"25-07-2024","577.30","566.00","583.80","555.00","1.05M","1.63%"
"24-07-2024","568.05","550.50","572.40","548.00","763.88K","4.28%"
"23-07-2024","544.75","534.95","549.00","507.55","879.31K","2.02%"
"22-07-2024","533.95","534.25","538.25","522.60","321.78K","0.33%"
"19-07-2024","532.20","542.85","545.45","528.25","355.10K","-1.96%"
"18-07-2024","542.85","559.00","560.70","538.00","1.10M","-1.45%"
"16-07-2024","550.85","540.00","564.70","540.00","1.37M","3.88%"
"15-07-2024","530.30","532.50","535.50","517.00","834.99K","-0.41%"
"12-07-2024","532.50","535.25","542.40","531.00","510.66K","-0.08%"
"11-07-2024","532.95","534.60","539.30","532.00","345.91K","-0.31%"
"10-07-2024","534.60","545.00","547.80","531.00","539.49K","-1.55%"
"09-07-2024","543.00","550.50","558.00","540.00","608.96K","-1.07%"
"08-07-2024","548.85","556.95","561.00","544.25","625.05K","-0.52%"
"05-07-2024","551.70","564.95","568.45","550.00","871.96K","-2.04%"
"04-07-2024","563.20","565.00","569.95","560.90","675.54K","0.17%"
"03-07-2024","562.25","570.00","589.20","560.00","1.23M","-0.76%"
"02-07-2024","566.55","585.00","587.00","564.00","1.75M","-4.22%"
"01-07-2024","591.50","614.55","614.55","580.00","1.81M","-3.75%"
"28-06-2024","614.55","634.50","636.60","607.05","864.52K","-2.31%"
"27-06-2024","629.05","625.00","646.00","618.30","883.63K","1.40%"
"26-06-2024","620.35","628.00","639.00","616.05","701.59K","-1.97%"
"25-06-2024","632.80","648.00","654.00","629.00","1.06M","-2.32%"
"24-06-2024","647.80","650.00","657.55","636.95","992.84K","-4.21%"
"21-06-2024","676.30","667.95","679.95","655.00","1.16M","-1.98%"
"20-06-2024","689.95","693.00","698.95","680.00","492.42K","0.57%"
"19-06-2024","686.05","667.50","698.00","662.25","1.36M","3.59%"
"18-06-2024","662.25","663.00","675.65","654.05","540.27K","0.61%"
"14-06-2024","658.25","657.90","662.65","651.75","262.41K","0.11%"
"13-06-2024","657.55","676.95","676.95","653.05","346.07K","-1.91%"
"12-06-2024","670.35","665.15","676.95","661.00","576.76K","0.84%"
"11-06-2024","664.75","674.00","677.70","646.30","1.07M","1.32%"
"10-06-2024","656.10","655.05","722.00","639.00","3.62M","8.15%"
"07-06-2024","606.67","576.51","612.50","575.14","2.61M","5.77%"
"06-06-2024","573.56","567.66","588.75","564.05","866.28K","2.28%"
"05-06-2024","560.76","537.00","563.50","525.81","1.21M","8.01%"
"04-06-2024","519.17","598.49","598.49","474.80","2.18M","-12.52%"
"03-06-2024","593.50","584.50","602.88","571.71","1.78M","6.95%"
"31-05-2024","554.92","568.75","575.00","550.80","648.50K","-2.26%"
"30-05-2024","567.76","572.49","579.97","565.00","465.23K","-0.29%"
"29-05-2024","569.42","560.80","572.24","555.08","686.94K","1.49%"
"28-05-2024","561.08","567.50","570.00","555.51","463.60K","-0.92%"
"27-05-2024","566.29","562.40","576.25","559.90","617.01K","0.69%"
"24-05-2024","562.40","566.94","571.49","557.53","523.38K","-0.92%"
"23-05-2024","567.63","560.95","570.00","556.00","482.98K","1.73%"
"22-05-2024","557.96","574.55","579.38","556.25","628.45K","-2.56%"
"21-05-2024","572.64","603.58","605.08","563.75","1.25M","-4.80%"
"18-05-2024","601.54","593.24","606.00","587.52","181.70K","1.96%"
"17-05-2024","589.99","587.13","593.26","574.25","737.18K","0.90%"
"16-05-2024","584.74","584.38","589.99","573.01","822.91K","2.35%"
"15-05-2024","571.33","570.11","574.25","561.25","788.54K","0.74%"
"14-05-2024","567.14","573.00","577.50","561.25","736.33K","0.00%"
