"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","648.70","631.40","650.00","631.40","814.60K","2.32%"
"05-11-2024","634.00","634.10","636.65","627.95","2.57M","-0.15%"
"04-11-2024","634.95","642.60","644.45","624.80","1.50M","-1.70%"
"01-11-2024","645.95","643.80","650.95","642.00","224.13K","0.93%"
"31-10-2024","640.00","649.90","649.90","632.85","2.77M","-1.71%"
"30-10-2024","651.15","668.00","687.00","647.05","13.80M","3.50%"
"29-10-2024","629.15","634.00","638.10","624.00","1.21M","-0.76%"
"28-10-2024","634.00","640.10","642.00","616.85","3.38M","-0.95%"
"25-10-2024","640.10","635.00","645.50","631.05","1.59M","0.92%"
"24-10-2024","634.25","657.50","661.10","631.20","1.91M","-3.40%"
"23-10-2024","656.60","659.00","665.00","648.65","1.27M","-0.06%"
"22-10-2024","657.00","662.00","667.35","655.05","1.24M","-0.75%"
"21-10-2024","661.95","665.10","670.10","658.10","1.53M","-1.10%"
"18-10-2024","669.30","665.00","673.80","654.60","2.27M","0.48%"
"17-10-2024","666.10","681.00","681.00","661.15","1.80M","-1.98%"
"16-10-2024","679.55","688.80","688.80","677.10","3.31M","-0.90%"
"15-10-2024","685.70","688.00","692.50","680.75","1.63M","-0.53%"
"14-10-2024","689.35","685.50","690.50","674.05","578.04K","0.56%"
"11-10-2024","685.50","685.10","693.45","681.30","503.18K","0.06%"
"10-10-2024","685.10","699.00","704.65","683.35","500.56K","-1.88%"
"09-10-2024","698.20","700.00","703.15","692.25","1.27M","0.04%"
"08-10-2024","697.90","677.10","699.60","675.35","2.80M","2.81%"
"07-10-2024","678.80","686.25","694.20","673.80","1.93M","-1.65%"
"04-10-2024","690.20","699.70","703.95","684.40","2.05M","-1.27%"
"03-10-2024","699.05","694.00","719.85","690.35","4.58M","0.78%"
"01-10-2024","693.65","694.00","699.45","685.00","1.86M","-0.25%"
"30-09-2024","695.40","680.50","705.00","680.50","2.53M","0.43%"
"27-09-2024","692.45","695.05","713.50","688.00","14.24M","-0.17%"
"26-09-2024","693.60","691.00","700.90","683.25","3.43M","0.64%"
"25-09-2024","689.20","707.60","707.60","681.55","1.37M","-2.25%"
"24-09-2024","705.10","699.00","709.70","695.65","1.69M","0.37%"
"23-09-2024","702.50","709.05","710.00","696.85","1.23M","-0.92%"
"20-09-2024","709.00","700.00","710.50","697.50","2.80M","1.72%"
"19-09-2024","697.00","696.00","702.50","690.15","1.72M","0.24%"
"18-09-2024","695.30","693.00","696.30","686.55","972.50K","0.48%"
"17-09-2024","692.00","697.70","705.00","689.30","1.74M","-0.46%"
"16-09-2024","695.20","683.05","697.40","675.55","1.85M","1.94%"
"13-09-2024","681.95","688.00","690.20","677.75","1.55M","-0.60%"
"12-09-2024","686.10","683.45","687.90","680.55","1.23M","0.83%"
"11-09-2024","680.45","678.00","690.00","676.30","3.15M","0.07%"
"10-09-2024","680.00","680.20","684.50","675.30","1.94M","0.59%"
"09-09-2024","676.00","665.00","678.30","660.50","4.06M","1.62%"
"06-09-2024","665.25","648.00","673.95","647.95","6.82M","3.32%"
"05-09-2024","643.90","640.10","647.00","636.90","2.66M","-0.26%"
"04-09-2024","645.60","635.00","647.65","633.00","2.93M","0.87%"
"03-09-2024","640.05","644.95","653.25","639.45","2.47M","-1.67%"
"02-09-2024","650.95","648.00","655.65","643.50","1.59M","0.59%"
"30-08-2024","647.15","659.05","664.70","644.75","7.82M","-2.06%"
"29-08-2024","660.75","661.90","666.00","651.45","2.12M","-0.17%"
"28-08-2024","661.90","675.80","678.90","660.00","2.44M","-2.06%"
"27-08-2024","675.80","686.50","691.45","673.00","1.40M","-1.85%"
"26-08-2024","688.55","681.00","692.80","678.80","1.84M","1.53%"
"23-08-2024","678.20","682.95","688.65","670.45","1.71M","-0.70%"
