"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","121,613.55","119,845.00","121,840.80","119,845.00","6.95K","1.74%"
"05-11-2024","119,530.15","120,801.00","121,243.90","118,000.00","9.90K","-1.11%"
"04-11-2024","120,876.75","123,750.00","123,830.30","120,500.00","9.77K","-1.99%"
"01-11-2024","123,330.30","122,500.00","123,499.45","122,500.00","0.93K","0.66%"
"31-10-2024","122,524.45","122,100.00","122,972.75","121,503.00","4.36K","0.44%"
"30-10-2024","121,989.35","122,200.00","123,163.40","121,300.05","6.37K","-0.42%"
"29-10-2024","122,507.85","123,399.00","123,400.00","120,750.00","5.95K","-0.47%"
"28-10-2024","123,090.95","122,900.00","124,298.00","122,819.30","5.06K","0.28%"
"25-10-2024","122,751.80","124,131.20","124,862.30","121,875.05","6.30K","-1.11%"
"24-10-2024","124,131.20","125,600.00","125,999.85","123,950.00","5.15K","-1.09%"
"23-10-2024","125,493.95","126,100.00","126,755.00","124,988.40","6.71K","-0.72%"
"22-10-2024","126,407.25","128,990.00","128,990.00","126,100.00","5.71K","-1.43%"
"21-10-2024","128,242.95","130,100.00","132,000.00","128,051.05","9.79K","-0.93%"
"18-10-2024","129,444.65","129,800.00","129,950.00","128,618.00","3.96K","-0.28%"
"17-10-2024","129,811.75","130,421.00","130,949.90","129,400.00","3.16K","-0.52%"
"16-10-2024","130,493.80","131,000.25","131,278.09","129,530.05","5.44K","-0.41%"
"15-10-2024","131,027.25","131,914.00","132,499.95","130,850.00","6.02K","-0.67%"
"14-10-2024","131,913.30","132,197.59","132,900.00","131,251.20","5.43K","-0.22%"
"11-10-2024","132,197.59","132,400.00","132,417.91","131,151.20","3.35K","-0.01%"
"10-10-2024","132,214.45","133,600.00","133,690.00","132,000.00","3.21K","-0.28%"
"09-10-2024","132,583.30","133,800.00","133,990.00","132,450.84","4.68K","0.34%"
"08-10-2024","132,140.20","131,600.00","132,583.84","130,850.10","5.94K","0.69%"
"07-10-2024","131,237.84","135,377.00","135,500.00","130,555.00","7.96K","-1.63%"
"04-10-2024","133,408.75","136,600.00","136,782.80","133,000.00","10.22K","-1.98%"
"03-10-2024","136,104.34","138,000.00","139,894.50","135,924.41","7.48K","-2.96%"
"01-10-2024","140,262.91","139,600.00","140,447.09","138,950.20","3.93K","1.26%"
"30-09-2024","138,513.66","141,000.00","141,884.84","138,200.05","6.27K","-1.75%"
"27-09-2024","140,973.91","138,700.00","142,383.91","138,377.00","12.24K","1.53%"
"26-09-2024","138,852.16","139,250.00","139,500.00","137,697.05","8.34K","-0.22%"
"25-09-2024","139,156.16","137,348.00","139,855.66","137,300.16","8.67K","0.97%"
"24-09-2024","137,813.00","137,210.00","137,999.95","136,750.00","5.25K","0.42%"
"23-09-2024","137,234.80","136,050.00","137,500.00","136,050.00","5.66K","0.96%"
"20-09-2024","135,934.41","136,500.00","136,818.30","135,100.05","13.58K","-0.30%"
"19-09-2024","136,347.59","134,700.00","136,850.00","134,122.95","7.84K","1.57%"
"18-09-2024","134,242.70","135,690.00","135,690.00","133,300.00","4.98K","-0.72%"
"17-09-2024","135,219.20","137,050.00","137,264.34","135,052.95","2.92K","-0.89%"
"16-09-2024","136,427.00","137,800.00","138,509.00","136,100.00","5.58K","-0.67%"
"13-09-2024","137,353.95","136,400.00","137,599.95","135,800.05","4.95K","1.02%"
"12-09-2024","135,962.25","135,798.00","136,476.09","135,500.00","3.41K","0.46%"
"11-09-2024","135,345.95","136,220.00","136,650.00","135,141.80","5.17K","-0.30%"
"10-09-2024","135,759.41","134,850.00","136,359.91","134,255.66","5.08K","1.33%"
"09-09-2024","133,979.30","135,000.00","135,000.00","132,600.00","6.11K","-0.21%"
"06-09-2024","134,260.75","136,350.00","136,700.00","134,042.45","3.82K","-1.29%"
"05-09-2024","136,017.09","136,250.00","136,666.00","135,500.00","3.97K","0.51%"
"04-09-2024","135,326.91","134,398.00","135,459.80","134,055.45","4.12K","0.68%"
"03-09-2024","134,419.00","134,750.00","134,798.00","134,040.00","4.69K","0.17%"
"02-09-2024","134,195.25","135,450.00","136,078.70","134,000.00","6.84K","-0.47%"
"30-08-2024","134,833.45","135,400.00","135,490.00","134,400.00","10.32K","0.31%"
"29-08-2024","134,421.09","137,000.00","137,312.84","133,390.00","10.34K","-1.78%"
"28-08-2024","136,856.30","139,500.00","139,500.00","136,486.34","6.44K","-1.41%"
"27-08-2024","138,807.59","139,360.00","139,849.95","138,448.91","4.58K","-0.37%"
"26-08-2024","139,324.45","139,999.55","140,500.00","138,361.16","9.28K","0.58%"
"23-08-2024","138,519.59","139,500.00","140,500.00","138,231.34","5.66K","-0.78%"
"22-08-2024","139,614.55","137,437.80","139,898.00","137,437.80","5.44K","1.29%"
"21-08-2024","137,831.34","135,300.00","138,000.00","135,300.00","6.89K","1.44%"
"20-08-2024","135,873.05","135,600.00","136,218.70","135,051.00","4.05K","0.70%"
