"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","11,354.25","11,219.00","11,430.00","11,172.60","416.03K","1.65%"
"05-11-2024","11,170.10","11,042.00","11,275.00","11,011.90","321.16K","1.06%"
"04-11-2024","11,052.45","11,295.00","11,295.00","10,860.00","444.46K","-0.52%"
"01-11-2024","11,110.00","11,150.00","11,209.55","11,080.00","65.67K","0.30%"
"31-10-2024","11,076.45","11,225.00","11,247.55","11,050.00","838.21K","-1.60%"
"30-10-2024","11,256.45","10,979.00","11,520.00","10,945.00","1.67M","1.91%"
"29-10-2024","11,046.00","11,450.00","11,483.00","10,742.45","2.27M","-3.81%"
"28-10-2024","11,483.25","11,504.80","11,632.65","11,440.00","613.83K","-0.17%"
"25-10-2024","11,502.85","11,763.60","11,794.30","11,440.00","624.58K","-2.22%"
"24-10-2024","11,763.70","11,998.95","11,998.95","11,636.90","552.50K","-1.61%"
"23-10-2024","11,956.20","11,923.30","12,119.90","11,753.45","412.64K","0.28%"
"22-10-2024","11,923.30","12,215.95","12,289.80","11,840.00","904.90K","-2.07%"
"21-10-2024","12,175.90","12,145.55","12,250.00","11,944.55","375.28K","0.58%"
"18-10-2024","12,105.10","12,070.00","12,141.25","11,844.45","506.87K","-0.32%"
"17-10-2024","12,143.75","12,400.00","12,420.10","12,070.00","875.94K","-1.94%"
"16-10-2024","12,383.90","12,414.05","12,454.95","12,231.00","418.14K","-0.50%"
"15-10-2024","12,446.75","12,709.00","12,709.00","12,355.00","532.14K","-0.73%"
"14-10-2024","12,537.85","12,775.00","12,799.00","12,462.30","488.07K","-1.87%"
"11-10-2024","12,776.65","12,944.10","12,980.00","12,725.00","274.24K","-1.29%"
"10-10-2024","12,944.10","12,798.90","12,965.00","12,711.50","492.70K","1.44%"
"09-10-2024","12,760.70","12,554.95","12,850.00","12,540.50","465.23K","1.83%"
"08-10-2024","12,531.95","12,502.25","12,630.10","12,462.05","387.06K","0.04%"
"07-10-2024","12,527.50","12,626.05","12,648.00","12,378.00","465.50K","-0.62%"
"04-10-2024","12,605.75","12,689.90","12,877.85","12,512.50","679.36K","-0.33%"
"03-10-2024","12,647.35","12,941.05","13,148.00","12,592.30","863.52K","-3.94%"
"01-10-2024","13,166.00","13,238.00","13,300.45","13,000.05","388.89K","-0.54%"
"30-09-2024","13,238.00","13,343.55","13,500.00","13,208.70","415.74K","-1.91%"
"27-09-2024","13,495.60","13,383.00","13,541.65","13,274.45","865.70K","0.84%"
"26-09-2024","13,383.80","12,835.00","13,411.00","12,830.00","1.47M","4.68%"
"25-09-2024","12,785.30","12,727.25","12,816.20","12,611.00","341.17K","0.37%"
"24-09-2024","12,738.60","12,583.10","12,778.95","12,583.10","425.92K","0.44%"
"23-09-2024","12,683.10","12,625.00","12,749.00","12,625.00","235.59K","0.54%"
