"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","64.80","64.53","65.44","64.01","2.76M","0.84%"
"05-11-2024","64.26","65.75","65.79","63.76","3.50M","-2.27%"
"04-11-2024","65.75","65.00","66.38","63.55","12.22M","2.78%"
"01-11-2024","63.97","63.60","64.06","63.19","828.93K","1.86%"
"31-10-2024","62.80","62.52","62.96","61.95","4.24M","0.45%"
"30-10-2024","62.52","61.39","63.40","61.11","2.61M","2.11%"
"29-10-2024","61.23","62.30","62.69","61.02","3.16M","-1.72%"
"28-10-2024","62.30","62.00","63.00","60.85","5.67M","-0.18%"
"25-10-2024","62.41","63.19","63.37","61.97","4.32M","-0.94%"
"24-10-2024","63.00","64.20","64.20","62.75","3.64M","-1.47%"
"23-10-2024","63.94","63.50","64.49","61.95","6.33M","1.25%"
"22-10-2024","63.15","63.51","64.01","62.64","7.33M","-0.69%"
"21-10-2024","63.59","64.40","64.65","63.25","3.49M","-0.86%"
"18-10-2024","64.14","63.98","64.34","62.97","3.48M","0.45%"
"17-10-2024","63.85","64.60","64.81","63.55","5.60M","-0.99%"
"16-10-2024","64.49","64.38","65.47","63.93","3.36M","0.17%"
"15-10-2024","64.38","65.25","65.98","63.52","21.79M","-0.94%"
"14-10-2024","64.99","66.34","66.34","64.91","4.53M","-1.43%"
"11-10-2024","65.93","66.88","66.90","65.12","7.20M","-0.06%"
"10-10-2024","65.97","66.75","67.14","65.87","3.96M","-1.09%"
"09-10-2024","66.70","66.90","67.78","66.35","10.86M","1.08%"
"08-10-2024","65.99","66.44","66.44","64.59","7.12M","0.11%"
"07-10-2024","65.92","67.80","68.10","65.11","6.99M","-2.28%"
"04-10-2024","67.46","68.24","68.58","66.42","13.50M","-1.14%"
"03-10-2024","68.24","69.10","69.81","67.87","8.05M","-2.76%"
"01-10-2024","70.18","71.50","71.86","69.81","7.62M","-1.46%"
"30-09-2024","71.22","72.44","73.06","70.57","10.75M","-1.68%"
"27-09-2024","72.44","72.50","72.80","71.55","9.01M","0.21%"
"26-09-2024","72.29","72.20","72.40","71.25","6.86M","1.50%"
"25-09-2024","71.22","70.50","71.63","70.07","5.44M","0.51%"
"24-09-2024","70.86","69.86","72.48","69.18","9.49M","1.80%"
"23-09-2024","69.61","69.26","69.95","69.26","2.36M","0.62%"
"20-09-2024","69.18","70.08","70.20","69.00","4.10M","-0.49%"
"19-09-2024","69.52","70.45","70.50","68.73","3.26M","-0.66%"
"18-09-2024","69.98","69.69","70.50","69.60","4.13M","0.42%"
"17-09-2024","69.69","70.31","70.31","69.60","3.29M","-0.34%"
"16-09-2024","69.93","70.00","70.25","69.43","3.12M","0.59%"
"13-09-2024","69.52","69.05","69.80","68.90","2.98M","0.75%"
"12-09-2024","69.00","69.55","69.79","68.90","5.30M","-1.05%"
"11-09-2024","69.73","69.99","70.13","69.60","2.92M","-0.26%"
"10-09-2024","69.91","69.62","70.50","69.62","3.42M","0.78%"
"09-09-2024","69.37","69.91","70.15","68.56","3.05M","-0.77%"
"06-09-2024","69.91","70.00","70.95","69.43","5.53M","-0.09%"
"05-09-2024","69.97","70.22","70.72","69.95","2.98M","-0.13%"
"04-09-2024","70.06","70.30","70.33","69.95","1.84M","-0.58%"
"03-09-2024","70.47","70.35","70.85","70.29","2.17M","0.31%"
"02-09-2024","70.25","70.66","70.72","69.90","2.82M","-0.26%"
"30-08-2024","70.43","70.50","70.73","70.04","3.47M","0.40%"
"29-08-2024","70.15","70.35","70.69","69.71","3.81M","0.19%"
"28-08-2024","70.02","71.80","71.93","69.55","6.48M","-2.48%"
"27-08-2024","71.80","70.98","71.95","70.30","6.14M","1.58%"
"26-08-2024","70.68","71.59","71.80","70.55","4.15M","-0.17%"
"23-08-2024","70.80","72.54","73.05","70.42","5.79M","-2.40%"
"22-08-2024","72.54","72.27","72.95","72.27","2.69M","0.37%"
"21-08-2024","72.27","72.00","72.51","71.58","2.77M","0.42%"
"20-08-2024","71.97","71.94","72.75","71.77","3.93M","0.19%"
"19-08-2024","71.83","70.88","72.64","70.60","7.41M","1.92%"
"16-08-2024","70.48","69.34","71.28","68.71","9.63M","2.13%"
"14-08-2024","69.01","69.60","69.90","68.10","4.43M","-1.27%"
"13-08-2024","69.90","71.51","71.70","69.71","3.96M","-2.18%"
"12-08-2024","71.46","71.26","71.98","70.71","5.82M","0.28%"
"09-08-2024","71.26","73.44","73.44","71.14","4.02M","-1.03%"
"08-08-2024","72.00","71.66","72.29","70.87","4.83M","0.60%"
"07-08-2024","71.57","72.80","72.80","70.05","7.93M","0.66%"
"06-08-2024","71.10","71.88","73.32","69.75","19.75M","1.48%"
"05-08-2024","70.06","71.80","72.36","69.41","9.23M","-4.05%"
"02-08-2024","73.02","72.40","74.45","72.09","5.95M","-0.38%"
"01-08-2024","73.30","74.29","74.34","73.03","3.72M","-0.76%"
"31-07-2024","73.86","74.85","75.45","73.61","5.18M","-1.14%"
"30-07-2024","74.71","75.60","76.10","74.50","4.38M","-0.90%"
"29-07-2024","75.39","75.30","77.00","74.55","6.05M","0.24%"
"26-07-2024","75.21","74.94","75.69","72.81","6.85M","1.37%"
"25-07-2024","74.19","72.80","74.75","72.23","4.82M","1.63%"
"24-07-2024","73.00","71.85","73.43","71.62","4.22M","1.70%"
"23-07-2024","71.78","72.99","72.99","69.60","4.14M","-1.10%"
"22-07-2024","72.58","72.84","73.55","71.55","3.84M","-0.01%"
"19-07-2024","72.59","74.40","74.44","71.75","6.52M","-2.50%"
"18-07-2024","74.45","76.00","76.00","73.80","6.86M","-1.68%"
"16-07-2024","75.72","76.10","76.45","75.20","9.06M","-0.04%"
"15-07-2024","75.75","74.99","76.02","74.51","10.94M","2.24%"
"12-07-2024","74.09","73.13","74.74","72.98","11.54M","1.77%"
"11-07-2024","72.80","72.50","73.63","72.30","8.62M","0.52%"
"10-07-2024","72.42","72.60","73.12","70.85","15.04M","0.14%"
"09-07-2024","72.32","72.44","73.49","72.00","6.54M","0.57%"
"08-07-2024","71.91","73.50","73.77","70.80","12.36M","-2.02%"
"05-07-2024","73.39","73.75","74.16","73.07","5.57M","0.38%"
"04-07-2024","73.11","73.38","74.48","72.92","6.20M","-0.01%"
"03-07-2024","73.12","73.78","73.89","72.81","5.39M","0.32%"
"02-07-2024","72.89","74.60","74.64","72.60","8.95M","-1.78%"
"01-07-2024","74.21","75.35","76.00","74.01","6.89M","-1.46%"
"28-06-2024","75.31","74.20","75.60","73.59","10.90M","1.55%"
"27-06-2024","74.16","75.46","75.84","74.00","7.35M","-1.70%"
"26-06-2024","75.44","75.50","77.50","75.20","11.05M","-0.22%"
"25-06-2024","75.61","76.50","77.80","75.40","13.42M","-0.51%"
"24-06-2024","76.00","76.00","76.43","74.90","9.71M","-0.12%"
"21-06-2024","76.09","76.45","77.45","74.75","14.27M","0.34%"
"20-06-2024","75.83","77.20","77.33","75.60","11.25M","-1.19%"
"19-06-2024","76.74","79.81","80.00","76.21","32.66M","-2.55%"
"18-06-2024","78.75","75.00","79.00","74.80","46.57M","6.55%"
"14-06-2024","73.91","72.80","76.64","72.66","33.93M","1.78%"
"13-06-2024","72.62","69.06","74.30","68.64","41.48M","5.22%"
"12-06-2024","69.02","69.19","69.25","68.35","5.15M","0.41%"
"11-06-2024","68.74","69.40","69.40","68.60","5.17M","0.22%"
"10-06-2024","68.59","68.40","68.90","67.63","8.77M","1.02%"
"07-06-2024","67.90","67.30","68.20","67.10","5.59M","1.12%"
"06-06-2024","67.15","65.70","67.50","64.50","9.86M","4.68%"
"05-06-2024","64.15","64.60","65.05","62.35","13.90M","-0.62%"
"04-06-2024","64.55","67.95","67.95","62.30","7.60M","-4.58%"
"03-06-2024","67.65","70.00","70.35","67.15","7.91M","0.00%"
"31-05-2024","67.65","67.20","68.00","66.70","5.78M","1.42%"
"30-05-2024","66.70","66.80","67.70","66.25","6.32M","0.15%"
"29-05-2024","66.60","67.00","67.65","66.35","4.45M","-0.75%"
"28-05-2024","67.10","68.20","68.25","66.65","4.95M","-1.11%"
"27-05-2024","67.85","68.65","68.65","67.65","4.41M","-0.29%"
"24-05-2024","68.05","68.55","69.30","67.80","5.93M","-0.44%"
"23-05-2024","68.35","68.55","68.75","68.15","2.81M","-0.15%"
"22-05-2024","68.45","69.75","69.75","68.25","4.18M","-1.16%"
"21-05-2024","69.25","69.75","69.75","68.20","6.69M","0.07%"
"18-05-2024","69.20","69.20","69.20","69.20","","0.80%"
"17-05-2024","68.65","71.00","71.00","68.35","13.86M","-1.22%"
"16-05-2024","69.50","69.35","70.90","67.85","10.25M","1.24%"
"15-05-2024","68.65","68.25","69.15","68.10","2.77M","0.66%"
"14-05-2024","68.20","67.30","68.60","67.30","3.35M","1.56%"
"13-05-2024","67.15","67.50","67.95","66.15","2.62M","-0.52%"
"10-05-2024","67.50","68.55","68.70","67.10","2.72M","-1.53%"
"09-05-2024","68.55","69.50","69.65","67.80","5.50M","-0.58%"
"08-05-2024","68.95","67.50","69.30","67.35","3.96M","1.40%"
"07-05-2024","68.00","68.65","68.95","67.30","4.34M","-0.95%"
"06-05-2024","68.65","68.70","68.95","67.80","3.37M","0.29%"
"03-05-2024","68.45","69.00","69.25","67.90","3.57M","-0.65%"
"02-05-2024","68.90","69.45","69.65","68.60","2.80M","-0.22%"
"30-04-2024","69.05","69.70","69.95","69.00","3.07M","-0.72%"
"29-04-2024","69.55","70.00","70.40","69.15","3.91M","0.00%"
"26-04-2024","69.55","70.25","71.05","69.25","7.24M","-0.93%"
"25-04-2024","70.20","71.10","71.30","69.80","7.06M","-1.06%"
"24-04-2024","70.95","71.55","72.20","70.60","5.75M","-0.21%"
"23-04-2024","71.10","69.70","72.35","69.50","12.65M","2.16%"
"22-04-2024","69.60","70.55","70.55","69.40","5.14M","-0.78%"
"19-04-2024","70.15","70.00","70.70","67.85","7.01M","0.14%"
"18-04-2024","70.05","70.95","71.30","69.65","10.53M","-1.06%"
"16-04-2024","70.80","68.45","72.40","67.55","22.83M","2.83%"
"15-04-2024","68.85","67.40","69.45","65.85","7.99M","-1.08%"
"12-04-2024","69.60","69.45","70.20","68.35","7.76M","1.16%"
"10-04-2024","68.80","68.85","69.50","68.35","5.85M","0.66%"
"09-04-2024","68.35","70.30","70.65","68.20","4.09M","-2.29%"
"08-04-2024","69.95","70.70","70.70","69.30","3.69M","-0.57%"
"05-04-2024","70.35","71.00","71.55","69.90","5.92M","-0.35%"
"04-04-2024","70.60","71.20","71.30","69.35","8.44M","-0.07%"
"03-04-2024","70.65","68.75","70.90","68.00","9.32M","3.06%"
"02-04-2024","68.55","68.20","68.75","67.60","5.28M","1.56%"
"01-04-2024","67.50","66.70","67.85","66.20","5.74M","2.12%"
"28-03-2024","66.10","66.00","66.80","64.85","9.92M","1.23%"
"27-03-2024","65.30","64.90","67.30","64.80","10.73M","0.77%"
"26-03-2024","64.80","63.80","65.15","63.45","7.51M","1.33%"
"22-03-2024","63.95","62.85","64.10","62.60","4.91M","1.91%"
"21-03-2024","62.75","62.40","63.15","62.00","6.35M","2.03%"
"20-03-2024","61.50","62.55","62.95","61.10","5.14M","-0.65%"
"19-03-2024","61.90","62.70","63.20","61.30","5.89M","-0.56%"
"18-03-2024","62.25","62.90","64.30","62.05","9.55M","-0.24%"
"15-03-2024","62.40","63.90","64.80","62.00","12.36M","-1.89%"
"14-03-2024","63.60","61.10","64.25","60.15","15.33M","3.33%"
"13-03-2024","61.55","64.65","65.95","61.00","16.78M","-4.80%"
"12-03-2024","64.65","66.15","66.40","63.15","11.01M","-2.27%"
"11-03-2024","66.15","68.10","68.10","65.80","7.12M","-2.29%"
"07-03-2024","67.70","68.50","70.10","67.20","8.23M","-3.42%"
"06-03-2024","70.10","70.80","71.30","69.00","6.23M","-0.43%"
"05-03-2024","70.40","70.50","71.35","69.55","6.89M","0.64%"
"04-03-2024","69.95","71.70","71.70","69.65","7.38M","-2.10%"
"02-03-2024","71.45","70.40","71.65","70.30","836.87K","2.07%"
