"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,893.90","1,901.20","1,962.45","1,888.65","348.73K","-1.02%"
"05-11-2024","1,913.35","1,872.25","1,926.80","1,847.00","511.35K","0.65%"
"04-11-2024","1,901.05","1,932.10","1,940.00","1,891.05","170.37K","-1.57%"
"01-11-2024","1,931.45","1,962.00","1,962.00","1,926.90","26.41K","0.05%"
"31-10-2024","1,930.45","1,965.00","1,976.10","1,909.35","464.64K","-1.93%"
"30-10-2024","1,968.50","1,974.00","2,003.00","1,957.50","549.68K","0.42%"
"29-10-2024","1,960.35","1,926.10","1,970.70","1,901.65","999.52K","1.78%"
"28-10-2024","1,926.10","1,935.00","1,948.95","1,907.10","157.04K","0.13%"
"25-10-2024","1,923.55","1,932.35","1,947.00","1,895.10","452.70K","-0.34%"
"24-10-2024","1,930.15","1,937.00","1,951.95","1,919.10","401.05K","0.26%"
"23-10-2024","1,925.05","1,900.00","1,956.65","1,890.05","505.14K","0.76%"
"22-10-2024","1,910.50","1,940.00","1,962.45","1,900.80","357.68K","-1.77%"
"21-10-2024","1,945.00","1,968.75","1,988.45","1,940.85","153.13K","-1.21%"
"18-10-2024","1,968.75","1,950.00","1,983.95","1,923.70","565.17K","0.68%"
"17-10-2024","1,955.45","1,968.00","1,996.45","1,939.90","406.41K","-0.07%"
"16-10-2024","1,956.80","1,968.70","1,973.00","1,940.65","262.41K","-0.01%"
"15-10-2024","1,956.95","1,949.95","1,974.00","1,943.60","189.57K","0.36%"
"14-10-2024","1,949.95","1,943.10","1,959.15","1,937.90","172.63K","0.23%"
"11-10-2024","1,945.45","1,936.40","1,967.00","1,931.45","266.60K","0.11%"
"10-10-2024","1,943.40","1,942.35","1,968.45","1,928.05","265.40K","0.50%"
"09-10-2024","1,933.70","1,895.00","1,955.00","1,890.25","586.72K","2.64%"
"08-10-2024","1,884.05","1,888.00","1,904.45","1,868.05","481.03K","0.11%"
"07-10-2024","1,882.00","1,945.05","1,945.40","1,871.10","763.11K","-2.50%"
"04-10-2024","1,930.35","1,980.00","1,980.00","1,910.75","645.01K","-1.72%"
"03-10-2024","1,964.05","1,940.00","1,974.50","1,931.00","692.36K","0.42%"
"01-10-2024","1,955.90","1,999.00","2,009.45","1,951.40","1.48M","-3.74%"
"30-09-2024","2,031.85","2,051.00","2,065.00","2,025.05","452.80K","-1.26%"
"27-09-2024","2,057.75","2,035.10","2,069.80","2,032.20","497.65K","0.50%"
"26-09-2024","2,047.50","2,042.60","2,059.00","2,012.40","371.33K","0.24%"
"25-09-2024","2,042.60","2,014.45","2,045.00","1,986.20","778.58K","2.59%"
"24-09-2024","1,991.00","2,020.80","2,030.00","1,986.05","504.71K","-1.67%"
"23-09-2024","2,024.90","2,004.00","2,033.35","1,986.25","497.94K","1.77%"
"20-09-2024","1,989.65","2,001.00","2,015.10","1,927.15","1.61M","-2.25%"
"19-09-2024","2,035.45","2,029.90","2,060.00","2,009.15","568.10K","0.91%"
"18-09-2024","2,017.00","2,033.00","2,043.50","2,006.30","258.61K","-0.34%"
"17-09-2024","2,023.85","2,019.05","2,039.90","1,991.45","680.18K","0.51%"
"16-09-2024","2,013.60","2,025.00","2,032.70","2,004.00","597.15K","0.03%"
"13-09-2024","2,013.05","2,035.00","2,078.75","2,000.00","2.04M","1.34%"
"12-09-2024","1,986.40","1,966.55","1,990.25","1,956.85","175.46K","1.94%"
"11-09-2024","1,948.60","1,959.00","1,979.90","1,943.00","287.55K","-0.57%"
"10-09-2024","1,959.75","1,993.00","2,001.45","1,951.10","550.44K","-1.49%"
"09-09-2024","1,989.30","1,977.45","1,994.50","1,966.50","489.45K","0.65%"
"06-09-2024","1,976.55","2,004.00","2,004.00","1,965.50","418.73K","-0.64%"
"05-09-2024","1,989.25","1,960.00","2,012.10","1,953.25","531.08K","1.60%"
"04-09-2024","1,958.00","1,950.00","1,988.00","1,949.95","309.33K","-1.04%"
"03-09-2024","1,978.55","1,988.80","1,989.70","1,942.60","1.11M","0.69%"
"02-09-2024","1,965.00","1,972.00","1,979.00","1,957.20","177.61K","-0.04%"
"30-08-2024","1,965.85","1,974.05","1,988.75","1,960.05","398.55K","-0.40%"
"29-08-2024","1,973.75","1,972.60","1,980.00","1,950.10","199.58K","0.78%"
"28-08-2024","1,958.45","1,985.00","1,988.45","1,927.00","383.58K","-1.40%"
"27-08-2024","1,986.25","1,940.90","2,001.60","1,921.50","803.61K","2.58%"
"26-08-2024","1,936.25","1,909.95","1,944.00","1,903.75","213.90K","1.87%"
"23-08-2024","1,900.80","1,924.05","1,932.40","1,896.25","268.50K","-1.42%"
"22-08-2024","1,928.20","1,919.15","1,932.20","1,901.90","442.71K","0.66%"
"21-08-2024","1,915.55","1,900.00","1,948.90","1,880.00","1.42M","2.15%"
"20-08-2024","1,875.30","1,840.35","1,878.00","1,833.75","758.67K","1.90%"
"19-08-2024","1,840.35","1,833.00","1,860.85","1,832.25","212.06K","0.35%"
"16-08-2024","1,833.95","1,816.45","1,880.00","1,795.00","350.87K","0.96%"
"14-08-2024","1,816.45","1,900.00","1,900.05","1,785.15","1.74M","-1.98%"
"13-08-2024","1,853.10","1,900.00","1,904.95","1,842.75","950.35K","-1.96%"
"12-08-2024","1,890.10","1,879.20","1,904.25","1,866.20","320.45K","0.58%"
"09-08-2024","1,879.20","1,850.25","1,884.00","1,847.55","402.02K","1.69%"
"08-08-2024","1,848.05","1,842.20","1,863.10","1,828.50","570.45K","-0.40%"
"07-08-2024","1,855.40","1,812.45","1,858.50","1,792.50","536.31K","3.77%"
"06-08-2024","1,787.95","1,830.95","1,840.00","1,670.00","828.31K","-1.98%"
"05-08-2024","1,824.15","1,864.05","1,869.45","1,803.05","721.72K","-2.85%"
"02-08-2024","1,877.65","1,850.00","1,895.00","1,842.65","686.11K","0.71%"
"01-08-2024","1,864.35","1,850.00","1,876.00","1,831.70","590.11K","1.43%"
"31-07-2024","1,838.10","1,808.40","1,847.15","1,796.75","424.82K","1.64%"
"30-07-2024","1,808.40","1,783.00","1,830.80","1,766.55","853.26K","1.54%"
"29-07-2024","1,781.05","1,795.00","1,813.80","1,774.55","980.14K","-0.12%"
"26-07-2024","1,783.20","1,750.00","1,794.40","1,741.45","633.11K","2.34%"
"25-07-2024","1,742.50","1,730.00","1,749.95","1,711.30","220.02K","-0.01%"
"24-07-2024","1,742.65","1,735.10","1,759.90","1,716.05","649.12K","0.50%"
"23-07-2024","1,733.95","1,825.00","1,825.95","1,664.60","1.58M","-4.31%"
"22-07-2024","1,812.05","1,830.30","1,838.95","1,801.55","911.82K","-1.59%"
"19-07-2024","1,841.25","1,850.00","1,850.00","1,811.45","350.80K","-0.37%"
"18-07-2024","1,848.15","1,862.15","1,885.95","1,825.80","1.63M","0.74%"
"16-07-2024","1,834.65","1,832.00","1,868.40","1,830.00","373.10K","-0.08%"
"15-07-2024","1,836.15","1,855.95","1,855.95","1,829.25","200.14K","-0.57%"
"12-07-2024","1,846.75","1,837.20","1,864.70","1,823.60","658.79K","0.81%"
"11-07-2024","1,831.90","1,824.10","1,843.15","1,823.20","315.84K","0.45%"
"10-07-2024","1,823.70","1,813.00","1,834.00","1,787.65","645.19K","0.92%"
"09-07-2024","1,807.00","1,785.00","1,810.50","1,775.75","364.83K","1.27%"
"08-07-2024","1,784.40","1,818.40","1,818.40","1,770.00","163.63K","-1.45%"
"05-07-2024","1,810.60","1,808.80","1,816.50","1,791.00","112.08K","0.36%"
"04-07-2024","1,804.15","1,793.90","1,820.00","1,778.05","544.98K","0.72%"
"03-07-2024","1,791.30","1,800.30","1,809.80","1,785.25","230.77K","-0.32%"
"02-07-2024","1,797.00","1,793.85","1,805.95","1,756.00","676.98K","0.47%"
"01-07-2024","1,788.60","1,808.90","1,819.85","1,782.35","626.55K","-0.40%"
"28-06-2024","1,795.85","1,831.50","1,856.85","1,792.00","612.71K","-1.83%"
"27-06-2024","1,829.30","1,778.05","1,848.80","1,765.45","1.71M","3.04%"
"26-06-2024","1,775.40","1,780.80","1,808.00","1,765.00","545.37K","-0.30%"
"25-06-2024","1,780.80","1,741.00","1,789.00","1,730.15","838.90K","2.84%"
"24-06-2024","1,731.60","1,725.00","1,748.10","1,702.05","574.43K","0.83%"
"21-06-2024","1,717.35","1,745.55","1,757.75","1,712.05","395.82K","-1.43%"
"20-06-2024","1,742.25","1,744.05","1,770.25","1,734.20","500.67K","0.10%"
"19-06-2024","1,740.45","1,763.20","1,769.75","1,736.30","248.56K","-0.47%"
"18-06-2024","1,748.70","1,773.80","1,781.80","1,742.00","269.47K","-1.20%"
"14-06-2024","1,770.00","1,792.70","1,802.00","1,764.25","517.87K","-1.27%"
"13-06-2024","1,792.70","1,795.75","1,805.00","1,785.55","441.21K","0.77%"
"12-06-2024","1,778.95","1,757.10","1,800.90","1,757.10","1.27M","1.26%"
"11-06-2024","1,756.80","1,761.00","1,762.00","1,730.00","622.64K","-0.15%"
"10-06-2024","1,759.40","1,777.35","1,789.40","1,742.80","605.85K","-0.78%"
"07-06-2024","1,773.15","1,756.60","1,786.80","1,739.05","432.11K","1.14%"
"06-06-2024","1,753.25","1,740.00","1,810.95","1,740.00","610.39K","0.34%"
"05-06-2024","1,747.35","1,662.00","1,754.90","1,646.00","472.59K","6.11%"
"04-06-2024","1,646.70","1,715.00","1,718.95","1,579.10","1.01M","-3.46%"
"03-06-2024","1,705.70","1,702.00","1,767.05","1,696.90","760.68K","1.32%"
"31-05-2024","1,683.45","1,701.00","1,744.60","1,674.75","2.33M","0.56%"
"30-05-2024","1,674.00","1,735.00","1,741.70","1,666.00","449.89K","-3.73%"
"29-05-2024","1,738.90","1,751.35","1,753.35","1,726.95","378.28K","-0.37%"
"28-05-2024","1,745.40","1,713.60","1,763.00","1,708.40","1.53M","2.17%"
"27-05-2024","1,708.25","1,705.00","1,721.00","1,682.00","1.01M","0.78%"
"24-05-2024","1,694.95","1,720.00","1,720.00","1,681.25","308.95K","-1.37%"
"23-05-2024","1,718.55","1,717.90","1,722.25","1,695.35","327.32K","0.61%"
"22-05-2024","1,708.15","1,692.15","1,715.35","1,683.25","299.57K","0.28%"
"21-05-2024","1,703.40","1,716.00","1,721.75","1,674.05","393.04K","0.00%"
"18-05-2024","1,703.40","1,694.00","1,715.45","1,684.05","32.69K","1.42%"
"17-05-2024","1,679.55","1,708.90","1,708.90","1,670.05","269.11K","-1.01%"
"16-05-2024","1,696.75","1,674.00","1,710.45","1,674.00","657.00K","1.51%"
"15-05-2024","1,671.50","1,677.00","1,689.70","1,662.50","361.55K","-0.35%"
"14-05-2024","1,677.30","1,695.00","1,700.00","1,666.10","300.77K","-0.85%"
"13-05-2024","1,691.70","1,665.95","1,700.00","1,640.80","267.83K","1.71%"
"10-05-2024","1,663.25","1,598.80","1,672.00","1,590.65","515.19K","4.06%"
"09-05-2024","1,598.40","1,570.00","1,648.00","1,509.70","2.84M","-3.67%"
"08-05-2024","1,659.30","1,657.50","1,693.35","1,636.05","509.89K","-0.99%"
