"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,495.80","3,375.60","3,518.20","3,361.05","185.78K","3.56%"
"05-11-2024","3,375.60","3,317.40","3,385.90","3,278.85","84.01K","1.76%"
"04-11-2024","3,317.35","3,330.05","3,340.95","3,266.65","67.33K","-1.24%"
"01-11-2024","3,359.15","3,379.00","3,390.00","3,337.00","13.04K","0.88%"
"31-10-2024","3,329.85","3,340.45","3,348.45","3,280.05","136.98K","-0.14%"
"30-10-2024","3,334.60","3,330.00","3,372.95","3,308.75","76.52K","-0.04%"
"29-10-2024","3,335.80","3,382.45","3,408.85","3,291.10","92.57K","-1.38%"
"28-10-2024","3,382.45","3,302.00","3,400.00","3,289.70","82.76K","2.44%"
"25-10-2024","3,301.75","3,416.50","3,460.00","3,277.30","234.14K","-3.22%"
"24-10-2024","3,411.50","3,368.00","3,545.00","3,368.00","1.12M","3.15%"
"23-10-2024","3,307.45","3,204.00","3,387.95","3,181.30","196.61K","2.68%"
"22-10-2024","3,221.00","3,310.00","3,329.00","3,203.40","309.82K","-2.71%"
"21-10-2024","3,310.80","3,395.00","3,395.65","3,287.00","187.40K","-1.92%"
"18-10-2024","3,375.65","3,329.00","3,384.00","3,282.95","199.53K","1.37%"
"17-10-2024","3,330.00","3,460.00","3,495.85","3,302.00","231.23K","-3.79%"
"16-10-2024","3,461.25","3,359.00","3,478.50","3,341.50","286.79K","3.03%"
"15-10-2024","3,359.30","3,350.00","3,385.25","3,319.50","396.10K","0.20%"
"14-10-2024","3,352.60","3,401.25","3,416.35","3,311.75","302.22K","-0.98%"
"11-10-2024","3,385.70","3,398.00","3,429.40","3,372.85","234.79K","-0.14%"
"10-10-2024","3,390.55","3,369.00","3,435.00","3,369.00","80.49K","0.77%"
"09-10-2024","3,364.65","3,357.00","3,403.00","3,333.55","64.55K","0.62%"
"08-10-2024","3,343.90","3,321.10","3,374.75","3,308.10","46.39K","0.69%"
"07-10-2024","3,321.10","3,419.95","3,445.80","3,308.05","82.66K","-2.87%"
"04-10-2024","3,419.35","3,433.00","3,489.95","3,405.00","138.12K","-1.18%"
"03-10-2024","3,460.25","3,566.00","3,604.75","3,427.05","457.12K","-3.95%"
"01-10-2024","3,602.40","3,445.00","3,612.85","3,433.60","403.89K","4.68%"
"30-09-2024","3,441.35","3,475.00","3,477.00","3,390.85","172.56K","0.35%"
"27-09-2024","3,429.25","3,405.00","3,474.00","3,385.00","197.34K","1.36%"
"26-09-2024","3,383.30","3,379.55","3,390.00","3,332.00","75.86K","0.11%"
"25-09-2024","3,379.55","3,389.95","3,408.70","3,356.10","94.05K","-0.10%"
"24-09-2024","3,383.05","3,380.00","3,421.00","3,366.95","175.79K","0.48%"
"23-09-2024","3,366.90","3,308.00","3,379.50","3,297.40","150.81K","1.88%"
"20-09-2024","3,304.70","3,265.00","3,332.95","3,247.05","219.30K","1.83%"
"19-09-2024","3,245.25","3,230.00","3,263.85","3,160.40","356.39K","0.99%"
"18-09-2024","3,213.30","3,259.65","3,276.85","3,191.00","164.84K","-1.42%"
"17-09-2024","3,259.65","3,282.00","3,295.00","3,247.25","159.59K","-0.43%"
"16-09-2024","3,273.65","3,289.90","3,302.00","3,261.60","98.50K","0.13%"
"13-09-2024","3,269.40","3,295.00","3,316.90","3,262.35","218.55K","-0.28%"
"12-09-2024","3,278.55","3,325.00","3,331.95","3,256.85","201.15K","-0.72%"
"11-09-2024","3,302.20","3,376.10","3,384.00","3,297.00","135.12K","-1.87%"
"10-09-2024","3,365.20","3,333.15","3,411.40","3,333.15","124.01K","0.41%"
"09-09-2024","3,351.45","3,300.00","3,358.75","3,217.60","114.55K","1.61%"
"06-09-2024","3,298.35","3,354.55","3,377.95","3,290.00","174.09K","-1.49%"
"05-09-2024","3,348.35","3,350.00","3,375.00","3,330.25","83.81K","0.35%"
"04-09-2024","3,336.65","3,320.00","3,359.00","3,304.25","87.65K","0.26%"
"03-09-2024","3,328.15","3,288.00","3,347.35","3,288.00","107.63K","0.98%"
"02-09-2024","3,296.00","3,300.75","3,341.00","3,284.00","114.52K","-0.07%"
"30-08-2024","3,298.40","3,310.20","3,322.95","3,278.10","143.37K","0.57%"
"29-08-2024","3,279.70","3,290.95","3,299.00","3,250.00","86.80K","-0.33%"
"28-08-2024","3,290.40","3,300.00","3,308.00","3,263.00","208.94K","0.00%"
"27-08-2024","3,290.45","3,305.45","3,360.00","3,275.50","266.78K","-0.45%"
"26-08-2024","3,305.45","3,290.00","3,318.95","3,290.00","122.17K","0.40%"
"23-08-2024","3,292.20","3,340.00","3,340.00","3,276.60","116.34K","-1.27%"
"22-08-2024","3,334.60","3,312.15","3,384.40","3,312.15","205.88K","0.97%"
"21-08-2024","3,302.65","3,299.90","3,355.40","3,295.95","276.23K","0.41%"
"20-08-2024","3,289.25","3,299.90","3,308.65","3,262.20","91.50K","0.24%"
"19-08-2024","3,281.25","3,325.00","3,350.85","3,272.25","237.93K","-1.31%"
"16-08-2024","3,324.90","3,250.00","3,332.85","3,246.85","156.14K","2.70%"
"14-08-2024","3,237.60","3,277.05","3,309.15","3,226.40","340.28K","-1.20%"
"13-08-2024","3,277.05","3,450.00","3,466.90","3,262.15","449.80K","-5.48%"
"12-08-2024","3,466.90","3,532.15","3,550.00","3,452.00","155.48K","-2.35%"
"09-08-2024","3,550.20","3,592.00","3,630.00","3,535.00","86.25K","0.02%"
"08-08-2024","3,549.45","3,585.00","3,644.00","3,537.25","94.44K","-1.45%"
"07-08-2024","3,601.85","3,515.00","3,620.00","3,502.00","246.05K","3.92%"
"06-08-2024","3,466.00","3,476.50","3,591.95","3,451.60","285.81K","0.29%"
"05-08-2024","3,455.95","3,515.00","3,584.85","3,450.60","186.56K","-4.17%"
"02-08-2024","3,606.20","3,641.00","3,699.00","3,588.00","266.58K","-2.17%"
"01-08-2024","3,686.20","3,790.00","3,790.00","3,660.35","355.65K","-3.02%"
"31-07-2024","3,800.95","3,759.95","3,820.95","3,627.00","983.06K","0.79%"
"30-07-2024","3,771.15","3,588.80","3,799.00","3,588.80","741.21K","5.61%"
"29-07-2024","3,570.80","3,553.00","3,605.95","3,515.00","255.79K","1.14%"
"26-07-2024","3,530.55","3,527.00","3,570.80","3,498.05","158.23K","0.46%"
"25-07-2024","3,514.25","3,517.00","3,527.05","3,451.15","245.30K","-0.49%"
"24-07-2024","3,531.55","3,550.00","3,568.80","3,518.60","188.74K","-0.72%"
"23-07-2024","3,557.00","3,590.70","3,607.75","3,424.90","123.24K","-0.94%"
"22-07-2024","3,590.70","3,508.20","3,615.00","3,494.00","152.75K","1.29%"
"19-07-2024","3,545.10","3,658.00","3,669.95","3,535.00","134.38K","-3.17%"
"18-07-2024","3,661.00","3,679.00","3,696.20","3,626.95","290.14K","-0.12%"
"16-07-2024","3,665.35","3,685.00","3,742.95","3,655.80","300.98K","0.14%"
"15-07-2024","3,660.10","3,636.00","3,690.85","3,631.80","59.15K","0.08%"
"12-07-2024","3,657.20","3,646.55","3,716.95","3,633.10","120.59K","0.31%"
"11-07-2024","3,645.95","3,674.55","3,688.95","3,635.35","87.84K","-0.78%"
"10-07-2024","3,674.55","3,709.95","3,720.00","3,609.00","231.03K","-0.47%"
"09-07-2024","3,691.85","3,700.00","3,728.00","3,667.00","298.78K","0.77%"
"08-07-2024","3,663.55","3,665.60","3,715.80","3,621.10","121.95K","-0.06%"
"05-07-2024","3,665.60","3,659.15","3,722.85","3,626.00","199.45K","0.18%"
"04-07-2024","3,659.15","3,649.80","3,700.00","3,588.50","334.56K","0.96%"
"03-07-2024","3,624.30","3,631.60","3,659.95","3,601.15","166.95K","0.55%"
"02-07-2024","3,604.60","3,629.00","3,695.00","3,596.00","414.90K","-0.45%"
"01-07-2024","3,621.00","3,604.45","3,654.65","3,569.05","266.31K","1.31%"
"28-06-2024","3,574.25","3,624.95","3,672.20","3,561.00","162.42K","-1.09%"
"27-06-2024","3,613.50","3,600.00","3,668.95","3,560.30","200.76K","0.59%"
"26-06-2024","3,592.35","3,539.95","3,639.00","3,537.00","276.82K","1.57%"
"25-06-2024","3,536.85","3,656.10","3,690.00","3,529.00","237.52K","-3.31%"
"24-06-2024","3,657.75","3,690.85","3,719.80","3,612.15","128.57K","-0.90%"
"21-06-2024","3,690.85","3,789.95","3,847.70","3,675.35","444.44K","-2.11%"
"20-06-2024","3,770.25","3,665.00","3,839.00","3,657.75","1.03M","3.64%"
"19-06-2024","3,637.85","3,617.00","3,670.85","3,574.05","365.75K","1.06%"
"18-06-2024","3,599.70","3,535.80","3,606.00","3,535.75","157.43K","1.54%"
"14-06-2024","3,545.25","3,588.00","3,607.95","3,533.00","138.04K","-0.47%"
"13-06-2024","3,562.05","3,548.00","3,592.00","3,520.05","241.26K","1.37%"
"12-06-2024","3,514.05","3,485.00","3,536.95","3,468.05","309.08K","0.83%"
"11-06-2024","3,485.05","3,436.75","3,555.00","3,432.50","470.03K","1.44%"
"10-06-2024","3,435.70","3,340.00","3,448.00","3,315.05","261.42K","3.20%"
"07-06-2024","3,329.25","3,277.05","3,339.95","3,277.00","63.47K","0.30%"
"06-06-2024","3,319.15","3,314.00","3,351.85","3,285.20","87.87K","0.56%"
"05-06-2024","3,300.60","3,087.00","3,315.00","3,075.00","244.47K","8.27%"
"04-06-2024","3,048.45","3,250.00","3,250.00","2,875.95","454.77K","-7.72%"
"03-06-2024","3,303.40","3,275.00","3,393.50","3,160.00","410.02K","3.64%"
"31-05-2024","3,187.40","3,255.40","3,265.00","3,175.70","132.89K","-1.36%"
"30-05-2024","3,231.20","3,295.00","3,314.75","3,212.05","179.96K","-2.50%"
"29-05-2024","3,314.20","3,307.00","3,348.95","3,300.05","146.91K","-0.68%"
"28-05-2024","3,336.85","3,369.90","3,384.95","3,306.15","103.48K","-0.89%"
"27-05-2024","3,366.85","3,350.00","3,401.95","3,330.05","118.08K","0.34%"
"24-05-2024","3,355.55","3,337.20","3,387.00","3,314.15","107.94K","0.75%"
"23-05-2024","3,330.60","3,359.95","3,375.00","3,296.40","109.02K","-0.57%"
"22-05-2024","3,349.85","3,384.90","3,420.00","3,340.30","79.34K","-0.99%"
"21-05-2024","3,383.30","3,435.05","3,461.10","3,378.00","152.04K","-1.36%"
"18-05-2024","3,430.05","3,460.00","3,460.00","3,425.00","24.66K","0.05%"
"17-05-2024","3,428.45","3,326.00","3,434.95","3,315.05","376.38K","3.29%"
"16-05-2024","3,319.30","3,345.00","3,354.95","3,286.90","120.39K","-0.15%"
"15-05-2024","3,324.20","3,435.00","3,458.00","3,301.00","574.23K","-0.36%"
"14-05-2024","3,336.25","3,259.90","3,352.10","3,224.20","165.00K","3.08%"
"13-05-2024","3,236.65","3,230.00","3,267.00","3,170.15","190.35K","-0.34%"
"10-05-2024","3,247.55","3,247.95","3,294.95","3,211.60","206.90K","0.79%"
"09-05-2024","3,222.20","3,425.00","3,425.00","3,210.20","417.65K","-5.55%"
