"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,249.60","1,195.50","1,252.95","1,188.10","400.95K","4.53%"
"05-11-2024","1,195.50","1,211.05","1,211.05","1,185.00","276.56K","-1.30%"
"04-11-2024","1,211.20","1,227.00","1,235.05","1,201.15","352.56K","-2.96%"
"01-11-2024","1,248.20","1,260.00","1,260.00","1,220.10","252.62K","-1.93%"
"31-10-2024","1,272.80","1,231.00","1,284.55","1,225.00","353.16K","4.11%"
"30-10-2024","1,222.55","1,235.90","1,254.00","1,219.75","168.46K","-0.73%"
"29-10-2024","1,231.60","1,249.75","1,253.95","1,213.40","116.15K","-0.84%"
"28-10-2024","1,242.05","1,244.85","1,260.00","1,228.00","216.71K","0.43%"
"25-10-2024","1,236.70","1,236.00","1,245.95","1,220.00","194.21K","0.10%"
"24-10-2024","1,235.45","1,247.60","1,253.35","1,232.30","127.86K","-0.03%"
"23-10-2024","1,235.85","1,264.90","1,266.30","1,221.95","164.10K","-1.90%"
"22-10-2024","1,259.75","1,285.00","1,289.85","1,250.20","433.65K","-1.19%"
"21-10-2024","1,274.90","1,265.00","1,286.20","1,262.20","180.30K","-0.16%"
"18-10-2024","1,276.90","1,275.00","1,290.95","1,250.00","178.77K","-0.48%"
"17-10-2024","1,283.00","1,291.30","1,295.55","1,271.00","160.39K","-0.42%"
"16-10-2024","1,288.35","1,270.00","1,297.50","1,261.00","331.85K","1.46%"
"15-10-2024","1,269.80","1,273.75","1,277.95","1,253.00","161.67K","0.08%"
"14-10-2024","1,268.80","1,237.20","1,276.00","1,230.20","499.89K","3.90%"
"11-10-2024","1,221.20","1,233.20","1,236.00","1,218.40","107.97K","-0.21%"
"10-10-2024","1,223.75","1,223.45","1,237.00","1,220.00","91.77K","0.12%"
"09-10-2024","1,222.25","1,234.55","1,238.80","1,215.00","141.85K","-0.48%"
"08-10-2024","1,228.20","1,220.10","1,234.00","1,211.40","231.13K","-0.24%"
"07-10-2024","1,231.15","1,228.80","1,244.00","1,189.30","395.81K","1.02%"
"04-10-2024","1,218.70","1,231.05","1,232.00","1,200.80","210.70K","-1.00%"
"03-10-2024","1,231.05","1,231.00","1,239.65","1,216.90","230.65K","-0.47%"
"01-10-2024","1,236.90","1,251.05","1,256.20","1,228.70","210.94K","-1.13%"
"30-09-2024","1,251.05","1,225.00","1,257.00","1,208.00","1.22M","3.89%"
"27-09-2024","1,204.25","1,241.00","1,241.00","1,201.45","606.12K","-2.45%"
"26-09-2024","1,234.55","1,254.90","1,265.00","1,220.10","395.84K","-1.59%"
"25-09-2024","1,254.45","1,229.25","1,270.00","1,226.00","402.87K","2.35%"
"24-09-2024","1,225.60","1,241.70","1,248.35","1,214.40","277.45K","-0.32%"
"23-09-2024","1,229.50","1,262.55","1,262.60","1,219.55","350.68K","-1.24%"
"20-09-2024","1,244.90","1,258.80","1,270.00","1,239.55","329.44K","-0.42%"
"19-09-2024","1,250.20","1,270.00","1,275.00","1,230.10","335.42K","-1.86%"
"18-09-2024","1,273.85","1,289.90","1,294.35","1,263.50","186.28K","-0.78%"
"17-09-2024","1,283.85","1,299.00","1,299.00","1,275.00","188.73K","-0.76%"
"16-09-2024","1,293.65","1,314.15","1,317.10","1,290.25","242.34K","-1.04%"
"13-09-2024","1,307.20","1,367.00","1,367.25","1,304.00","846.96K","-4.62%"
"12-09-2024","1,370.45","1,333.00","1,380.00","1,333.00","381.37K","3.23%"
"11-09-2024","1,327.60","1,354.80","1,363.05","1,322.50","276.29K","-1.37%"
"10-09-2024","1,346.00","1,372.60","1,385.40","1,343.00","400.05K","-2.25%"
"09-09-2024","1,377.00","1,357.90","1,392.95","1,332.50","1.23M","2.32%"
"06-09-2024","1,345.80","1,298.00","1,351.50","1,295.15","1.06M","3.72%"
"05-09-2024","1,297.50","1,288.00","1,321.25","1,285.30","379.61K","0.96%"
