"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,447.20","1,432.10","1,449.45","1,419.00","361.56K","1.78%"
"05-11-2024","1,421.95","1,409.00","1,428.00","1,402.70","273.87K","0.92%"
"04-11-2024","1,409.00","1,431.95","1,431.95","1,396.05","275.80K","-1.25%"
"01-11-2024","1,426.90","1,436.95","1,439.80","1,417.00","146.98K","1.71%"
"31-10-2024","1,402.95","1,383.00","1,413.80","1,364.35","343.84K","1.47%"
"30-10-2024","1,382.60","1,346.00","1,391.00","1,345.00","370.16K","3.09%"
"29-10-2024","1,341.15","1,325.00","1,356.75","1,315.10","367.61K","1.35%"
"28-10-2024","1,323.25","1,294.95","1,336.90","1,282.55","404.24K","2.43%"
"25-10-2024","1,291.90","1,347.30","1,353.60","1,287.20","510.97K","-3.60%"
"24-10-2024","1,340.20","1,320.20","1,352.00","1,316.30","232.76K","1.51%"
"23-10-2024","1,320.20","1,312.35","1,354.90","1,310.00","413.97K","-0.59%"
"22-10-2024","1,328.05","1,373.50","1,384.50","1,318.55","574.71K","-3.29%"
"21-10-2024","1,373.30","1,405.05","1,408.65","1,368.25","372.99K","-1.81%"
"18-10-2024","1,398.65","1,392.00","1,403.85","1,365.60","412.88K","0.68%"
"17-10-2024","1,389.20","1,404.00","1,407.45","1,376.25","353.35K","-0.69%"
"16-10-2024","1,398.90","1,392.00","1,411.85","1,386.10","445.61K","0.68%"
"15-10-2024","1,389.40","1,425.00","1,432.90","1,364.00","1.03M","-2.20%"
"14-10-2024","1,420.60","1,443.70","1,448.35","1,415.00","507.42K","-1.09%"
"11-10-2024","1,436.25","1,436.00","1,446.00","1,427.00","366.41K","-0.09%"
"10-10-2024","1,437.50","1,481.10","1,481.70","1,433.55","880.33K","-2.50%"
"09-10-2024","1,474.30","1,433.65","1,484.95","1,431.50","1.57M","3.35%"
"08-10-2024","1,426.50","1,408.70","1,432.00","1,388.50","989.49K","1.77%"
"07-10-2024","1,401.65","1,362.35","1,412.95","1,350.10","2.57M","3.52%"
"04-10-2024","1,353.95","1,361.00","1,386.70","1,345.05","662.09K","-0.64%"
"03-10-2024","1,362.70","1,388.00","1,399.00","1,359.00","681.55K","-2.69%"
"01-10-2024","1,400.30","1,420.00","1,425.00","1,397.00","400.80K","-1.39%"
"30-09-2024","1,420.00","1,423.40","1,449.00","1,402.90","824.83K","0.48%"
"27-09-2024","1,413.15","1,385.85","1,423.00","1,385.85","926.08K","2.19%"
"26-09-2024","1,382.90","1,425.10","1,425.45","1,376.05","842.51K","-2.37%"
"25-09-2024","1,416.40","1,415.90","1,433.90","1,405.00","637.44K","0.15%"
"24-09-2024","1,414.25","1,442.00","1,456.40","1,407.05","957.54K","-1.82%"
"23-09-2024","1,440.40","1,490.60","1,500.70","1,435.00","1.30M","-2.75%"
"20-09-2024","1,481.10","1,515.85","1,528.00","1,471.10","1.03M","-2.24%"
"19-09-2024","1,515.05","1,550.95","1,559.30","1,490.00","914.90K","-1.81%"
"18-09-2024","1,543.05","1,552.80","1,561.70","1,520.55","766.07K","-1.19%"
"17-09-2024","1,561.70","1,577.00","1,583.10","1,558.15","330.38K","-1.02%"
"16-09-2024","1,577.75","1,592.00","1,594.00","1,557.05","472.05K","-0.30%"
"13-09-2024","1,582.50","1,604.40","1,616.00","1,572.00","622.01K","-0.65%"
"12-09-2024","1,592.85","1,605.00","1,639.00","1,566.10","1.33M","0.06%"
"11-09-2024","1,591.95","1,554.40","1,624.00","1,549.40","2.21M","3.00%"
"10-09-2024","1,545.55","1,556.70","1,585.90","1,535.20","762.01K","-0.05%"
"09-09-2024","1,546.25","1,564.40","1,564.40","1,523.05","391.02K","-0.88%"
"06-09-2024","1,559.90","1,562.95","1,577.95","1,532.00","538.96K","0.27%"
"05-09-2024","1,555.75","1,568.05","1,598.00","1,550.00","857.10K","-0.05%"
"04-09-2024","1,556.55","1,518.85","1,569.00","1,503.05","873.33K","1.70%"
"03-09-2024","1,530.60","1,539.50","1,549.40","1,524.00","347.28K","-0.45%"
"02-09-2024","1,537.55","1,550.30","1,550.30","1,530.10","378.09K","0.00%"
"30-08-2024","1,537.55","1,510.00","1,569.90","1,510.00","1.50M","2.56%"
"29-08-2024","1,499.15","1,546.90","1,546.90","1,490.15","764.44K","-2.62%"
"28-08-2024","1,539.50","1,569.00","1,571.00","1,534.05","569.85K","-1.55%"
"27-08-2024","1,563.80","1,574.15","1,579.75","1,550.60","564.39K","-0.01%"
"26-08-2024","1,563.90","1,567.70","1,584.95","1,541.95","1.26M","0.37%"
"23-08-2024","1,558.15","1,558.00","1,580.00","1,520.25","1.50M","0.44%"
"22-08-2024","1,551.35","1,474.00","1,574.90","1,461.95","3.96M","5.39%"
"21-08-2024","1,471.95","1,441.90","1,475.00","1,436.10","847.21K","2.11%"
"20-08-2024","1,441.50","1,468.00","1,483.90","1,425.00","683.16K","-1.11%"
"19-08-2024","1,457.75","1,466.05","1,475.00","1,450.30","492.46K","-0.29%"
"16-08-2024","1,461.95","1,468.10","1,495.40","1,456.85","745.79K","0.21%"
"14-08-2024","1,458.90","1,500.05","1,503.95","1,434.95","1.20M","-1.10%"
"13-08-2024","1,475.10","1,519.20","1,535.80","1,470.00","1.99M","-1.30%"
"12-08-2024","1,494.50","1,439.00","1,539.70","1,420.60","4.53M","3.76%"
"09-08-2024","1,440.35","1,455.00","1,468.05","1,427.00","590.37K","-0.66%"
"08-08-2024","1,449.85","1,423.00","1,463.30","1,412.40","1.26M","2.50%"
"07-08-2024","1,414.50","1,367.00","1,422.00","1,367.00","1.69M","4.65%"
"06-08-2024","1,351.65","1,330.00","1,368.70","1,322.15","875.16K","3.25%"
"05-08-2024","1,309.15","1,350.00","1,356.20","1,291.95","840.33K","-4.28%"
"02-08-2024","1,367.65","1,349.05","1,372.45","1,332.00","591.17K","0.41%"
"01-08-2024","1,362.00","1,363.55","1,377.80","1,352.05","581.64K","0.05%"
"31-07-2024","1,361.35","1,354.40","1,367.45","1,343.00","483.61K","1.02%"
"30-07-2024","1,347.65","1,353.00","1,370.00","1,342.00","641.02K","0.06%"
"29-07-2024","1,346.85","1,349.00","1,384.00","1,331.30","1.10M","0.91%"
"26-07-2024","1,334.65","1,334.70","1,349.00","1,312.00","632.36K","0.82%"
"25-07-2024","1,323.80","1,309.00","1,339.80","1,291.10","959.54K","0.44%"
"24-07-2024","1,318.05","1,249.00","1,325.00","1,244.40","1.18M","4.62%"
"23-07-2024","1,259.80","1,242.30","1,270.00","1,170.40","890.80K","2.69%"
"22-07-2024","1,226.80","1,213.05","1,254.00","1,209.10","692.21K","0.28%"
"19-07-2024","1,223.35","1,260.40","1,260.40","1,212.00","780.59K","-2.94%"
"18-07-2024","1,260.35","1,286.00","1,311.00","1,255.00","2.16M","-1.65%"
"16-07-2024","1,281.45","1,211.40","1,305.00","1,208.40","3.66M","6.07%"
"15-07-2024","1,208.10","1,185.10","1,252.00","1,184.80","1.80M","2.00%"
"12-07-2024","1,184.40","1,190.50","1,203.85","1,178.55","488.14K","-0.15%"
"11-07-2024","1,186.20","1,195.90","1,210.00","1,181.30","446.99K","0.18%"
"10-07-2024","1,184.05","1,203.30","1,216.00","1,166.10","585.28K","-1.32%"
