"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","101.44","97.55","101.89","97.55","9.46M","4.73%"
"05-11-2024","96.86","96.52","97.70","95.27","8.85M","-0.97%"
"04-11-2024","97.81","100.80","101.70","96.45","8.54M","-2.16%"
"01-11-2024","99.97","97.90","100.90","97.55","4.00M","2.86%"
"31-10-2024","97.19","96.80","98.00","95.53","7.12M","0.05%"
"30-10-2024","97.14","93.55","98.86","93.05","14.38M","3.37%"
"29-10-2024","93.97","94.70","95.35","91.18","10.84M","0.71%"
"28-10-2024","93.31","87.56","94.40","85.21","17.79M","6.14%"
"25-10-2024","87.91","91.99","92.54","87.46","12.73M","-4.73%"
"24-10-2024","92.27","94.55","95.50","91.70","10.53M","-2.42%"
"23-10-2024","94.56","96.65","99.59","92.94","13.71M","-2.16%"
"22-10-2024","96.65","101.16","101.50","96.10","15.61M","-5.78%"
"21-10-2024","102.58","107.88","108.39","102.00","6.79M","-4.99%"
"18-10-2024","107.97","108.75","109.55","106.60","4.53M","-2.11%"
"17-10-2024","110.30","112.76","113.23","109.50","3.36M","-2.18%"
"16-10-2024","112.76","112.00","113.65","111.53","4.19M","0.09%"
"15-10-2024","112.66","111.51","113.28","110.68","4.19M","-0.49%"
"14-10-2024","113.22","114.07","114.59","112.00","4.31M","-0.74%"
"11-10-2024","114.06","117.40","117.75","113.75","6.95M","-2.50%"
"10-10-2024","116.98","116.40","118.00","114.03","9.34M","0.71%"
"09-10-2024","116.16","115.65","117.40","115.38","5.61M","0.75%"
"08-10-2024","115.29","115.15","116.00","110.38","7.67M","-0.47%"
"07-10-2024","115.83","118.10","119.80","111.00","22.15M","2.80%"
"04-10-2024","112.67","114.46","116.28","108.75","19.94M","-0.91%"
"03-10-2024","113.71","116.73","118.53","101.50","20.92M","-5.34%"
"01-10-2024","120.13","120.00","121.13","118.47","11.78M","0.50%"
"30-09-2024","119.53","118.67","120.22","116.34","17.61M","1.07%"
"27-09-2024","118.27","113.30","119.60","112.98","20.62M","4.92%"
"26-09-2024","112.73","114.70","115.20","112.00","12.46M","-1.86%"
"25-09-2024","114.87","116.15","116.33","114.67","7.22M","-1.10%"
"24-09-2024","116.15","118.35","118.35","115.73","7.80M","-1.45%"
"23-09-2024","117.85","116.70","119.00","115.74","14.02M","1.56%"
"20-09-2024","116.05","114.93","117.66","113.81","15.03M","1.36%"
"19-09-2024","114.49","117.60","118.27","112.81","15.91M","-1.97%"
"18-09-2024","116.79","118.40","119.63","116.53","10.48M","-1.67%"
"17-09-2024","118.78","117.20","119.93","115.77","15.52M","1.03%"
"16-09-2024","117.57","119.67","120.22","117.34","11.99M","-1.62%"
"13-09-2024","119.51","120.70","122.27","119.05","16.97M","-0.60%"
