"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","308.30","309.00","311.85","305.00","1.84M","0.54%"
"05-11-2024","306.65","306.90","309.95","304.15","1.88M","-0.57%"
"04-11-2024","308.40","317.70","317.70","307.00","4.08M","-1.34%"
"01-11-2024","312.60","317.95","317.95","311.35","2.69M","4.62%"
"31-10-2024","298.80","292.30","301.40","292.30","4.04M","2.22%"
"30-10-2024","292.30","292.05","296.70","290.80","2.04M","-0.12%"
"29-10-2024","292.65","281.50","295.00","274.30","4.23M","3.48%"
"28-10-2024","282.80","278.00","285.45","270.65","2.99M","1.87%"
"25-10-2024","277.60","288.00","289.75","272.30","3.46M","-3.74%"
"24-10-2024","288.40","290.05","292.80","283.55","2.46M","-0.21%"
"23-10-2024","289.00","292.00","295.90","282.00","2.64M","-0.93%"
"22-10-2024","291.70","300.85","303.35","288.40","2.45M","-3.79%"
"21-10-2024","303.20","311.00","311.90","301.35","1.23M","-2.48%"
"18-10-2024","310.90","310.60","312.90","302.75","1.48M","0.10%"
"17-10-2024","310.60","310.80","311.95","305.00","2.55M","0.36%"
"16-10-2024","309.50","300.40","310.95","300.35","3.70M","3.01%"
"15-10-2024","300.45","296.50","305.30","296.50","2.12M","1.45%"
"14-10-2024","296.15","299.00","301.30","295.20","1.49M","-0.77%"
"11-10-2024","298.45","301.80","302.45","296.85","1.90M","-1.11%"
"10-10-2024","301.80","300.15","311.95","300.15","6.26M","0.97%"
"09-10-2024","298.90","302.00","305.20","297.10","1.26M","-0.57%"
"08-10-2024","300.60","294.65","302.60","289.15","1.93M","1.14%"
"07-10-2024","297.20","302.05","303.00","289.25","3.65M","-1.10%"
"04-10-2024","300.50","300.50","304.40","291.65","2.78M","-0.15%"
"03-10-2024","300.95","300.35","307.80","296.05","3.80M","-1.12%"
"01-10-2024","304.35","301.75","310.45","301.10","4.66M","0.86%"
"30-09-2024","301.75","297.30","306.90","293.05","5.34M","-0.21%"
"27-09-2024","302.40","305.95","309.80","300.00","3.03M","-1.29%"
"26-09-2024","306.35","309.60","309.90","303.30","3.32M","-0.75%"
"25-09-2024","308.65","310.95","312.90","304.45","2.23M","-0.72%"
"24-09-2024","310.90","315.45","316.45","310.20","1.77M","-1.38%"
"23-09-2024","315.25","316.00","317.20","314.30","1.97M","0.10%"
"20-09-2024","314.95","306.80","316.00","306.10","4.39M","3.06%"
"19-09-2024","305.60","313.80","316.80","299.10","4.08M","-2.15%"
"18-09-2024","312.30","314.55","316.25","310.95","1.26M","-0.94%"
"17-09-2024","315.25","312.00","316.00","309.20","2.49M","1.40%"
"16-09-2024","310.90","317.05","317.40","310.30","2.11M","-1.83%"
"13-09-2024","316.70","318.95","322.00","314.95","1.82M","-0.31%"
"12-09-2024","317.70","312.70","318.70","312.70","1.47M","2.24%"
"11-09-2024","310.75","317.10","320.30","310.00","2.18M","-2.00%"
"10-09-2024","317.10","311.95","318.65","311.55","2.42M","2.17%"
"09-09-2024","310.35","315.95","316.20","308.10","3.15M","-1.83%"
"06-09-2024","316.15","326.40","326.90","314.30","4.04M","-3.01%"
"05-09-2024","325.95","325.00","330.80","323.25","5.09M","0.38%"
"04-09-2024","324.70","323.00","327.20","320.70","2.52M","0.08%"
"03-09-2024","324.45","322.80","327.30","322.25","2.33M","0.71%"
"02-09-2024","322.15","322.50","328.00","320.30","4.10M","0.97%"
"30-08-2024","319.05","320.35","323.55","317.00","2.25M","-0.27%"
"29-08-2024","319.90","323.45","326.20","318.10","2.12M","-1.10%"
"28-08-2024","323.45","328.00","328.10","322.75","2.41M","-1.10%"
"27-08-2024","327.05","321.05","327.95","320.85","3.14M","1.87%"
"26-08-2024","321.05","325.00","325.00","320.20","2.63M","-0.77%"
"23-08-2024","323.55","321.00","326.70","318.80","3.32M","0.81%"
"22-08-2024","320.95","321.00","324.00","318.75","2.95M","0.19%"
"21-08-2024","320.35","319.35","323.85","316.40","3.31M","0.77%"
"20-08-2024","317.90","328.40","328.40","317.40","5.33M","-2.99%"
"19-08-2024","327.70","315.00","329.60","312.25","8.24M","5.76%"
"16-08-2024","309.85","313.00","317.30","308.50","5.46M","-0.03%"
