"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","86.12","83.65","86.50","83.63","2.24M","3.00%"
"05-11-2024","83.61","84.50","85.05","83.10","1.38M","-1.32%"
"04-11-2024","84.73","85.65","86.89","84.00","1.79M","-1.67%"
"01-11-2024","86.17","86.40","87.50","85.00","863.68K","-0.27%"
"31-10-2024","86.40","81.00","87.45","80.56","5.33M","6.52%"
"30-10-2024","81.11","78.95","82.50","78.25","2.24M","3.17%"
"29-10-2024","78.62","77.40","78.97","76.60","1.17M","2.10%"
"28-10-2024","77.00","77.55","78.83","76.00","1.54M","0.80%"
"25-10-2024","76.39","78.38","78.77","74.43","1.92M","-2.63%"
"24-10-2024","78.45","78.74","80.35","77.86","1.38M","-0.86%"
"23-10-2024","79.13","76.19","79.79","75.10","3.24M","4.01%"
"22-10-2024","76.08","79.99","80.71","75.22","3.01M","-4.90%"
"21-10-2024","80.00","82.00","84.60","79.55","4.32M","-2.06%"
"18-10-2024","81.68","82.30","83.23","80.05","3.01M","-0.17%"
"17-10-2024","81.82","85.45","85.84","81.25","3.23M","-4.82%"
"16-10-2024","85.96","86.10","86.89","84.47","4.73M","-1.30%"
"15-10-2024","87.09","79.30","88.62","78.96","34.11M","10.10%"
"14-10-2024","79.10","81.36","81.36","78.55","3.12M","-2.78%"
"11-10-2024","81.36","76.26","82.00","76.26","7.41M","6.69%"
"10-10-2024","76.26","77.51","78.46","76.00","1.42M","-1.45%"
"09-10-2024","77.38","76.00","79.39","76.00","2.60M","2.15%"
"08-10-2024","75.75","73.94","76.35","72.51","3.47M","2.36%"
"07-10-2024","74.00","79.97","80.00","73.06","3.78M","-5.55%"
"04-10-2024","78.35","80.30","80.30","77.81","2.59M","-2.49%"
"03-10-2024","80.35","80.99","81.50","80.00","1.59M","-2.10%"
"01-10-2024","82.07","81.95","82.70","81.38","1.97M","0.12%"
"30-09-2024","81.97","82.83","83.08","80.45","2.56M","0.04%"
"27-09-2024","81.94","82.50","83.05","81.23","2.32M","-0.33%"
"26-09-2024","82.21","82.22","86.00","82.00","5.63M","0.78%"
"25-09-2024","81.57","82.40","82.50","80.80","2.04M","-0.65%"
"24-09-2024","82.10","83.88","83.88","81.90","2.22M","-1.51%"
"23-09-2024","83.36","84.97","85.44","83.01","2.58M","-1.13%"
"20-09-2024","84.31","84.50","86.49","83.86","2.97M","0.68%"
"19-09-2024","83.74","90.89","91.17","83.01","4.69M","-7.37%"
"18-09-2024","90.40","90.20","91.88","89.33","1.81M","0.32%"
"17-09-2024","90.11","90.55","91.67","89.60","1.17M","-1.61%"
"16-09-2024","91.58","89.00","92.10","88.50","2.87M","3.26%"
"13-09-2024","88.69","89.10","90.90","88.36","2.34M","-0.20%"
"12-09-2024","88.87","89.01","89.93","88.21","1.34M","0.43%"
"11-09-2024","88.49","90.60","91.30","87.55","2.36M","-2.10%"
"10-09-2024","90.39","90.10","91.29","89.54","2.06M","1.18%"
"09-09-2024","89.34","90.04","90.44","88.19","2.26M","-0.39%"
"06-09-2024","89.69","92.75","93.59","88.64","3.97M","-2.52%"
"05-09-2024","92.01","91.80","94.59","91.43","3.44M","0.27%"
"04-09-2024","91.76","92.45","93.28","90.80","3.39M","-1.40%"
"03-09-2024","93.06","94.50","95.46","92.81","2.92M","-1.30%"
"02-09-2024","94.29","95.16","95.20","93.28","3.57M","-0.91%"
"30-08-2024","95.16","100.00","100.85","93.52","12.61M","-4.28%"
