"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,799.45","2,679.80","2,848.45","2,679.80","418.04K","5.45%"
"05-11-2024","2,654.80","2,630.35","2,680.60","2,620.00","74.40K","0.44%"
"04-11-2024","2,643.20","2,715.05","2,739.00","2,621.00","144.98K","-2.70%"
"01-11-2024","2,716.55","2,745.00","2,745.00","2,708.00","35.20K","0.70%"
"31-10-2024","2,697.80","2,669.00","2,720.95","2,648.05","81.11K","1.68%"
"30-10-2024","2,653.25","2,530.00","2,698.90","2,511.05","182.57K","4.87%"
"29-10-2024","2,530.05","2,561.90","2,568.55","2,510.00","68.19K","-0.78%"
"28-10-2024","2,549.90","2,519.95","2,586.00","2,499.05","101.35K","1.51%"
"25-10-2024","2,511.95","2,605.00","2,605.00","2,475.00","142.52K","-2.99%"
"24-10-2024","2,589.45","2,640.15","2,668.00","2,564.50","191.66K","-1.47%"
"23-10-2024","2,628.00","2,630.00","2,744.95","2,590.00","285.19K","0.05%"
"22-10-2024","2,626.80","2,745.00","2,760.00","2,607.35","242.43K","-4.33%"
"21-10-2024","2,745.70","2,878.70","2,949.80","2,725.00","966.60K","2.39%"
"18-10-2024","2,681.65","2,580.20","2,698.00","2,489.95","217.45K","3.75%"
"17-10-2024","2,584.75","2,605.00","2,620.00","2,541.00","82.08K","-0.35%"
"16-10-2024","2,593.70","2,670.00","2,699.00","2,580.40","117.54K","-3.01%"
"15-10-2024","2,674.30","2,619.05","2,699.50","2,611.90","292.37K","2.51%"
"14-10-2024","2,608.75","2,623.95","2,650.00","2,592.00","146.27K","-0.24%"
"11-10-2024","2,615.10","2,449.00","2,692.65","2,421.05","491.13K","6.83%"
"10-10-2024","2,447.90","2,469.00","2,469.95","2,415.00","77.89K","-0.05%"
"09-10-2024","2,449.20","2,481.25","2,498.00","2,431.25","93.49K","-0.75%"
"08-10-2024","2,467.60","2,447.10","2,513.65","2,416.45","116.16K","0.84%"
"07-10-2024","2,447.10","2,540.00","2,640.40","2,416.15","374.24K","-2.65%"
"04-10-2024","2,513.65","2,396.20","2,635.80","2,356.00","433.31K","4.90%"
"03-10-2024","2,396.20","2,433.00","2,508.70","2,390.00","187.94K","-4.48%"
"01-10-2024","2,508.70","2,528.95","2,548.00","2,425.75","129.93K","-0.44%"
"30-09-2024","2,519.75","2,548.00","2,548.00","2,502.05","77.35K","-1.11%"
"27-09-2024","2,548.15","2,579.90","2,612.30","2,534.05","124.46K","-0.13%"
"26-09-2024","2,551.45","2,575.00","2,619.00","2,535.20","85.67K","-0.45%"
"25-09-2024","2,563.05","2,638.75","2,662.50","2,481.05","183.06K","-2.59%"
"24-09-2024","2,631.25","2,600.00","2,664.95","2,576.00","105.75K","0.57%"
"23-09-2024","2,616.25","2,673.00","2,705.85","2,585.10","105.65K","-2.46%"
"20-09-2024","2,682.35","2,676.00","2,725.00","2,621.00","118.55K","0.77%"
"19-09-2024","2,661.80","2,704.95","2,741.80","2,570.00","202.79K","-0.64%"
"18-09-2024","2,678.90","2,778.85","2,823.50","2,660.05","153.85K","-3.33%"
"17-09-2024","2,771.25","2,794.75","2,870.00","2,757.55","139.10K","-0.48%"
"16-09-2024","2,784.70","2,725.00","2,828.80","2,702.00","196.17K","2.76%"
"13-09-2024","2,709.80","2,733.05","2,748.60","2,700.00","53.10K","-0.35%"
"12-09-2024","2,719.25","2,730.45","2,774.90","2,690.00","124.08K","0.71%"
"11-09-2024","2,700.10","2,723.00","2,818.75","2,674.60","136.41K","-0.51%"
"10-09-2024","2,713.90","2,710.00","2,740.35","2,673.00","98.20K","0.51%"
"09-09-2024","2,700.00","2,609.95","2,776.00","2,541.90","261.65K","3.43%"
"06-09-2024","2,610.40","2,642.00","2,706.20","2,600.00","91.68K","-1.18%"
"05-09-2024","2,641.70","2,681.00","2,727.90","2,628.10","70.47K","-1.45%"
"04-09-2024","2,680.65","2,710.00","2,738.95","2,670.05","105.21K","-2.56%"
"03-09-2024","2,751.05","2,800.00","2,800.80","2,740.55","92.67K","-1.26%"
"02-09-2024","2,786.20","2,805.00","2,925.00","2,756.00","414.44K","2.38%"
"30-08-2024","2,721.45","2,582.45","2,740.00","2,549.30","317.58K","5.55%"
"29-08-2024","2,578.30","2,587.95","2,626.05","2,538.05","95.37K","-0.14%"
"28-08-2024","2,581.85","2,626.95","2,655.95","2,567.00","90.91K","-1.38%"
"27-08-2024","2,618.00","2,691.00","2,709.00","2,608.05","111.80K","-2.60%"
"26-08-2024","2,687.75","2,552.00","2,744.80","2,486.00","438.34K","6.43%"
"23-08-2024","2,525.40","2,494.00","2,549.90","2,460.25","80.53K","1.52%"
"22-08-2024","2,487.50","2,515.00","2,556.00","2,475.00","65.70K","-0.72%"
"21-08-2024","2,505.60","2,560.00","2,600.00","2,485.15","122.41K","-1.45%"
"20-08-2024","2,542.50","2,459.40","2,664.80","2,440.05","406.11K","4.83%"
"19-08-2024","2,425.45","2,328.45","2,455.00","2,328.45","123.27K","5.00%"
"16-08-2024","2,310.00","2,222.25","2,334.20","2,200.50","176.78K","4.62%"
"14-08-2024","2,208.00","2,302.95","2,315.00","2,199.00","119.50K","-4.13%"
"13-08-2024","2,303.00","2,399.90","2,449.00","2,273.05","208.08K","-3.47%"
"12-08-2024","2,385.70","2,286.00","2,398.00","2,255.00","128.93K","4.35%"
"09-08-2024","2,286.25","2,292.00","2,303.55","2,235.65","128.13K","0.84%"
"08-08-2024","2,267.10","2,275.00","2,278.00","2,234.55","92.19K","-0.56%"
"07-08-2024","2,279.85","2,208.95","2,294.00","2,142.75","232.74K","4.86%"
"06-08-2024","2,174.15","2,274.95","2,282.30","2,108.00","398.82K","-3.35%"
"05-08-2024","2,249.55","2,316.95","2,335.00","2,235.00","206.44K","-4.11%"
"02-08-2024","2,346.05","2,210.00","2,421.00","2,210.00","361.72K","4.06%"
"01-08-2024","2,254.60","2,325.00","2,350.00","2,250.00","85.56K","-2.34%"
"31-07-2024","2,308.55","2,322.00","2,358.00","2,305.00","65.42K","-0.93%"
"30-07-2024","2,330.15","2,340.40","2,368.85","2,325.05","50.54K","-0.44%"
"29-07-2024","2,340.35","2,407.95","2,409.00","2,325.55","102.54K","-2.00%"
"26-07-2024","2,388.00","2,379.70","2,400.00","2,342.05","72.48K","0.75%"
"25-07-2024","2,370.20","2,385.00","2,435.05","2,360.00","91.75K","-1.99%"
"24-07-2024","2,418.25","2,392.00","2,486.05","2,381.70","205.24K","1.20%"
"23-07-2024","2,389.60","2,451.05","2,455.80","2,300.00","173.33K","-2.07%"
"22-07-2024","2,440.05","2,381.00","2,489.80","2,291.15","352.98K","2.22%"
"19-07-2024","2,387.00","2,412.20","2,429.95","2,361.05","101.46K","-2.05%"
"18-07-2024","2,437.00","2,450.00","2,500.00","2,417.40","138.24K","-1.48%"
"16-07-2024","2,473.70","2,400.20","2,550.00","2,397.35","163.18K","3.04%"
"15-07-2024","2,400.65","2,510.00","2,515.00","2,391.00","260.93K","-2.89%"
"12-07-2024","2,472.00","2,542.80","2,573.75","2,413.95","180.74K","-2.78%"
"11-07-2024","2,542.80","2,650.00","2,650.00","2,521.45","130.56K","-1.08%"
"10-07-2024","2,570.65","2,660.30","2,665.00","2,530.05","126.03K","-3.37%"
"09-07-2024","2,660.30","2,695.65","2,732.00","2,644.95","160.66K","-0.94%"
"08-07-2024","2,685.65","2,670.00","2,760.00","2,650.05","177.44K","1.67%"
"05-07-2024","2,641.60","2,679.95","2,679.95","2,593.15","145.33K","0.57%"
"04-07-2024","2,626.60","2,665.00","2,676.75","2,612.60","80.75K","0.63%"
"03-07-2024","2,610.05","2,705.00","2,710.00","2,600.05","124.55K","-2.38%"
"02-07-2024","2,673.75","2,687.00","2,700.00","2,640.45","106.70K","0.37%"
"01-07-2024","2,663.80","2,600.10","2,771.95","2,598.05","282.82K","2.67%"
"28-06-2024","2,594.45","2,593.55","2,643.40","2,551.30","93.60K","0.04%"
"27-06-2024","2,593.35","2,610.00","2,649.70","2,575.05","111.97K","-0.47%"
"26-06-2024","2,605.50","2,599.50","2,623.00","2,559.00","110.15K","1.83%"
"25-06-2024","2,558.80","2,589.50","2,641.00","2,550.00","119.04K","-1.19%"
"24-06-2024","2,589.50","2,555.40","2,606.45","2,499.55","126.75K","1.33%"
"21-06-2024","2,555.40","2,572.00","2,606.45","2,500.00","126.11K","-0.52%"
