"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,313.40","1,287.10","1,319.70","1,272.25","286.76K","2.62%"
"05-11-2024","1,279.85","1,280.00","1,294.30","1,271.05","61.44K","-0.41%"
"04-11-2024","1,285.15","1,297.00","1,310.95","1,270.15","227.09K","-0.49%"
"01-11-2024","1,291.45","1,283.80","1,302.60","1,283.75","42.90K","0.60%"
"31-10-2024","1,283.75","1,230.95","1,290.00","1,214.70","245.52K","4.13%"
"30-10-2024","1,232.85","1,204.50","1,252.00","1,203.85","132.75K","2.41%"
"29-10-2024","1,203.85","1,231.00","1,237.95","1,188.65","121.28K","-2.17%"
"28-10-2024","1,230.50","1,225.00","1,238.70","1,202.65","118.45K","0.37%"
"25-10-2024","1,225.95","1,246.00","1,284.00","1,215.45","196.59K","-3.34%"
"24-10-2024","1,268.30","1,240.05","1,284.80","1,240.05","263.04K","2.78%"
"23-10-2024","1,234.00","1,187.00","1,270.00","1,180.10","375.86K","3.86%"
"22-10-2024","1,188.10","1,251.25","1,262.75","1,175.05","399.26K","-5.99%"
"21-10-2024","1,263.85","1,267.85","1,291.95","1,249.05","229.75K","0.49%"
"18-10-2024","1,257.65","1,240.00","1,269.85","1,213.50","242.52K","1.06%"
"17-10-2024","1,244.40","1,277.65","1,291.35","1,237.25","286.15K","-1.98%"
"16-10-2024","1,269.55","1,320.00","1,344.00","1,260.95","1.13M","-2.04%"
"15-10-2024","1,296.00","1,359.90","1,397.70","1,243.00","2.53M","-4.06%"
"14-10-2024","1,350.85","1,383.00","1,409.50","1,341.70","505.92K","-1.63%"
"11-10-2024","1,373.30","1,318.90","1,401.95","1,315.05","535.30K","4.51%"
"10-10-2024","1,314.05","1,281.15","1,336.95","1,281.15","301.96K","3.51%"
"09-10-2024","1,269.50","1,257.00","1,314.90","1,244.05","295.22K","1.62%"
"08-10-2024","1,249.30","1,245.00","1,300.00","1,232.10","387.96K","-0.57%"
"07-10-2024","1,256.40","1,298.00","1,368.00","1,248.00","534.63K","-2.93%"
