"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","736.80","715.40","745.00","709.00","1.47M","2.64%"
"05-11-2024","717.85","704.80","719.95","700.25","954.87K","2.08%"
"04-11-2024","703.20","715.60","715.60","695.35","890.26K","-1.44%"
"01-11-2024","713.45","712.00","720.00","710.00","177.78K","0.74%"
"31-10-2024","708.20","686.35","710.00","685.95","1.31M","3.13%"
"30-10-2024","686.70","671.60","696.95","668.00","982.75K","2.39%"
"29-10-2024","670.70","679.90","683.45","663.90","882.10K","-1.05%"
"28-10-2024","677.80","684.05","703.45","670.55","838.24K","-0.55%"
"25-10-2024","681.55","697.95","740.00","670.00","4.60M","0.35%"
"24-10-2024","679.20","690.00","693.95","663.10","944.05K","-1.58%"
"23-10-2024","690.10","660.00","694.90","655.10","1.22M","4.59%"
"22-10-2024","659.80","704.95","707.70","655.00","1.28M","-5.93%"
"21-10-2024","701.40","703.40","716.30","698.00","461.54K","-0.28%"
"18-10-2024","703.40","706.95","715.90","688.95","900.55K","-0.59%"
"17-10-2024","707.60","720.00","726.95","699.90","623.53K","-1.54%"
"16-10-2024","718.70","707.10","748.60","704.00","4.22M","1.65%"
"15-10-2024","707.05","702.00","715.00","697.20","1.01M","1.43%"
"14-10-2024","697.10","700.25","709.85","684.75","1.15M","-0.45%"
"11-10-2024","700.25","646.25","708.45","644.30","3.74M","9.19%"
"10-10-2024","641.30","649.90","654.20","639.00","799.78K","-0.59%"
"09-10-2024","645.10","648.00","657.95","641.40","1.50M","1.84%"
"08-10-2024","633.45","630.00","640.00","625.00","935.89K","0.38%"
"07-10-2024","631.05","669.00","669.00","628.00","906.03K","-4.28%"
"04-10-2024","659.25","666.00","680.95","652.45","1.23M","0.03%"
"03-10-2024","659.05","671.60","678.90","653.50","1.08M","-3.82%"
"01-10-2024","685.25","655.40","690.60","653.25","1.08M","5.17%"
"30-09-2024","651.55","661.45","664.70","647.35","477.69K","-0.95%"
"27-09-2024","657.80","674.25","687.65","650.30","1.64M","-2.44%"
"26-09-2024","674.25","690.45","690.45","668.00","691.64K","-2.05%"
"25-09-2024","688.35","690.00","698.00","685.35","608.34K","0.86%"
"24-09-2024","682.50","694.05","696.00","680.60","493.51K","-1.71%"
"23-09-2024","694.40","671.05","697.95","667.20","1.42M","4.38%"
"20-09-2024","665.25","659.90","670.55","651.15","1.34M","1.99%"
