"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","261.25","255.95","262.00","255.05","988.09K","2.07%"
"05-11-2024","255.95","252.10","257.90","250.50","773.89K","0.61%"
"04-11-2024","254.40","258.50","259.20","248.40","790.28K","-1.61%"
"01-11-2024","258.55","257.50","261.10","257.00","185.86K","0.41%"
"31-10-2024","257.50","252.80","258.70","249.45","894.48K","2.37%"
"30-10-2024","251.55","250.30","254.75","248.10","631.40K","0.50%"
"29-10-2024","250.30","247.15","253.00","244.50","820.66K","1.27%"
"28-10-2024","247.15","233.50","248.50","231.65","1.94M","3.32%"
"25-10-2024","239.20","244.10","246.25","234.30","2.88M","-1.95%"
"24-10-2024","243.95","247.00","254.20","242.00","2.94M","0.23%"
"23-10-2024","243.40","240.65","246.95","234.20","1.55M","1.00%"
"22-10-2024","241.00","257.85","258.65","238.00","1.59M","-6.77%"
"21-10-2024","258.50","265.00","265.05","256.00","1.37M","-2.42%"
"18-10-2024","264.90","260.00","265.20","253.00","1.45M","1.16%"
"17-10-2024","261.85","267.20","268.10","260.65","915.57K","-2.02%"
"16-10-2024","267.25","269.20","271.35","266.10","1.12M","-0.80%"
"15-10-2024","269.40","267.75","270.95","265.00","1.20M","0.77%"
"14-10-2024","267.35","266.15","268.65","264.05","937.96K","0.47%"
"11-10-2024","266.10","269.75","273.05","264.90","949.88K","-1.37%"
"10-10-2024","269.80","274.30","276.80","269.40","884.46K","-1.17%"
"09-10-2024","273.00","274.90","279.90","272.10","1.39M","-0.44%"
"08-10-2024","274.20","261.95","275.70","257.25","2.84M","3.77%"
"07-10-2024","264.25","276.95","277.00","259.00","3.46M","-4.38%"
"04-10-2024","276.35","283.00","284.20","273.50","2.62M","-2.33%"
"03-10-2024","282.95","280.00","296.80","279.05","6.45M","-2.13%"
"01-10-2024","289.10","282.50","291.00","281.60","4.03M","2.34%"
"30-09-2024","282.50","288.20","294.50","280.35","5.06M","-2.38%"
"27-09-2024","289.40","276.80","292.00","276.15","6.73M","4.89%"
"26-09-2024","275.90","285.50","286.50","274.25","2.66M","-3.02%"
"25-09-2024","284.50","288.20","292.40","280.90","3.76M","-0.94%"
"24-09-2024","287.20","273.00","290.00","273.00","7.92M","5.26%"
"23-09-2024","272.85","271.20","275.00","267.75","1.71M","1.41%"
"20-09-2024","269.05","263.10","273.00","258.50","7.55M","2.05%"
"19-09-2024","263.65","270.00","271.75","258.50","2.10M","-2.04%"
"18-09-2024","269.15","272.45","273.90","268.00","1.24M","-0.99%"
"17-09-2024","271.85","268.45","275.70","268.40","3.31M","1.12%"
"16-09-2024","268.85","272.00","274.85","267.50","1.49M","-0.35%"
"13-09-2024","269.80","267.45","276.25","267.45","3.15M","1.60%"
"12-09-2024","265.55","270.00","271.35","259.40","3.39M","-0.52%"
"11-09-2024","266.95","271.50","274.40","266.10","2.01M","-0.91%"
"10-09-2024","269.40","263.10","271.95","263.00","2.31M","3.02%"
"09-09-2024","261.50","269.90","269.90","258.85","3.66M","-2.84%"
"06-09-2024","269.15","286.45","287.90","266.95","8.63M","-4.15%"
"05-09-2024","280.80","272.55","282.10","272.00","3.64M","3.25%"
