"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","241.06","237.74","241.80","230.30","17.29M","2.70%"
"05-11-2024","234.73","226.46","236.50","226.30","22.37M","3.63%"
"04-11-2024","226.50","224.68","227.50","222.15","15.11M","1.64%"
"01-11-2024","222.84","223.50","224.88","221.70","946.02K","0.44%"
"31-10-2024","221.87","224.35","225.09","218.65","10.79M","-1.07%"
"30-10-2024","224.26","224.60","228.14","223.55","3.83M","-0.83%"
"29-10-2024","226.14","227.20","228.75","216.61","11.12M","-0.80%"
"28-10-2024","227.96","218.90","229.15","215.05","13.85M","4.65%"
"25-10-2024","217.83","216.49","219.17","210.00","17.08M","0.92%"
"24-10-2024","215.85","217.00","220.40","215.03","5.69M","-1.11%"
"23-10-2024","218.28","220.00","225.29","217.40","16.20M","1.33%"
"22-10-2024","215.41","225.00","226.27","214.10","6.71M","-4.51%"
"21-10-2024","225.59","231.50","233.80","224.50","5.99M","-2.53%"
"18-10-2024","231.44","222.65","232.40","219.65","10.45M","3.31%"
"17-10-2024","224.02","232.95","232.95","222.04","10.50M","-3.19%"
"16-10-2024","231.40","232.00","234.06","229.76","9.65M","-0.29%"
"15-10-2024","232.08","238.00","238.13","231.17","7.23M","-2.10%"
"14-10-2024","237.05","234.00","239.00","233.84","10.59M","1.44%"
"11-10-2024","233.68","226.36","235.54","226.36","15.86M","3.23%"
"10-10-2024","226.36","225.50","231.17","225.35","9.32M","0.97%"
"09-10-2024","224.18","221.68","228.35","214.25","24.24M","2.37%"
"08-10-2024","218.99","224.00","224.22","211.00","31.17M","-4.26%"
"07-10-2024","228.74","238.25","241.72","225.15","13.25M","-3.31%"
"04-10-2024","236.56","238.00","242.00","234.10","8.93M","-1.19%"
"03-10-2024","239.40","238.13","245.40","236.74","15.02M","-2.10%"
"01-10-2024","244.53","244.75","247.40","239.40","16.31M","-0.16%"
"30-09-2024","244.91","243.00","247.20","240.10","44.96M","4.14%"
"27-09-2024","235.18","237.19","239.80","234.30","17.80M","0.38%"
"26-09-2024","234.29","225.75","235.26","221.89","27.22M","3.76%"
"25-09-2024","225.80","225.80","229.20","224.80","14.74M","0.84%"
"24-09-2024","223.93","218.90","225.63","218.05","23.61M","3.96%"
"23-09-2024","215.39","213.19","216.00","212.15","5.90M","1.34%"
"20-09-2024","212.54","214.00","218.30","211.82","14.32M","0.08%"
"19-09-2024","212.38","212.68","215.02","205.68","9.43M","0.12%"
"18-09-2024","212.12","214.10","214.28","209.45","6.95M","-1.18%"
"17-09-2024","214.66","218.68","219.43","213.64","4.78M","-2.03%"
"16-09-2024","219.10","221.70","223.50","218.56","8.21M","-0.72%"
