"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","408.90","406.70","410.80","403.15","9.70M","1.44%"
"05-11-2024","403.10","400.00","404.10","397.15","6.67M","0.54%"
"04-11-2024","400.95","413.85","414.30","393.70","13.87M","-2.53%"
"01-11-2024","411.35","412.00","415.45","410.35","2.15M","0.78%"
"31-10-2024","408.15","409.00","410.65","403.50","12.20M","-0.09%"
"30-10-2024","408.50","414.15","414.80","405.80","12.26M","-0.89%"
"29-10-2024","412.15","409.00","414.30","404.45","20.28M","2.04%"
"28-10-2024","403.90","398.90","406.50","397.80","11.72M","1.25%"
"25-10-2024","398.90","402.50","407.50","391.60","19.64M","-3.16%"
"24-10-2024","411.90","409.25","415.25","406.80","9.40M","0.88%"
"23-10-2024","408.30","414.00","414.75","401.70","22.52M","-1.79%"
"22-10-2024","415.75","422.85","426.30","413.45","14.24M","-2.18%"
"21-10-2024","425.00","426.05","428.75","419.10","9.14M","0.01%"
"18-10-2024","424.95","417.70","425.95","414.45","8.83M","1.72%"
"17-10-2024","417.75","423.65","425.60","416.60","11.97M","-1.53%"
"16-10-2024","424.25","425.30","429.40","421.25","6.22M","-0.55%"
"15-10-2024","426.60","426.65","427.20","423.55","9.37M","0.49%"
"14-10-2024","424.50","424.60","426.00","420.00","8.48M","0.47%"
"11-10-2024","422.50","423.95","426.65","419.60","8.64M","-0.05%"
"10-10-2024","422.70","420.70","429.90","420.50","15.87M","1.02%"
"09-10-2024","418.45","424.45","424.75","417.00","13.92M","-0.59%"
"08-10-2024","420.95","414.00","427.70","411.30","18.71M","1.32%"
"07-10-2024","415.45","430.60","433.00","409.05","23.43M","-3.48%"
