"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","356.60","354.55","358.00","352.00","91.06K","0.58%"
"05-11-2024","354.55","356.50","358.40","353.00","67.60K","-1.09%"
"04-11-2024","358.45","361.00","361.00","353.05","253.41K","-0.62%"
"01-11-2024","360.70","354.35","362.65","353.70","140.98K","2.27%"
"31-10-2024","352.70","343.50","358.75","341.75","255.89K","2.50%"
"30-10-2024","344.10","343.75","354.05","340.60","148.85K","0.45%"
"29-10-2024","342.55","336.35","345.95","334.00","149.43K","1.05%"
"28-10-2024","339.00","327.00","340.70","324.10","196.28K","2.25%"
"25-10-2024","331.55","338.90","341.20","325.65","193.24K","-3.07%"
"24-10-2024","342.05","332.00","345.00","322.25","589.80K","0.48%"
"23-10-2024","340.40","338.85","341.80","334.85","116.35K","1.25%"
"22-10-2024","336.20","341.10","350.00","333.25","364.63K","-2.72%"
"21-10-2024","345.60","351.10","354.75","341.60","219.03K","-1.85%"
"18-10-2024","352.10","360.00","363.95","350.15","261.88K","-2.76%"
"17-10-2024","362.10","363.55","369.00","357.20","415.11K","-0.12%"
"16-10-2024","362.55","349.00","371.00","346.00","4.33M","3.82%"
"15-10-2024","349.20","354.95","354.95","347.75","84.55K","-0.82%"
"14-10-2024","352.10","357.80","359.35","351.50","65.65K","-1.83%"
"11-10-2024","358.65","358.25","364.00","356.10","111.42K","0.11%"
"10-10-2024","358.25","355.00","359.00","355.00","99.69K","0.39%"
"09-10-2024","356.85","353.05","359.00","352.85","137.70K","0.88%"
"08-10-2024","353.75","350.00","356.70","348.30","172.64K","0.73%"
"07-10-2024","351.20","352.10","354.75","343.40","354.58K","-0.54%"
"04-10-2024","353.10","355.50","359.05","350.05","185.09K","-1.09%"
"03-10-2024","357.00","353.00","359.90","353.00","188.87K","-1.03%"
"01-10-2024","360.70","359.90","362.15","356.00","227.68K","0.35%"
"30-09-2024","359.45","356.10","361.00","351.10","184.67K","0.94%"
"27-09-2024","356.10","358.60","362.50","354.40","316.14K","-0.54%"
