"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,642.30","1,624.70","1,646.85","1,618.50","314.42K","1.92%"
"05-11-2024","1,611.35","1,618.00","1,633.15","1,604.00","330.36K","-0.51%"
"04-11-2024","1,619.60","1,648.00","1,649.25","1,612.55","337.98K","-1.99%"
"01-11-2024","1,652.45","1,647.40","1,665.00","1,643.30","145.61K","0.31%"
"31-10-2024","1,647.30","1,638.00","1,656.80","1,627.05","296.10K","0.73%"
"30-10-2024","1,635.30","1,620.00","1,659.95","1,613.00","402.17K","0.94%"
"29-10-2024","1,620.15","1,628.95","1,643.80","1,607.40","279.83K","0.10%"
"28-10-2024","1,618.60","1,606.00","1,647.00","1,570.30","776.07K","1.39%"
"25-10-2024","1,596.40","1,654.00","1,683.95","1,585.00","1.03M","-3.19%"
"24-10-2024","1,648.95","1,664.95","1,716.80","1,631.00","1.09M","0.26%"
"23-10-2024","1,644.70","1,690.00","1,716.00","1,612.55","3.00M","1.55%"
"22-10-2024","1,619.55","1,729.00","1,733.15","1,607.60","1.16M","-6.21%"
"21-10-2024","1,726.85","1,691.00","1,738.80","1,690.00","791.58K","2.57%"
"18-10-2024","1,683.50","1,675.00","1,704.95","1,642.00","467.24K","0.04%"
"17-10-2024","1,682.80","1,709.70","1,715.55","1,670.45","469.80K","-1.57%"
"16-10-2024","1,709.65","1,724.00","1,747.30","1,700.55","406.25K","-0.99%"
"15-10-2024","1,726.80","1,746.20","1,787.00","1,711.55","658.91K","-1.12%"
"14-10-2024","1,746.40","1,752.50","1,761.40","1,703.05","869.16K","-0.33%"
"11-10-2024","1,752.10","1,682.00","1,769.55","1,663.45","1.79M","4.07%"
"10-10-2024","1,683.60","1,680.00","1,746.95","1,667.20","1.03M","0.26%"
"09-10-2024","1,679.20","1,667.00","1,730.00","1,661.40","1.10M","1.08%"
"08-10-2024","1,661.30","1,569.70","1,673.50","1,556.05","1.30M","6.40%"
"07-10-2024","1,561.30","1,651.95","1,659.00","1,552.70","761.31K","-4.99%"
"04-10-2024","1,643.35","1,705.00","1,710.60","1,631.45","1.04M","-3.95%"
"03-10-2024","1,710.85","1,724.85","1,770.00","1,689.15","983.98K","-2.22%"
"01-10-2024","1,749.65","1,652.70","1,763.00","1,646.05","2.65M","5.69%"
"30-09-2024","1,655.45","1,635.00","1,670.00","1,615.00","470.87K","1.17%"
"27-09-2024","1,636.30","1,646.00","1,673.50","1,626.00","261.11K","-1.41%"
"26-09-2024","1,659.65","1,673.00","1,682.10","1,655.95","205.08K","-0.63%"
"25-09-2024","1,670.15","1,692.00","1,698.70","1,662.00","264.00K","-1.61%"
"24-09-2024","1,697.50","1,702.35","1,733.90","1,690.00","514.00K","-0.28%"
"23-09-2024","1,702.35","1,673.95","1,717.15","1,663.00","837.66K","1.80%"
"20-09-2024","1,672.25","1,669.00","1,689.70","1,643.35","487.93K","0.66%"
"19-09-2024","1,661.30","1,700.00","1,706.90","1,631.45","767.70K","-1.68%"
"18-09-2024","1,689.75","1,669.40","1,722.00","1,656.25","1.75M","1.76%"
"17-09-2024","1,660.55","1,603.40","1,689.70","1,584.80","2.65M","3.62%"
"16-09-2024","1,602.60","1,625.85","1,632.70","1,600.05","305.57K","-1.40%"
"13-09-2024","1,625.35","1,639.90","1,663.15","1,615.15","719.33K","-0.19%"
"12-09-2024","1,628.45","1,650.00","1,699.00","1,619.40","2.35M","0.67%"
"11-09-2024","1,617.55","1,563.00","1,672.95","1,550.00","2.72M","3.55%"
"10-09-2024","1,562.15","1,546.70","1,587.40","1,544.00","381.95K","2.06%"
"09-09-2024","1,530.65","1,546.70","1,547.50","1,521.00","237.29K","-1.02%"
"06-09-2024","1,546.40","1,567.00","1,567.00","1,543.00","203.90K","-1.01%"
"05-09-2024","1,562.10","1,567.70","1,580.95","1,558.05","257.03K","0.10%"
"04-09-2024","1,560.50","1,532.55","1,584.00","1,532.55","380.69K","-0.84%"
"03-09-2024","1,573.75","1,554.65","1,582.65","1,545.30","384.70K","1.35%"
"02-09-2024","1,552.75","1,565.00","1,569.55","1,546.15","336.03K","-0.59%"
"30-08-2024","1,561.90","1,576.00","1,581.65","1,558.05","337.25K","-0.38%"
"29-08-2024","1,567.80","1,582.70","1,597.15","1,561.55","406.44K","-1.02%"
"28-08-2024","1,583.95","1,583.00","1,639.75","1,576.65","1.63M","1.03%"
"27-08-2024","1,567.85","1,583.70","1,590.00","1,558.00","462.51K","-0.74%"
"26-08-2024","1,579.50","1,602.00","1,602.00","1,567.15","454.66K","-1.06%"
"23-08-2024","1,596.50","1,617.00","1,619.80","1,593.05","304.73K","-1.00%"
"22-08-2024","1,612.70","1,600.00","1,631.95","1,600.00","454.16K","0.92%"
"21-08-2024","1,598.05","1,598.00","1,609.40","1,580.05","297.20K","0.23%"
"20-08-2024","1,594.45","1,620.05","1,632.20","1,587.40","456.00K","-1.05%"
"19-08-2024","1,611.30","1,620.00","1,639.95","1,605.70","448.62K","0.18%"
"16-08-2024","1,608.40","1,659.10","1,663.70","1,600.00","700.21K","-2.09%"
"14-08-2024","1,642.70","1,669.90","1,691.35","1,627.55","937.04K","-0.65%"
"13-08-2024","1,653.40","1,615.00","1,742.00","1,611.90","7.58M","7.16%"
"12-08-2024","1,542.95","1,550.00","1,560.00","1,527.55","603.10K","-1.23%"
"09-08-2024","1,562.10","1,574.40","1,583.65","1,560.00","364.28K","0.50%"
"08-08-2024","1,554.40","1,586.00","1,594.00","1,550.65","457.35K","-1.83%"
"07-08-2024","1,583.40","1,594.00","1,594.00","1,550.30","524.88K","1.67%"
"06-08-2024","1,557.45","1,584.00","1,629.70","1,550.50","687.33K","-2.22%"
"05-08-2024","1,592.85","1,605.45","1,639.15","1,581.05","1.24M","-5.05%"
"02-08-2024","1,677.55","1,678.00","1,689.70","1,657.40","356.51K","-1.05%"
"01-08-2024","1,695.40","1,716.40","1,717.95","1,690.00","291.70K","-0.80%"
"31-07-2024","1,709.10","1,718.00","1,730.75","1,706.00","333.77K","-0.31%"
"30-07-2024","1,714.45","1,707.90","1,757.00","1,700.00","636.90K","0.39%"
"29-07-2024","1,707.85","1,709.50","1,733.60","1,703.05","384.62K","0.00%"
"26-07-2024","1,707.90","1,704.95","1,732.70","1,690.50","370.14K","0.36%"
"25-07-2024","1,701.70","1,708.00","1,722.00","1,693.45","337.61K","-1.31%"
"24-07-2024","1,724.30","1,711.75","1,745.00","1,710.90","373.75K","0.78%"
"23-07-2024","1,710.95","1,757.95","1,759.50","1,615.90","704.54K","-2.44%"
"22-07-2024","1,753.75","1,721.00","1,778.10","1,719.00","487.91K","-0.11%"
"19-07-2024","1,755.60","1,767.00","1,769.00","1,718.10","516.85K","-0.46%"
"18-07-2024","1,763.70","1,811.00","1,815.85","1,760.00","902.43K","-2.71%"
"16-07-2024","1,812.90","1,814.70","1,842.55","1,804.00","517.14K","0.14%"
"15-07-2024","1,810.40","1,800.10","1,823.40","1,787.95","451.08K","0.45%"
"12-07-2024","1,802.35","1,841.00","1,859.90","1,795.20","820.41K","-2.06%"
"11-07-2024","1,840.30","1,859.10","1,867.50","1,835.10","499.46K","-0.44%"
"10-07-2024","1,848.35","1,910.00","1,919.90","1,812.60","1.27M","-3.00%"
"09-07-2024","1,905.50","1,920.00","1,960.00","1,890.00","1.70M","-0.10%"
"08-07-2024","1,907.45","1,820.00","1,948.00","1,819.50","4.35M","4.61%"
"05-07-2024","1,823.35","1,802.70","1,854.80","1,786.05","1.05M","1.17%"
"04-07-2024","1,802.30","1,817.70","1,824.80","1,800.00","400.57K","-0.36%"
"03-07-2024","1,808.80","1,818.00","1,835.00","1,801.00","486.81K","0.28%"
"02-07-2024","1,803.75","1,848.70","1,875.50","1,796.05","1.13M","-2.00%"
"01-07-2024","1,840.65","1,779.70","1,865.00","1,765.35","1.88M","3.45%"
"28-06-2024","1,779.25","1,791.60","1,805.70","1,775.55","410.47K","-0.18%"
"27-06-2024","1,782.45","1,819.50","1,838.00","1,762.60","906.54K","-1.59%"
"26-06-2024","1,811.20","1,818.40","1,858.00","1,804.95","1.26M","0.17%"
"25-06-2024","1,808.20","1,743.95","1,892.00","1,743.00","6.17M","4.04%"
"24-06-2024","1,737.95","1,771.10","1,778.95","1,732.25","492.61K","-1.87%"
"21-06-2024","1,771.10","1,767.05","1,792.00","1,745.00","496.56K","0.48%"
"20-06-2024","1,762.70","1,776.00","1,779.00","1,755.00","305.93K","-0.75%"
"19-06-2024","1,776.00","1,805.85","1,824.90","1,761.10","808.20K","-1.16%"
"18-06-2024","1,796.85","1,760.45","1,820.00","1,751.50","1.02M","2.26%"
"14-06-2024","1,757.15","1,755.00","1,782.40","1,743.30","469.79K","0.43%"
"13-06-2024","1,749.65","1,788.00","1,792.60","1,746.70","529.22K","-1.69%"
"12-06-2024","1,779.65","1,792.95","1,796.95","1,775.15","464.59K","-0.44%"
"11-06-2024","1,787.50","1,757.00","1,834.00","1,730.00","1.05M","2.20%"
"10-06-2024","1,749.10","1,760.20","1,784.00","1,741.00","451.72K","0.05%"
"07-06-2024","1,748.20","1,699.50","1,758.00","1,685.20","743.96K","3.20%"
"06-06-2024","1,693.95","1,658.70","1,738.50","1,658.00","789.36K","3.47%"
"05-06-2024","1,637.15","1,653.75","1,670.90","1,547.05","1.04M","0.97%"
"04-06-2024","1,621.45","1,795.05","1,799.95","1,458.50","1.95M","-10.16%"
"03-06-2024","1,804.85","1,855.00","1,876.15","1,786.30","810.74K","3.36%"
"31-05-2024","1,746.15","1,763.00","1,787.25","1,725.00","688.17K","-0.66%"
"30-05-2024","1,757.70","1,802.00","1,806.30","1,750.00","425.13K","-2.42%"
"29-05-2024","1,801.20","1,780.00","1,825.00","1,753.40","773.95K","0.79%"
"28-05-2024","1,787.10","1,817.05","1,834.35","1,781.00","824.02K","-1.20%"
"27-05-2024","1,808.80","1,793.70","1,865.00","1,765.00","2.02M","1.37%"
"24-05-2024","1,784.35","1,810.00","1,851.00","1,776.00","1.40M","-1.35%"
"23-05-2024","1,808.70","1,808.00","1,839.00","1,798.60","903.05K","0.82%"
"22-05-2024","1,793.95","1,706.30","1,805.20","1,700.00","2.88M","5.26%"
"21-05-2024","1,704.25","1,700.00","1,725.00","1,694.85","379.94K","-1.04%"
"18-05-2024","1,722.20","1,697.00","1,730.00","1,693.10","137.06K","1.63%"
"17-05-2024","1,694.55","1,708.00","1,709.40","1,688.20","288.09K","0.03%"
"16-05-2024","1,694.00","1,725.10","1,728.80","1,681.45","402.61K","-0.92%"
"15-05-2024","1,709.70","1,637.00","1,726.40","1,635.15","1.18M","4.94%"
"14-05-2024","1,629.20","1,634.95","1,666.85","1,621.10","525.48K","0.26%"
"13-05-2024","1,624.95","1,605.00","1,631.75","1,560.00","699.08K","0.98%"
"10-05-2024","1,609.25","1,619.70","1,639.00","1,591.15","344.87K","-0.25%"
"09-05-2024","1,613.35","1,642.00","1,655.00","1,605.00","366.88K","-1.73%"
"08-05-2024","1,641.80","1,634.50","1,663.10","1,623.10","389.38K","0.45%"
"07-05-2024","1,634.50","1,682.45","1,688.80","1,625.00","474.48K","-2.44%"
"06-05-2024","1,675.35","1,718.00","1,718.90","1,657.10","477.03K","-2.03%"
"03-05-2024","1,710.10","1,732.65","1,742.00","1,702.00","420.50K","-0.71%"
"02-05-2024","1,722.25","1,729.20","1,744.00","1,719.00","444.69K","-0.26%"
"30-04-2024","1,726.70","1,746.10","1,756.45","1,715.00","477.14K","-0.50%"
"29-04-2024","1,735.35","1,760.05","1,777.35","1,726.75","596.70K","-0.57%"
"26-04-2024","1,745.30","1,631.00","1,769.00","1,591.65","2.72M","-3.46%"
"25-04-2024","1,807.80","1,784.50","1,815.80","1,774.00","822.21K","1.83%"
