"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,890.10","1,881.30","1,900.00","1,845.80","832.14K","1.84%"
"05-11-2024","1,855.95","1,809.00","1,863.00","1,794.80","1.33M","3.60%"
"04-11-2024","1,791.40","1,809.00","1,810.00","1,764.70","285.04K","-1.09%"
"01-11-2024","1,811.10","1,795.00","1,824.60","1,791.60","58.53K","1.00%"
"31-10-2024","1,793.25","1,767.55","1,801.00","1,754.10","317.96K","1.47%"
"30-10-2024","1,767.20","1,771.00","1,805.00","1,752.25","662.48K","-1.09%"
"29-10-2024","1,786.70","1,757.70","1,800.00","1,730.85","604.90K","1.65%"
"28-10-2024","1,757.70","1,645.00","1,767.00","1,645.00","752.56K","6.13%"
"25-10-2024","1,656.15","1,780.00","1,780.00","1,638.00","708.87K","-6.94%"
"24-10-2024","1,779.60","1,789.75","1,798.00","1,740.70","568.97K","0.12%"
"23-10-2024","1,777.45","1,761.20","1,809.90","1,718.10","864.65K","0.63%"
"22-10-2024","1,766.30","1,768.25","1,784.50","1,725.05","392.45K","-0.52%"
"21-10-2024","1,775.60","1,778.00","1,782.00","1,740.55","609.31K","0.60%"
"18-10-2024","1,765.00","1,720.05","1,790.95","1,702.65","624.91K","1.34%"
"17-10-2024","1,741.70","1,765.00","1,770.00","1,721.10","242.39K","-1.30%"
"16-10-2024","1,764.65","1,720.00","1,778.30","1,716.05","529.09K","2.00%"
"15-10-2024","1,730.05","1,725.10","1,741.00","1,695.00","427.83K","0.08%"
"14-10-2024","1,728.60","1,743.50","1,743.50","1,698.60","413.40K","-0.85%"
"11-10-2024","1,743.50","1,740.20","1,750.00","1,701.50","423.77K","0.18%"
"10-10-2024","1,740.30","1,715.00","1,748.00","1,694.85","578.95K","2.00%"
"09-10-2024","1,706.15","1,710.00","1,715.00","1,682.90","960.26K","0.95%"
"08-10-2024","1,690.10","1,620.00","1,700.00","1,606.60","471.06K","3.67%"
"07-10-2024","1,630.30","1,633.10","1,641.00","1,593.75","588.98K","-0.11%"
"04-10-2024","1,632.10","1,664.25","1,670.00","1,622.00","500.53K","-1.93%"
"03-10-2024","1,664.25","1,675.60","1,695.00","1,650.05","572.67K","-2.11%"
"01-10-2024","1,700.05","1,678.00","1,712.00","1,670.85","300.90K","0.99%"
"30-09-2024","1,683.45","1,700.00","1,715.55","1,664.00","569.14K","-1.06%"
"27-09-2024","1,701.50","1,726.00","1,733.00","1,692.00","377.26K","-0.60%"
"26-09-2024","1,711.85","1,726.00","1,736.50","1,704.05","762.52K","-1.30%"
"25-09-2024","1,734.35","1,717.00","1,741.10","1,700.35","430.07K","0.95%"
"24-09-2024","1,718.05","1,748.00","1,748.00","1,710.00","580.20K","-1.33%"
"23-09-2024","1,741.20","1,755.00","1,755.00","1,724.05","362.62K","0.62%"
"20-09-2024","1,730.55","1,748.85","1,770.00","1,724.10","527.75K","-1.05%"
"19-09-2024","1,748.85","1,815.00","1,819.40","1,740.00","504.94K","-3.33%"
"18-09-2024","1,809.15","1,852.00","1,853.85","1,785.00","292.23K","-2.28%"
"17-09-2024","1,851.30","1,853.00","1,859.00","1,827.00","265.34K","-0.05%"
"16-09-2024","1,852.20","1,861.80","1,874.40","1,843.20","723.27K","-0.47%"
"13-09-2024","1,860.95","1,885.10","1,896.20","1,850.00","14.10M","-3.65%"
