"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","44,153.35","43,399.00","44,296.00","43,327.70","12.24K","1.79%"
"05-11-2024","43,375.20","42,756.00","43,499.95","42,670.10","13.56K","0.79%"
"04-11-2024","43,037.05","43,500.00","43,620.00","42,621.05","15.80K","-0.84%"
"01-11-2024","43,399.70","43,325.00","43,499.95","43,163.80","0.93K","0.55%"
"31-10-2024","43,163.80","43,275.00","43,500.00","42,718.10","18.60K","-0.21%"
"30-10-2024","43,256.40","43,300.00","43,770.00","42,856.10","10.87K","-0.22%"
"29-10-2024","43,352.50","42,880.00","43,841.85","42,580.10","19.21K","2.02%"
"28-10-2024","42,493.50","42,800.00","43,483.90","42,300.00","10.71K","-1.27%"
"25-10-2024","43,038.60","43,640.00","44,231.90","42,639.00","17.42K","-0.93%"
"24-10-2024","43,441.60","43,050.00","44,325.00","42,845.00","9.91K","0.69%"
"23-10-2024","43,145.25","43,800.00","44,246.80","42,856.05","14.44K","-2.08%"
"22-10-2024","44,061.15","44,601.00","44,929.40","43,915.55","18.56K","-1.02%"
"21-10-2024","44,515.65","45,451.00","45,900.00","44,309.10","19.25K","-2.32%"
"18-10-2024","45,570.65","45,465.00","45,882.40","45,016.80","9.88K","0.24%"
"17-10-2024","45,463.75","46,450.00","46,749.30","45,321.55","16.31K","-2.42%"
"16-10-2024","46,593.15","46,300.00","46,810.40","46,010.00","33.73K","0.73%"
"15-10-2024","46,257.70","45,654.95","46,496.90","45,560.00","51.46K","1.33%"
"14-10-2024","45,648.50","44,800.00","46,002.00","44,800.00","35.07K","0.61%"
"11-10-2024","45,370.15","44,602.00","46,100.00","44,602.00","57.30K","2.73%"
"10-10-2024","44,165.05","43,935.40","44,249.90","43,786.90","20.71K","0.52%"
"09-10-2024","43,935.40","42,269.95","44,179.00","42,269.95","49.97K","3.95%"
"08-10-2024","42,267.10","41,290.00","42,366.00","41,111.00","19.41K","2.05%"
"07-10-2024","41,418.95","42,006.45","42,006.45","40,805.00","27.66K","0.07%"
"04-10-2024","41,389.55","41,800.00","42,282.80","41,116.45","22.84K","-0.66%"
"03-10-2024","41,663.55","42,484.25","42,586.00","41,447.00","22.24K","-2.46%"
"01-10-2024","42,714.25","42,570.10","42,944.00","42,228.55","16.02K","-0.44%"
"30-09-2024","42,904.20","42,025.00","42,961.60","41,727.80","22.29K","2.07%"
"27-09-2024","42,034.05","41,950.00","42,615.00","41,857.25","30.03K","0.00%"
"26-09-2024","42,033.20","41,920.05","42,220.10","41,380.00","15.18K","0.27%"
"25-09-2024","41,920.05","42,000.00","42,099.95","41,220.00","15.58K","-0.09%"
"24-09-2024","41,958.65","43,339.80","43,339.80","41,805.05","36.37K","-2.46%"
