"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","797.70","765.00","804.00","762.80","10.19M","4.35%"
"05-11-2024","764.45","751.00","776.70","747.05","6.97M","1.76%"
"04-11-2024","751.20","761.85","769.95","747.00","4.92M","-1.40%"
"01-11-2024","761.85","765.00","773.00","756.00","1.38M","0.39%"
"31-10-2024","758.90","749.45","778.50","748.00","9.49M","0.90%"
"30-10-2024","752.10","746.00","765.60","737.05","5.80M","1.03%"
"29-10-2024","744.45","734.00","748.25","724.65","5.93M","1.53%"
"28-10-2024","733.20","747.70","758.80","726.10","8.63M","-1.51%"
"25-10-2024","744.45","765.00","768.00","714.00","18.75M","-2.62%"
"24-10-2024","764.45","750.00","790.00","739.35","26.11M","2.60%"
"23-10-2024","745.10","720.00","771.70","700.60","43.69M","8.54%"
"22-10-2024","686.45","727.00","728.80","669.80","21.53M","-5.44%"
"21-10-2024","725.95","725.00","745.50","706.20","10.40M","0.11%"
"18-10-2024","725.15","690.15","729.90","670.40","10.91M","4.17%"
"17-10-2024","696.15","726.05","729.00","691.00","5.61M","-3.57%"
"16-10-2024","721.95","729.00","734.65","716.00","4.59M","-1.07%"
"15-10-2024","729.75","721.40","742.70","712.65","9.17M","1.69%"
"14-10-2024","717.65","729.60","736.35","712.00","8.10M","-0.95%"
"11-10-2024","724.50","732.50","753.00","721.00","11.36M","-1.02%"
"10-10-2024","732.00","744.75","755.95","727.00","12.02M","-1.25%"
"09-10-2024","741.25","751.00","766.40","725.85","23.84M","-1.25%"
"08-10-2024","750.60","657.25","772.85","657.25","35.38M","15.15%"
"07-10-2024","651.85","701.65","713.35","637.10","14.22M","-6.23%"
"04-10-2024","695.15","726.00","732.50","691.00","13.08M","-4.45%"
"03-10-2024","727.55","703.00","755.90","700.00","19.23M","-0.52%"
"01-10-2024","731.35","688.40","742.00","681.70","21.04M","6.25%"
"30-09-2024","688.30","672.00","695.45","655.05","11.54M","2.38%"
"27-09-2024","672.30","708.00","708.85","667.00","8.46M","-4.66%"
"26-09-2024","705.15","690.00","724.80","678.25","20.46M","2.57%"
"25-09-2024","687.45","680.95","695.00","676.80","7.62M","0.95%"
"24-09-2024","680.95","656.00","688.35","651.15","11.99M","4.51%"
"23-09-2024","651.55","665.00","676.40","648.00","3.84M","-1.89%"
"20-09-2024","664.10","659.75","670.05","651.45","5.30M","1.38%"
"19-09-2024","655.05","677.10","683.80","628.50","10.04M","-2.44%"
"18-09-2024","671.45","665.70","703.25","665.00","13.74M","1.06%"
"17-09-2024","664.40","681.70","683.40","657.30","5.78M","-2.60%"
"16-09-2024","682.15","659.00","687.80","658.80","11.07M","4.15%"
"13-09-2024","654.95","668.00","676.00","650.10","7.13M","-1.66%"
"12-09-2024","666.00","673.85","683.90","655.50","17.25M","-0.08%"
"11-09-2024","666.50","656.50","683.30","651.00","22.35M","2.00%"
"10-09-2024","653.40","636.90","687.40","633.50","35.59M","4.10%"
"09-09-2024","627.65","605.50","640.00","584.10","14.99M","3.95%"
"06-09-2024","603.80","620.00","632.00","596.50","10.54M","-3.63%"
"05-09-2024","626.55","619.00","633.70","610.60","10.08M","2.06%"
"04-09-2024","613.90","585.60","620.95","583.60","12.44M","3.07%"
"03-09-2024","595.60","608.00","614.80","594.00","8.66M","-2.02%"
"02-09-2024","607.85","619.00","634.00","587.30","20.04M","-2.26%"
"30-08-2024","621.90","558.00","631.45","543.00","41.87M","12.16%"
"29-08-2024","554.50","559.00","564.80","540.10","9.18M","3.07%"
"28-08-2024","538.00","549.00","559.95","534.55","6.06M","-1.31%"
"27-08-2024","545.15","540.90","553.70","535.70","6.56M","2.78%"
"26-08-2024","530.40","559.80","565.45","505.55","18.47M","-4.41%"
"23-08-2024","554.85","555.00","571.30","551.10","7.63M","0.21%"
"22-08-2024","553.70","584.00","604.70","538.35","21.14M","-3.54%"
"21-08-2024","574.05","574.95","582.80","570.10","4.70M","0.21%"
"20-08-2024","572.85","575.00","584.00","568.05","6.10M","0.01%"
"19-08-2024","572.80","565.00","594.40","564.70","12.27M","1.52%"
"16-08-2024","564.25","544.00","569.90","536.45","13.13M","4.72%"
"14-08-2024","538.80","508.10","546.80","505.50","12.89M","6.45%"
"13-08-2024","506.15","515.15","524.75","503.75","4.55M","-1.64%"
"12-08-2024","514.60","507.55","527.00","499.45","5.61M","0.73%"
"09-08-2024","510.85","520.05","522.30","509.00","4.10M","0.46%"
"08-08-2024","508.50","508.00","535.00","501.75","10.47M","0.52%"
"07-08-2024","505.85","500.00","511.00","493.40","3.48M","3.64%"
"06-08-2024","488.10","504.00","522.00","482.10","5.69M","-2.26%"
"05-08-2024","499.40","513.85","516.40","481.65","9.40M","-5.24%"
"02-08-2024","527.00","494.85","542.60","492.30","13.60M","6.07%"
"01-08-2024","496.85","498.55","520.00","492.10","5.51M","0.53%"
"31-07-2024","494.25","494.00","507.45","493.00","2.55M","-0.53%"
"30-07-2024","496.90","501.00","512.70","494.40","6.99M","0.58%"
"29-07-2024","494.05","512.75","518.30","490.00","8.51M","-2.95%"
"26-07-2024","509.05","459.00","509.05","459.00","10.48M","9.99%"
"25-07-2024","462.80","450.00","464.30","448.55","1.92M","1.42%"
"24-07-2024","456.30","453.00","467.80","447.20","1.82M","-0.21%"
"23-07-2024","457.25","454.65","464.70","437.25","3.01M","1.06%"
"22-07-2024","452.45","447.95","462.30","443.50","3.23M","-1.37%"
"19-07-2024","458.75","443.00","471.95","425.60","11.71M","3.02%"
"18-07-2024","445.30","459.00","464.75","442.80","2.70M","-3.26%"
"16-07-2024","460.30","466.00","471.40","454.75","2.53M","-1.99%"
"15-07-2024","469.65","467.00","476.70","462.05","3.32M","0.79%"
"12-07-2024","465.95","480.00","482.80","461.00","2.44M","-2.98%"
"11-07-2024","480.25","468.05","491.80","468.05","5.70M","2.80%"
"10-07-2024","467.15","464.75","474.70","454.10","6.21M","1.19%"
"09-07-2024","461.65","476.00","476.00","448.80","6.69M","-2.27%"
"08-07-2024","472.35","440.20","479.90","440.20","12.70M","8.20%"
"05-07-2024","436.55","416.55","442.50","412.75","6.63M","5.84%"
"04-07-2024","412.45","418.10","430.00","411.00","5.41M","-1.22%"
"03-07-2024","417.55","424.00","425.00","414.50","3.89M","-0.83%"
"02-07-2024","421.05","412.05","423.25","409.05","4.09M","2.23%"
"01-07-2024","411.85","403.00","423.70","403.00","4.06M","2.51%"
"28-06-2024","401.75","405.00","411.50","400.05","2.16M","-0.63%"
"27-06-2024","404.30","408.00","411.00","400.10","2.06M","-1.23%"
"26-06-2024","409.35","413.00","414.70","406.55","1.50M","-0.84%"
"25-06-2024","412.80","415.00","424.40","409.25","3.22M","0.51%"
"24-06-2024","410.70","409.70","417.10","406.05","2.29M","-0.11%"
"21-06-2024","411.15","411.50","414.70","402.50","2.54M","-0.09%"
