"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,663.30","1,695.00","1,695.95","1,596.60","3.34M","1.30%"
"05-11-2024","1,641.95","1,700.50","1,712.05","1,600.65","2.09M","-4.23%"
"04-11-2024","1,714.50","1,706.80","1,725.00","1,664.15","892.72K","0.48%"
"01-11-2024","1,706.30","1,716.95","1,717.00","1,701.20","31.50K","0.30%"
"31-10-2024","1,701.15","1,691.00","1,714.00","1,661.00","614.92K","-0.13%"
"30-10-2024","1,703.40","1,692.00","1,719.90","1,649.25","783.01K","-0.09%"
"29-10-2024","1,704.90","1,664.50","1,720.00","1,633.55","647.36K","2.59%"
"28-10-2024","1,661.85","1,639.00","1,674.90","1,626.95","456.81K","1.35%"
"25-10-2024","1,639.75","1,639.50","1,656.80","1,615.55","756.83K","-0.46%"
"24-10-2024","1,647.30","1,648.00","1,669.10","1,610.25","413.12K","0.43%"
"23-10-2024","1,640.30","1,621.50","1,710.00","1,605.30","990.31K","1.16%"
"22-10-2024","1,621.50","1,688.40","1,702.45","1,610.10","724.69K","-3.25%"
"21-10-2024","1,675.90","1,689.90","1,702.70","1,632.60","1.12M","-0.46%"
"18-10-2024","1,683.60","1,680.00","1,710.00","1,654.80","674.15K","-0.09%"
"17-10-2024","1,685.05","1,700.00","1,730.00","1,671.05","1.06M","-1.14%"
"16-10-2024","1,704.55","1,676.00","1,719.95","1,676.00","731.98K","1.69%"
"15-10-2024","1,676.15","1,652.75","1,687.95","1,652.00","1.01M","1.42%"
"14-10-2024","1,652.65","1,654.00","1,673.85","1,642.45","2.28M","0.83%"
"11-10-2024","1,639.05","1,631.90","1,656.00","1,605.00","1.11M","0.44%"
"10-10-2024","1,631.90","1,690.00","1,690.00","1,615.65","1.71M","-1.41%"
"09-10-2024","1,655.20","1,667.00","1,688.65","1,641.25","763.36K","-0.38%"
"08-10-2024","1,661.55","1,675.00","1,681.00","1,646.40","2.87M","-1.73%"
"07-10-2024","1,690.75","1,705.00","1,747.80","1,681.55","1.58M","-1.33%"
"04-10-2024","1,713.55","1,699.95","1,726.45","1,631.40","1.81M","0.39%"
"03-10-2024","1,706.90","1,724.00","1,779.00","1,693.75","2.44M","-1.36%"
"01-10-2024","1,730.45","1,645.00","1,740.00","1,595.40","4.78M","6.82%"
"30-09-2024","1,619.95","1,660.00","1,713.70","1,603.20","5.18M","-1.27%"
"27-09-2024","1,640.80","1,718.80","1,740.00","1,600.00","4.25M","-2.68%"
"26-09-2024","1,685.90","1,722.00","1,750.00","1,545.05","10.66M","-2.10%"
"25-09-2024","1,722.05","1,830.00","1,830.00","1,685.00","3.89M","-6.35%"
"24-09-2024","1,838.75","1,933.90","1,933.90","1,796.75","1.69M","-4.25%"
"23-09-2024","1,920.40","1,930.30","1,932.25","1,885.00","785.45K","-0.57%"
"20-09-2024","1,931.45","1,864.00","1,966.50","1,855.00","1.79M","2.88%"
"19-09-2024","1,877.45","1,839.50","1,900.00","1,821.40","1.71M","3.98%"
"18-09-2024","1,805.60","1,835.00","1,885.00","1,798.95","719.87K","-2.32%"
"17-09-2024","1,848.50","1,801.00","1,871.40","1,776.40","1.67M","2.85%"
"16-09-2024","1,797.20","1,839.25","1,839.25","1,751.85","664.92K","-0.93%"
"13-09-2024","1,814.10","1,836.80","1,837.30","1,804.00","772.94K","0.07%"
"12-09-2024","1,812.75","1,800.00","1,835.00","1,781.45","826.26K","1.69%"
"11-09-2024","1,782.65","1,753.00","1,792.90","1,738.55","1.01M","2.15%"
"10-09-2024","1,745.15","1,751.00","1,776.70","1,735.05","609.22K","0.23%"
