"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","11,996.60","11,894.95","12,386.30","11,894.95","11.40K","1.70%"
"05-11-2024","11,796.50","11,999.95","12,100.00","11,388.70","8.62K","-1.60%"
"04-11-2024","11,988.10","11,821.00","12,045.60","11,782.70","8.99K","0.29%"
"01-11-2024","11,953.75","11,761.00","12,599.00","11,761.00","2.37K","-0.38%"
"31-10-2024","11,999.05","12,288.00","12,288.00","11,863.45","40.54K","0.61%"
"30-10-2024","11,926.50","12,000.00","12,499.00","11,893.55","11.75K","-0.07%"
"29-10-2024","11,935.10","11,984.70","12,222.55","11,625.35","4.01K","1.72%"
"28-10-2024","11,732.90","12,180.00","12,222.00","11,600.10","6.95K","-1.02%"
"25-10-2024","11,854.35","11,899.90","12,299.95","11,224.05","21.00K","0.34%"
"24-10-2024","11,814.75","12,119.00","12,308.95","11,628.05","5.56K","-2.03%"
"23-10-2024","12,060.05","12,576.25","12,898.00","12,001.00","18.01K","-4.10%"
"22-10-2024","12,576.25","12,950.00","12,999.00","12,460.05","9.49K","-4.10%"
"21-10-2024","13,113.85","13,595.00","13,597.50","12,749.65","15.57K","1.27%"
"18-10-2024","12,950.00","13,500.00","13,500.00","12,799.50","16.37K","-2.49%"
"17-10-2024","13,280.15","13,530.75","13,598.00","13,188.00","5.58K","-0.88%"
"16-10-2024","13,398.65","13,500.00","14,040.00","13,225.45","17.91K","0.01%"
"15-10-2024","13,397.65","13,508.90","13,545.00","13,030.55","10.52K","-0.82%"
"14-10-2024","13,508.90","13,351.80","13,543.60","13,201.05","4.37K","1.18%"
"11-10-2024","13,351.80","13,540.00","13,540.00","13,268.65","3.79K","-0.50%"
"10-10-2024","13,418.45","13,780.00","13,780.00","13,232.25","3.57K","-0.86%"
"09-10-2024","13,535.15","13,310.00","13,700.00","13,201.00","4.69K","0.32%"
"08-10-2024","13,491.50","13,699.90","13,699.90","13,251.00","4.42K","-3.02%"
"07-10-2024","13,911.40","13,595.00","14,076.10","13,276.55","13.22K","-0.46%"
"04-10-2024","13,975.30","13,701.00","14,000.00","13,372.00","9.35K","0.09%"
"03-10-2024","13,963.25","13,600.00","14,050.00","13,300.00","10.91K","-0.26%"
"01-10-2024","14,000.00","14,298.80","14,440.00","13,700.00","4.00K","-1.38%"
"30-09-2024","14,195.50","13,798.00","14,196.00","13,520.00","25.30K","5.00%"
"27-09-2024","13,520.00","12,900.00","13,652.35","12,900.00","6.89K","3.98%"
"26-09-2024","13,002.25","13,400.00","13,400.00","12,900.00","5.72K","-2.01%"
"25-09-2024","13,268.40","13,650.00","13,650.00","13,200.00","2.01K","-1.74%"
"24-09-2024","13,502.85","13,316.95","13,650.00","13,150.00","4.96K","1.40%"
"23-09-2024","13,316.95","13,600.00","13,600.00","13,220.00","5.40K","-3.15%"
"20-09-2024","13,749.55","13,852.10","14,099.95","13,201.00","179.73K","-0.90%"
"19-09-2024","13,874.10","14,100.00","14,300.00","13,670.00","7.25K","-2.63%"
"18-09-2024","14,248.65","14,490.00","14,490.00","14,005.00","14.24K","-0.50%"
"17-09-2024","14,320.90","14,550.00","14,550.00","14,140.00","5.71K","-1.47%"
"16-09-2024","14,534.55","14,298.90","14,750.00","14,110.00","12.50K","1.92%"
"13-09-2024","14,260.40","14,460.00","14,524.00","14,155.00","4.65K","-0.52%"
"12-09-2024","14,334.35","14,100.00","14,370.00","14,028.00","5.47K","0.47%"
"11-09-2024","14,267.90","13,899.50","14,325.00","13,899.50","7.88K","0.68%"
"10-09-2024","14,171.75","14,190.00","14,450.00","14,002.00","8.51K","-0.04%"
"09-09-2024","14,178.05","13,956.50","14,259.00","13,700.00","10.21K","0.60%"
"06-09-2024","14,093.05","14,414.95","14,449.90","14,000.00","7.48K","-1.38%"
"05-09-2024","14,290.55","14,060.00","14,500.00","14,060.00","6.02K","0.16%"
"04-09-2024","14,267.95","14,241.00","14,600.00","13,910.00","8.96K","-1.23%"
"03-09-2024","14,445.40","14,850.00","14,850.00","14,210.95","6.20K","0.13%"
"02-09-2024","14,426.00","14,925.00","14,925.00","14,250.00","7.66K","-2.94%"
"30-08-2024","14,863.45","14,341.00","14,943.45","14,079.30","8.17K","4.44%"
"29-08-2024","14,231.90","15,100.00","15,100.00","14,079.20","7.79K","-3.97%"
"28-08-2024","14,820.20","14,750.00","15,344.00","14,730.00","8.33K","0.62%"
"27-08-2024","14,729.40","14,199.00","14,729.40","14,028.00","13.71K","5.00%"
"26-08-2024","14,028.00","13,500.00","14,028.00","13,499.00","9.76K","5.00%"
"23-08-2024","13,360.00","13,150.00","13,595.00","13,095.00","3.78K","2.05%"
"22-08-2024","13,092.10","13,396.00","13,396.00","13,001.00","2.97K","-2.24%"
"21-08-2024","13,391.80","13,570.00","13,650.00","13,100.00","3.96K","-1.30%"
"20-08-2024","13,568.55","13,690.00","13,700.00","13,251.00","4.54K","-0.22%"
"19-08-2024","13,599.00","14,063.00","14,063.00","13,514.05","4.12K","-3.31%"
"16-08-2024","14,064.05","14,300.00","14,387.60","13,790.50","5.44K","-0.87%"
"14-08-2024","14,187.60","13,700.00","14,298.00","13,400.00","5.03K","2.33%"
"13-08-2024","13,864.45","14,150.00","14,150.00","13,800.00","2.00K","-2.01%"
"12-08-2024","14,148.75","14,489.90","14,489.90","13,899.05","3.64K","-1.02%"
"09-08-2024","14,294.50","14,050.00","14,544.00","13,986.00","10.14K","1.94%"
"08-08-2024","14,023.00","13,998.95","14,100.00","13,599.50","5.38K","0.96%"
"07-08-2024","13,890.00","13,506.00","13,950.00","13,205.00","4.14K","2.85%"
"06-08-2024","13,505.40","13,251.00","13,801.10","12,717.45","8.60K","0.89%"
"05-08-2024","13,386.75","13,500.00","13,909.90","13,232.20","9.84K","-3.89%"
"02-08-2024","13,928.60","13,600.00","14,100.00","13,401.00","6.87K","1.00%"
"01-08-2024","13,790.45","13,939.00","13,939.00","13,410.00","5.40K","-0.88%"
"31-07-2024","13,912.75","13,545.00","14,150.90","13,325.00","9.93K","-0.78%"
"30-07-2024","14,021.85","14,349.00","14,349.00","13,850.00","3.04K","-1.86%"
"29-07-2024","14,287.15","14,050.00","14,399.90","13,850.00","4.48K","2.12%"
"26-07-2024","13,990.70","13,683.70","14,190.00","13,500.00","5.78K","2.24%"
"25-07-2024","13,683.70","13,700.00","13,799.00","13,250.00","2.45K","-0.44%"
"24-07-2024","13,744.70","13,775.10","14,099.00","13,400.00","1.97K","-0.22%"
"23-07-2024","13,775.10","13,905.80","14,000.00","13,198.00","5.84K","-0.74%"
"22-07-2024","13,878.00","13,500.00","14,190.00","13,150.00","7.92K","1.14%"
"19-07-2024","13,721.50","14,200.00","14,200.00","13,530.45","6.23K","-3.66%"
"18-07-2024","14,242.55","14,335.70","14,350.00","13,850.00","6.66K","-0.65%"
"16-07-2024","14,335.70","14,300.00","14,500.00","13,800.00","7.82K","0.94%"
"15-07-2024","14,202.80","14,950.00","14,990.00","14,100.00","17.15K","-2.37%"
"12-07-2024","14,547.85","15,000.00","15,211.00","13,369.00","27.41K","-2.06%"
"11-07-2024","14,854.45","14,952.00","15,700.00","14,720.00","21.98K","0.69%"
"10-07-2024","14,752.10","14,800.00","15,702.10","14,200.00","28.30K","0.19%"
"09-07-2024","14,724.05","14,650.00","15,000.00","14,488.35","9.53K","0.54%"
"08-07-2024","14,645.05","14,800.00","14,899.95","14,570.00","6.34K","-0.97%"
"05-07-2024","14,789.10","15,000.00","15,000.00","14,511.15","10.56K","-1.39%"
"04-07-2024","14,997.70","15,115.00","15,251.00","14,811.15","13.03K","1.03%"
"03-07-2024","14,845.10","14,322.25","15,299.90","13,937.45","28.45K","4.62%"
"02-07-2024","14,189.65","14,227.00","14,267.95","13,310.10","13.87K","1.39%"
"01-07-2024","13,995.80","13,949.95","14,598.90","13,757.00","12.50K","1.84%"
"28-06-2024","13,742.30","13,980.00","14,150.00","13,450.00","9.43K","-0.03%"
"27-06-2024","13,746.00","13,250.55","13,900.00","13,000.55","11.92K","3.74%"
"26-06-2024","13,250.55","13,459.70","13,649.65","12,702.00","26.67K","-1.55%"
"25-06-2024","13,459.70","13,699.00","13,798.75","13,390.00","3.93K","-1.40%"
"24-06-2024","13,651.45","13,200.00","13,909.00","13,115.00","7.57K","1.09%"
"21-06-2024","13,504.20","13,677.95","13,743.25","12,960.00","8.87K","-0.73%"
"20-06-2024","13,603.15","13,899.80","14,261.00","13,454.05","6.85K","-1.11%"
"19-06-2024","13,755.25","14,000.00","14,380.00","13,500.00","19.02K","-0.71%"
"18-06-2024","13,853.70","14,950.00","15,240.00","13,666.00","36.64K","-5.95%"
"14-06-2024","14,729.60","12,525.80","14,930.95","12,525.80","79.45K","17.59%"
"13-06-2024","12,525.80","12,290.00","13,139.95","12,244.95","32.30K","2.30%"
"12-06-2024","12,244.35","11,796.50","12,350.00","11,621.10","16.30K","4.56%"
"11-06-2024","11,710.50","11,600.00","11,800.00","11,452.45","16.44K","5.15%"
"10-06-2024","11,137.10","11,101.00","11,350.00","10,605.00","14.98K","1.85%"
"07-06-2024","10,934.70","10,700.00","11,099.95","10,527.95","19.75K","1.36%"
"06-06-2024","10,787.90","10,200.00","11,300.00","10,050.25","125.32K","9.29%"
