"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,319.25","5,299.00","5,345.00","5,281.70","15.37K","1.27%"
"05-11-2024","5,252.45","5,188.85","5,272.00","5,161.10","12.94K","1.24%"
"04-11-2024","5,188.25","5,159.40","5,209.00","5,036.65","61.08K","0.56%"
"01-11-2024","5,159.40","5,120.00","5,180.00","5,104.00","4.21K","1.21%"
"31-10-2024","5,097.90","5,097.90","5,153.65","5,052.70","20.88K","0.01%"
"30-10-2024","5,097.55","5,249.00","5,288.00","5,085.00","25.03K","-1.90%"
"29-10-2024","5,196.40","5,332.30","5,343.00","5,162.00","20.56K","-1.37%"
"28-10-2024","5,268.55","5,250.00","5,328.00","5,187.35","24.31K","-0.66%"
"25-10-2024","5,303.40","5,399.00","5,399.00","5,229.80","24.38K","-1.07%"
"24-10-2024","5,360.70","5,512.25","5,512.25","5,225.00","15.42K","-2.56%"
"23-10-2024","5,501.50","5,501.95","5,554.35","5,366.00","17.58K","-0.04%"
"22-10-2024","5,503.60","5,600.00","5,604.20","5,420.05","33.31K","-1.68%"
"21-10-2024","5,597.85","5,764.70","5,768.95","5,581.35","17.77K","-1.32%"
"18-10-2024","5,673.00","5,730.00","5,798.60","5,612.50","26.15K","-1.99%"
"17-10-2024","5,788.40","5,738.05","5,929.00","5,729.95","52.83K","1.75%"
"16-10-2024","5,688.95","5,800.40","5,933.90","5,650.00","33.12K","-1.30%"
"15-10-2024","5,763.95","5,850.60","6,020.00","5,745.15","47.64K","-1.48%"
"14-10-2024","5,850.60","5,758.75","5,939.00","5,758.75","49.02K","1.59%"
"11-10-2024","5,758.75","5,787.60","5,849.45","5,656.05","17.77K","0.27%"
"10-10-2024","5,743.30","5,756.00","5,839.85","5,710.00","19.17K","0.66%"
"09-10-2024","5,705.90","5,673.15","5,776.90","5,656.55","38.14K","1.50%"
"08-10-2024","5,621.65","5,680.00","5,780.00","5,611.20","141.21K","-0.53%"
"07-10-2024","5,651.75","5,600.00","5,696.15","5,500.10","41.81K","0.63%"
"04-10-2024","5,616.40","5,570.00","5,766.00","5,560.00","186.59K","2.40%"
"03-10-2024","5,484.75","5,564.00","5,640.00","5,424.60","61.90K","-1.40%"
"01-10-2024","5,562.50","5,768.05","5,827.85","5,536.00","40.23K","-2.79%"
"30-09-2024","5,722.05","5,775.00","5,799.70","5,553.00","67.36K","-1.85%"
"27-09-2024","5,829.85","5,478.95","5,885.60","5,417.05","95.88K","7.64%"
"26-09-2024","5,416.15","5,450.00","5,499.00","5,380.00","19.39K","-0.21%"
"25-09-2024","5,427.55","5,518.90","5,518.90","5,409.00","14.59K","-0.86%"
"24-09-2024","5,474.50","5,569.00","5,569.25","5,431.00","31.95K","-1.33%"
"23-09-2024","5,548.50","5,527.90","5,578.85","5,448.05","23.20K","1.68%"
"20-09-2024","5,456.90","5,666.00","5,748.00","5,397.60","223.04K","-3.71%"
"19-09-2024","5,667.30","5,810.00","5,870.00","5,642.00","18.10K","-2.79%"
"18-09-2024","5,830.15","5,971.30","5,983.70","5,806.00","10.69K","-1.56%"
"17-09-2024","5,922.70","5,941.75","6,027.50","5,907.80","14.23K","-0.32%"
"16-09-2024","5,941.75","6,095.90","6,149.85","5,925.00","19.19K","-2.49%"
"13-09-2024","6,093.55","6,155.15","6,179.90","6,077.00","29.87K","-0.35%"
"12-09-2024","6,114.75","6,124.90","6,257.90","6,095.00","20.01K","-0.08%"
"11-09-2024","6,119.90","6,160.00","6,240.00","6,100.05","20.96K","-0.12%"
"10-09-2024","6,127.50","6,172.00","6,290.30","6,098.00","24.60K","-0.31%"
"09-09-2024","6,146.30","6,183.80","6,326.15","6,122.05","33.56K","-0.29%"
"06-09-2024","6,164.20","6,174.45","6,300.00","6,130.00","156.72K","0.27%"
"05-09-2024","6,147.75","6,228.00","6,270.40","6,100.05","123.74K","-0.18%"
"04-09-2024","6,159.05","6,060.00","6,200.00","6,050.05","205.38K","0.47%"
"03-09-2024","6,130.00","6,341.05","6,373.90","6,100.00","43.09K","-2.98%"
"02-09-2024","6,318.30","6,100.00","6,451.15","6,080.00","100.87K","4.18%"
"30-08-2024","6,065.05","5,920.05","6,100.00","5,920.05","36.74K","1.82%"
"29-08-2024","5,956.65","6,000.00","6,004.95","5,932.85","37.32K","-0.04%"
"28-08-2024","5,959.00","5,906.70","6,000.05","5,840.70","123.47K","1.56%"
"27-08-2024","5,867.20","5,771.00","6,020.00","5,771.00","186.78K","1.46%"
"26-08-2024","5,783.00","5,855.30","5,899.95","5,725.00","19.02K","-1.23%"
"23-08-2024","5,855.30","5,880.00","5,995.00","5,824.65","21.02K","-1.12%"
"22-08-2024","5,921.45","5,975.40","6,030.00","5,904.00","106.53K","-0.90%"
"21-08-2024","5,975.40","5,870.25","6,073.75","5,870.25","52.02K","1.25%"
"20-08-2024","5,901.90","5,895.00","5,922.45","5,820.00","14.50K","0.75%"
"19-08-2024","5,858.20","5,900.00","5,970.95","5,846.00","76.64K","0.12%"
"16-08-2024","5,850.95","5,760.05","5,948.30","5,760.05","31.12K","1.38%"
"14-08-2024","5,771.50","5,775.00","5,846.80","5,755.55","10.50K","-0.28%"
"13-08-2024","5,787.80","5,808.05","5,873.35","5,757.05","35.60K","-0.68%"
"12-08-2024","5,827.25","5,851.20","5,928.30","5,755.55","35.51K","-0.41%"
"09-08-2024","5,851.20","5,840.55","5,950.45","5,833.00","17.82K","0.18%"
"08-08-2024","5,840.55","5,813.20","5,999.85","5,805.90","48.29K","0.47%"
"07-08-2024","5,813.20","5,816.55","6,022.00","5,685.35","95.30K","0.35%"
"06-08-2024","5,792.90","5,567.55","6,088.95","5,547.00","151.72K","4.05%"
"05-08-2024","5,567.55","5,600.00","5,665.30","5,514.35","27.80K","-1.60%"
"02-08-2024","5,658.30","5,594.10","5,673.95","5,551.85","11.38K","0.32%"
"01-08-2024","5,640.35","5,630.05","5,670.00","5,562.05","22.93K","-0.18%"
"31-07-2024","5,650.80","5,581.00","5,675.00","5,522.55","38.55K","1.24%"
"30-07-2024","5,581.70","5,599.00","5,648.80","5,504.20","182.73K","3.99%"
"29-07-2024","5,367.75","5,260.00","5,436.00","5,250.00","25.17K","2.37%"
"26-07-2024","5,243.35","5,294.95","5,328.00","5,230.00","11.44K","-0.79%"
"25-07-2024","5,285.15","5,298.05","5,385.00","5,211.05","29.24K","-0.30%"
"24-07-2024","5,301.15","5,200.00","5,344.00","5,142.05","37.54K","2.11%"
