"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,512.10","1,509.90","1,546.95","1,495.00","478.47K","0.76%"
"05-11-2024","1,500.75","1,494.85","1,519.45","1,463.60","614.20K","0.29%"
"04-11-2024","1,496.40","1,553.00","1,553.50","1,473.55","900.26K","-3.47%"
"01-11-2024","1,550.20","1,559.00","1,560.00","1,529.95","42.89K","1.84%"
"31-10-2024","1,522.15","1,561.00","1,610.00","1,511.85","830.90K","-2.82%"
"30-10-2024","1,566.40","1,520.00","1,603.30","1,492.20","1.05M","3.17%"
"29-10-2024","1,518.25","1,460.95","1,549.10","1,429.70","1.22M","3.72%"
"28-10-2024","1,463.85","1,428.00","1,495.65","1,338.05","2.62M","-1.26%"
"25-10-2024","1,482.60","1,523.70","1,534.85","1,454.10","828.96K","-2.69%"
"24-10-2024","1,523.60","1,565.90","1,568.60","1,513.00","712.24K","-2.70%"
"23-10-2024","1,565.90","1,537.00","1,579.80","1,510.45","783.12K","-1.13%"
"22-10-2024","1,583.85","1,568.80","1,605.00","1,491.15","1.26M","0.74%"
"21-10-2024","1,572.20","1,599.85","1,630.00","1,562.70","398.95K","-2.40%"
"18-10-2024","1,610.80","1,602.00","1,630.30","1,598.75","297.44K","-0.79%"
"17-10-2024","1,623.60","1,677.95","1,682.75","1,610.00","244.02K","-3.24%"
"16-10-2024","1,677.95","1,655.75","1,684.95","1,640.70","249.54K","1.34%"
"15-10-2024","1,655.75","1,615.15","1,670.00","1,596.10","848.76K","2.51%"
"14-10-2024","1,615.15","1,635.00","1,646.30","1,603.00","337.04K","-0.85%"
"11-10-2024","1,628.95","1,667.50","1,667.50","1,622.05","410.26K","-2.34%"
"10-10-2024","1,668.00","1,715.00","1,734.90","1,658.70","493.41K","-3.51%"
"09-10-2024","1,728.75","1,685.00","1,756.75","1,658.20","1.13M","4.37%"
"08-10-2024","1,656.40","1,645.30","1,711.15","1,640.00","1.24M","-1.04%"
"07-10-2024","1,673.75","1,680.05","1,710.00","1,655.00","708.40K","0.09%"
"04-10-2024","1,672.30","1,680.00","1,688.10","1,560.00","1.83M","0.83%"
"03-10-2024","1,658.55","1,691.85","1,717.70","1,640.35","1.48M","-5.40%"
"01-10-2024","1,753.15","1,850.00","1,850.85","1,733.45","876.64K","-5.01%"
"30-09-2024","1,845.65","1,810.55","1,869.95","1,751.10","1.35M","-0.69%"
"27-09-2024","1,858.55","1,790.00","1,968.00","1,701.60","1.29M","2.51%"
"26-09-2024","1,813.10","1,804.90","1,827.80","1,780.00","362.46K","1.17%"
"25-09-2024","1,792.10","1,819.90","1,820.85","1,786.30","297.61K","-1.55%"
"24-09-2024","1,820.35","1,801.50","1,865.95","1,769.05","555.75K","0.89%"
"23-09-2024","1,804.30","1,880.90","1,890.00","1,789.65","477.66K","-2.16%"
"20-09-2024","1,844.05","1,820.00","1,950.00","1,722.05","1.30M","4.43%"
"19-09-2024","1,765.90","1,745.00","1,777.50","1,686.85","526.01K","2.50%"
"18-09-2024","1,722.85","1,759.93","1,782.50","1,680.63","457.89K","-1.35%"
"17-09-2024","1,746.35","1,777.47","1,789.70","1,739.63","502.89K","-1.12%"
"16-09-2024","1,766.13","1,689.47","1,775.00","1,647.80","716.33K","5.67%"
"13-09-2024","1,671.40","1,697.00","1,699.90","1,645.20","1.09M","-0.64%"
"12-09-2024","1,682.10","1,735.03","1,746.45","1,672.00","476.52K","-2.19%"
"11-09-2024","1,719.85","1,793.50","1,804.50","1,715.03","382.85K","-3.54%"
"10-09-2024","1,782.93","1,762.45","1,806.00","1,762.03","392.17K","1.95%"
"09-09-2024","1,748.90","1,817.57","1,837.22","1,731.30","495.35K","-3.02%"
"06-09-2024","1,803.38","1,827.47","1,895.95","1,795.63","1.48M","0.38%"
"05-09-2024","1,796.47","1,805.00","1,821.00","1,785.03","787.15K","-0.87%"
"04-09-2024","1,812.22","1,821.65","1,829.95","1,792.65","348.32K","-0.36%"
"03-09-2024","1,818.85","1,850.00","1,868.13","1,810.00","372.22K","-2.13%"
"02-09-2024","1,858.38","1,892.00","1,907.07","1,835.00","325.22K","-1.40%"
"30-08-2024","1,884.70","1,815.00","1,918.97","1,801.68","2.09M","3.49%"
"29-08-2024","1,821.13","1,814.25","1,840.90","1,800.50","298.17K","-0.98%"
"28-08-2024","1,839.07","1,827.88","1,855.60","1,795.00","437.25K","0.61%"
"27-08-2024","1,827.88","1,806.38","1,832.50","1,797.03","328.99K","1.19%"
"26-08-2024","1,806.38","1,786.43","1,814.00","1,763.68","505.48K","1.39%"
"23-08-2024","1,781.68","1,845.03","1,868.72","1,776.00","847.01K","-3.43%"
"22-08-2024","1,845.03","1,756.78","1,855.00","1,748.32","707.12K","5.17%"
"21-08-2024","1,754.30","1,769.03","1,792.45","1,734.13","405.71K","-2.00%"
"20-08-2024","1,790.10","1,750.03","1,798.00","1,734.07","384.55K","2.56%"
"19-08-2024","1,745.45","1,693.10","1,750.00","1,688.00","187.00K","3.44%"
"16-08-2024","1,687.35","1,690.95","1,705.30","1,673.68","327.02K","0.28%"
"14-08-2024","1,682.57","1,704.97","1,709.10","1,656.40","303.13K","-1.85%"
"13-08-2024","1,714.35","1,685.50","1,727.00","1,656.88","530.16K","2.99%"
"12-08-2024","1,664.65","1,681.05","1,711.95","1,655.05","530.72K","-1.00%"
"09-08-2024","1,681.45","1,662.00","1,695.00","1,656.82","459.61K","1.75%"
"08-08-2024","1,652.60","1,639.50","1,664.00","1,621.97","610.05K","1.07%"
"07-08-2024","1,635.10","1,644.95","1,668.95","1,605.28","461.58K","0.72%"
"06-08-2024","1,623.40","1,659.00","1,723.00","1,612.25","982.51K","-3.13%"
"05-08-2024","1,675.85","1,649.50","1,692.47","1,558.50","2.10M","-3.47%"
"02-08-2024","1,736.18","1,789.50","1,798.82","1,717.50","719.37K","-3.73%"
"01-08-2024","1,803.45","1,798.75","1,810.32","1,749.90","949.47K","0.27%"
"31-07-2024","1,798.60","1,868.22","1,877.38","1,790.13","738.01K","-2.76%"
"30-07-2024","1,849.63","1,814.45","1,945.05","1,812.53","1.19M","1.96%"
"29-07-2024","1,814.07","1,835.00","1,837.07","1,777.50","583.70K","2.60%"
"26-07-2024","1,768.13","1,763.38","1,796.50","1,745.50","634.45K","1.03%"
"25-07-2024","1,750.13","1,774.93","1,774.93","1,715.82","1.12M","-1.82%"
"24-07-2024","1,782.65","1,885.05","1,887.50","1,774.50","734.75K","-5.72%"
"23-07-2024","1,890.75","1,859.00","1,912.93","1,792.50","594.45K","1.57%"
"22-07-2024","1,861.50","1,975.00","1,975.00","1,803.00","1.05M","-6.03%"
"19-07-2024","1,980.93","2,043.00","2,043.00","1,955.55","383.84K","-3.26%"
"18-07-2024","2,047.65","2,032.50","2,068.50","2,007.50","577.77K","0.46%"
"16-07-2024","2,038.28","2,030.00","2,049.50","1,998.97","624.24K","2.21%"
"15-07-2024","1,994.25","1,955.50","2,020.00","1,905.53","1.15M","2.19%"
"12-07-2024","1,951.43","1,975.00","1,975.00","1,918.50","830.25K","-0.78%"
"11-07-2024","1,966.75","1,995.00","2,047.00","1,955.50","1.12M","-1.61%"
"10-07-2024","1,999.00","2,037.38","2,037.38","1,919.00","757.17K","-0.69%"
"09-07-2024","2,012.82","1,875.00","2,038.00","1,864.68","1.18M","7.11%"
"08-07-2024","1,879.30","1,869.53","1,902.50","1,853.88","533.49K","0.12%"
"05-07-2024","1,877.05","1,864.50","1,885.00","1,841.30","431.77K","0.62%"
"04-07-2024","1,865.43","1,839.93","1,880.00","1,836.53","427.05K","2.02%"
"03-07-2024","1,828.40","1,798.97","1,840.00","1,783.65","952.16K","2.18%"
"02-07-2024","1,789.40","1,793.35","1,799.20","1,759.50","287.65K","0.21%"
"01-07-2024","1,785.70","1,794.30","1,811.05","1,760.40","626.77K","-0.47%"
"28-06-2024","1,794.15","1,792.50","1,812.00","1,747.03","591.95K","0.79%"
"27-06-2024","1,780.13","1,820.00","1,845.97","1,767.50","448.45K","-2.54%"
"26-06-2024","1,826.60","1,849.95","1,868.40","1,815.00","406.69K","-1.40%"
"25-06-2024","1,852.45","1,812.45","1,873.95","1,799.00","413.53K","2.92%"
"24-06-2024","1,799.82","1,792.25","1,829.50","1,768.53","364.32K","0.05%"
"21-06-2024","1,798.95","1,825.00","1,850.00","1,765.00","812.96K","-2.01%"
"20-06-2024","1,835.82","1,847.50","1,855.00","1,797.32","569.76K","0.33%"
"19-06-2024","1,829.85","1,868.00","1,875.00","1,805.32","948.70K","-3.81%"
"18-06-2024","1,902.28","1,784.50","1,972.50","1,755.03","1.13M","6.82%"
"14-06-2024","1,780.80","1,717.50","1,797.50","1,701.10","757.44K","3.76%"
"13-06-2024","1,716.32","1,734.82","1,757.55","1,680.78","519.55K","0.70%"
"12-06-2024","1,704.43","1,700.05","1,739.50","1,673.00","841.08K","0.07%"
"11-06-2024","1,703.25","1,684.10","1,716.85","1,678.35","593.81K","2.34%"
"10-06-2024","1,664.30","1,620.00","1,677.00","1,620.00","779.88K","3.17%"
"07-06-2024","1,613.18","1,614.70","1,639.88","1,585.10","527.14K","0.58%"
"06-06-2024","1,603.85","1,624.50","1,685.88","1,581.18","724.86K","-0.37%"
"05-06-2024","1,609.88","1,629.00","1,651.68","1,490.00","1.25M","-1.16%"
"04-06-2024","1,628.85","1,682.50","1,711.72","1,535.00","1.69M","-2.55%"
"03-06-2024","1,671.45","1,612.50","1,694.90","1,580.00","1.52M","7.85%"
"31-05-2024","1,549.82","1,550.00","1,649.50","1,512.53","24.66M","1.03%"
"30-05-2024","1,534.07","1,558.47","1,572.50","1,508.55","1.82M","-1.07%"
"29-05-2024","1,550.70","1,542.03","1,559.25","1,517.05","1.69M","0.48%"
"28-05-2024","1,543.35","1,590.00","1,598.20","1,518.05","2.25M","-3.31%"
"27-05-2024","1,596.25","1,619.70","1,637.40","1,562.50","1.94M","-0.51%"
"24-05-2024","1,604.47","1,602.70","1,627.70","1,566.47","1.11M","0.11%"
"23-05-2024","1,602.70","1,616.00","1,621.68","1,581.50","1.39M","-0.48%"
"22-05-2024","1,610.50","1,584.50","1,658.47","1,572.82","2.43M","2.44%"
"21-05-2024","1,572.13","1,565.00","1,584.97","1,465.47","2.02M","0.60%"
"18-05-2024","1,562.80","1,560.00","1,596.12","1,557.53","197.42K","2.81%"
"17-05-2024","1,520.13","1,494.88","1,532.00","1,455.65","1.25M","1.84%"
