"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,614.20","4,553.40","4,624.30","4,549.50","151.77K","1.68%"
"05-11-2024","4,537.90","4,475.00","4,558.10","4,441.20","289.33K","1.66%"
"04-11-2024","4,463.65","4,503.75","4,503.75","4,414.60","284.28K","-0.89%"
"01-11-2024","4,503.75","4,488.50","4,526.40","4,391.25","13.16K","0.34%"
"31-10-2024","4,488.50","4,562.00","4,563.20","4,438.05","152.63K","-0.16%"
"30-10-2024","4,495.55","4,439.60","4,520.60","4,405.50","189.15K","1.92%"
"29-10-2024","4,410.95","4,363.10","4,420.05","4,288.90","64.74K","1.17%"
"28-10-2024","4,359.75","4,334.95","4,386.15","4,311.30","122.40K","0.74%"
"25-10-2024","4,327.65","4,339.90","4,363.90","4,270.95","74.40K","0.16%"
"24-10-2024","4,320.90","4,334.05","4,375.30","4,299.10","96.06K","-0.72%"
"23-10-2024","4,352.15","4,260.00","4,411.20","4,259.00","219.52K","0.77%"
"22-10-2024","4,319.00","4,385.70","4,449.00","4,303.20","155.24K","-1.84%"
"21-10-2024","4,400.10","4,560.90","4,635.10","4,366.05","288.71K","-3.52%"
"18-10-2024","4,560.70","4,459.95","4,590.80","4,407.05","246.27K","2.19%"
"17-10-2024","4,463.00","4,618.90","4,618.90","4,447.55","92.94K","-2.73%"
"16-10-2024","4,588.05","4,560.00","4,612.35","4,528.00","217.24K","0.66%"
"15-10-2024","4,557.90","4,564.75","4,564.75","4,504.50","73.65K","-0.15%"
"14-10-2024","4,564.75","4,543.45","4,582.00","4,480.15","176.22K","0.91%"
"11-10-2024","4,523.60","4,572.50","4,591.95","4,495.35","72.67K","-0.84%"
"10-10-2024","4,561.85","4,615.50","4,657.60","4,525.05","61.75K","-0.94%"
"09-10-2024","4,605.25","4,600.45","4,618.80","4,549.00","74.77K","0.76%"
"08-10-2024","4,570.70","4,490.05","4,591.95","4,472.80","103.41K","1.63%"
"07-10-2024","4,497.50","4,590.00","4,625.00","4,475.05","265.53K","-1.96%"
"04-10-2024","4,587.25","4,652.10","4,724.30","4,570.55","148.19K","-1.57%"
"03-10-2024","4,660.45","4,726.95","4,759.00","4,621.80","179.08K","-1.50%"
"01-10-2024","4,731.35","4,686.00","4,741.05","4,655.75","100.02K","1.62%"
"30-09-2024","4,655.75","4,652.95","4,721.00","4,631.75","280.67K","0.06%"
"27-09-2024","4,652.95","4,635.00","4,681.00","4,590.05","149.87K","0.63%"
"26-09-2024","4,624.05","4,619.65","4,640.80","4,580.00","143.49K","0.08%"
"25-09-2024","4,620.50","4,615.50","4,638.40","4,522.65","147.43K","0.07%"
"24-09-2024","4,617.25","4,700.00","4,765.95","4,585.85","258.16K","-1.54%"
"23-09-2024","4,689.65","4,746.60","4,746.65","4,665.00","264.91K","-0.56%"
"20-09-2024","4,716.00","4,688.00","4,804.05","4,646.25","606.32K","1.02%"
"19-09-2024","4,668.55","4,660.00","4,739.35","4,607.40","311.21K","0.29%"
"18-09-2024","4,654.90","4,700.00","4,704.95","4,598.20","151.91K","-0.81%"
"17-09-2024","4,692.80","4,675.00","4,716.95","4,611.55","127.43K","0.78%"
"16-09-2024","4,656.50","4,675.00","4,699.10","4,621.00","240.97K","-0.08%"
"13-09-2024","4,660.25","4,649.50","4,691.00","4,636.55","191.35K","0.36%"
"12-09-2024","4,643.60","4,654.15","4,691.20","4,606.65","113.20K","0.44%"
"11-09-2024","4,623.45","4,694.00","4,748.90","4,610.55","275.74K","-1.43%"
"10-09-2024","4,690.65","4,610.05","4,701.00","4,610.05","355.23K","1.59%"
"09-09-2024","4,617.25","4,613.25","4,644.15","4,565.70","476.79K","0.09%"
"06-09-2024","4,613.25","4,513.00","4,660.95","4,483.35","613.14K","2.29%"
"05-09-2024","4,509.95","4,532.00","4,559.95","4,490.20","149.74K","0.18%"
"04-09-2024","4,501.80","4,499.90","4,590.00","4,476.60","231.20K","-0.84%"
"03-09-2024","4,539.80","4,609.95","4,630.45","4,522.50","255.56K","-0.83%"
"02-09-2024","4,577.85","4,524.90","4,610.00","4,493.40","365.41K","1.83%"
"30-08-2024","4,495.45","4,472.25","4,524.50","4,460.50","446.34K","0.72%"
"29-08-2024","4,463.45","4,520.00","4,526.95","4,438.45","177.01K","-1.01%"
"28-08-2024","4,509.10","4,458.00","4,520.00","4,421.45","200.32K","1.13%"
"27-08-2024","4,458.55","4,405.00","4,489.35","4,383.70","221.61K","1.21%"
"26-08-2024","4,405.15","4,449.25","4,486.40","4,392.75","333.89K","-0.35%"
"23-08-2024","4,420.50","4,450.00","4,456.80","4,375.20","229.35K","-0.17%"
"22-08-2024","4,428.05","4,369.00","4,497.10","4,366.05","315.08K","1.36%"
"21-08-2024","4,368.60","4,327.00","4,404.45","4,305.70","287.24K","0.96%"
"20-08-2024","4,327.25","4,325.00","4,350.00","4,257.00","263.57K","0.08%"
"19-08-2024","4,323.60","4,450.00","4,468.40","4,296.65","672.78K","-2.54%"
"16-08-2024","4,436.50","4,390.00","4,440.00","4,303.00","216.07K","2.36%"
"14-08-2024","4,334.30","4,370.00","4,372.75","4,294.00","170.69K","-0.89%"
"13-08-2024","4,373.25","4,464.00","4,464.00","4,360.10","262.46K","-1.53%"
"12-08-2024","4,441.00","4,484.85","4,517.85","4,365.75","535.22K","-1.04%"
"09-08-2024","4,487.70","4,600.00","4,600.00","4,465.35","362.96K","0.68%"
"08-08-2024","4,457.25","4,460.00","4,550.00","4,391.50","462.55K","0.79%"
"07-08-2024","4,422.20","4,410.00","4,458.30","4,325.90","891.16K","3.69%"
"06-08-2024","4,264.75","4,228.70","4,329.10","4,224.20","425.33K","1.29%"
"05-08-2024","4,210.60","4,220.00","4,293.00","4,185.15","611.76K","-1.60%"
"02-08-2024","4,278.90","4,369.95","4,405.85","4,251.45","274.12K","-3.03%"
"01-08-2024","4,412.65","4,440.35","4,453.80","4,369.30","313.32K","-0.41%"
"31-07-2024","4,430.75","4,384.80","4,467.05","4,352.90","359.20K","1.05%"
"30-07-2024","4,384.85","4,400.00","4,413.00","4,351.45","264.46K","-0.27%"
"29-07-2024","4,396.85","4,208.25","4,429.05","4,208.25","942.60K","4.51%"
"26-07-2024","4,207.00","4,025.85","4,214.50","4,010.00","756.61K","4.96%"
"25-07-2024","4,008.10","3,910.00","4,031.00","3,910.00","199.59K","0.00%"
"24-07-2024","4,008.15","4,025.35","4,032.00","3,951.35","194.04K","-0.43%"
"23-07-2024","4,025.35","4,020.00","4,058.30","3,831.15","504.04K","0.43%"
"22-07-2024","4,008.10","3,849.95","4,032.00","3,777.00","829.61K","4.51%"
"19-07-2024","3,835.30","3,905.00","3,920.60","3,812.00","254.84K","-1.78%"
"18-07-2024","3,905.00","3,894.00","3,928.30","3,849.05","330.92K","0.63%"
"16-07-2024","3,880.60","3,867.00","3,915.95","3,860.00","221.31K","0.36%"
"15-07-2024","3,866.85","3,925.70","3,925.70","3,840.00","255.41K","-0.88%"
"12-07-2024","3,901.30","3,868.30","3,922.20","3,844.60","459.18K","1.01%"
"11-07-2024","3,862.15","3,845.70","3,869.05","3,806.25","125.45K","0.43%"
"10-07-2024","3,845.70","3,857.00","3,863.20","3,780.00","168.98K","-0.45%"
"09-07-2024","3,863.20","3,800.00","3,913.30","3,789.20","620.57K","2.83%"
"08-07-2024","3,756.75","3,765.15","3,795.10","3,730.10","475.22K","-0.84%"
"05-07-2024","3,788.50","3,784.50","3,806.95","3,775.00","193.68K","-0.06%"
"04-07-2024","3,790.80","3,797.35","3,817.00","3,770.00","250.91K","-0.17%"
"03-07-2024","3,797.35","3,780.00","3,804.95","3,761.05","329.73K","1.08%"
"02-07-2024","3,756.65","3,826.60","3,845.85","3,728.00","293.41K","-1.55%"
"01-07-2024","3,815.65","3,799.50","3,844.00","3,768.85","244.93K","0.44%"
"28-06-2024","3,798.75","3,834.00","3,864.60","3,785.60","172.80K","-0.54%"
"27-06-2024","3,819.55","3,950.00","3,950.00","3,811.05","1.26M","1.15%"
"26-06-2024","3,775.95","3,780.00","3,795.00","3,755.55","310.21K","-0.22%"
"25-06-2024","3,784.40","3,810.00","3,824.80","3,725.35","324.87K","-0.49%"
"24-06-2024","3,803.10","3,753.00","3,825.00","3,684.95","491.34K","1.32%"
"21-06-2024","3,753.70","3,800.75","3,805.90","3,725.00","548.45K","-0.56%"
"20-06-2024","3,774.95","3,687.90","3,805.00","3,657.65","805.77K","3.41%"
"19-06-2024","3,650.60","3,667.65","3,705.00","3,638.50","261.31K","-0.28%"
"18-06-2024","3,660.90","3,662.55","3,669.30","3,644.05","216.88K","0.60%"
"14-06-2024","3,639.00","3,638.20","3,657.10","3,625.10","296.03K","0.02%"
"13-06-2024","3,638.20","3,649.00","3,658.70","3,620.00","149.50K","0.09%"
"12-06-2024","3,635.05","3,629.95","3,645.60","3,590.10","372.10K","0.77%"
"11-06-2024","3,607.10","3,600.00","3,664.25","3,594.60","502.87K","-0.92%"
"10-06-2024","3,640.50","3,585.00","3,663.10","3,550.00","823.16K","-0.06%"
"07-06-2024","3,642.60","3,616.05","3,652.50","3,614.00","324.84K","-0.25%"
"06-06-2024","3,651.60","3,694.00","3,694.00","3,632.55","377.89K","-0.40%"
"05-06-2024","3,666.10","3,540.00","3,711.10","3,441.05","597.64K","2.00%"
"04-06-2024","3,594.25","3,595.00","3,655.00","3,523.85","804.26K","-1.41%"
"03-06-2024","3,645.75","3,584.00","3,680.00","3,565.00","437.92K","3.00%"
"31-05-2024","3,539.70","3,557.25","3,578.00","3,511.40","1.25M","-0.49%"
"30-05-2024","3,557.25","3,563.00","3,578.50","3,527.00","222.20K","-0.60%"
"29-05-2024","3,578.55","3,604.00","3,604.00","3,561.35","297.94K","-1.08%"
"28-05-2024","3,617.75","3,625.95","3,641.95","3,590.55","316.87K","0.07%"
"27-05-2024","3,615.40","3,649.00","3,718.45","3,592.15","613.74K","-0.43%"
"24-05-2024","3,630.90","3,674.00","3,674.00","3,595.20","241.47K","-0.78%"
"23-05-2024","3,659.50","3,699.00","3,699.00","3,638.00","277.51K","-1.09%"
"22-05-2024","3,699.75","3,613.00","3,724.50","3,592.05","1.04M","3.20%"
"21-05-2024","3,584.95","3,598.00","3,604.00","3,546.75","221.52K","0.15%"
"18-05-2024","3,579.75","3,596.00","3,604.90","3,560.40","23.83K","0.08%"
"17-05-2024","3,576.80","3,604.05","3,636.95","3,521.10","1.18M","-0.87%"
"16-05-2024","3,608.30","3,627.00","3,652.20","3,575.70","342.00K","-1.53%"
"15-05-2024","3,664.40","3,749.90","3,749.90","3,605.80","392.76K","-0.09%"
"14-05-2024","3,667.60","3,651.00","3,685.00","3,586.20","150.11K","0.24%"
"13-05-2024","3,658.75","3,550.05","3,675.15","3,547.60","292.53K","2.70%"
"10-05-2024","3,562.60","3,526.55","3,570.40","3,504.15","106.31K","1.29%"
"09-05-2024","3,517.15","3,532.00","3,590.00","3,504.90","314.01K","-0.07%"
"08-05-2024","3,519.75","3,485.00","3,544.70","3,475.00","638.39K","0.35%"
"07-05-2024","3,507.50","3,586.00","3,599.85","3,497.00","424.01K","-2.38%"
"06-05-2024","3,592.90","3,611.55","3,637.35","3,576.75","366.59K","-0.04%"
"03-05-2024","3,594.25","3,640.95","3,655.95","3,560.00","318.93K","-1.28%"
"02-05-2024","3,640.90","3,654.10","3,687.15","3,627.00","211.27K","-0.36%"
"30-04-2024","3,654.10","3,765.00","3,765.00","3,592.00","807.82K","-2.42%"
"29-04-2024","3,744.65","3,789.00","3,842.45","3,732.00","348.72K","-0.71%"
"26-04-2024","3,771.25","3,765.00","3,781.00","3,740.00","166.81K","0.40%"
"25-04-2024","3,756.05","3,772.25","3,778.95","3,721.65","169.35K","0.03%"
"24-04-2024","3,754.85","3,695.10","3,763.90","3,692.30","131.70K","1.72%"
"23-04-2024","3,691.50","3,734.90","3,734.90","3,674.35","241.56K","-0.64%"
"22-04-2024","3,715.35","3,732.95","3,800.00","3,681.50","220.59K","0.16%"
"19-04-2024","3,709.25","3,655.05","3,735.00","3,655.05","135.25K","-0.20%"
"18-04-2024","3,716.55","3,740.00","3,795.50","3,700.00","244.65K","-0.69%"
"16-04-2024","3,742.25","3,784.25","3,833.10","3,737.00","255.35K","-1.44%"
"15-04-2024","3,797.00","3,765.00","3,818.10","3,731.00","637.71K","-1.64%"
"12-04-2024","3,860.25","3,871.70","3,915.90","3,829.15","289.59K","-0.01%"
"10-04-2024","3,860.55","3,854.00","3,893.65","3,831.25","521.52K","-1.16%"
"09-04-2024","3,905.75","4,022.55","4,040.00","3,842.45","345.00K","-1.36%"
"08-04-2024","3,959.70","3,899.95","3,975.10","3,836.35","542.29K","2.32%"
"05-04-2024","3,869.80","3,834.40","3,894.00","3,803.00","258.92K","1.44%"
"04-04-2024","3,815.05","3,901.80","3,909.95","3,806.30","246.90K","-2.09%"
"03-04-2024","3,896.60","3,856.45","3,928.00","3,826.95","475.77K","1.04%"
"02-04-2024","3,856.45","3,913.45","3,938.00","3,840.65","356.69K","-0.82%"
"01-04-2024","3,888.15","3,887.50","3,900.00","3,801.00","254.12K","0.53%"
"28-03-2024","3,867.55","3,865.00","3,905.90","3,801.00","405.27K","0.85%"
"27-03-2024","3,834.90","3,819.90","3,878.00","3,774.05","1.44M","1.03%"
"26-03-2024","3,795.70","3,800.35","3,845.00","3,749.95","357.67K","0.12%"
"22-03-2024","3,791.15","3,731.00","3,802.45","3,731.00","166.91K","1.07%"
"21-03-2024","3,751.10","3,650.00","3,767.80","3,640.40","311.47K","3.19%"
"20-03-2024","3,635.30","3,726.55","3,726.55","3,618.30","410.68K","-1.81%"
"19-03-2024","3,702.50","3,740.00","3,764.90","3,681.75","461.94K","-0.75%"
"18-03-2024","3,730.60","3,649.15","3,744.60","3,621.10","264.95K","2.23%"
"15-03-2024","3,649.15","3,636.50","3,659.80","3,612.85","336.17K","-0.03%"
"14-03-2024","3,650.40","3,575.05","3,663.95","3,533.00","169.21K","1.94%"
"13-03-2024","3,580.80","3,650.00","3,655.35","3,545.15","440.22K","-1.63%"
"12-03-2024","3,639.95","3,652.10","3,666.75","3,577.50","334.40K","-0.33%"
"11-03-2024","3,652.10","3,629.95","3,769.70","3,620.60","502.60K","0.72%"
"07-03-2024","3,626.00","3,655.15","3,714.35","3,617.05","298.79K","-0.74%"
"06-03-2024","3,653.00","3,622.75","3,659.90","3,580.45","263.51K","0.57%"
"05-03-2024","3,632.30","3,635.00","3,651.25","3,609.30","194.01K","0.42%"
"04-03-2024","3,617.25","3,688.05","3,715.00","3,610.00","203.43K","-2.05%"
"02-03-2024","3,693.00","3,675.00","3,706.05","3,657.00","11.18K","0.40%"
"01-03-2024","3,678.45","3,673.25","3,699.15","3,646.50","95.03K","0.16%"
"29-02-2024","3,672.70","3,600.00","3,697.00","3,576.80","419.85K","1.06%"
"28-02-2024","3,634.15","3,652.30","3,685.95","3,610.15","253.83K","-1.04%"
"27-02-2024","3,672.25","3,693.00","3,701.85","3,647.00","181.11K","-0.61%"
"26-02-2024","3,694.90","3,650.05","3,712.00","3,647.45","183.13K","0.55%"
"23-02-2024","3,674.70","3,695.00","3,702.50","3,660.00","169.84K","-0.17%"
"22-02-2024","3,680.85","3,681.00","3,697.95","3,632.55","141.41K","-0.06%"
"21-02-2024","3,683.00","3,698.00","3,704.95","3,656.55","305.51K","-0.01%"
"20-02-2024","3,683.40","3,655.00","3,695.00","3,650.25","304.95K","0.42%"
"19-02-2024","3,667.95","3,668.85","3,680.00","3,620.00","298.79K","0.62%"
"16-02-2024","3,645.30","3,575.00","3,662.55","3,575.00","904.62K","2.18%"
"15-02-2024","3,567.60","3,440.55","3,610.00","3,440.55","1.14M","4.37%"
"14-02-2024","3,418.15","3,418.05","3,456.95","3,378.65","504.76K","-0.15%"
"13-02-2024","3,423.35","3,439.95","3,470.95","3,364.05","861.08K","0.58%"
"12-02-2024","3,403.45","3,499.00","3,499.00","3,369.40","769.17K","-2.32%"
"09-02-2024","3,484.35","3,469.45","3,510.00","3,426.00","737.22K","0.83%"
"08-02-2024","3,455.75","3,343.00","3,474.95","3,342.80","871.83K","3.79%"
"07-02-2024","3,329.65","3,335.00","3,357.25","3,291.00","267.01K","0.46%"
"06-02-2024","3,314.45","3,283.05","3,337.90","3,264.00","264.32K","0.99%"
"05-02-2024","3,281.95","3,366.00","3,389.85","3,264.00","408.13K","-2.79%"
"02-02-2024","3,376.25","3,446.00","3,446.00","3,368.25","174.19K","-1.02%"
"01-02-2024","3,411.15","3,372.65","3,417.20","3,353.05","287.02K","1.14%"
"31-01-2024","3,372.65","3,265.80","3,390.00","3,254.55","292.00K","3.27%"
"30-01-2024","3,265.80","3,291.05","3,318.60","3,260.80","205.90K","-0.83%"
"29-01-2024","3,293.15","3,252.00","3,308.80","3,248.00","218.31K","1.58%"
"25-01-2024","3,241.95","3,278.00","3,300.00","3,220.00","241.57K","-1.24%"
"24-01-2024","3,282.70","3,297.00","3,316.95","3,258.85","192.71K","0.12%"
"23-01-2024","3,278.90","3,382.40","3,395.70","3,251.80","469.76K","-3.13%"
"20-01-2024","3,385.00","3,424.90","3,428.55","3,380.00","116.96K","-0.60%"
"19-01-2024","3,405.40","3,377.90","3,432.00","3,366.00","212.33K","1.46%"
"18-01-2024","3,356.30","3,413.00","3,420.00","3,330.30","458.14K","-1.89%"
"17-01-2024","3,420.90","3,469.00","3,469.00","3,401.35","274.49K","-1.73%"
"16-01-2024","3,481.15","3,463.00","3,486.30","3,448.10","330.16K","0.56%"
"15-01-2024","3,461.70","3,490.00","3,490.00","3,427.80","286.43K","0.30%"
"12-01-2024","3,451.30","3,508.40","3,508.50","3,432.00","308.83K","-0.98%"
"11-01-2024","3,485.55","3,459.40","3,507.00","3,446.00","310.54K","0.76%"
"10-01-2024","3,459.40","3,440.00","3,470.40","3,417.00","177.99K","0.54%"
"09-01-2024","3,440.95","3,459.75","3,459.75","3,418.60","519.00K","1.05%"
"08-01-2024","3,405.20","3,473.00","3,473.00","3,400.00","242.93K","-1.60%"
"05-01-2024","3,460.50","3,458.00","3,472.10","3,437.00","295.65K","0.65%"
"04-01-2024","3,438.05","3,470.00","3,479.75","3,418.85","368.74K","-0.74%"
"03-01-2024","3,463.85","3,487.00","3,493.70","3,455.25","212.69K","-0.64%"
"02-01-2024","3,486.05","3,500.00","3,505.00","3,439.80","229.91K","0.21%"
"01-01-2024","3,478.65","3,529.00","3,543.85","3,470.00","415.26K","-1.06%"
"29-12-2023","3,515.90","3,491.95","3,521.95","3,466.05","257.57K","0.89%"
"28-12-2023","3,484.80","3,479.90","3,491.00","3,446.90","291.68K","0.64%"
"27-12-2023","3,462.80","3,458.00","3,480.00","3,433.00","293.27K","0.32%"
"26-12-2023","3,451.85","3,446.95","3,466.05","3,430.00","220.99K","0.70%"
"22-12-2023","3,427.95","3,447.00","3,447.80","3,403.30","327.13K","0.09%"
"21-12-2023","3,424.95","3,351.00","3,428.00","3,329.55","487.46K","1.61%"
"20-12-2023","3,370.55","3,412.00","3,463.00","3,353.60","1.13M","-0.69%"
"19-12-2023","3,393.95","3,415.00","3,424.85","3,370.85","580.77K","-0.61%"
"18-12-2023","3,414.80","3,401.00","3,424.95","3,380.50","488.13K","0.41%"
"15-12-2023","3,400.70","3,395.00","3,444.00","3,365.30","1.49M","1.08%"
"14-12-2023","3,364.50","3,466.00","3,473.95","3,316.55","2.56M","-1.82%"
"13-12-2023","3,426.85","3,545.00","3,575.00","3,347.10","3.44M","-1.64%"
