"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,094.25","1,074.95","1,103.60","1,071.70","716.96K","2.06%"
"05-11-2024","1,072.15","1,047.10","1,081.00","1,036.50","482.75K","2.01%"
"04-11-2024","1,051.00","1,065.95","1,071.90","1,030.10","616.13K","-1.40%"
"01-11-2024","1,065.95","1,063.60","1,079.90","1,060.00","105.31K","0.45%"
"31-10-2024","1,061.20","1,079.00","1,092.90","1,050.00","750.79K","-1.65%"
"30-10-2024","1,079.00","1,083.00","1,106.00","1,067.50","958.40K","-0.42%"
"29-10-2024","1,083.50","1,075.00","1,087.85","1,055.75","747.02K","0.78%"
"28-10-2024","1,075.15","1,050.95","1,080.55","1,044.95","1.35M","2.22%"
"25-10-2024","1,051.80","1,052.00","1,069.90","1,037.00","2.18M","-0.04%"
"24-10-2024","1,052.25","1,036.55","1,061.60","995.00","2.21M","0.77%"
"23-10-2024","1,044.25","1,025.00","1,048.95","1,005.05","1.05M","1.81%"
"22-10-2024","1,025.65","1,032.60","1,050.00","1,011.55","964.84K","-0.58%"
"21-10-2024","1,031.60","1,044.00","1,064.55","1,017.85","1.31M","-0.42%"
"18-10-2024","1,035.95","1,039.85","1,063.95","1,015.35","893.46K","-0.01%"
"17-10-2024","1,036.05","1,103.00","1,110.00","1,032.00","1.29M","-6.16%"
"16-10-2024","1,104.10","1,088.00","1,113.35","1,085.00","1.70M","0.75%"
"15-10-2024","1,095.85","1,090.95","1,104.60","1,081.45","589.95K","0.01%"
"14-10-2024","1,095.70","1,079.80","1,098.90","1,067.55","782.71K","1.47%"
"11-10-2024","1,079.80","1,051.00","1,088.95","1,047.25","1.16M","2.60%"
"10-10-2024","1,052.40","1,036.00","1,059.00","1,034.65","648.63K","2.08%"
"09-10-2024","1,031.00","1,030.00","1,049.15","1,013.45","1.53M","0.68%"
"08-10-2024","1,024.00","1,001.75","1,028.55","998.00","584.95K","2.22%"
"07-10-2024","1,001.75","1,035.55","1,051.70","986.05","1.14M","-2.97%"
"04-10-2024","1,032.45","1,059.25","1,071.30","1,026.00","846.63K","-2.29%"
"03-10-2024","1,056.65","1,086.25","1,105.90","1,048.65","1.06M","-4.23%"
"01-10-2024","1,103.30","1,106.40","1,121.90","1,099.70","877.20K","-0.04%"
"30-09-2024","1,103.70","1,093.70","1,120.80","1,081.00","1.20M","0.91%"
"27-09-2024","1,093.70","1,099.00","1,107.85","1,078.15","1.81M","0.44%"
"26-09-2024","1,088.95","1,074.00","1,095.00","1,052.30","959.32K","1.85%"
"25-09-2024","1,069.20","1,067.00","1,076.45","1,056.00","471.30K","0.75%"
"24-09-2024","1,061.25","1,073.20","1,086.45","1,056.30","695.65K","-1.11%"
"23-09-2024","1,073.20","1,058.00","1,081.20","1,049.00","692.80K","2.55%"
"20-09-2024","1,046.55","1,054.80","1,066.05","1,036.35","958.67K","-0.38%"
"19-09-2024","1,050.55","1,087.90","1,115.45","1,040.00","1.62M","-2.88%"
"18-09-2024","1,081.70","1,093.90","1,105.15","1,071.05","747.98K","-0.84%"
"17-09-2024","1,090.85","1,125.00","1,126.05","1,086.20","675.19K","-2.83%"
"16-09-2024","1,122.65","1,125.00","1,143.80","1,082.50","2.12M","0.32%"
"13-09-2024","1,119.10","1,070.00","1,125.00","1,066.20","3.08M","4.60%"
"12-09-2024","1,069.90","1,048.00","1,075.00","1,048.00","739.93K","2.54%"
"11-09-2024","1,043.35","1,059.40","1,069.00","1,036.85","472.16K","-1.41%"
"10-09-2024","1,058.25","1,070.00","1,075.65","1,054.45","486.23K","-0.44%"
"09-09-2024","1,062.90","1,044.00","1,070.00","1,031.00","1.98M","0.96%"
"06-09-2024","1,052.75","1,080.90","1,083.00","1,048.40","718.95K","-2.41%"
"05-09-2024","1,078.80","1,062.00","1,088.00","1,061.00","866.77K","2.02%"
"04-09-2024","1,057.45","1,054.60","1,074.00","1,043.05","898.04K","-0.63%"
"03-09-2024","1,064.20","1,061.00","1,083.15","1,058.35","1.11M","0.62%"
"02-09-2024","1,057.60","1,040.10","1,070.50","1,035.70","681.71K","1.36%"
"30-08-2024","1,043.45","1,055.00","1,067.70","1,035.00","1.32M","-1.16%"
"29-08-2024","1,055.70","1,060.00","1,075.40","1,039.95","2.16M","-1.11%"
"28-08-2024","1,067.50","1,079.45","1,084.20","1,064.00","1.13M","-1.38%"
"27-08-2024","1,082.40","1,052.00","1,093.15","1,046.15","2.19M","1.72%"
"26-08-2024","1,064.10","1,046.00","1,070.00","1,017.20","2.60M","1.10%"
"23-08-2024","1,052.50","1,040.25","1,068.80","1,036.55","2.05M","1.45%"
"22-08-2024","1,037.45","1,004.65","1,040.05","997.50","2.05M","3.26%"
"21-08-2024","1,004.65","998.00","1,010.05","990.70","853.32K","0.00%"
"20-08-2024","1,004.60","981.00","1,010.70","972.65","1.45M","2.14%"
"19-08-2024","983.55","951.00","987.60","949.40","2.29M","3.82%"
"16-08-2024","947.35","885.00","951.75","880.85","4.14M","7.36%"
"14-08-2024","882.40","950.00","960.00","875.10","8.30M","-10.45%"
"13-08-2024","985.40","990.90","1,010.05","971.65","2.00M","-0.36%"
"12-08-2024","989.00","961.05","1,012.60","961.05","2.29M","2.06%"
"09-08-2024","969.00","950.00","977.10","949.00","2.40M","3.09%"
"08-08-2024","939.95","979.75","979.75","937.30","3.26M","-4.31%"
"07-08-2024","982.25","995.00","1,013.50","974.00","1.14M","0.06%"
"06-08-2024","981.70","990.05","1,005.00","974.20","1.00M","-0.14%"
"05-08-2024","983.10","1,007.00","1,026.85","971.05","1.26M","-5.26%"
"02-08-2024","1,037.65","1,002.60","1,064.00","1,002.00","2.28M","1.42%"
"01-08-2024","1,023.10","1,041.50","1,048.90","1,010.05","2.16M","-1.77%"
"31-07-2024","1,041.50","1,028.00","1,045.00","1,020.05","1.14M","1.50%"
"30-07-2024","1,026.10","1,029.50","1,040.70","1,013.30","1.04M","-0.35%"
"29-07-2024","1,029.75","1,005.00","1,042.70","996.60","3.02M","3.79%"
"26-07-2024","992.10","938.70","998.75","938.70","3.94M","5.69%"
"25-07-2024","938.70","920.00","952.00","915.05","1.16M","0.72%"
"24-07-2024","932.00","927.00","942.55","925.05","1.08M","0.11%"
"23-07-2024","931.00","937.10","942.95","900.00","1.53M","-0.97%"
"22-07-2024","940.15","921.00","954.25","908.60","1.22M","1.20%"
"19-07-2024","929.00","958.20","959.80","925.10","1.51M","-3.50%"
"18-07-2024","962.70","980.00","988.90","950.05","2.26M","-1.55%"
"16-07-2024","977.85","946.00","981.00","943.75","3.61M","3.36%"
"15-07-2024","946.10","940.25","949.95","932.10","1.04M","0.86%"
"12-07-2024","938.00","935.00","947.70","927.00","1.23M","0.39%"
"11-07-2024","934.40","910.00","937.00","909.85","1.66M","2.83%"
"10-07-2024","908.70","922.70","928.80","905.00","662.89K","-1.45%"
"09-07-2024","922.10","933.90","945.00","916.00","1.27M","-0.86%"
"08-07-2024","930.10","935.20","936.85","920.50","658.13K","-0.55%"
"05-07-2024","935.20","936.90","945.80","924.90","1.42M","-1.15%"
"04-07-2024","946.05","947.00","950.80","932.50","1.67M","0.26%"
"03-07-2024","943.60","914.00","946.50","910.00","1.97M","4.20%"
"02-07-2024","905.55","927.00","928.40","902.55","599.16K","-1.88%"
"01-07-2024","922.90","919.00","938.50","916.25","1.20M","-0.44%"
"28-06-2024","927.00","920.00","937.00","916.10","1.45M","1.22%"
"27-06-2024","915.85","920.00","937.80","905.45","3.02M","0.94%"
"26-06-2024","907.35","883.45","919.00","883.45","4.83M","3.06%"
"25-06-2024","880.40","876.00","886.00","864.65","1.47M","1.27%"
"24-06-2024","869.40","886.90","886.90","868.00","1.32M","-1.97%"
"21-06-2024","886.90","908.50","912.00","880.60","926.62K","-2.31%"
"20-06-2024","907.85","895.25","915.00","892.65","1.23M","1.01%"
"19-06-2024","898.75","909.90","910.35","892.20","1.33M","-0.23%"
"18-06-2024","900.80","892.90","915.90","878.15","2.17M","2.07%"
"14-06-2024","882.50","887.95","899.90","878.35","1.25M","0.22%"
"13-06-2024","880.60","877.00","892.50","867.50","1.92M","1.73%"
"12-06-2024","865.60","840.90","869.60","838.40","2.07M","3.00%"
"11-06-2024","840.40","825.00","856.50","820.05","1.77M","2.31%"
"10-06-2024","821.40","822.85","836.35","815.00","1.19M","0.41%"
"07-06-2024","818.05","805.25","821.00","804.80","787.14K","1.72%"
"06-06-2024","804.25","788.90","811.00","787.80","880.51K","2.24%"
"05-06-2024","786.65","763.00","803.00","755.00","1.17M","4.30%"
"04-06-2024","754.20","815.00","815.00","736.60","2.26M","-7.72%"
"03-06-2024","817.30","816.60","824.90","804.10","1.14M","2.82%"
