"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","293.55","275.00","307.90","272.10","58.45M","7.33%"
"05-11-2024","273.50","275.30","279.95","268.75","8.33M","-0.83%"
"04-11-2024","275.80","284.00","284.50","271.15","16.42M","-2.18%"
"01-11-2024","281.95","272.85","284.50","271.45","10.92M","5.02%"
"31-10-2024","268.47","250.05","274.74","250.05","44.17M","6.33%"
"30-10-2024","252.49","251.00","254.91","247.03","5.11M","0.57%"
"29-10-2024","251.07","246.79","263.90","246.78","21.35M","1.89%"
"28-10-2024","246.41","246.00","249.45","243.80","8.16M","0.81%"
"25-10-2024","244.43","250.50","251.69","241.51","19.52M","-4.46%"
"24-10-2024","255.84","227.80","259.90","224.01","95.84M","17.36%"
"23-10-2024","217.99","215.45","221.70","209.50","4.01M","1.34%"
"22-10-2024","215.11","227.41","227.41","213.25","4.85M","-5.69%"
"21-10-2024","228.10","226.50","229.60","223.50","4.09M","1.20%"
"18-10-2024","225.39","224.00","228.30","218.01","4.14M","0.52%"
"17-10-2024","224.22","233.79","235.99","222.60","4.23M","-3.51%"
"16-10-2024","232.38","230.99","233.50","227.26","5.31M","0.37%"
"15-10-2024","231.52","220.84","234.50","219.65","16.94M","5.27%"
"14-10-2024","219.92","221.70","224.82","218.52","2.49M","-0.62%"
"11-10-2024","221.30","219.15","221.99","217.85","3.08M","1.38%"
"10-10-2024","218.29","224.20","226.40","217.40","2.64M","-2.60%"
"09-10-2024","224.11","225.00","226.49","220.92","7.51M","-0.01%"
"08-10-2024","224.14","218.00","225.40","217.06","3.74M","2.81%"
"07-10-2024","218.02","229.00","229.00","215.75","5.41M","-4.89%"
"04-10-2024","229.23","221.00","230.00","216.30","8.11M","3.28%"
"03-10-2024","221.96","217.15","227.30","217.01","4.51M","-2.99%"
"01-10-2024","228.81","230.61","231.35","227.60","4.53M","-0.09%"
"30-09-2024","229.01","225.00","229.75","219.02","8.02M","2.65%"
"27-09-2024","223.10","226.29","228.89","221.55","4.41M","-1.41%"
"26-09-2024","226.29","228.50","232.17","225.35","9.90M","-0.01%"
"25-09-2024","226.31","229.99","235.42","224.63","37.29M","3.97%"
"24-09-2024","217.67","221.45","221.50","217.00","2.13M","-1.75%"
"23-09-2024","221.55","219.69","223.25","218.23","2.75M","1.22%"
"20-09-2024","218.87","225.00","226.45","217.70","3.70M","-2.23%"
"19-09-2024","223.87","230.00","232.40","219.12","5.41M","-2.41%"
"18-09-2024","229.39","233.30","233.30","228.00","4.17M","-1.34%"
"17-09-2024","232.50","229.00","233.70","225.40","7.19M","1.66%"
"16-09-2024","228.71","227.72","233.65","227.47","6.84M","0.26%"
"13-09-2024","228.11","233.70","234.99","224.93","6.73M","-1.96%"
"12-09-2024","232.67","238.10","239.90","230.50","10.48M","-1.12%"
"11-09-2024","235.31","240.01","243.99","232.20","36.97M","1.67%"
"10-09-2024","231.44","217.29","239.80","216.51","27.44M","6.49%"
"09-09-2024","217.34","225.00","226.74","214.75","13.71M","-3.96%"
