"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,839.25","2,824.95","2,859.60","2,810.05","191.50K","0.85%"
"05-11-2024","2,815.30","2,879.00","2,911.00","2,798.00","244.28K","-2.12%"
"04-11-2024","2,876.15","3,150.00","3,150.00","2,825.00","671.14K","-8.08%"
"01-11-2024","3,128.90","2,917.45","3,357.80","2,917.45","209.67K","8.86%"
"31-10-2024","2,874.30","2,790.00","2,978.80","2,763.20","858.04K","3.00%"
"30-10-2024","2,790.45","2,569.80","2,818.00","2,564.55","837.78K","8.59%"
"29-10-2024","2,569.80","2,635.00","2,647.55","2,475.25","145.70K","-2.10%"
"28-10-2024","2,624.80","2,538.95","2,659.25","2,460.50","190.84K","4.40%"
"25-10-2024","2,514.10","2,571.45","2,631.50","2,500.35","159.55K","-2.23%"
"24-10-2024","2,571.45","2,585.00","2,623.50","2,555.55","159.17K","-0.09%"
"23-10-2024","2,573.85","2,532.00","2,591.25","2,519.05","184.39K","1.96%"
"22-10-2024","2,524.25","2,455.00","2,548.90","2,455.00","490.83K","3.01%"
"21-10-2024","2,450.55","2,473.35","2,495.95","2,430.00","48.05K","-0.08%"
"18-10-2024","2,452.50","2,437.10","2,475.00","2,415.00","55.53K","0.83%"
"17-10-2024","2,432.35","2,447.70","2,495.00","2,410.00","56.71K","-0.15%"
"16-10-2024","2,435.95","2,484.00","2,498.95","2,393.65","69.79K","-1.60%"
"15-10-2024","2,475.65","2,381.00","2,499.95","2,373.40","181.81K","3.69%"
"14-10-2024","2,387.50","2,415.00","2,669.70","2,361.50","677.60K","1.85%"
"11-10-2024","2,344.20","2,381.05","2,400.00","2,305.45","26.62K","-1.06%"
"10-10-2024","2,369.20","2,329.00","2,391.00","2,313.05","35.59K","1.06%"
"09-10-2024","2,344.25","2,343.55","2,398.35","2,312.15","33.30K","0.03%"
"08-10-2024","2,343.55","2,290.00","2,365.00","2,290.00","41.35K","1.42%"
"07-10-2024","2,310.85","2,356.20","2,442.50","2,277.05","110.48K","-1.56%"
"04-10-2024","2,347.55","2,310.00","2,367.00","2,287.50","52.22K","1.50%"
"03-10-2024","2,312.95","2,350.00","2,354.00","2,287.55","46.11K","-1.74%"
"01-10-2024","2,354.00","2,315.00","2,399.20","2,301.55","132.50K","1.70%"
"30-09-2024","2,314.75","2,274.95","2,336.95","2,259.05","142.86K","1.75%"
"27-09-2024","2,275.00","2,336.00","2,342.95","2,241.85","86.72K","-2.14%"
"26-09-2024","2,324.65","2,335.40","2,352.80","2,296.20","56.95K","0.33%"
"25-09-2024","2,317.00","2,369.90","2,388.00","2,298.40","70.00K","-2.49%"
"24-09-2024","2,376.20","2,359.15","2,410.05","2,331.00","80.04K","0.72%"
"23-09-2024","2,359.15","2,341.60","2,392.65","2,317.45","116.19K","0.75%"
"20-09-2024","2,341.60","2,477.05","2,499.75","2,328.05","159.55K","-5.02%"
"19-09-2024","2,465.30","2,530.10","2,530.70","2,434.90","56.54K","-1.50%"
"18-09-2024","2,502.85","2,444.00","2,565.00","2,429.60","207.55K","3.15%"
"17-09-2024","2,426.35","2,449.35","2,453.40","2,382.90","125.09K","-0.94%"
"16-09-2024","2,449.35","2,560.70","2,560.70","2,435.50","57.20K","-3.54%"
"13-09-2024","2,539.15","2,556.60","2,569.95","2,482.55","99.13K","0.31%"
"12-09-2024","2,531.30","2,556.00","2,599.45","2,510.00","203.90K","-0.53%"
"11-09-2024","2,544.85","2,563.00","2,563.00","2,517.50","92.37K","0.14%"
"10-09-2024","2,541.35","2,514.70","2,550.10","2,501.60","118.13K","1.57%"
"09-09-2024","2,502.15","2,555.10","2,555.10","2,484.70","172.74K","-2.09%"
"06-09-2024","2,555.65","2,562.55","2,615.00","2,525.30","128.68K","-0.58%"
"05-09-2024","2,570.50","2,503.00","2,611.95","2,500.50","213.63K","2.68%"
"04-09-2024","2,503.50","2,499.70","2,565.45","2,432.95","369.85K","0.02%"
"03-09-2024","2,503.05","2,393.65","2,686.60","2,378.15","748.71K","5.28%"
"02-09-2024","2,377.50","2,358.85","2,390.00","2,345.05","55.99K","1.68%"
"30-08-2024","2,338.25","2,324.80","2,352.50","2,300.05","81.51K","1.46%"
"29-08-2024","2,304.50","2,317.45","2,318.60","2,285.45","61.71K","-0.38%"
"28-08-2024","2,313.40","2,294.40","2,320.00","2,279.50","182.01K","0.83%"
"27-08-2024","2,294.40","2,328.00","2,328.70","2,276.90","175.87K","-1.47%"
"26-08-2024","2,328.70","2,250.00","2,406.15","2,240.00","718.93K","5.22%"
"23-08-2024","2,213.15","2,160.00","2,225.00","2,147.85","122.92K","2.95%"
"22-08-2024","2,149.65","2,183.70","2,197.00","2,125.55","67.87K","-1.53%"
"21-08-2024","2,183.10","2,180.00","2,223.75","2,133.95","109.22K","-0.51%"
"20-08-2024","2,194.40","2,130.00","2,220.00","2,067.50","284.42K","3.21%"
"19-08-2024","2,126.25","1,973.90","2,140.90","1,950.10","381.95K","8.93%"
"16-08-2024","1,951.95","1,891.95","1,961.05","1,877.55","59.23K","3.97%"
"14-08-2024","1,877.35","1,924.60","1,934.05","1,862.05","41.37K","-2.46%"
"13-08-2024","1,924.60","1,943.00","1,944.80","1,897.80","90.15K","-0.10%"
"12-08-2024","1,926.45","1,894.00","1,932.55","1,879.30","106.06K","2.51%"
"09-08-2024","1,879.30","1,883.45","1,896.00","1,863.90","41.56K","0.65%"
"08-08-2024","1,867.15","1,879.25","1,904.05","1,858.00","58.49K","0.75%"
"07-08-2024","1,853.30","1,836.50","1,860.00","1,817.00","56.39K","1.77%"
"06-08-2024","1,821.05","1,823.25","1,862.90","1,814.05","31.06K","0.38%"
"05-08-2024","1,814.15","1,821.25","1,866.80","1,810.15","161.29K","-1.88%"
"02-08-2024","1,848.90","1,840.05","1,868.00","1,821.25","323.89K","0.35%"
"01-08-2024","1,842.50","1,874.85","1,881.65","1,832.00","158.22K","-1.55%"
"31-07-2024","1,871.60","1,968.00","1,968.00","1,862.05","132.71K","-4.78%"
"30-07-2024","1,965.60","1,988.60","1,988.70","1,959.00","46.81K","-0.04%"
"29-07-2024","1,966.40","2,050.00","2,070.00","1,961.10","67.69K","-1.43%"
"26-07-2024","1,994.95","2,023.05","2,023.45","1,986.05","32.20K","-1.39%"
"25-07-2024","2,023.10","2,039.20","2,067.85","1,988.00","48.79K","-0.30%"
"24-07-2024","2,029.15","2,058.00","2,080.00","2,011.00","23.06K","-0.32%"
"23-07-2024","2,035.65","2,045.05","2,115.00","1,959.65","65.61K","-0.46%"
"22-07-2024","2,045.05","2,043.50","2,175.75","2,014.00","187.06K","-1.39%"
"19-07-2024","2,073.85","2,115.90","2,118.10","2,048.75","48.62K","-1.70%"
"18-07-2024","2,109.65","2,137.70","2,145.60","2,005.90","45.22K","-0.82%"
"16-07-2024","2,127.10","2,124.00","2,150.40","2,098.05","45.18K","0.51%"
"15-07-2024","2,116.30","2,100.00","2,127.60","2,046.00","133.70K","0.37%"
"12-07-2024","2,108.55","2,168.25","2,168.25","2,097.50","45.56K","-1.96%"
"11-07-2024","2,150.60","2,135.00","2,169.00","2,132.25","51.37K","0.60%"
"10-07-2024","2,137.70","2,149.00","2,236.60","2,125.00","159.60K","-0.11%"
"09-07-2024","2,140.05","2,121.00","2,158.45","2,117.00","98.79K","1.10%"
"08-07-2024","2,116.85","2,076.00","2,150.00","2,067.05","682.71K","1.98%"
"05-07-2024","2,075.85","2,049.95","2,111.00","2,049.95","123.01K","1.34%"
"04-07-2024","2,048.40","1,951.00","2,077.90","1,951.00","156.46K","4.66%"
"03-07-2024","1,957.25","1,976.00","1,984.90","1,951.00","56.66K","-0.48%"
"02-07-2024","1,966.70","2,001.35","2,019.95","1,961.50","48.58K","-0.87%"
"01-07-2024","1,983.95","1,950.05","1,993.55","1,935.05","48.42K","2.77%"
"28-06-2024","1,930.55","1,955.05","2,018.40","1,922.95","120.21K","-0.89%"
"27-06-2024","1,947.85","2,013.30","2,027.35","1,931.20","143.84K","-2.86%"
"26-06-2024","2,005.30","2,009.90","2,029.85","1,981.15","72.31K","0.59%"
"25-06-2024","1,993.50","2,045.40","2,078.45","1,986.35","102.51K","-2.37%"
"24-06-2024","2,041.90","2,060.00","2,097.80","2,028.00","171.62K","-1.25%"
"21-06-2024","2,067.80","2,001.00","2,089.90","1,950.00","2.58M","3.33%"
"20-06-2024","2,001.20","1,965.45","2,010.90","1,950.85","39.66K","1.85%"
"19-06-2024","1,964.90","1,966.00","1,980.00","1,945.00","199.73K","-0.06%"
"18-06-2024","1,966.00","1,992.05","2,031.00","1,951.55","80.01K","-0.98%"
"14-06-2024","1,985.45","1,851.00","2,007.60","1,851.00","172.42K","6.71%"
"13-06-2024","1,860.55","1,860.10","1,905.95","1,850.60","46.37K","0.02%"
"12-06-2024","1,860.10","1,838.90","1,880.00","1,825.75","48.57K","1.89%"
"11-06-2024","1,825.60","1,858.20","1,887.75","1,799.80","250.26K","-1.55%"
"10-06-2024","1,854.25","1,837.65","1,869.90","1,812.00","72.04K","1.77%"
"07-06-2024","1,822.00","1,838.00","1,838.00","1,800.35","58.82K","-0.05%"
"06-06-2024","1,823.00","1,790.50","1,855.70","1,790.50","48.36K","2.65%"
"05-06-2024","1,775.90","1,714.50","1,788.00","1,655.15","28.82K","3.93%"
"04-06-2024","1,708.80","1,790.00","1,799.95","1,585.60","47.25K","-4.74%"
"03-06-2024","1,793.75","1,850.00","1,850.00","1,790.20","22.52K","-0.47%"
"31-05-2024","1,802.25","1,762.00","1,818.00","1,755.25","35.66K","1.34%"
"30-05-2024","1,778.35","1,849.95","1,925.60","1,763.00","479.74K","-3.03%"
"29-05-2024","1,833.95","1,809.00","1,836.00","1,805.60","44.36K","1.31%"
"28-05-2024","1,810.15","1,816.90","1,837.85","1,767.55","42.83K","0.13%"
"27-05-2024","1,807.85","1,805.00","1,857.95","1,781.45","97.81K","0.68%"
"24-05-2024","1,795.65","1,805.00","1,850.00","1,791.95","98.57K","-0.99%"
"23-05-2024","1,813.55","1,800.00","1,820.90","1,780.90","40.64K","0.73%"
"22-05-2024","1,800.40","1,752.65","1,843.80","1,748.55","314.16K","3.20%"
"21-05-2024","1,744.50","1,692.00","1,836.00","1,660.00","848.81K","5.15%"
"18-05-2024","1,659.05","1,658.00","1,685.70","1,612.50","7.51K","1.08%"
"17-05-2024","1,641.40","1,669.10","1,725.00","1,617.65","178.03K","-0.80%"
"16-05-2024","1,654.70","1,671.05","1,680.00","1,639.05","47.40K","-0.93%"
"15-05-2024","1,670.30","1,680.05","1,723.00","1,653.55","57.70K","-0.60%"
"14-05-2024","1,680.45","1,676.50","1,697.35","1,647.80","61.90K","1.29%"
"13-05-2024","1,659.00","1,609.00","1,673.00","1,584.80","134.21K","3.05%"
"10-05-2024","1,609.85","1,575.00","1,625.95","1,570.00","17.14K","1.23%"
"09-05-2024","1,590.30","1,605.00","1,634.90","1,581.50","27.28K","-0.95%"
"08-05-2024","1,605.50","1,587.45","1,613.55","1,568.00","24.68K","0.43%"
"07-05-2024","1,598.70","1,644.45","1,644.45","1,563.00","41.04K","-2.28%"
"06-05-2024","1,636.00","1,697.95","1,698.30","1,625.00","52.37K","-2.82%"
"03-05-2024","1,683.50","1,649.65","1,695.00","1,638.00","60.83K","2.56%"
"02-05-2024","1,641.40","1,648.40","1,653.95","1,612.00","33.28K","-0.11%"
"30-04-2024","1,643.20","1,647.55","1,665.00","1,624.05","29.18K","0.13%"
"29-04-2024","1,641.00","1,664.80","1,665.80","1,611.95","39.72K","0.48%"
"26-04-2024","1,633.20","1,597.00","1,665.90","1,589.00","89.54K","3.10%"
"25-04-2024","1,584.05","1,569.95","1,595.00","1,550.65","74.22K","1.46%"
"24-04-2024","1,561.20","1,535.00","1,568.40","1,532.00","80.89K","1.80%"
"23-04-2024","1,533.55","1,557.00","1,566.20","1,488.60","50.19K","-1.00%"
"22-04-2024","1,549.00","1,563.35","1,606.60","1,537.80","71.73K","-0.91%"
"19-04-2024","1,563.30","1,574.95","1,616.80","1,547.80","90.25K","-0.46%"
"18-04-2024","1,570.60","1,570.00","1,592.00","1,542.00","53.41K","0.14%"
"16-04-2024","1,568.40","1,520.00","1,577.00","1,515.65","92.66K","1.17%"
"15-04-2024","1,550.20","1,540.00","1,563.45","1,501.00","33.66K","0.16%"
"12-04-2024","1,547.70","1,565.00","1,569.95","1,538.20","26.58K","-0.79%"
"10-04-2024","1,560.00","1,575.80","1,578.95","1,550.85","14.37K","-0.61%"
"09-04-2024","1,569.65","1,545.00","1,582.45","1,545.00","28.63K","2.07%"
"08-04-2024","1,537.75","1,581.35","1,581.35","1,526.70","24.34K","-1.90%"
"05-04-2024","1,567.55","1,579.85","1,594.90","1,557.60","171.24K","-0.28%"
"04-04-2024","1,571.95","1,575.60","1,580.00","1,546.90","27.62K","-0.23%"
"03-04-2024","1,575.60","1,571.90","1,592.60","1,545.05","85.67K","0.74%"
"02-04-2024","1,564.05","1,575.70","1,595.20","1,556.80","65.84K","-0.74%"
"01-04-2024","1,575.70","1,589.20","1,595.05","1,564.80","27.45K","-0.85%"
"28-03-2024","1,589.20","1,584.65","1,595.00","1,573.10","24.82K","0.29%"
"27-03-2024","1,584.65","1,557.00","1,590.00","1,557.00","22.41K","1.76%"
"26-03-2024","1,557.20","1,544.75","1,566.75","1,538.10","27.42K","0.11%"
"22-03-2024","1,555.55","1,518.45","1,563.95","1,516.90","21.24K","1.69%"
"21-03-2024","1,529.70","1,482.85","1,540.00","1,482.85","23.99K","2.20%"
