"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","344.65","337.90","346.40","335.40","2.29M","3.00%"
"05-11-2024","334.60","331.80","335.20","327.70","1.70M","0.44%"
"04-11-2024","333.15","337.60","341.10","332.05","5.07M","-0.82%"
"01-11-2024","335.90","334.00","336.90","333.95","119.86K","0.87%"
"31-10-2024","333.00","330.00","334.70","326.90","2.80M","0.62%"
"30-10-2024","330.95","333.00","334.90","329.80","1.55M","-1.02%"
"29-10-2024","334.35","334.30","335.00","325.20","1.92M","0.87%"
"28-10-2024","331.45","335.10","338.75","324.40","2.75M","-1.81%"
"25-10-2024","337.55","335.00","344.60","333.30","4.26M","-0.30%"
"24-10-2024","338.55","345.00","356.80","336.30","1.90M","-1.88%"
"23-10-2024","345.05","344.50","348.55","335.55","3.04M","-0.23%"
"22-10-2024","345.85","347.00","350.90","345.05","3.17M","-0.30%"
"21-10-2024","346.90","348.00","350.55","344.50","1.52M","-0.73%"
"18-10-2024","349.45","350.00","351.85","342.85","1.44M","-0.41%"
"17-10-2024","350.90","356.00","356.65","350.15","2.10M","-1.15%"
"16-10-2024","355.00","356.90","361.40","353.70","5.14M","-0.35%"
"15-10-2024","356.25","354.60","357.30","352.00","2.43M","0.48%"
"14-10-2024","354.55","356.00","356.95","351.60","2.00M","-0.17%"
"11-10-2024","355.15","352.05","355.70","350.30","1.43M","0.91%"
"10-10-2024","351.95","354.50","359.10","350.35","1.93M","-0.01%"
"09-10-2024","352.00","353.00","356.30","349.80","1.95M","-0.40%"
"08-10-2024","353.40","347.00","354.70","343.85","3.67M","1.99%"
"07-10-2024","346.50","361.40","361.80","344.95","3.86M","-3.17%"
"04-10-2024","357.85","364.45","368.65","356.40","6.24M","-1.81%"
"03-10-2024","364.45","340.00","366.90","340.00","21.19M","5.91%"
"01-10-2024","344.10","342.65","345.80","340.65","3.41M","0.75%"
"30-09-2024","341.55","340.00","344.20","336.10","3.16M","0.65%"
"27-09-2024","339.35","337.95","342.40","335.70","4.70M","0.91%"
"26-09-2024","336.30","332.40","337.00","326.00","6.66M","1.92%"
"25-09-2024","329.95","329.70","332.85","325.55","3.54M","0.08%"
"24-09-2024","329.70","332.50","333.70","326.75","2.86M","-0.56%"
"23-09-2024","331.55","327.00","335.85","326.00","3.83M","2.02%"
"20-09-2024","325.00","325.70","327.20","321.50","6.19M","0.67%"
"19-09-2024","322.85","333.15","333.95","319.80","5.32M","-2.90%"
"18-09-2024","332.50","334.00","335.80","330.15","1.80M","-0.49%"
"17-09-2024","334.15","336.00","338.30","330.50","4.17M","-0.58%"
"16-09-2024","336.10","335.00","338.10","333.45","2.98M","0.37%"
"13-09-2024","334.85","342.90","343.00","334.10","2.33M","-2.32%"
"12-09-2024","342.80","338.10","343.35","337.65","2.50M","2.19%"
"11-09-2024","335.45","342.50","343.10","334.10","2.34M","-1.54%"
"10-09-2024","340.70","343.40","346.20","339.50","2.88M","-0.69%"
"09-09-2024","343.05","348.20","352.40","338.00","4.60M","-3.09%"
"06-09-2024","354.00","367.00","368.45","352.00","2.10M","-3.59%"
"05-09-2024","367.20","365.00","370.50","365.00","1.91M","0.85%"
"04-09-2024","364.10","354.95","365.00","354.85","2.98M","1.14%"
"03-09-2024","360.00","367.00","367.00","359.10","1.99M","-1.64%"
"02-09-2024","366.00","369.00","372.25","364.15","2.35M","-0.35%"
"30-08-2024","367.30","366.70","370.90","366.50","4.73M","0.48%"
"29-08-2024","365.55","367.00","369.80","361.05","2.61M","-0.63%"
"28-08-2024","367.85","369.50","370.90","366.60","1.76M","-0.41%"
"27-08-2024","369.35","370.10","371.40","365.65","2.48M","-0.20%"
"26-08-2024","370.10","372.80","372.80","369.15","1.85M","-0.19%"
"23-08-2024","370.80","379.55","381.00","370.10","1.54M","-2.73%"
"22-08-2024","381.20","379.60","382.50","377.70","2.25M","0.95%"
"21-08-2024","377.60","384.00","384.20","375.05","5.55M","-0.21%"
"20-08-2024","378.40","375.85","381.80","375.85","3.47M","0.79%"
"19-08-2024","375.45","370.00","380.45","370.00","2.92M","1.23%"
"16-08-2024","370.90","367.50","373.00","366.10","2.09M","1.80%"
"14-08-2024","364.35","368.00","370.30","363.00","2.96M","-1.02%"
"13-08-2024","368.10","375.00","375.30","367.05","2.70M","-1.50%"
"12-08-2024","373.70","364.35","375.60","361.85","3.58M","1.91%"
"09-08-2024","366.70","366.00","370.75","364.85","2.85M","0.74%"
"08-08-2024","364.00","367.00","367.70","361.80","3.52M","0.18%"
"07-08-2024","363.35","360.00","366.35","358.65","6.16M","1.82%"
"06-08-2024","356.85","356.95","365.70","355.20","4.52M","0.35%"
"05-08-2024","355.60","354.00","363.10","350.50","3.88M","-1.88%"
"02-08-2024","362.40","364.65","366.60","360.25","1.68M","-1.45%"
"01-08-2024","367.75","371.90","372.90","364.30","6.07M","-0.20%"
"31-07-2024","368.50","364.90","373.20","364.05","5.30M","1.50%"
"30-07-2024","363.05","370.90","376.45","362.20","5.00M","-2.10%"
"29-07-2024","370.85","370.95","374.40","367.65","4.39M","-0.42%"
"26-07-2024","372.40","368.40","377.95","366.55","7.38M","1.93%"
"25-07-2024","365.35","344.60","367.90","342.35","15.13M","4.21%"
"24-07-2024","350.60","333.60","358.35","333.60","12.86M","5.11%"
"23-07-2024","333.55","343.80","347.80","329.90","6.55M","-2.29%"
"22-07-2024","341.35","342.30","344.10","335.50","5.88M","-0.45%"
"19-07-2024","342.90","346.55","346.70","338.90","3.39M","-1.20%"
"18-07-2024","347.05","351.50","353.10","343.80","3.84M","-1.24%"
"16-07-2024","351.40","352.65","355.75","348.45","4.87M","0.43%"
"15-07-2024","349.90","341.45","350.70","338.25","6.51M","3.20%"
"12-07-2024","339.05","340.80","342.55","335.65","6.97M","-0.76%"
"11-07-2024","341.65","333.85","343.00","332.70","5.08M","2.66%"
"10-07-2024","332.80","334.60","335.00","321.20","2.35M","-0.54%"
"09-07-2024","334.60","338.45","340.25","332.20","3.66M","-0.76%"
"08-07-2024","337.15","337.05","339.50","333.10","1.91M","-0.07%"
"05-07-2024","337.40","332.10","338.90","332.10","3.11M","1.60%"
"04-07-2024","332.10","333.00","335.95","330.55","2.77M","-0.55%"
"03-07-2024","333.95","337.90","337.90","330.25","3.00M","-0.70%"
"02-07-2024","336.30","334.00","341.00","333.50","4.73M","0.75%"
"01-07-2024","333.80","333.00","335.65","331.20","4.83M","1.07%"
"28-06-2024","330.25","322.90","333.60","322.00","7.69M","3.20%"
"27-06-2024","320.00","316.95","321.90","315.40","4.04M","1.67%"
"26-06-2024","314.75","318.90","320.35","314.00","3.29M","-1.08%"
"25-06-2024","318.20","325.00","334.05","317.35","9.78M","-1.88%"
"24-06-2024","324.30","320.05","329.00","317.35","7.21M","1.26%"
"21-06-2024","320.25","314.95","323.20","313.60","7.59M","1.93%"
"20-06-2024","314.20","310.80","314.90","307.65","4.42M","1.13%"
"19-06-2024","310.70","318.00","318.35","309.10","3.61M","-1.82%"
"18-06-2024","316.45","324.10","324.60","315.65","4.33M","-2.30%"
"14-06-2024","323.90","324.00","327.85","321.55","3.76M","0.26%"
"13-06-2024","323.05","321.75","325.50","319.65","3.61M","0.76%"
"12-06-2024","320.60","318.00","326.00","316.85","10.48M","1.70%"
"11-06-2024","315.25","306.90","316.50","304.15","10.54M","4.13%"
"10-06-2024","302.75","302.00","307.15","301.15","2.02M","0.50%"
