"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","106.98","105.76","107.25","105.21","59.98M","2.17%"
"05-11-2024","104.71","103.73","105.17","102.32","79.18M","1.02%"
"04-11-2024","103.65","100.79","103.98","99.15","132.27M","2.64%"
"01-11-2024","100.98","98.69","101.17","98.61","23.65M","3.15%"
"31-10-2024","97.90","100.00","100.44","96.60","93.37M","-2.06%"
"30-10-2024","99.96","101.40","101.90","99.80","47.77M","-1.35%"
"29-10-2024","101.33","102.44","102.61","97.30","94.26M","2.73%"
"28-10-2024","98.64","96.25","101.95","95.98","70.82M","3.05%"
"25-10-2024","95.72","98.90","99.37","93.23","39.76M","-3.07%"
"24-10-2024","98.75","96.18","100.60","96.13","55.36M","2.14%"
"23-10-2024","96.68","96.00","97.26","92.40","38.21M","1.82%"
"22-10-2024","94.95","102.29","103.13","94.40","51.36M","-7.18%"
"21-10-2024","102.29","103.28","104.45","101.76","17.44M","-0.95%"
"18-10-2024","103.27","102.75","104.12","102.42","18.57M","0.79%"
"17-10-2024","102.46","105.07","105.24","102.02","18.08M","-2.47%"
"16-10-2024","105.05","104.66","105.34","104.48","14.27M","0.07%"
"15-10-2024","104.98","105.20","105.52","104.50","15.02M","-0.03%"
"14-10-2024","105.01","105.00","105.70","104.76","15.76M","0.10%"
"11-10-2024","104.91","104.00","105.31","103.30","16.20M","1.18%"
"10-10-2024","103.69","104.85","105.35","103.13","18.52M","-0.39%"
"09-10-2024","104.10","103.55","105.42","102.56","43.37M","1.57%"
"08-10-2024","102.49","102.07","103.30","101.15","28.95M","0.41%"
"07-10-2024","102.07","106.16","107.40","100.80","83.31M","-3.57%"
"04-10-2024","105.85","104.20","107.40","104.15","79.45M","0.75%"
"03-10-2024","105.06","103.25","106.75","103.00","99.42M","-0.14%"
"01-10-2024","105.21","104.00","106.17","103.86","120.19M","-1.87%"
"30-09-2024","107.21","108.89","109.26","106.81","30.91M","-1.84%"
"27-09-2024","109.22","107.80","109.60","107.29","40.19M","1.80%"
"26-09-2024","107.29","105.20","107.49","104.56","34.72M","2.13%"
"25-09-2024","105.05","107.48","107.48","103.62","71.23M","-2.58%"
"24-09-2024","107.83","111.00","111.24","107.60","79.10M","-3.30%"
"23-09-2024","111.51","108.59","111.90","108.51","35.37M","2.86%"
"20-09-2024","108.41","108.00","109.16","106.31","23.20M","1.08%"
"19-09-2024","107.25","109.85","110.15","105.60","21.18M","-1.38%"
"18-09-2024","108.75","108.30","109.98","107.78","24.78M","0.67%"
"17-09-2024","108.03","110.81","110.90","107.82","18.55M","-2.51%"
"16-09-2024","110.81","111.30","112.20","110.26","12.83M","-0.27%"
"13-09-2024","111.11","109.50","112.60","108.82","28.92M","2.20%"
"12-09-2024","108.72","108.70","109.47","107.00","20.82M","1.17%"
"11-09-2024","107.46","109.72","110.49","106.85","22.84M","-1.94%"
"10-09-2024","109.59","110.19","110.63","109.37","12.50M","-0.04%"
"09-09-2024","109.63","109.40","110.19","107.20","27.02M","-0.34%"
"06-09-2024","110.00","112.90","113.13","109.75","29.09M","-3.00%"
