"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","331.35","316.00","334.45","314.50","628.80K","5.24%"
"05-11-2024","314.85","311.10","318.70","308.80","687.57K","1.65%"
"04-11-2024","309.75","323.70","326.65","307.65","757.60K","-4.43%"
"01-11-2024","324.10","320.00","325.10","320.00","129.55K","1.87%"
"31-10-2024","318.15","321.25","324.90","315.20","786.97K","-0.53%"
"30-10-2024","319.85","322.10","323.80","315.75","1.82M","-0.90%"
"29-10-2024","322.75","320.85","329.00","313.80","431.23K","1.43%"
"28-10-2024","318.20","311.15","323.50","300.20","589.88K","2.25%"
"25-10-2024","311.20","322.95","330.00","304.00","1.04M","-3.17%"
"24-10-2024","321.40","335.05","337.95","320.00","880.19K","-3.29%"
"23-10-2024","332.35","342.10","345.60","322.00","2.56M","-2.91%"
"22-10-2024","342.30","325.00","348.15","299.00","12.39M","-6.68%"
"21-10-2024","366.80","435.00","435.00","366.80","5.02M","-20.00%"
"18-10-2024","458.50","457.00","460.00","445.15","381.96K","-0.15%"
"17-10-2024","459.20","468.95","468.95","458.00","535.75K","-1.46%"
"16-10-2024","466.00","468.95","469.65","460.80","4.92M","4.43%"
"15-10-2024","446.25","450.90","454.90","442.20","526.93K","-1.03%"
"14-10-2024","450.90","457.95","467.60","449.00","3.25M","2.34%"
"11-10-2024","440.60","446.00","446.95","439.15","264.91K","-0.59%"
"10-10-2024","443.20","453.00","458.90","440.15","3.11M","3.39%"
"09-10-2024","428.65","427.90","434.00","425.65","614.71K","0.41%"
"08-10-2024","426.90","416.55","430.00","412.00","228.24K","2.20%"
"07-10-2024","417.70","427.25","429.50","412.55","435.78K","-1.82%"
"04-10-2024","425.45","432.05","434.20","423.95","334.00K","-1.42%"
"03-10-2024","431.60","442.00","444.15","428.00","474.39K","-3.97%"
"01-10-2024","449.45","450.00","450.85","445.55","247.29K","0.71%"
"30-09-2024","446.30","434.45","447.80","432.10","500.01K","2.94%"
"27-09-2024","433.55","439.30","440.15","432.40","241.10K","-1.19%"
"26-09-2024","438.75","442.70","443.40","437.85","203.86K","-0.62%"
"25-09-2024","441.50","436.55","447.90","435.10","616.49K","1.19%"
"24-09-2024","436.30","434.90","437.95","433.10","389.37K","0.58%"
"23-09-2024","433.80","437.20","439.85","432.35","365.89K","0.30%"
"20-09-2024","432.50","438.00","442.15","431.00","481.44K","-0.52%"
"19-09-2024","434.75","448.50","450.85","430.60","563.12K","-2.94%"
"18-09-2024","447.90","456.40","456.40","446.25","298.25K","-1.71%"
"17-09-2024","455.70","455.00","457.60","448.05","565.50K","0.13%"
"16-09-2024","455.10","460.00","460.00","453.45","222.99K","-0.87%"
"13-09-2024","459.10","459.00","461.90","456.25","351.38K","0.01%"
"12-09-2024","459.05","451.55","461.20","449.15","864.94K","1.95%"
"11-09-2024","450.25","451.10","455.00","447.00","182.10K","-0.40%"
"10-09-2024","452.05","449.90","453.80","448.35","243.58K","0.70%"
"09-09-2024","448.90","456.50","456.80","445.00","332.09K","-1.11%"
"06-09-2024","453.95","453.00","463.95","452.00","1.41M","0.74%"
"05-09-2024","450.60","444.80","451.50","443.90","325.88K","1.52%"
"04-09-2024","443.85","444.00","448.40","440.55","391.04K","-0.59%"
"03-09-2024","446.50","455.90","455.90","445.00","562.74K","-2.00%"
"02-09-2024","455.60","450.90","458.40","449.05","308.24K","1.32%"
"30-08-2024","449.65","456.00","458.80","448.40","637.01K","-1.31%"
"29-08-2024","455.60","457.60","466.00","454.75","557.15K","-0.43%"
"28-08-2024","457.55","470.05","472.95","456.00","2.05M","-0.21%"
"27-08-2024","458.50","463.35","464.80","458.00","411.35K","-0.98%"
"26-08-2024","463.05","471.35","471.35","459.10","471.76K","-0.53%"
"23-08-2024","465.50","469.80","469.90","462.15","339.24K","-0.66%"
"22-08-2024","468.60","465.80","474.55","465.05","404.96K","0.95%"
"21-08-2024","464.20","461.90","467.55","461.00","295.52K","0.75%"
"20-08-2024","460.75","470.30","471.80","459.10","457.40K","-1.53%"
"19-08-2024","467.90","460.05","470.10","457.60","440.67K","1.76%"
"16-08-2024","459.80","478.70","478.70","457.00","908.29K","0.03%"
"14-08-2024","459.65","485.15","486.80","458.90","848.46K","-5.11%"
"13-08-2024","484.40","487.00","497.70","483.05","929.23K","-0.04%"
"12-08-2024","484.60","520.00","520.00","481.05","3.59M","4.00%"
"09-08-2024","465.95","469.75","470.45","464.00","222.64K","0.30%"
"08-08-2024","464.55","469.90","472.00","462.10","305.16K","-0.77%"
"07-08-2024","468.15","474.80","474.85","464.15","486.57K","-0.12%"
"06-08-2024","468.70","473.75","480.75","464.25","318.79K","0.48%"
"05-08-2024","466.45","475.00","485.25","465.00","627.92K","-3.78%"
"02-08-2024","484.75","481.00","494.40","481.00","380.41K","-2.18%"
"01-08-2024","495.55","508.70","508.90","493.00","408.43K","-2.08%"
"31-07-2024","506.10","512.00","514.00","505.00","446.28K","-1.07%"
"30-07-2024","511.55","514.65","514.70","510.25","206.94K","-0.60%"
"29-07-2024","514.65","516.70","529.00","512.10","508.73K","0.18%"
"26-07-2024","513.75","510.95","517.55","504.30","298.60K","0.55%"
"25-07-2024","510.95","510.00","518.40","508.00","330.74K","-0.66%"
"24-07-2024","514.35","512.15","522.90","510.00","328.08K","0.43%"
"23-07-2024","512.15","515.15","527.00","470.60","1.42M","0.67%"
"22-07-2024","508.75","500.00","515.95","493.25","510.57K","0.31%"
"19-07-2024","507.20","521.45","521.45","505.00","635.07K","-2.73%"
"18-07-2024","521.45","530.95","530.95","514.95","536.52K","-1.01%"
"16-07-2024","526.75","532.70","534.40","524.00","499.76K","-0.56%"
"15-07-2024","529.70","524.25","534.80","513.70","941.88K","1.28%"
"12-07-2024","523.00","527.60","538.85","507.60","1.27M","-0.31%"
"11-07-2024","524.65","528.10","530.00","521.70","589.75K","0.18%"
"10-07-2024","523.70","527.50","539.00","508.00","1.50M","-0.57%"
"09-07-2024","526.70","518.00","539.50","514.05","6.64M","4.26%"
"08-07-2024","505.20","486.50","509.80","484.00","2.05M","4.92%"
"05-07-2024","481.50","491.50","494.00","480.00","695.01K","-1.73%"
"04-07-2024","490.00","490.00","491.80","479.20","750.59K","0.56%"
"03-07-2024","487.25","477.00","492.00","477.00","790.16K","2.03%"
"02-07-2024","477.55","482.00","483.55","474.00","372.08K","-0.44%"
"01-07-2024","479.65","483.40","486.40","476.40","534.65K","-0.37%"
"28-06-2024","481.45","483.00","487.00","477.00","540.42K","-0.49%"
"27-06-2024","483.80","488.00","489.80","480.10","657.60K","-0.83%"
"26-06-2024","487.85","491.45","494.25","482.25","849.68K","-0.40%"
"25-06-2024","489.80","476.15","492.00","476.15","2.48M","2.97%"
"24-06-2024","475.65","472.00","481.95","466.50","841.23K","1.21%"
"21-06-2024","469.95","464.35","481.60","464.35","1.38M","1.21%"
"20-06-2024","464.35","467.60","471.00","461.00","930.97K","-0.27%"
"19-06-2024","465.60","480.00","480.60","464.00","1.30M","-2.52%"
"18-06-2024","477.65","477.95","483.30","473.10","1.05M","0.67%"
"14-06-2024","474.45","482.70","483.80","470.65","1.19M","-1.28%"
"13-06-2024","480.60","484.00","485.80","476.00","1.73M","-0.35%"
"12-06-2024","482.30","483.70","487.95","479.55","1.84M","0.71%"
"11-06-2024","478.90","510.00","510.00","470.00","8.53M","-8.19%"
"10-06-2024","521.60","529.50","536.00","515.15","2.98M","-1.13%"
"07-06-2024","527.55","533.90","539.10","519.15","2.01M","-0.26%"
"06-06-2024","528.95","480.00","552.15","478.00","5.11M","12.45%"
"05-06-2024","470.40","484.40","499.15","456.30","2.75M","-1.01%"
"04-06-2024","475.20","546.00","546.00","455.00","1.95M","-12.97%"
"03-06-2024","546.00","556.55","556.95","533.10","1.65M","5.43%"
"31-05-2024","517.90","516.70","532.00","511.05","959.80K","0.83%"
"30-05-2024","513.65","523.00","535.90","509.95","1.21M","-1.92%"
"29-05-2024","523.70","517.05","531.75","511.70","1.09M","1.69%"
"28-05-2024","515.00","531.95","532.95","512.15","1.26M","-2.42%"
"27-05-2024","527.75","570.00","574.80","524.05","3.29M","-5.64%"
"24-05-2024","559.30","531.00","573.80","512.35","4.27M","4.09%"
"23-05-2024","537.30","524.30","556.45","516.05","8.69M","3.81%"
"22-05-2024","517.60","475.00","535.50","475.00","21.05M","13.05%"
"21-05-2024","457.85","457.70","469.90","454.00","896.88K","-0.12%"
"18-05-2024","458.40","458.80","463.00","457.10","114.00K","0.36%"
"17-05-2024","456.75","434.55","465.00","434.55","1.46M","5.15%"
"16-05-2024","434.40","427.95","439.70","424.50","1.40M","2.18%"
"15-05-2024","425.15","425.90","430.20","423.00","1.11M","0.11%"
"14-05-2024","424.70","426.00","434.75","424.05","219.37K","-0.28%"
"13-05-2024","425.90","434.00","434.70","423.15","144.08K","-1.83%"
"10-05-2024","433.85","430.90","439.50","420.25","375.36K","1.34%"
"09-05-2024","428.10","425.10","429.55","421.10","248.66K","0.71%"
"08-05-2024","425.10","423.95","431.55","419.55","306.71K","0.13%"
"07-05-2024","424.55","433.25","436.95","416.95","499.77K","-1.63%"
"06-05-2024","431.60","442.80","443.80","426.65","404.13K","-1.86%"
"03-05-2024","439.80","446.55","446.90","436.10","407.02K","-1.01%"
"02-05-2024","444.30","450.10","454.00","441.65","181.70K","-0.95%"
"30-04-2024","448.55","446.45","455.00","445.00","714.98K","0.47%"
"29-04-2024","446.45","454.35","455.20","444.35","171.42K","-1.13%"
"26-04-2024","451.55","454.00","462.50","449.90","630.67K","0.66%"
"25-04-2024","448.60","443.80","449.60","441.15","204.58K","1.30%"
"24-04-2024","442.85","439.40","449.00","439.40","263.99K","1.29%"
"23-04-2024","437.20","434.60","443.20","433.05","290.08K","1.25%"
"22-04-2024","431.80","438.70","440.70","430.20","232.50K","-0.30%"
"19-04-2024","433.10","430.10","436.80","422.95","356.72K","-0.85%"
"18-04-2024","436.80","447.75","448.75","435.15","729.76K","-1.88%"
"16-04-2024","445.15","430.00","446.70","429.00","647.43K","2.51%"
"15-04-2024","434.25","439.70","439.95","422.00","648.39K","-2.25%"
"12-04-2024","444.25","444.75","449.55","438.60","878.49K","-0.11%"
"10-04-2024","444.75","451.80","452.80","442.50","781.58K","-1.52%"
"09-04-2024","451.60","468.10","480.00","448.60","1.69M","-2.74%"
"08-04-2024","464.30","432.85","468.00","432.00","4.13M","8.05%"
"05-04-2024","429.70","429.95","431.75","426.40","295.55K","0.07%"
"04-04-2024","429.40","435.70","437.80","428.15","413.87K","-0.67%"
"03-04-2024","432.30","432.80","442.55","431.00","681.01K","0.28%"
"02-04-2024","431.10","439.00","442.00","430.10","975.82K","-0.59%"
"01-04-2024","433.65","444.75","448.70","432.20","457.09K","-0.62%"
"28-03-2024","436.35","439.00","440.95","434.05","311.52K","-0.09%"
"27-03-2024","436.75","442.30","443.45","434.80","282.03K","-0.69%"
"26-03-2024","439.80","442.75","453.00","436.00","1.09M","2.30%"
"22-03-2024","429.90","424.50","434.90","423.50","390.29K","1.34%"
"21-03-2024","424.20","415.35","429.80","412.00","431.81K","2.87%"
"20-03-2024","412.35","404.90","418.00","393.50","301.46K","2.69%"
"19-03-2024","401.55","410.00","410.60","400.00","197.02K","-2.31%"
"18-03-2024","411.05","418.90","423.85","407.75","679.33K","-0.71%"
"15-03-2024","414.00","401.75","417.85","397.45","602.35K","3.05%"
"14-03-2024","401.75","385.95","408.80","382.00","755.02K","2.89%"
"13-03-2024","390.45","410.25","415.70","382.05","1.02M","-5.51%"
"12-03-2024","413.20","432.80","433.05","407.35","628.68K","-4.53%"
"11-03-2024","432.80","447.00","455.35","430.00","746.07K","-1.10%"
"07-03-2024","437.60","446.00","447.55","435.10","304.72K","-1.89%"
"06-03-2024","446.05","464.00","464.00","437.60","1.29M","-4.20%"
"05-03-2024","465.60","465.00","474.95","460.05","1.30M","0.52%"
"04-03-2024","463.20","436.80","467.00","430.50","2.40M","6.18%"
"02-03-2024","436.25","429.15","439.00","429.15","66.61K","2.08%"
"01-03-2024","427.35","429.10","435.95","423.35","275.11K","0.00%"
"29-02-2024","427.35","430.90","433.35","422.80","486.03K","-0.77%"
"28-02-2024","430.65","458.00","458.00","427.50","1.14M","-6.45%"
"27-02-2024","460.35","454.00","469.00","452.10","2.52M","2.99%"
"26-02-2024","447.00","425.35","452.90","425.35","1.95M","5.33%"
"23-02-2024","424.40","412.00","427.00","408.50","820.04K","3.63%"
"22-02-2024","409.55","416.00","419.50","405.50","300.04K","-0.92%"
"21-02-2024","413.35","410.15","428.55","409.45","481.25K","0.68%"
"20-02-2024","410.55","413.70","420.50","407.05","219.66K","-0.39%"
"19-02-2024","412.15","415.00","416.65","410.05","185.86K","-0.34%"
"16-02-2024","413.55","413.45","420.80","412.20","160.67K","0.05%"
"15-02-2024","413.35","414.00","417.20","408.55","247.36K","-0.06%"
"14-02-2024","413.60","397.00","424.00","391.20","636.57K","3.27%"
"13-02-2024","400.50","396.75","403.40","381.00","846.80K","1.44%"
"12-02-2024","394.80","428.80","431.40","391.00","624.29K","-7.65%"
"09-02-2024","427.50","443.90","444.60","424.40","805.87K","-3.69%"
"08-02-2024","443.90","442.95","454.05","435.10","873.00K","1.20%"
"07-02-2024","438.65","445.00","454.90","433.80","541.10K","-1.27%"
"06-02-2024","444.30","443.80","462.00","441.05","1.62M","0.98%"
"05-02-2024","440.00","447.80","448.80","430.60","547.46K","-1.19%"
"02-02-2024","445.30","441.95","453.95","441.35","761.38K","1.29%"
"01-02-2024","439.65","462.05","462.80","435.05","826.02K","-3.92%"
"31-01-2024","457.60","448.85","460.95","437.70","925.50K","1.80%"
"30-01-2024","449.50","438.00","458.50","431.05","1.95M","3.54%"
"29-01-2024","434.15","419.95","449.80","416.40","3.14M","4.66%"
"25-01-2024","414.80","398.00","418.25","394.50","1.76M","3.61%"
"24-01-2024","400.35","386.70","402.00","377.95","614.76K","3.80%"
"23-01-2024","385.70","403.90","406.00","381.15","515.42K","-3.82%"
"20-01-2024","401.00","408.40","409.55","398.85","467.03K","-1.51%"
"19-01-2024","407.15","414.50","417.50","405.35","541.65K","-0.98%"
"18-01-2024","411.20","414.00","416.00","393.60","1.36M","-0.64%"
"17-01-2024","413.85","413.60","417.95","409.95","2.72M","2.15%"
"16-01-2024","405.15","419.50","427.90","395.55","6.00M","4.72%"
"15-01-2024","386.90","388.95","406.00","383.25","3.00M","2.35%"
"12-01-2024","378.00","377.00","386.80","375.05","804.85K","0.39%"
"11-01-2024","376.55","373.95","380.75","371.00","1.61M","2.31%"
"10-01-2024","368.05","351.40","372.40","348.60","3.02M","5.94%"
"09-01-2024","347.40","345.55","349.90","345.55","171.66K","0.54%"
"08-01-2024","345.55","351.95","352.40","344.80","203.14K","-1.52%"
"05-01-2024","350.90","354.75","355.85","350.05","279.11K","-0.41%"
"04-01-2024","352.35","351.50","354.95","349.75","275.68K","0.99%"
"03-01-2024","348.90","349.90","356.00","347.00","344.31K","-0.09%"
"02-01-2024","349.20","350.80","352.45","344.30","221.02K","-0.17%"
"01-01-2024","349.80","352.80","354.70","348.10","145.38K","-0.47%"
"29-12-2023","351.45","348.70","355.75","347.65","323.51K","1.09%"
"28-12-2023","347.65","352.25","352.30","346.35","202.28K","-0.83%"
"27-12-2023","350.55","353.45","355.70","349.50","274.92K","-0.27%"
"26-12-2023","351.50","359.00","359.00","349.75","1.09M","1.80%"
"22-12-2023","345.30","345.60","348.75","342.50","178.79K","0.54%"
"21-12-2023","343.45","330.00","347.55","328.05","403.66K","1.69%"
"20-12-2023","337.75","351.75","352.30","331.50","530.06K","-3.32%"
"19-12-2023","349.35","362.00","364.00","347.60","2.25M","1.87%"
"18-12-2023","342.95","344.10","349.65","341.90","321.05K","-0.09%"
"15-12-2023","343.25","348.30","350.35","342.00","298.16K","-0.98%"
"14-12-2023","346.65","345.00","353.80","344.45","730.28K","2.15%"
"13-12-2023","339.35","330.00","342.90","330.00","729.02K","3.32%"
"12-12-2023","328.45","338.30","342.25","327.00","979.10K","-2.36%"
"11-12-2023","336.40","341.90","345.05","335.05","434.14K","-1.03%"
"08-12-2023","339.90","348.00","351.75","339.00","307.97K","-2.33%"
"07-12-2023","348.00","354.75","354.75","347.50","266.42K","-1.09%"
"06-12-2023","351.85","352.55","358.50","350.25","580.41K","0.33%"
"05-12-2023","350.70","347.80","354.80","343.60","1.31M","1.93%"
"04-12-2023","344.05","342.00","347.00","337.55","599.64K","2.98%"
"01-12-2023","334.10","340.15","343.55","333.40","410.88K","-1.30%"
"30-11-2023","338.50","335.00","339.50","329.00","562.20K","0.97%"
"29-11-2023","335.25","335.95","340.00","330.80","504.37K","0.54%"
"28-11-2023","333.45","328.00","335.55","326.90","494.50K","2.02%"
"24-11-2023","326.85","323.05","328.00","323.05","174.57K","1.18%"
"23-11-2023","323.05","327.00","327.95","321.15","162.27K","-0.87%"
"22-11-2023","325.90","326.55","329.45","323.50","199.36K","-0.20%"
"21-11-2023","326.55","325.55","327.65","324.05","200.92K","0.74%"
"20-11-2023","324.15","324.40","328.80","320.30","321.34K","0.40%"
"17-11-2023","322.85","317.00","324.40","314.55","422.19K","2.14%"
"16-11-2023","316.10","319.30","320.00","315.10","356.78K","-0.64%"
"15-11-2023","318.15","321.00","324.40","317.10","324.57K","-0.09%"
"13-11-2023","318.45","325.00","327.90","317.35","454.76K","-1.74%"
"12-11-2023","324.10","325.00","325.75","322.60","113.29K","2.55%"
"10-11-2023","316.05","312.15","326.00","312.00","888.35K","1.77%"
"09-11-2023","310.55","321.00","322.80","310.10","726.44K","-2.36%"
"08-11-2023","318.05","325.80","328.95","316.35","637.42K","-1.87%"
"07-11-2023","324.10","333.00","334.00","320.90","638.69K","-2.66%"
"06-11-2023","332.95","341.80","341.80","330.50","366.75K","-1.73%"
"03-11-2023","338.80","331.25","343.95","330.15","723.15K","2.79%"
"02-11-2023","329.60","326.00","331.95","324.05","189.65K","1.82%"
"01-11-2023","323.70","333.70","333.70","322.50","268.94K","-3.11%"
"31-10-2023","334.10","339.00","344.80","330.55","345.86K","-1.11%"
"30-10-2023","337.85","339.70","340.45","335.00","107.44K","-0.65%"
"27-10-2023","340.05","332.15","343.40","332.15","199.73K","2.91%"
"26-10-2023","330.45","328.95","344.00","316.50","694.60K","-0.36%"
"25-10-2023","331.65","344.00","346.30","329.65","335.90K","-2.83%"
"23-10-2023","341.30","365.00","367.05","338.75","431.85K","-6.65%"
"20-10-2023","365.60","365.20","377.80","364.15","580.24K","0.11%"
"19-10-2023","365.20","367.45","370.85","364.10","186.81K","-0.61%"
"18-10-2023","367.45","368.60","369.50","362.25","124.78K","-0.33%"
"17-10-2023","368.65","366.10","370.50","364.40","333.26K","0.85%"
"16-10-2023","365.55","365.00","372.60","362.95","228.71K","-0.67%"
"13-10-2023","368.00","367.95","370.40","366.05","183.57K","0.01%"
"12-10-2023","367.95","374.80","377.50","366.25","360.95K","-1.25%"
"11-10-2023","372.60","375.40","376.20","371.05","162.69K","0.00%"
"10-10-2023","372.60","368.00","377.90","366.50","334.82K","1.68%"
"09-10-2023","366.45","369.80","370.90","360.35","271.78K","-1.23%"
"06-10-2023","371.00","373.20","373.20","368.00","145.03K","-0.11%"
"05-10-2023","371.40","378.00","378.10","368.10","239.79K","-0.36%"
"04-10-2023","372.75","376.00","378.00","366.90","309.81K","-0.55%"
"03-10-2023","374.80","367.00","376.50","362.35","520.51K","2.53%"
"29-09-2023","365.55","366.00","368.25","362.00","320.95K","0.33%"
"28-09-2023","364.35","366.30","371.25","362.65","414.64K","0.19%"
"27-09-2023","363.65","371.00","374.85","359.70","388.88K","-1.64%"
"26-09-2023","369.70","370.20","378.90","368.35","720.90K","0.41%"
"25-09-2023","368.20","373.80","374.85","364.30","345.76K","-0.65%"
"22-09-2023","370.60","378.00","382.90","365.80","784.39K","0.62%"
"21-09-2023","368.30","364.00","371.00","360.15","209.88K","1.22%"
"20-09-2023","363.85","368.20","371.45","362.30","280.40K","-1.28%"
"18-09-2023","368.55","374.50","387.70","365.10","1.42M","-0.65%"
"15-09-2023","370.95","361.55","373.80","354.55","589.07K","2.76%"
"14-09-2023","361.00","357.15","368.70","356.45","354.92K","1.88%"
"13-09-2023","354.35","365.00","372.30","351.80","858.76K","-1.42%"
"12-09-2023","359.45","365.90","366.25","345.00","679.24K","-1.36%"
"11-09-2023","364.40","364.25","367.40","360.00","507.42K","0.82%"
"08-09-2023","361.45","352.50","364.00","351.05","1.29M","3.04%"
"07-09-2023","350.80","351.70","353.80","346.00","235.56K","0.60%"
"06-09-2023","348.70","345.85","355.00","344.50","704.79K","1.23%"
"05-09-2023","344.45","342.00","347.65","341.15","377.27K","1.46%"
"04-09-2023","339.50","333.00","342.30","333.00","371.38K","2.55%"
"01-09-2023","331.05","333.00","336.95","329.15","170.35K","-0.29%"
"31-08-2023","332.00","328.00","333.25","327.00","327.27K","1.56%"
"30-08-2023","326.90","325.35","328.85","325.00","185.59K","0.97%"
"29-08-2023","323.75","323.60","326.70","321.15","330.81K","0.59%"
"28-08-2023","321.85","318.45","322.85","315.05","185.13K","1.21%"
"25-08-2023","318.00","325.90","326.70","316.70","506.05K","-2.33%"
"24-08-2023","325.60","327.00","332.20","324.05","184.16K","-0.79%"
"23-08-2023","328.20","332.35","335.90","326.50","961.14K","-0.55%"
"22-08-2023","330.00","328.50","331.50","327.50","267.46K","0.90%"
"21-08-2023","327.05","324.20","329.00","323.95","259.18K","1.46%"
"18-08-2023","322.35","325.00","331.95","320.00","288.30K","-0.54%"
"17-08-2023","324.10","331.45","332.00","323.45","247.90K","-1.80%"
"16-08-2023","330.05","332.00","334.60","327.10","448.54K","-1.46%"
"14-08-2023","334.95","350.00","350.00","318.05","1.71M","-5.05%"
"11-08-2023","352.75","359.70","361.80","350.15","284.52K","-1.48%"
"10-08-2023","358.05","359.20","362.60","356.05","217.27K","-0.32%"
"09-08-2023","359.20","363.00","365.50","357.00","589.81K","0.04%"
"08-08-2023","359.05","349.95","363.80","349.15","966.97K","2.92%"
"07-08-2023","348.85","353.00","356.95","347.00","461.03K","-0.88%"
"04-08-2023","351.95","346.90","357.55","346.05","631.81K","1.96%"
"03-08-2023","345.20","347.40","350.90","343.20","185.02K","-0.68%"
"02-08-2023","347.55","353.00","357.75","345.00","535.86K","-1.32%"
"01-08-2023","352.20","347.70","354.00","345.90","751.03K","1.75%"
"31-07-2023","346.15","343.90","349.85","343.90","228.62K","0.71%"
"28-07-2023","343.70","346.20","347.70","342.00","194.64K","-0.33%"
"27-07-2023","344.85","350.25","352.00","342.35","231.06K","-1.53%"
"26-07-2023","350.20","351.20","354.00","348.00","235.06K","0.10%"
"25-07-2023","349.85","348.20","355.75","346.65","327.46K","0.29%"
"24-07-2023","348.85","352.95","355.80","347.55","214.77K","-0.51%"
"21-07-2023","350.65","351.00","355.95","349.00","457.26K","-0.03%"
"20-07-2023","350.75","354.30","368.55","347.20","2.10M","2.17%"
"19-07-2023","343.30","346.90","351.30","342.10","306.63K","-0.01%"
"18-07-2023","343.35","350.50","353.70","340.20","279.84K","-1.59%"
"17-07-2023","348.90","345.20","363.25","345.20","610.30K","1.15%"
"14-07-2023","344.95","346.35","348.75","342.00","317.51K","-0.25%"
"13-07-2023","345.80","346.95","354.60","342.80","345.11K","-0.03%"
"12-07-2023","345.90","347.90","356.70","344.20","333.86K","-0.57%"
