"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","379.400","362.200","382.000","362.200","2.56M","2.58%"
"05-11-2024","369.850","379.000","379.000","364.900","1.46M","-1.58%"
"04-11-2024","375.800","374.000","381.800","361.050","4.44M","-0.65%"
"01-11-2024","378.250","375.100","383.700","375.100","922.71K","1.00%"
"31-10-2024","374.500","370.000","382.950","358.250","6.17M","-0.40%"
"30-10-2024","376.000","336.500","379.000","335.000","25.96M","10.73%"
"29-10-2024","339.550","316.200","349.400","305.150","19.59M","6.23%"
"28-10-2024","319.650","290.000","326.250","270.050","20.13M","7.61%"
"25-10-2024","297.050","358.900","360.200","287.000","12.66M","-17.19%"
"24-10-2024","358.700","360.650","365.950","356.300","686.77K","-0.54%"
"23-10-2024","360.650","361.550","365.050","355.950","1.15M","-0.73%"
"22-10-2024","363.300","378.000","379.350","360.700","2.31M","-3.56%"
"21-10-2024","376.700","378.400","382.250","374.600","1.90M","0.19%"
"18-10-2024","376.000","377.400","378.450","370.350","615.53K","-0.12%"
"17-10-2024","376.450","382.600","383.850","373.600","741.73K","-1.19%"
"16-10-2024","381.000","379.800","386.050","379.400","553.70K","0.29%"
"15-10-2024","379.900","381.200","381.500","377.950","519.60K","-0.11%"
"14-10-2024","380.300","381.050","383.300","378.600","548.03K","-0.11%"
"11-10-2024","380.700","386.400","388.000","380.050","752.56K","-1.91%"
"10-10-2024","388.100","392.250","392.950","386.050","866.10K","-0.55%"
"09-10-2024","390.250","377.100","391.650","376.550","1.96M","4.28%"
"08-10-2024","374.250","375.000","381.700","371.250","1.68M","-1.50%"
"07-10-2024","379.950","399.000","399.950","377.450","1.62M","-3.80%"
"04-10-2024","394.950","392.000","398.000","382.850","2.44M","0.41%"
"03-10-2024","393.350","397.950","399.400","388.800","1.48M","-1.88%"
"01-10-2024","400.900","394.000","407.650","393.100","2.13M","1.64%"
"30-09-2024","394.450","396.000","397.100","391.800","1.01M","-0.34%"
"27-09-2024","395.800","399.450","400.550","394.250","1.68M","-0.95%"
"26-09-2024","399.600","404.100","405.000","396.350","1.46M","-1.11%"
"25-09-2024","404.100","396.900","406.800","392.650","2.41M","1.67%"
"24-09-2024","397.450","403.050","403.900","395.150","1.04M","-0.86%"
"23-09-2024","400.900","405.500","409.000","399.050","1.62M","-1.05%"
"20-09-2024","405.150","397.300","405.900","393.550","2.98M","1.95%"
"19-09-2024","397.400","398.500","403.500","390.150","1.60M","0.26%"
"18-09-2024","396.350","402.000","406.300","393.950","2.37M","-0.96%"
"17-09-2024","400.200","394.000","403.950","389.600","2.16M","1.57%"
"16-09-2024","394.000","401.800","405.900","392.000","1.23M","-1.65%"
"13-09-2024","400.600","398.950","405.500","395.950","1.95M","0.97%"
"12-09-2024","396.750","396.000","404.000","393.500","1.86M","0.70%"
"11-09-2024","394.000","393.000","401.000","391.250","2.28M","0.46%"
"10-09-2024","392.200","381.000","395.600","381.000","2.13M","3.14%"
"09-09-2024","380.250","385.000","385.600","373.600","1.32M","-1.31%"
"06-09-2024","385.300","389.000","390.250","381.850","1.26M","-1.23%"
"05-09-2024","390.100","386.950","394.450","385.250","1.39M","1.26%"
"04-09-2024","385.250","381.500","388.000","380.100","1.17M","0.22%"
"03-09-2024","384.400","390.000","394.700","383.500","1.30M","-0.98%"
"02-09-2024","388.200","388.000","393.650","385.750","1.26M","0.23%"
"30-08-2024","387.300","393.900","395.650","387.000","2.16M","-1.34%"
"29-08-2024","392.550","399.100","402.650","390.100","1.58M","-1.79%"
"28-08-2024","399.700","402.400","414.000","398.500","2.71M","-0.71%"
"27-08-2024","402.550","407.000","407.000","399.800","1.26M","-0.96%"
"26-08-2024","406.450","402.000","409.500","396.100","3.12M","1.51%"
"23-08-2024","400.400","403.000","403.900","398.800","1.46M","-0.65%"
"22-08-2024","403.000","403.000","407.000","392.650","2.82M","0.76%"
"21-08-2024","399.950","403.000","408.000","395.000","4.62M","0.05%"
"20-08-2024","399.750","372.900","402.000","371.400","12.25M","7.75%"
"19-08-2024","371.000","364.100","373.350","361.600","1.88M","2.39%"
"16-08-2024","362.350","357.500","368.950","356.600","1.51M","2.26%"
"14-08-2024","354.350","356.250","357.500","349.600","1.16M","-0.51%"
"13-08-2024","356.150","363.200","364.750","354.700","1.20M","-1.94%"
"12-08-2024","363.200","366.000","366.350","356.350","2.08M","-0.71%"
"09-08-2024","365.800","372.900","374.900","362.500","2.07M","-0.81%"
"08-08-2024","368.800","353.000","376.900","350.100","7.65M","4.82%"
"07-08-2024","351.850","348.000","354.300","343.300","1.95M","2.73%"
"06-08-2024","342.500","350.600","354.500","341.000","2.00M","-0.94%"
"05-08-2024","345.750","351.000","355.550","343.500","2.76M","-4.62%"
"02-08-2024","362.500","357.900","364.850","351.000","2.95M","0.75%"
"01-08-2024","359.800","370.000","372.700","358.400","3.18M","-2.51%"
"31-07-2024","369.050","373.750","376.450","368.000","2.73M","-0.49%"
"30-07-2024","370.850","382.700","385.500","369.700","2.80M","-2.68%"
"29-07-2024","381.050","380.000","384.850","377.550","2.20M","1.42%"
"26-07-2024","375.700","370.000","379.400","365.950","5.38M","2.75%"
"25-07-2024","365.650","380.550","385.500","364.250","4.95M","-3.92%"
"24-07-2024","380.550","392.800","397.050","379.350","3.68M","-2.73%"
"23-07-2024","391.250","405.000","407.400","383.000","2.48M","-3.17%"
"22-07-2024","404.050","408.950","413.000","401.550","2.62M","-1.88%"
"19-07-2024","411.800","413.300","415.000","401.400","2.03M","-0.35%"
"18-07-2024","413.250","415.600","417.800","407.650","1.69M","-0.57%"
"16-07-2024","415.600","402.000","417.400","402.000","4.37M","3.74%"
"15-07-2024","400.600","406.400","408.650","399.350","1.76M","-0.93%"
"12-07-2024","404.350","406.000","410.450","403.200","3.08M","-0.16%"
"11-07-2024","405.000","407.900","411.000","403.550","5.94M","-0.25%"
"10-07-2024","406.000","418.000","420.400","403.900","7.83M","-2.68%"
"09-07-2024","417.200","425.100","426.500","416.000","10.20M","-1.38%"
"08-07-2024","423.050","434.000","436.950","421.000","6.02M","-1.32%"
"05-07-2024","428.700","420.900","434.500","417.300","6.13M","2.25%"
"04-07-2024","419.250","419.000","422.900","414.000","3.96M","0.58%"
"03-07-2024","416.850","420.800","425.800","414.000","4.85M","-0.67%"
"02-07-2024","419.650","422.000","425.500","418.200","1.37M","-0.56%"
"01-07-2024","422.000","415.000","422.650","413.000","1.93M","3.15%"
"28-06-2024","409.100","410.000","417.150","407.000","1.94M","0.68%"
"27-06-2024","406.350","417.500","420.700","401.000","2.43M","-2.46%"
"26-06-2024","416.600","424.500","426.200","415.500","1.21M","-1.91%"
"25-06-2024","424.700","419.800","432.900","419.450","3.26M","1.79%"
"24-06-2024","417.250","419.000","423.250","412.050","1.53M","-0.93%"
"21-06-2024","421.150","424.000","428.050","417.500","1.85M","-0.30%"
"20-06-2024","422.400","423.050","430.700","421.600","1.86M","-0.35%"
"19-06-2024","423.900","435.750","435.750","423.100","6.39M","-2.23%"
"18-06-2024","433.550","440.100","441.000","432.000","2.17M","-0.87%"
"14-06-2024","437.350","439.700","441.550","434.200","1.08M","0.29%"
"13-06-2024","436.100","442.100","446.950","434.050","1.51M","-1.38%"
"12-06-2024","442.200","442.000","447.800","439.050","1.81M","0.59%"
"11-06-2024","439.600","436.000","448.000","435.150","6.56M","3.11%"
"10-06-2024","426.350","467.650","470.400","423.050","14.74M","-8.41%"
"07-06-2024","465.500","453.650","472.400","452.500","3.07M","3.04%"
"06-06-2024","451.750","438.000","455.700","438.000","1.27M","3.83%"
"05-06-2024","435.100","432.200","439.700","410.550","1.17M","2.85%"
"04-06-2024","423.050","455.000","455.000","396.800","2.21M","-6.19%"
"03-06-2024","450.950","469.000","469.000","446.700","1.41M","0.41%"
