"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","728.35","715.10","732.00","715.10","292.06K","1.95%"
"05-11-2024","714.40","704.05","717.90","702.15","385.39K","0.54%"
"04-11-2024","710.55","749.05","750.60","706.80","661.38K","-5.14%"
"01-11-2024","749.05","742.05","754.80","742.05","136.99K","1.32%"
"31-10-2024","739.30","718.05","744.90","713.90","445.01K","3.34%"
"30-10-2024","715.40","701.00","730.00","699.05","360.80K","2.00%"
"29-10-2024","701.35","700.45","718.00","691.30","1.34M","0.14%"
"28-10-2024","700.35","687.95","704.00","677.55","1.16M","-1.48%"
"25-10-2024","710.85","740.00","743.00","708.75","562.14K","-4.00%"
"24-10-2024","740.50","739.00","743.00","726.25","374.35K","0.47%"
"23-10-2024","737.00","735.55","750.50","718.10","651.77K","0.20%"
"22-10-2024","735.55","772.00","772.00","730.00","779.99K","-5.18%"
"21-10-2024","775.70","800.05","813.75","772.10","417.44K","-2.74%"
"18-10-2024","797.55","797.00","803.95","774.00","701.98K","-0.61%"
"17-10-2024","802.45","809.90","816.85","792.75","1.04M","-0.06%"
"16-10-2024","802.95","817.00","824.00","800.00","1.61M","-1.42%"
"15-10-2024","814.50","767.95","817.00","764.30","2.21M","6.16%"
"14-10-2024","767.25","774.20","779.70","763.00","462.03K","-0.67%"
"11-10-2024","772.40","782.00","783.70","769.30","271.03K","-1.19%"
"10-10-2024","781.70","776.45","794.00","765.75","845.59K","1.84%"
"09-10-2024","767.60","755.00","774.00","752.35","781.50K","2.51%"
"08-10-2024","748.80","730.00","757.80","710.75","1.27M","2.02%"
"07-10-2024","733.95","761.25","770.35","725.55","1.12M","-3.59%"
"04-10-2024","761.25","757.00","778.75","735.20","1.48M","0.33%"
"03-10-2024","758.75","767.90","776.70","754.05","735.66K","-2.67%"
"01-10-2024","779.60","800.95","812.00","773.55","1.59M","-2.79%"
"30-09-2024","801.95","801.55","826.70","783.55","2.99M","0.05%"
"27-09-2024","801.55","765.00","825.00","760.65","13.36M","5.45%"
"26-09-2024","760.15","757.25","762.00","746.10","438.45K","0.76%"
"25-09-2024","754.45","759.00","788.60","750.00","1.61M","-0.50%"
"24-09-2024","758.25","756.95","763.75","742.95","470.21K","0.10%"
"23-09-2024","757.50","763.70","766.00","754.00","631.37K","1.13%"
"20-09-2024","749.00","737.00","767.70","736.30","1.17M","1.78%"
"19-09-2024","735.90","745.00","749.80","712.30","635.52K","-0.02%"
"18-09-2024","736.05","748.00","754.10","734.15","331.69K","-1.99%"
"17-09-2024","751.00","759.00","760.30","743.80","380.85K","-0.94%"
"16-09-2024","758.10","733.90","762.15","723.45","1.41M","4.18%"
"13-09-2024","727.70","722.00","731.80","721.20","309.62K","0.79%"
"12-09-2024","722.00","720.00","727.00","713.00","306.65K","0.82%"
"11-09-2024","716.15","726.40","732.00","715.00","353.92K","-1.27%"
"10-09-2024","725.35","729.00","735.90","718.95","554.90K","0.69%"
"09-09-2024","720.40","735.00","736.40","715.05","595.16K","-2.00%"
"06-09-2024","735.10","756.00","757.00","732.05","641.84K","-2.76%"
"05-09-2024","756.00","758.45","773.90","753.10","873.03K","0.75%"
"04-09-2024","750.40","752.50","762.75","747.80","824.16K","-0.72%"
"03-09-2024","755.85","760.00","772.65","753.10","884.67K","0.05%"
"02-09-2024","755.45","768.00","771.80","748.95","1.22M","-1.49%"
"30-08-2024","766.90","785.00","804.25","760.20","12.98M","5.21%"
"29-08-2024","728.95","744.00","744.60","725.00","398.57K","-1.61%"
"28-08-2024","740.90","745.05","748.00","737.40","396.58K","-0.44%"
"27-08-2024","744.15","754.95","754.95","733.55","772.49K","-1.19%"
"26-08-2024","753.15","763.00","764.00","743.75","637.84K","-0.65%"
"23-08-2024","758.05","781.00","782.05","755.60","838.10K","-2.71%"
"22-08-2024","779.15","790.90","791.90","773.00","872.51K","-0.93%"
"21-08-2024","786.45","777.00","793.75","771.95","1.41M","1.29%"
"20-08-2024","776.45","760.00","812.95","759.90","10.82M","3.22%"
"19-08-2024","752.25","714.70","757.05","712.60","2.89M","5.68%"
"16-08-2024","711.85","708.70","724.95","696.90","600.21K","1.59%"
"14-08-2024","700.70","739.00","739.90","697.45","1.39M","-4.85%"
"13-08-2024","736.40","712.00","742.20","712.00","4.54M","4.19%"
"12-08-2024","706.80","670.00","711.00","662.60","1.59M","5.17%"
"09-08-2024","672.05","678.90","682.00","666.00","285.71K","0.55%"
"08-08-2024","668.40","678.00","694.95","665.10","622.12K","-0.69%"
"07-08-2024","673.05","674.80","680.00","652.15","337.32K","3.20%"
"06-08-2024","652.20","656.00","677.25","650.00","401.56K","-0.30%"
"05-08-2024","654.15","674.00","678.75","650.55","812.25K","-5.35%"
"02-08-2024","691.15","689.95","698.00","680.00","430.84K","-0.88%"
"01-08-2024","697.30","706.85","709.00","693.05","520.06K","-1.13%"
"31-07-2024","705.30","709.90","714.80","701.00","612.13K","-0.56%"
"30-07-2024","709.25","709.85","720.00","704.60","625.60K","0.79%"
"29-07-2024","703.70","709.35","731.80","700.60","1.26M","0.55%"
"26-07-2024","699.85","709.00","716.45","696.00","571.76K","-1.41%"
"25-07-2024","709.85","710.70","724.80","702.05","524.40K","-0.55%"
"24-07-2024","713.75","707.00","724.50","703.05","642.84K","1.58%"
"23-07-2024","702.65","710.10","718.00","658.00","765.65K","-0.57%"
"22-07-2024","706.70","685.80","709.85","677.30","567.45K","2.58%"
"19-07-2024","688.90","702.00","711.80","682.30","722.23K","-1.87%"
"18-07-2024","702.00","718.00","736.45","695.60","1.03M","-2.14%"
"16-07-2024","717.35","726.90","738.95","714.00","1.35M","-0.74%"
"15-07-2024","722.70","734.55","734.55","712.55","701.40K","-0.15%"
"12-07-2024","723.75","739.60","739.60","718.00","909.45K","-2.14%"
"11-07-2024","739.55","733.25","753.30","721.50","1.20M","1.26%"
"10-07-2024","730.35","750.95","755.95","711.90","1.33M","-2.05%"
"09-07-2024","745.60","721.90","754.30","718.15","1.73M","3.58%"
"08-07-2024","719.85","736.70","740.00","712.85","654.90K","-1.81%"
"05-07-2024","733.15","732.00","739.70","726.30","341.03K","0.21%"
"04-07-2024","731.65","735.90","745.00","727.55","729.60K","-0.37%"
"03-07-2024","734.40","751.00","751.00","730.00","728.36K","-1.44%"
"02-07-2024","745.10","748.00","757.95","731.25","1.74M","0.32%"
"01-07-2024","742.75","737.55","754.90","731.00","2.03M","1.94%"
"28-06-2024","728.65","680.05","742.00","678.75","4.40M","7.35%"
"27-06-2024","678.75","691.80","697.00","677.15","659.22K","-1.63%"
"26-06-2024","690.00","683.80","695.00","675.50","516.33K","0.91%"
"25-06-2024","683.80","688.05","693.85","675.35","577.21K","0.34%"
"24-06-2024","681.45","685.85","692.95","667.90","574.97K","-1.04%"
"21-06-2024","688.60","700.00","708.80","681.50","1.21M","-0.90%"
"20-06-2024","694.85","687.50","712.00","687.05","1.66M","1.54%"
"19-06-2024","684.30","694.00","716.00","655.00","2.40M","-0.81%"
"18-06-2024","689.90","705.00","707.50","681.00","1.49M","-1.46%"
"14-06-2024","700.15","688.00","711.70","673.30","3.97M","2.11%"
"13-06-2024","685.70","640.30","692.85","639.00","7.78M","8.04%"
"12-06-2024","634.70","624.00","658.00","622.20","6.36M","2.61%"
"11-06-2024","618.55","595.00","624.00","593.85","2.83M","3.58%"
"10-06-2024","597.20","594.00","605.00","588.00","2.13M","1.15%"
"07-06-2024","590.40","536.30","598.20","535.00","6.62M","10.29%"
"06-06-2024","535.30","530.00","546.90","526.85","965.50K","3.45%"
"05-06-2024","517.45","520.00","531.95","484.00","1.94M","0.20%"
"04-06-2024","516.40","553.95","553.95","483.35","2.50M","-5.95%"
"03-06-2024","549.05","548.20","552.20","533.60","2.21M","5.17%"
"31-05-2024","522.05","511.50","538.80","504.05","8.74M","4.21%"
"30-05-2024","500.95","512.00","515.05","498.05","463.50K","-1.95%"
"29-05-2024","510.90","502.00","518.00","502.00","647.88K","1.77%"
"28-05-2024","502.00","516.15","520.45","500.80","672.01K","-2.75%"
"27-05-2024","516.20","523.75","524.70","511.25","267.71K","-0.91%"
"24-05-2024","520.95","519.75","524.80","515.70","359.41K","0.35%"
"23-05-2024","519.15","528.10","528.95","518.00","274.01K","-1.11%"
