"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,674.05","1,618.00","1,713.00","1,606.30","1.17M","4.65%"
"05-11-2024","1,599.70","1,599.40","1,611.95","1,555.15","708.23K","0.48%"
"04-11-2024","1,592.05","1,640.00","1,654.85","1,583.45","393.88K","-2.91%"
"01-11-2024","1,639.75","1,636.45","1,671.95","1,619.95","70.56K","0.20%"
"31-10-2024","1,636.45","1,646.95","1,657.95","1,602.70","558.52K","-0.60%"
"30-10-2024","1,646.25","1,575.00","1,675.00","1,530.00","1.04M","2.58%"
"29-10-2024","1,604.90","1,664.00","1,673.05","1,596.05","902.50K","-3.04%"
"28-10-2024","1,655.25","1,695.00","1,695.65","1,650.00","462.71K","-3.03%"
"25-10-2024","1,706.95","1,685.05","1,729.00","1,645.20","296.90K","0.88%"
"24-10-2024","1,692.00","1,736.50","1,751.70","1,680.25","426.80K","-1.64%"
"23-10-2024","1,720.15","1,699.90","1,725.95","1,663.25","390.87K","0.10%"
"22-10-2024","1,718.50","1,737.00","1,743.85","1,690.45","439.34K","-1.93%"
"21-10-2024","1,752.30","1,773.00","1,791.90","1,725.05","380.42K","-0.82%"
"18-10-2024","1,766.80","1,750.00","1,773.50","1,732.00","582.41K","-1.49%"
"17-10-2024","1,793.60","1,836.00","1,847.90","1,778.55","782.32K","-3.81%"
"16-10-2024","1,864.60","1,899.05","1,906.75","1,851.05","460.77K","-1.99%"
"15-10-2024","1,902.40","1,865.00","1,909.85","1,851.55","479.36K","2.52%"
"14-10-2024","1,855.65","1,864.95","1,904.00","1,847.05","693.78K","0.06%"
"11-10-2024","1,854.50","1,860.05","1,878.90","1,833.45","300.55K","-0.41%"
"10-10-2024","1,862.05","1,870.00","1,870.00","1,840.05","495.11K","0.21%"
"09-10-2024","1,858.20","1,816.45","1,873.00","1,797.05","840.24K","2.30%"
"08-10-2024","1,816.45","1,705.00","1,829.00","1,703.40","753.86K","4.42%"
"07-10-2024","1,739.55","1,735.00","1,751.00","1,700.55","669.47K","-0.64%"
"04-10-2024","1,750.80","1,744.05","1,775.00","1,687.10","847.69K","-0.28%"
"03-10-2024","1,755.80","1,781.00","1,833.90","1,740.00","910.06K","-3.40%"
"01-10-2024","1,817.65","1,832.50","1,832.50","1,792.55","814.46K","-1.50%"
"30-09-2024","1,845.25","1,838.00","1,870.00","1,801.00","900.02K","-1.24%"
"27-09-2024","1,868.50","1,825.95","1,879.80","1,781.35","1.14M","2.33%"
"26-09-2024","1,825.95","1,850.00","1,915.00","1,797.15","1.61M","-0.77%"
"25-09-2024","1,840.10","1,850.00","1,865.95","1,800.00","1.48M","-1.55%"
"24-09-2024","1,869.05","1,900.00","1,928.80","1,847.40","1.15M","-1.23%"
"23-09-2024","1,892.40","1,893.90","1,919.00","1,865.00","1.02M","0.72%"
"20-09-2024","1,878.90","1,889.00","1,951.75","1,866.90","1.16M","-1.08%"
