"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,515.00","1,504.00","1,526.70","1,502.05","208.17K","0.75%"
"05-11-2024","1,503.70","1,481.55","1,514.35","1,475.05","454.19K","0.38%"
"04-11-2024","1,498.00","1,567.00","1,578.00","1,441.00","2.19M","-4.93%"
"01-11-2024","1,575.75","1,585.00","1,588.00","1,560.00","79.54K","0.35%"
"31-10-2024","1,570.20","1,570.10","1,578.95","1,546.60","551.11K","0.59%"
"30-10-2024","1,561.05","1,524.85","1,568.00","1,518.25","368.45K","2.37%"
"29-10-2024","1,524.85","1,537.30","1,537.30","1,496.20","285.67K","-0.37%"
"28-10-2024","1,530.50","1,489.95","1,542.75","1,489.55","233.01K","2.75%"
"25-10-2024","1,489.55","1,518.00","1,518.50","1,463.75","329.28K","-1.28%"
"24-10-2024","1,508.80","1,530.55","1,539.00","1,495.00","282.41K","-1.42%"
"23-10-2024","1,530.55","1,533.00","1,554.35","1,513.85","545.61K","-0.16%"
"22-10-2024","1,533.05","1,595.00","1,595.00","1,526.15","558.00K","-3.01%"
"21-10-2024","1,580.70","1,623.90","1,623.90","1,573.00","404.22K","-1.83%"
"18-10-2024","1,610.10","1,612.95","1,658.20","1,595.05","756.71K","0.02%"
"17-10-2024","1,609.75","1,624.70","1,627.55","1,594.55","486.28K","-1.05%"
"16-10-2024","1,626.85","1,597.05","1,635.00","1,572.70","1.75M","0.38%"
"15-10-2024","1,620.75","1,601.00","1,644.80","1,580.00","1.70M","1.93%"
"14-10-2024","1,590.00","1,623.95","1,628.00","1,583.10","301.46K","-1.88%"
"11-10-2024","1,620.50","1,615.95","1,637.75","1,600.35","296.77K","0.76%"
"10-10-2024","1,608.25","1,592.00","1,626.95","1,588.45","308.54K","0.71%"
"09-10-2024","1,596.95","1,619.00","1,619.00","1,592.00","152.99K","-0.43%"
"08-10-2024","1,603.85","1,548.85","1,609.95","1,548.15","441.13K","3.55%"
"07-10-2024","1,548.85","1,620.00","1,620.00","1,545.00","353.02K","-3.17%"
"04-10-2024","1,599.50","1,624.00","1,634.00","1,587.05","379.25K","-1.85%"
"03-10-2024","1,629.70","1,612.05","1,639.00","1,612.05","474.03K","-1.07%"
"01-10-2024","1,647.35","1,675.00","1,675.05","1,640.60","316.37K","-0.98%"
"30-09-2024","1,663.65","1,684.00","1,707.05","1,651.15","466.73K","-1.25%"
"27-09-2024","1,684.70","1,738.05","1,738.05","1,675.35","326.96K","-3.18%"
"26-09-2024","1,740.00","1,715.85","1,748.00","1,692.20","496.08K","1.41%"
"25-09-2024","1,715.85","1,700.35","1,733.70","1,689.15","403.12K","0.65%"
"24-09-2024","1,704.75","1,698.40","1,712.95","1,687.65","296.76K","0.37%"
"23-09-2024","1,698.40","1,660.00","1,702.00","1,652.10","793.40K","2.67%"
"20-09-2024","1,654.20","1,676.05","1,685.05","1,648.45","341.33K","-1.14%"
"19-09-2024","1,673.35","1,688.85","1,692.15","1,636.50","301.55K","-0.19%"
"18-09-2024","1,676.60","1,669.90","1,718.75","1,660.70","636.37K","0.40%"
"17-09-2024","1,669.90","1,689.00","1,707.75","1,662.35","540.96K","-1.18%"
"16-09-2024","1,689.90","1,665.95","1,704.15","1,657.00","894.49K","2.10%"
"13-09-2024","1,655.15","1,596.25","1,661.00","1,595.15","1.50M","3.76%"
"12-09-2024","1,595.15","1,598.90","1,607.75","1,585.00","201.47K","0.66%"
"11-09-2024","1,584.75","1,600.95","1,603.90","1,578.30","146.19K","-1.02%"
"10-09-2024","1,601.10","1,576.95","1,610.75","1,570.10","640.76K","2.21%"
"09-09-2024","1,566.45","1,566.90","1,571.00","1,541.85","220.07K","-0.04%"
"06-09-2024","1,567.10","1,583.00","1,586.40","1,549.40","653.87K","-0.83%"
"05-09-2024","1,580.15","1,528.30","1,590.95","1,528.30","1.53M","3.47%"
"04-09-2024","1,527.10","1,503.00","1,539.95","1,502.05","319.45K","0.76%"
"03-09-2024","1,515.60","1,515.00","1,524.10","1,507.05","174.05K","0.14%"
"02-09-2024","1,513.50","1,524.90","1,524.90","1,502.00","189.68K","-0.07%"
"30-08-2024","1,514.55","1,516.20","1,530.00","1,510.00","172.44K","0.35%"
"29-08-2024","1,509.30","1,519.10","1,524.60","1,496.10","240.05K","-0.65%"
"28-08-2024","1,519.10","1,522.00","1,552.00","1,513.55","644.92K","-0.09%"
"27-08-2024","1,520.50","1,512.00","1,524.60","1,504.05","476.42K","0.57%"
"26-08-2024","1,511.90","1,498.00","1,516.90","1,489.00","278.13K","1.76%"
"23-08-2024","1,485.80","1,519.00","1,520.00","1,480.00","340.05K","-1.94%"
"22-08-2024","1,515.15","1,525.00","1,534.80","1,510.10","286.84K","-0.08%"
"21-08-2024","1,516.35","1,500.00","1,526.80","1,497.00","259.83K","0.75%"
"20-08-2024","1,505.00","1,530.00","1,530.35","1,487.45","696.09K","-1.04%"
"19-08-2024","1,520.80","1,530.00","1,562.40","1,512.90","1.31M","1.38%"
"16-08-2024","1,500.05","1,460.00","1,503.20","1,457.00","1.05M","4.69%"
"14-08-2024","1,432.90","1,465.00","1,472.00","1,423.00","301.99K","-1.40%"
"13-08-2024","1,453.30","1,479.90","1,488.95","1,450.00","476.76K","-1.48%"
