"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","467.55","464.00","469.40","459.35","7.22M","1.31%"
"05-11-2024","461.50","450.00","464.85","436.65","9.88M","2.32%"
"04-11-2024","451.05","463.00","463.00","442.90","9.33M","-1.75%"
"01-11-2024","459.10","460.00","460.75","456.10","902.00K","0.91%"
"31-10-2024","454.95","464.40","465.95","449.15","6.92M","-1.88%"
"30-10-2024","463.65","472.15","474.25","462.75","9.06M","-1.80%"
"29-10-2024","472.15","453.00","474.00","446.20","13.33M","4.77%"
"28-10-2024","450.65","441.00","458.00","440.50","11.25M","2.86%"
"25-10-2024","438.10","454.00","458.00","431.00","8.90M","-3.31%"
"24-10-2024","453.10","437.00","455.70","436.05","9.48M","3.36%"
"23-10-2024","438.35","442.00","446.25","426.55","10.17M","-0.92%"
"22-10-2024","442.40","462.00","465.20","441.05","10.18M","-4.64%"
"21-10-2024","463.95","473.50","474.45","460.10","4.85M","-1.85%"
"18-10-2024","472.70","468.80","473.75","457.30","7.64M","0.69%"
"17-10-2024","469.45","480.00","480.95","467.45","5.21M","-2.03%"
"16-10-2024","479.20","476.90","483.20","476.35","5.93M","0.51%"
"15-10-2024","476.75","478.00","482.00","474.00","6.28M","0.67%"
"14-10-2024","473.60","469.95","478.95","466.80","5.76M","1.23%"
"11-10-2024","467.85","469.60","472.60","462.75","5.57M","-0.87%"
"10-10-2024","471.95","474.95","481.35","471.00","7.21M","0.24%"
"09-10-2024","470.80","467.45","477.50","467.45","9.02M","1.06%"
"08-10-2024","465.85","436.50","469.00","432.40","18.22M","6.20%"
"07-10-2024","438.65","467.00","469.80","437.00","16.78M","-5.33%"
"04-10-2024","463.35","467.55","469.65","457.65","11.41M","-0.90%"
"03-10-2024","467.55","487.85","491.75","464.50","19.20M","-5.37%"
"01-10-2024","494.10","490.00","505.05","489.00","12.79M","1.24%"
"30-09-2024","488.05","492.00","498.85","486.10","8.14M","-1.17%"
"27-09-2024","493.85","478.80","495.95","478.60","11.36M","2.79%"
"26-09-2024","480.45","485.00","485.00","475.15","8.62M","-0.62%"
"25-09-2024","483.45","491.00","491.35","480.40","9.53M","-1.33%"
"24-09-2024","489.95","490.00","493.55","486.05","8.39M","-0.25%"
"23-09-2024","491.20","485.00","494.50","482.40","6.33M","1.93%"
"20-09-2024","481.90","483.70","488.30","476.75","13.89M","0.25%"
"19-09-2024","480.70","495.75","501.00","462.70","15.78M","-2.31%"
"18-09-2024","492.05","489.00","500.50","486.35","15.33M","1.99%"
"17-09-2024","482.45","490.00","490.45","476.85","14.39M","-1.75%"
"16-09-2024","491.05","503.00","503.20","488.30","7.63M","-1.69%"
"13-09-2024","499.50","510.70","511.30","497.00","7.73M","-1.34%"
"12-09-2024","506.30","505.45","509.45","494.00","12.35M","0.98%"
"11-09-2024","501.40","511.00","515.50","499.30","7.62M","-1.83%"
"10-09-2024","510.75","528.50","528.50","508.55","14.83M","-2.45%"
"09-09-2024","523.60","541.00","544.45","513.20","20.18M","-3.98%"
"06-09-2024","545.30","555.00","558.85","541.55","9.57M","-2.32%"
"05-09-2024","558.25","557.00","566.40","555.35","8.55M","0.53%"
"04-09-2024","555.30","548.50","556.40","546.00","6.38M","-0.64%"
"03-09-2024","558.85","547.00","561.80","540.15","9.79M","2.14%"
"02-09-2024","547.15","552.60","554.05","540.10","5.74M","-0.44%"
"30-08-2024","549.55","554.80","560.00","547.10","10.22M","-0.88%"
"29-08-2024","554.45","546.00","556.50","540.45","19.51M","2.82%"
"28-08-2024","539.25","538.50","545.50","531.55","11.61M","0.52%"
"27-08-2024","536.45","515.00","538.00","512.25","19.38M","4.29%"
"26-08-2024","514.40","520.15","521.55","511.50","4.08M","-0.08%"
"23-08-2024","514.80","520.50","523.00","513.50","5.85M","-0.52%"
"22-08-2024","517.50","518.80","519.05","514.25","4.11M","0.36%"
"21-08-2024","515.65","521.20","524.30","511.60","7.84M","-1.06%"
"20-08-2024","521.20","508.90","522.65","504.15","12.17M","3.22%"
"19-08-2024","504.95","507.00","512.95","503.15","5.70M","0.14%"
"16-08-2024","504.25","493.50","505.15","489.05","10.38M","4.04%"
"14-08-2024","484.65","485.00","488.25","478.85","7.41M","0.41%"
"13-08-2024","482.65","491.00","497.90","481.00","10.67M","-2.82%"
"12-08-2024","496.65","499.90","503.45","490.70","5.78M","-0.80%"
"09-08-2024","500.65","499.60","508.85","495.05","10.49M","1.73%"
"08-08-2024","492.15","495.00","503.40","486.35","14.00M","-0.06%"
"07-08-2024","492.45","494.50","501.70","478.00","24.07M","3.88%"
"06-08-2024","474.05","506.00","527.60","471.35","27.20M","-4.82%"
"05-08-2024","498.05","505.10","524.15","490.70","23.85M","-5.37%"
"02-08-2024","526.30","535.00","539.80","525.35","11.58M","-3.05%"
"01-08-2024","542.85","552.05","559.50","541.50","10.65M","-2.51%"
"31-07-2024","556.80","555.25","558.70","551.00","6.34M","0.38%"
"30-07-2024","554.70","553.80","562.50","547.25","10.07M","0.33%"
"29-07-2024","552.85","539.00","554.85","537.00","11.02M","2.58%"
"26-07-2024","538.95","529.95","541.35","521.10","9.13M","2.65%"
"25-07-2024","525.05","521.00","527.30","514.75","6.45M","-0.01%"
"24-07-2024","525.10","523.55","537.25","520.05","9.02M","0.30%"
"23-07-2024","523.55","546.50","551.85","505.00","22.52M","-3.87%"
"22-07-2024","544.60","528.00","547.70","526.20","8.56M","2.04%"
"19-07-2024","533.70","544.00","552.00","532.00","10.05M","-2.54%"
