"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","721.65","721.30","725.45","712.45","113.28K","0.42%"
"05-11-2024","718.65","710.90","723.00","703.55","205.76K","1.43%"
"04-11-2024","708.55","732.50","732.50","703.60","186.99K","-3.30%"
"01-11-2024","732.75","739.00","739.00","728.05","50.25K","1.35%"
"31-10-2024","723.00","697.95","734.75","697.25","560.26K","3.36%"
"30-10-2024","699.50","669.90","709.00","668.00","432.23K","5.31%"
"29-10-2024","664.25","707.30","708.00","655.25","388.84K","-4.68%"
"28-10-2024","696.85","690.95","707.75","678.20","162.62K","1.32%"
"25-10-2024","687.80","709.80","716.00","685.00","198.02K","-3.45%"
"24-10-2024","712.40","711.00","717.90","703.40","122.37K","0.42%"
"23-10-2024","709.45","698.05","725.75","690.00","205.12K","1.78%"
"22-10-2024","697.05","723.35","727.65","689.05","266.51K","-3.62%"
"21-10-2024","723.25","754.80","762.95","720.10","206.79K","-4.07%"
"18-10-2024","753.95","728.80","766.90","728.75","691.10K","3.16%"
"17-10-2024","730.85","727.20","742.70","720.75","172.89K","-0.24%"
"16-10-2024","732.60","730.50","740.25","714.60","347.28K","0.23%"
"15-10-2024","730.95","716.00","752.30","716.00","598.07K","2.04%"
"14-10-2024","716.35","738.00","742.45","712.75","210.13K","-1.48%"
"11-10-2024","727.10","727.40","736.15","716.05","322.97K","-0.06%"
"10-10-2024","727.55","765.00","768.45","725.10","257.02K","-2.97%"
"09-10-2024","749.80","755.00","768.00","745.10","342.96K","-0.01%"
"08-10-2024","749.90","729.35","754.00","729.35","272.97K","2.33%"
"07-10-2024","732.80","746.30","772.40","706.35","508.02K","-1.74%"
"04-10-2024","745.75","755.00","761.30","732.05","305.84K","-1.41%"
"03-10-2024","756.40","769.95","769.95","751.10","274.32K","-2.08%"
"01-10-2024","772.50","778.50","783.45","759.55","331.89K","-0.28%"
"30-09-2024","774.65","785.00","794.40","771.00","243.47K","-1.34%"
"27-09-2024","785.20","794.30","802.00","780.60","275.57K","-1.73%"
