"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,414.30","2,393.55","2,449.20","2,370.05","223.89K","0.87%"
"05-11-2024","2,393.55","2,374.00","2,403.50","2,363.65","107.40K","-0.25%"
"04-11-2024","2,399.50","2,392.70","2,425.35","2,354.10","385.23K","-0.12%"
"01-11-2024","2,402.40","2,405.60","2,425.00","2,390.00","29.75K","0.98%"
"31-10-2024","2,379.00","2,390.00","2,431.00","2,353.70","280.06K","-1.37%"
"30-10-2024","2,412.05","2,249.40","2,463.70","2,232.10","546.79K","7.87%"
"29-10-2024","2,236.05","2,295.65","2,308.45","2,206.00","267.16K","-2.69%"
"28-10-2024","2,297.80","2,260.00","2,313.95","2,237.85","500.52K","1.29%"
"25-10-2024","2,268.50","2,350.00","2,524.00","2,200.55","3.05M","-1.20%"
"24-10-2024","2,296.10","2,240.70","2,389.00","2,231.35","1.02M","2.73%"
"23-10-2024","2,235.00","2,205.85","2,247.00","2,131.05","225.71K","2.50%"
"22-10-2024","2,180.40","2,162.00","2,194.45","2,083.10","171.28K","-0.63%"
"21-10-2024","2,194.25","2,208.00","2,238.20","2,180.15","104.16K","-2.13%"
"18-10-2024","2,242.10","2,193.00","2,263.70","2,102.50","220.72K","2.24%"
"17-10-2024","2,192.90","2,238.00","2,241.40","2,177.00","98.06K","-1.21%"
"16-10-2024","2,219.85","2,216.05","2,280.00","2,148.05","249.84K","0.25%"
"15-10-2024","2,214.40","2,173.00","2,274.00","2,166.35","583.30K","1.42%"
"14-10-2024","2,183.30","2,150.70","2,193.95","2,123.40","204.90K","1.52%"
"11-10-2024","2,150.70","2,120.00","2,161.30","2,093.05","107.54K","1.71%"
"10-10-2024","2,114.50","2,140.00","2,140.00","2,089.00","214.84K","-0.09%"
"09-10-2024","2,116.30","1,995.10","2,170.00","1,995.10","460.87K","6.20%"
"08-10-2024","1,992.80","2,000.00","2,007.15","1,950.00","88.66K","-0.71%"
"07-10-2024","2,007.15","2,035.00","2,050.00","1,927.75","222.71K","-1.15%"
"04-10-2024","2,030.55","2,046.45","2,046.45","1,972.70","162.82K","-0.78%"
"03-10-2024","2,046.45","2,070.00","2,070.00","2,015.30","169.28K","-1.53%"
"01-10-2024","2,078.35","2,030.00","2,084.90","2,005.55","191.62K","1.61%"
"30-09-2024","2,045.45","2,075.00","2,120.00","2,021.00","321.89K","-0.97%"
"27-09-2024","2,065.40","2,134.00","2,137.80","2,045.40","465.73K","-3.21%"
"26-09-2024","2,133.95","2,118.70","2,157.95","2,115.50","207.67K","1.14%"
"25-09-2024","2,109.85","2,155.00","2,166.00","2,074.00","243.91K","-1.84%"
"24-09-2024","2,149.35","2,150.05","2,174.00","2,130.00","128.91K","0.08%"
"23-09-2024","2,147.55","2,130.00","2,160.00","2,116.80","202.46K","0.83%"
"20-09-2024","2,129.80","2,132.65","2,151.55","2,101.95","259.73K","0.65%"
"19-09-2024","2,115.95","2,299.00","2,332.70","2,091.65","900.60K","-6.18%"
"18-09-2024","2,255.30","2,180.00","2,288.70","2,180.00","1.22M","3.68%"
"17-09-2024","2,175.30","2,140.65","2,189.00","2,137.15","568.00K","2.43%"
"16-09-2024","2,123.65","2,063.00","2,174.00","2,061.40","1.46M","4.37%"
"13-09-2024","2,034.80","2,034.90","2,044.30","2,015.05","76.61K","0.55%"
"12-09-2024","2,023.75","2,035.00","2,065.00","2,010.35","202.80K","0.21%"
"11-09-2024","2,019.45","2,039.90","2,039.90","2,001.05","158.64K","0.02%"
"10-09-2024","2,019.05","1,981.00","2,051.90","1,981.00","601.00K","2.10%"
"09-09-2024","1,977.60","2,008.90","2,014.95","1,940.20","236.31K","-1.07%"
"06-09-2024","1,998.90","2,036.95","2,069.00","1,994.00","517.61K","-0.03%"
"05-09-2024","1,999.45","2,020.80","2,042.00","1,991.10","256.85K","-0.14%"
"04-09-2024","2,002.20","1,981.85","2,039.65","1,974.95","329.93K","0.39%"
"03-09-2024","1,994.45","2,020.00","2,022.80","1,987.05","313.33K","-0.80%"
"02-09-2024","2,010.50","1,982.00","2,050.00","1,960.80","1.96M","3.52%"
"30-08-2024","1,942.05","1,818.50","1,975.75","1,812.50","3.27M","6.85%"
"29-08-2024","1,817.60","1,849.00","1,849.00","1,807.60","73.08K","-0.95%"
"28-08-2024","1,834.95","1,824.00","1,855.40","1,805.00","221.06K","1.50%"
"27-08-2024","1,807.90","1,842.00","1,867.35","1,800.00","232.16K","-1.35%"
"26-08-2024","1,832.65","1,880.00","1,910.00","1,823.05","567.25K","-0.64%"
"23-08-2024","1,844.45","1,780.00","1,857.00","1,765.60","686.09K","4.49%"
"22-08-2024","1,765.25","1,725.20","1,796.00","1,723.60","319.55K","2.33%"
"21-08-2024","1,725.00","1,710.00","1,731.10","1,700.05","120.50K","0.72%"
"20-08-2024","1,712.70","1,700.00","1,741.20","1,691.00","200.38K","0.82%"
"19-08-2024","1,698.80","1,693.20","1,715.80","1,665.00","221.50K","1.98%"
"16-08-2024","1,665.85","1,651.00","1,670.00","1,635.05","245.04K","1.06%"
"14-08-2024","1,648.35","1,660.00","1,663.75","1,628.00","140.57K","-0.43%"
"13-08-2024","1,655.45","1,675.00","1,689.80","1,650.00","183.19K","-0.62%"
"12-08-2024","1,665.80","1,670.00","1,688.00","1,660.05","81.91K","-1.69%"
"09-08-2024","1,694.50","1,708.90","1,708.90","1,668.00","208.39K","-0.53%"
"08-08-2024","1,703.50","1,757.95","1,760.00","1,675.00","734.16K","2.02%"
"07-08-2024","1,669.80","1,673.00","1,694.10","1,660.00","112.36K","0.02%"
"06-08-2024","1,669.45","1,679.90","1,704.00","1,663.00","103.92K","-0.13%"
"05-08-2024","1,671.55","1,677.00","1,689.90","1,628.65","197.37K","-2.02%"
"02-08-2024","1,706.05","1,710.00","1,729.00","1,674.95","107.51K","-0.25%"
"01-08-2024","1,710.30","1,744.65","1,744.65","1,692.10","91.40K","-0.77%"
"31-07-2024","1,723.50","1,730.00","1,773.95","1,720.00","236.02K","-0.31%"
"30-07-2024","1,728.80","1,719.75","1,745.50","1,715.00","81.92K","0.53%"
"29-07-2024","1,719.75","1,734.90","1,769.00","1,706.65","129.92K","-0.71%"
"26-07-2024","1,732.00","1,762.30","1,762.35","1,710.00","279.97K","-0.44%"
"25-07-2024","1,739.60","1,715.25","1,786.20","1,701.40","516.03K","1.17%"
"24-07-2024","1,719.45","1,711.95","1,757.75","1,705.00","205.45K","0.85%"
