"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,569.70","1,540.00","1,579.95","1,540.00","192.07K","1.32%"
"05-11-2024","1,549.25","1,616.40","1,616.40","1,540.00","571.44K","-4.97%"
"04-11-2024","1,630.35","1,578.00","1,688.80","1,563.30","2.71M","5.22%"
"01-11-2024","1,549.50","1,612.00","1,612.00","1,536.60","142.75K","-4.01%"
"31-10-2024","1,614.20","1,482.00","1,637.95","1,482.00","2.45M","9.05%"
"30-10-2024","1,480.20","1,460.00","1,495.00","1,452.60","158.22K","0.90%"
"29-10-2024","1,467.05","1,497.65","1,517.05","1,456.15","391.58K","-2.04%"
"28-10-2024","1,497.65","1,470.00","1,500.00","1,438.80","483.78K","5.41%"
"25-10-2024","1,420.75","1,375.00","1,443.05","1,360.05","114.82K","2.51%"
"24-10-2024","1,385.95","1,367.10","1,398.35","1,351.85","51.34K","0.46%"
"23-10-2024","1,379.55","1,335.00","1,390.35","1,335.00","46.60K","2.44%"
"22-10-2024","1,346.70","1,382.05","1,388.75","1,335.20","71.56K","-3.53%"
"21-10-2024","1,396.00","1,429.15","1,429.15","1,390.00","28.79K","-2.47%"
"18-10-2024","1,431.30","1,430.35","1,444.95","1,418.00","49.80K","-1.44%"
"17-10-2024","1,452.15","1,451.35","1,462.50","1,431.20","47.95K","0.06%"
"16-10-2024","1,451.35","1,470.45","1,471.00","1,437.45","55.57K","-1.20%"
"15-10-2024","1,468.95","1,419.95","1,474.10","1,413.65","212.19K","4.48%"
"14-10-2024","1,405.90","1,411.25","1,418.35","1,389.50","32.47K","-0.38%"
"11-10-2024","1,411.25","1,394.00","1,414.20","1,390.10","42.16K","0.80%"
"10-10-2024","1,400.00","1,399.00","1,417.20","1,390.05","46.48K","-0.49%"
"09-10-2024","1,406.85","1,412.00","1,421.95","1,372.25","53.77K","0.78%"
"08-10-2024","1,395.95","1,374.90","1,410.85","1,361.00","88.93K","1.58%"
"07-10-2024","1,374.20","1,377.15","1,394.60","1,339.15","213.16K","-0.36%"
"04-10-2024","1,379.15","1,401.50","1,419.85","1,372.00","140.74K","-1.82%"
"03-10-2024","1,404.70","1,447.00","1,447.00","1,385.05","176.74K","-3.47%"
"01-10-2024","1,455.25","1,393.00","1,464.80","1,380.00","211.78K","3.96%"
"30-09-2024","1,399.85","1,400.05","1,445.90","1,388.75","163.97K","-0.04%"
"27-09-2024","1,400.45","1,411.00","1,433.60","1,375.00","400.50K","-0.76%"
"26-09-2024","1,411.20","1,389.60","1,518.70","1,357.00","3.57M","1.94%"
"25-09-2024","1,384.40","1,391.00","1,395.95","1,372.20","69.77K","-0.35%"
"24-09-2024","1,389.20","1,367.40","1,394.95","1,348.00","125.91K","1.58%"
"23-09-2024","1,367.65","1,372.50","1,389.00","1,360.05","107.11K","-0.85%"
"20-09-2024","1,379.40","1,348.95","1,389.40","1,327.35","332.38K","-0.49%"
"19-09-2024","1,386.25","1,286.00","1,409.55","1,286.00","2.95M","7.29%"
"18-09-2024","1,292.10","1,303.00","1,328.45","1,282.00","45.02K","-1.66%"
"17-09-2024","1,313.90","1,322.10","1,329.30","1,306.25","39.02K","0.37%"
"16-09-2024","1,309.00","1,319.10","1,339.65","1,301.85","114.90K","-0.64%"
"13-09-2024","1,317.45","1,310.30","1,348.30","1,306.55","100.95K","0.55%"
"12-09-2024","1,310.30","1,332.95","1,333.00","1,305.50","54.49K","-1.46%"
"11-09-2024","1,329.65","1,322.00","1,361.00","1,317.10","224.16K","1.27%"
"10-09-2024","1,312.95","1,302.00","1,316.25","1,271.00","126.98K","2.78%"
"09-09-2024","1,277.45","1,290.00","1,290.00","1,261.05","47.83K","-0.10%"
"06-09-2024","1,278.70","1,290.10","1,317.60","1,267.35","94.45K","-0.20%"
"05-09-2024","1,281.25","1,267.00","1,303.65","1,267.00","115.92K","1.39%"
"04-09-2024","1,263.65","1,266.15","1,280.00","1,250.05","561.25K","-0.20%"
"03-09-2024","1,266.15","1,278.20","1,290.75","1,256.10","102.12K","-0.94%"
"02-09-2024","1,278.20","1,279.10","1,284.35","1,264.05","107.95K","0.84%"
"30-08-2024","1,267.50","1,241.25","1,275.00","1,235.00","120.13K","2.28%"
"29-08-2024","1,239.25","1,246.00","1,256.35","1,237.95","83.81K","0.05%"
"28-08-2024","1,238.60","1,250.00","1,259.00","1,235.20","56.50K","-0.10%"
"27-08-2024","1,239.85","1,239.85","1,250.00","1,230.85","41.44K","0.41%"
"26-08-2024","1,234.80","1,253.90","1,256.60","1,222.35","48.29K","-0.06%"
"23-08-2024","1,235.60","1,218.00","1,259.25","1,216.95","201.26K","1.90%"
"22-08-2024","1,212.55","1,209.00","1,219.65","1,200.40","239.79K","0.28%"
"21-08-2024","1,209.20","1,202.00","1,212.95","1,195.00","95.85K","0.65%"
"20-08-2024","1,201.40","1,212.00","1,218.75","1,195.00","54.59K","-0.13%"
"19-08-2024","1,202.95","1,190.00","1,210.00","1,180.00","112.29K","0.50%"
"16-08-2024","1,196.95","1,221.00","1,221.00","1,129.00","184.03K","-2.03%"
"14-08-2024","1,221.70","1,190.05","1,226.90","1,182.55","125.79K","1.59%"
"13-08-2024","1,202.55","1,235.00","1,235.00","1,195.35","127.29K","-3.12%"
"12-08-2024","1,241.25","1,227.05","1,244.90","1,214.20","107.09K","1.16%"
"09-08-2024","1,227.05","1,219.95","1,234.05","1,210.85","92.16K","1.34%"
"08-08-2024","1,210.85","1,191.85","1,215.45","1,183.10","109.39K","2.60%"
"07-08-2024","1,180.15","1,203.75","1,222.00","1,176.00","186.29K","-1.22%"
"06-08-2024","1,194.75","1,158.05","1,205.00","1,158.05","258.73K","2.30%"
"05-08-2024","1,167.90","1,143.00","1,184.35","1,143.00","106.40K","-1.75%"
"02-08-2024","1,188.70","1,194.00","1,201.85","1,180.00","89.40K","-0.50%"
"01-08-2024","1,194.65","1,187.20","1,199.00","1,178.00","123.55K","0.85%"
"31-07-2024","1,184.55","1,185.80","1,204.40","1,176.75","120.81K","0.03%"
"30-07-2024","1,184.25","1,173.40","1,192.15","1,154.20","160.56K","0.93%"
"29-07-2024","1,173.30","1,190.35","1,206.90","1,162.00","153.21K","0.31%"
"26-07-2024","1,169.70","1,153.00","1,174.40","1,140.50","148.87K","1.83%"
"25-07-2024","1,148.65","1,099.00","1,154.90","1,079.10","858.00K","3.94%"
"24-07-2024","1,105.10","1,124.70","1,138.80","1,097.70","393.04K","-1.52%"
"23-07-2024","1,122.15","1,152.35","1,155.75","1,113.85","177.25K","-2.06%"
"22-07-2024","1,145.75","1,167.90","1,180.00","1,138.00","199.38K","-1.53%"
"19-07-2024","1,163.50","1,160.20","1,195.00","1,157.80","220.78K","-0.06%"
"18-07-2024","1,164.20","1,185.40","1,185.50","1,147.25","369.03K","-1.79%"
"16-07-2024","1,185.40","1,215.00","1,216.15","1,180.00","271.41K","-2.01%"
"15-07-2024","1,209.70","1,230.00","1,239.30","1,198.00","114.66K","-1.65%"
"12-07-2024","1,230.00","1,250.10","1,259.20","1,229.05","104.80K","-1.60%"
"11-07-2024","1,250.00","1,271.45","1,274.00","1,247.55","77.79K","-1.38%"
"10-07-2024","1,267.50","1,269.50","1,277.10","1,245.00","80.88K","0.66%"
"09-07-2024","1,259.25","1,289.95","1,295.00","1,255.15","88.23K","-2.23%"
"08-07-2024","1,287.95","1,294.65","1,300.60","1,265.25","85.40K","-0.80%"
"05-07-2024","1,298.35","1,329.00","1,329.25","1,273.75","132.91K","-1.39%"
"04-07-2024","1,316.60","1,302.25","1,326.80","1,300.00","102.85K","1.60%"
"03-07-2024","1,295.85","1,264.95","1,303.00","1,255.05","140.63K","3.13%"
"02-07-2024","1,256.55","1,260.10","1,263.20","1,245.00","98.14K","0.02%"
"01-07-2024","1,256.35","1,255.00","1,266.00","1,243.05","35.32K","0.84%"
"28-06-2024","1,245.85","1,260.00","1,268.00","1,242.50","57.73K","-1.12%"
"27-06-2024","1,259.90","1,277.50","1,286.95","1,256.20","87.43K","-1.18%"
"26-06-2024","1,275.00","1,271.50","1,295.00","1,266.80","104.93K","0.28%"
"25-06-2024","1,271.40","1,275.00","1,287.00","1,260.10","80.80K","0.07%"
"24-06-2024","1,270.55","1,303.00","1,305.00","1,260.95","139.08K","-2.29%"
"21-06-2024","1,300.35","1,310.60","1,310.60","1,281.10","107.57K","0.47%"
"20-06-2024","1,294.25","1,302.00","1,314.55","1,281.00","67.89K","-0.28%"
"19-06-2024","1,297.90","1,328.00","1,336.25","1,292.50","180.87K","-1.72%"
"18-06-2024","1,320.55","1,324.50","1,327.35","1,310.00","173.33K","0.81%"
"14-06-2024","1,309.95","1,316.60","1,326.50","1,300.00","245.72K","0.15%"
"13-06-2024","1,307.95","1,348.00","1,362.15","1,297.25","321.53K","-1.64%"
"12-06-2024","1,329.70","1,310.00","1,334.20","1,307.00","146.62K","2.49%"
"11-06-2024","1,297.40","1,302.00","1,312.15","1,295.00","115.86K","-0.21%"
"10-06-2024","1,300.15","1,328.00","1,345.00","1,295.00","166.59K","-0.63%"
"07-06-2024","1,308.35","1,290.00","1,325.95","1,290.00","63.53K","-0.07%"
"06-06-2024","1,309.30","1,284.40","1,324.40","1,264.05","306.01K","2.12%"
"05-06-2024","1,282.15","1,242.10","1,320.00","1,233.00","192.47K","2.08%"
"04-06-2024","1,256.00","1,285.00","1,285.00","1,220.00","135.52K","-2.08%"
"03-06-2024","1,282.65","1,333.00","1,350.00","1,267.35","195.93K","-1.39%"
"31-05-2024","1,300.70","1,233.40","1,312.95","1,222.10","331.15K","5.67%"
