"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","418.75","412.05","419.80","411.60","1.01M","2.42%"
"05-11-2024","408.85","406.90","412.00","403.40","1.09M","0.28%"
"04-11-2024","407.70","421.55","422.00","406.30","1.20M","-3.29%"
"01-11-2024","421.55","422.00","424.50","420.40","302.48K","0.21%"
"31-10-2024","420.65","416.80","424.55","413.05","1.50M","0.50%"
"30-10-2024","418.55","407.85","426.65","401.30","3.79M","3.14%"
"29-10-2024","405.80","406.75","411.00","399.00","2.28M","0.38%"
"28-10-2024","404.25","398.00","407.90","388.25","2.19M","2.19%"
"25-10-2024","395.60","414.05","416.60","390.30","2.58M","-4.46%"
"24-10-2024","414.05","396.95","420.75","392.05","6.21M","4.36%"
"23-10-2024","396.75","390.70","404.00","375.10","2.90M","1.55%"
"22-10-2024","390.70","410.00","410.85","388.00","2.14M","-4.74%"
"21-10-2024","410.15","421.00","425.10","408.20","1.47M","-3.21%"
"18-10-2024","423.75","430.00","430.00","411.00","2.65M","-1.64%"
"17-10-2024","430.80","443.00","446.90","427.00","6.80M","-1.79%"
"16-10-2024","438.65","412.00","449.00","412.00","29.67M","7.49%"
"15-10-2024","408.10","411.00","412.40","405.85","633.21K","-0.54%"
"14-10-2024","410.30","413.00","415.50","407.50","1.12M","0.58%"
"11-10-2024","407.95","405.85","415.50","400.55","1.62M","0.68%"
"10-10-2024","405.20","416.70","420.80","403.65","1.85M","-2.53%"
"09-10-2024","415.70","421.00","434.50","413.30","2.37M","-0.29%"
"08-10-2024","416.90","392.75","419.60","385.30","4.42M","5.61%"
"07-10-2024","394.75","433.15","434.40","390.90","4.44M","-8.60%"
"04-10-2024","431.90","442.00","445.80","425.80","1.77M","-2.54%"
"03-10-2024","443.15","445.80","452.00","441.50","1.12M","-2.39%"
"01-10-2024","454.00","463.00","463.65","452.70","1.34M","-1.61%"
"30-09-2024","461.45","471.35","475.65","458.25","1.64M","-1.46%"
"27-09-2024","468.30","475.00","478.80","466.00","2.58M","1.45%"
"26-09-2024","461.60","455.30","465.45","447.60","1.49M","1.79%"
"25-09-2024","453.50","464.00","464.45","451.40","1.16M","-2.25%"
"24-09-2024","463.95","469.00","469.85","463.00","716.94K","-1.05%"
"23-09-2024","468.85","477.80","478.75","467.25","1.06M","-1.83%"
"20-09-2024","477.60","452.50","485.00","445.80","6.14M","5.92%"
"19-09-2024","450.90","466.80","471.95","439.00","2.26M","-2.93%"
"18-09-2024","464.50","475.00","479.65","463.00","964.11K","-1.90%"
"17-09-2024","473.50","470.20","483.25","465.00","1.65M","0.81%"
"16-09-2024","469.70","476.75","478.00","466.60","973.09K","-0.88%"
"13-09-2024","473.85","471.00","486.60","468.05","1.76M","0.93%"
"12-09-2024","469.50","468.60","474.50","461.05","1.27M","0.75%"
"11-09-2024","466.00","478.00","478.85","465.00","1.13M","-2.31%"
"10-09-2024","477.00","471.80","478.90","470.15","967.80K","1.56%"
"09-09-2024","469.65","483.35","483.50","465.50","1.80M","-3.11%"
"06-09-2024","484.70","493.00","494.45","477.00","1.76M","-1.60%"
"05-09-2024","492.60","497.60","502.20","491.20","1.26M","-0.34%"
"04-09-2024","494.30","491.00","499.10","486.45","1.41M","-0.38%"
"03-09-2024","496.20","498.90","500.95","491.60","1.75M","-0.54%"
"02-09-2024","498.90","512.60","516.00","490.00","8.58M","1.65%"
"30-08-2024","490.80","492.10","498.50","484.35","2.43M","-0.25%"
"29-08-2024","492.05","503.00","503.00","489.00","1.95M","-1.98%"
"28-08-2024","502.00","502.50","516.75","499.05","6.58M","0.40%"
"27-08-2024","500.00","504.50","505.50","495.55","2.84M","-0.62%"
"26-08-2024","503.10","500.00","505.90","497.35","3.49M","1.17%"
"23-08-2024","497.30","478.90","507.45","477.80","19.54M","5.43%"
"22-08-2024","471.70","471.45","477.70","465.65","1.35M","0.35%"
"21-08-2024","470.05","469.70","478.85","467.15","1.27M","0.03%"
"20-08-2024","469.90","477.50","477.90","467.55","1.47M","-1.19%"
"19-08-2024","475.55","477.75","486.35","474.50","2.03M","0.03%"
"16-08-2024","475.40","469.00","479.50","469.00","1.73M","2.35%"
"14-08-2024","464.50","474.35","476.00","459.00","2.10M","-1.81%"
"13-08-2024","473.05","485.50","494.80","470.50","3.20M","-2.01%"
"12-08-2024","482.75","470.00","492.95","465.30","7.16M","2.83%"
"09-08-2024","469.45","461.80","472.00","456.60","3.22M","2.46%"
"08-08-2024","458.20","466.80","476.40","454.55","3.70M","-1.35%"
"07-08-2024","464.45","465.00","468.25","448.35","4.03M","2.65%"
"06-08-2024","452.45","484.90","487.75","449.00","4.28M","-3.85%"
"05-08-2024","470.55","479.95","487.00","461.25","5.90M","-6.19%"
"02-08-2024","501.60","484.00","508.80","481.10","5.68M","1.05%"
"01-08-2024","496.40","503.35","505.50","494.00","2.94M","-0.74%"
"31-07-2024","500.10","512.75","513.20","498.15","2.77M","-2.09%"
"30-07-2024","510.75","510.05","518.90","503.00","6.42M","0.21%"
"29-07-2024","509.70","489.50","516.00","488.35","13.32M","5.07%"
"26-07-2024","485.10","495.05","502.00","483.75","5.39M","-1.51%"
"25-07-2024","492.55","505.00","513.90","490.00","5.94M","-2.65%"
"24-07-2024","505.95","496.00","521.50","493.50","10.11M","3.00%"
"23-07-2024","491.20","541.50","549.50","450.75","24.57M","-6.21%"
"22-07-2024","523.70","516.35","536.55","505.75","9.81M","1.42%"
"19-07-2024","516.35","529.10","551.50","511.05","21.25M","-1.97%"
"18-07-2024","526.70","556.20","562.00","520.20","10.00M","-5.30%"
