"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","469.65","466.00","472.50","460.50","6.25M","4.16%"
"05-11-2024","450.90","452.05","457.00","441.35","7.28M","1.05%"
"04-11-2024","446.20","469.30","469.30","443.50","5.26M","-5.26%"
"01-11-2024","470.95","471.00","476.95","468.00","1.41M","-0.18%"
"31-10-2024","471.80","467.00","479.70","461.55","6.61M","1.39%"
"30-10-2024","465.35","440.00","479.05","436.05","14.78M","6.03%"
"29-10-2024","438.90","432.30","442.00","427.55","3.96M","1.53%"
"28-10-2024","432.30","418.85","436.50","408.15","6.74M","2.99%"
"25-10-2024","419.75","442.10","445.60","414.10","5.29M","-5.02%"
"24-10-2024","441.95","444.40","449.90","435.65","3.74M","-0.05%"
"23-10-2024","442.15","439.95","452.95","421.10","7.68M","-0.09%"
"22-10-2024","442.55","460.05","463.75","440.00","4.78M","-4.96%"
"21-10-2024","465.65","477.30","482.95","463.00","2.92M","-2.44%"
"18-10-2024","477.30","483.80","486.50","470.10","4.71M","-2.51%"
"17-10-2024","489.60","489.05","514.65","485.00","19.63M","2.09%"
"16-10-2024","479.60","472.95","487.25","470.70","4.89M","1.14%"
"15-10-2024","474.20","470.95","477.00","466.65","2.78M","0.79%"
"14-10-2024","470.50","476.00","478.90","467.25","2.87M","-1.03%"
"11-10-2024","475.40","475.00","487.35","472.00","4.35M","-1.07%"
"10-10-2024","480.55","482.20","485.85","475.20","3.38M","-0.06%"
"09-10-2024","480.85","494.00","500.75","475.00","7.83M","-1.27%"
"08-10-2024","487.05","443.15","494.85","426.45","19.58M","7.83%"
"07-10-2024","451.70","490.40","498.00","442.30","13.07M","-8.45%"
"04-10-2024","493.40","507.00","510.80","483.65","6.49M","-3.16%"
"03-10-2024","509.50","510.95","518.45","507.00","3.39M","-2.90%"
"01-10-2024","524.70","530.50","533.50","523.00","2.95M","-1.27%"
"30-09-2024","531.45","521.50","535.00","516.35","4.49M","0.97%"
"27-09-2024","526.35","523.70","531.00","522.60","4.34M","0.86%"
"26-09-2024","521.85","526.10","529.50","517.50","4.40M","-0.82%"
"25-09-2024","526.15","521.00","532.30","516.00","4.43M","-0.02%"
"24-09-2024","526.25","530.00","530.00","522.05","4.04M","-1.46%"
"23-09-2024","534.05","544.25","544.40","529.00","4.78M","-1.87%"
"20-09-2024","544.25","512.50","549.00","505.80","25.02M","6.67%"
"19-09-2024","510.20","530.50","535.65","501.20","13.09M","-3.48%"
"18-09-2024","528.60","528.05","538.35","527.00","5.35M","-0.37%"
"17-09-2024","530.55","541.00","542.80","530.00","6.41M","-2.70%"
"16-09-2024","545.30","550.00","554.35","542.60","4.89M","-1.80%"
"13-09-2024","555.30","552.50","562.90","547.90","6.91M","0.60%"
"12-09-2024","552.00","559.80","561.90","545.10","6.33M","-0.84%"
"11-09-2024","556.70","567.80","567.80","555.30","4.57M","-1.54%"
"10-09-2024","565.40","569.90","578.80","563.20","7.59M","0.44%"
"09-09-2024","562.90","569.55","572.25","553.35","8.89M","-1.17%"
"06-09-2024","569.55","582.20","584.80","565.45","9.02M","-2.11%"
"05-09-2024","581.85","595.50","596.80","580.20","7.03M","-1.83%"
"04-09-2024","592.70","598.00","600.70","590.65","7.54M","-1.30%"
"03-09-2024","600.50","604.00","606.40","597.00","9.56M","-0.12%"
"02-09-2024","601.20","610.50","619.50","593.60","22.53M","-1.02%"
"30-08-2024","607.40","584.00","615.00","580.65","121.69M","4.76%"
"29-08-2024","579.80","583.50","584.75","572.60","13.76M","0.28%"
"28-08-2024","578.20","579.80","596.50","577.35","22.10M","0.36%"
"27-08-2024","576.10","579.80","587.00","572.00","13.08M","-0.19%"
"26-08-2024","577.20","577.50","585.65","575.50","11.25M","0.79%"
"23-08-2024","572.70","570.75","594.50","568.65","26.31M","0.34%"
"22-08-2024","570.75","571.00","576.75","567.00","10.61M","1.21%"
"21-08-2024","563.90","560.00","572.75","553.00","10.32M","0.39%"
"20-08-2024","561.70","575.00","575.80","560.00","9.50M","-2.06%"
"19-08-2024","573.50","581.80","590.00","571.00","16.79M","0.50%"
