"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","173.42","173.09","174.30","169.30","6.67M","1.27%"
"05-11-2024","171.24","171.33","172.39","166.50","8.66M","-0.42%"
"04-11-2024","171.96","175.00","175.69","167.45","18.52M","-2.27%"
"01-11-2024","175.96","170.30","176.75","170.01","4.78M","3.66%"
"31-10-2024","169.75","175.40","179.09","168.20","20.12M","-3.34%"
"30-10-2024","175.61","171.00","176.68","170.94","8.59M","1.44%"
"29-10-2024","173.12","167.25","173.80","166.21","7.43M","3.94%"
"28-10-2024","166.55","162.97","170.50","161.30","8.58M","2.86%"
"25-10-2024","161.92","166.50","166.70","158.40","8.57M","-2.41%"
"24-10-2024","165.92","166.90","169.00","165.31","5.59M","0.04%"
"23-10-2024","165.85","167.50","171.48","163.17","12.29M","-0.81%"
"22-10-2024","167.20","178.38","178.58","166.21","15.72M","-5.08%"
"21-10-2024","176.14","193.00","195.70","174.91","63.86M","-14.19%"
"18-10-2024","205.26","202.00","208.15","199.65","6.93M","1.39%"
"17-10-2024","202.45","210.70","212.01","201.51","6.87M","-3.92%"
"16-10-2024","210.70","207.51","211.63","206.50","7.88M","0.95%"
"15-10-2024","208.72","206.70","209.55","204.63","6.30M","0.98%"
"14-10-2024","206.70","205.43","209.00","204.55","8.37M","1.12%"
"11-10-2024","204.41","201.50","205.00","200.39","6.80M","1.85%"
"10-10-2024","200.70","197.10","202.33","195.65","6.05M","2.36%"
"09-10-2024","196.08","196.99","199.52","194.80","3.78M","0.04%"
"08-10-2024","196.01","190.47","197.00","189.62","4.56M","2.91%"
"07-10-2024","190.47","199.90","207.20","189.71","7.94M","-3.65%"
"04-10-2024","197.69","199.24","203.00","196.75","5.69M","-0.77%"
"03-10-2024","199.23","202.00","204.38","198.30","5.59M","-1.95%"
"01-10-2024","203.19","203.80","205.55","202.75","4.26M","-0.53%"
"30-09-2024","204.28","208.00","208.52","203.50","6.29M","-1.56%"
"27-09-2024","207.52","209.00","211.74","207.17","6.25M","-0.23%"
"26-09-2024","208.00","209.05","209.44","203.11","8.42M","0.12%"
"25-09-2024","207.76","211.10","211.90","206.15","6.83M","-1.63%"
"24-09-2024","211.21","214.80","215.38","210.51","10.98M","-1.41%"
"23-09-2024","214.24","213.50","215.00","210.85","7.40M","0.66%"
"20-09-2024","212.84","211.45","213.90","210.44","5.15M","1.59%"
"19-09-2024","209.51","214.00","215.45","207.20","9.49M","-0.90%"
"18-09-2024","211.41","216.00","218.40","210.65","7.77M","-2.25%"
"17-09-2024","216.28","216.50","216.79","213.51","3.72M","0.63%"
"16-09-2024","214.92","215.70","217.15","214.00","3.34M","0.33%"
"13-09-2024","214.22","214.35","216.60","213.64","5.20M","0.28%"
"12-09-2024","213.62","212.00","214.60","210.22","3.88M","1.87%"
"11-09-2024","209.69","214.10","214.90","209.05","3.78M","-1.87%"
"10-09-2024","213.68","211.30","215.77","211.30","5.75M","1.74%"
"09-09-2024","210.03","211.10","211.78","207.65","6.99M","-1.03%"
"06-09-2024","212.22","216.03","217.50","211.05","5.75M","-1.73%"
"05-09-2024","215.96","218.40","218.77","215.70","4.02M","-0.43%"
"04-09-2024","216.90","220.10","223.92","216.33","9.05M","-4.04%"
"03-09-2024","226.04","227.95","228.50","225.65","2.33M","-0.77%"
"02-09-2024","227.79","228.35","229.00","224.80","7.59M","0.15%"
"30-08-2024","227.45","228.94","231.49","226.83","6.34M","0.30%"
"29-08-2024","226.78","227.00","228.80","223.61","7.50M","-0.34%"
"28-08-2024","227.56","232.00","232.69","225.60","9.65M","-1.59%"
"27-08-2024","231.24","228.99","232.14","227.60","7.08M","1.32%"
"26-08-2024","228.23","227.38","228.90","223.52","7.17M","1.73%"
"23-08-2024","224.34","230.00","230.00","223.40","7.04M","-2.49%"
"22-08-2024","230.06","230.25","235.25","229.00","22.21M","0.86%"
"21-08-2024","228.10","219.80","228.95","218.82","20.50M","4.29%"
"20-08-2024","218.72","210.00","219.60","209.36","17.97M","4.86%"
"19-08-2024","208.58","209.05","212.28","207.55","8.80M","0.71%"
"16-08-2024","207.11","209.50","209.50","205.50","10.51M","0.70%"
"14-08-2024","205.67","214.10","214.95","205.25","8.59M","-4.00%"
"13-08-2024","214.25","216.00","216.18","213.51","2.99M","-0.89%"
"12-08-2024","216.18","218.45","218.45","213.50","3.51M","-0.31%"
"09-08-2024","216.85","218.00","219.15","215.65","3.16M","0.79%"
"08-08-2024","215.14","215.15","217.77","212.75","4.35M","0.38%"
"07-08-2024","214.32","216.90","216.90","211.00","6.30M","1.13%"
"06-08-2024","211.92","218.00","220.69","210.00","5.56M","-1.15%"
"05-08-2024","214.38","222.00","222.99","211.51","10.56M","-5.52%"
"02-08-2024","226.90","227.00","230.65","224.51","5.85M","-1.83%"
"01-08-2024","231.12","236.10","236.95","230.57","5.55M","-1.73%"
"31-07-2024","235.20","237.50","238.20","234.10","8.44M","-0.82%"
"30-07-2024","237.15","235.60","239.10","234.70","7.28M","0.79%"
"29-07-2024","235.30","238.40","241.65","234.20","13.82M","-0.23%"
"26-07-2024","235.85","230.90","237.30","227.10","9.40M","2.45%"
