"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","262.40","261.00","264.30","258.90","269.39K","1.27%"
"05-11-2024","259.10","252.00","261.50","252.00","312.48K","1.87%"
"04-11-2024","254.35","262.30","263.85","250.90","416.95K","-2.94%"
"01-11-2024","262.05","258.35","263.60","258.35","119.59K","1.69%"
"31-10-2024","257.70","251.00","258.85","250.05","357.42K","2.55%"
"30-10-2024","251.30","246.00","252.50","243.70","310.08K","2.68%"
"29-10-2024","244.75","243.45","246.20","241.60","286.11K","0.93%"
"28-10-2024","242.50","242.30","245.10","235.40","561.23K","1.74%"
"25-10-2024","238.35","250.75","251.15","236.95","820.33K","-4.22%"
"24-10-2024","248.85","249.10","257.80","247.85","1.79M","2.53%"
"23-10-2024","242.70","262.95","269.40","236.20","2.89M","-8.14%"
"22-10-2024","264.20","275.45","276.85","262.00","405.21K","-3.35%"
"21-10-2024","273.35","279.10","281.85","273.00","288.95K","-2.31%"
"18-10-2024","279.80","278.00","280.95","275.35","236.46K","-0.39%"
"17-10-2024","280.90","281.40","288.40","280.10","404.40K","0.05%"
"16-10-2024","280.75","284.05","284.55","278.70","279.99K","-1.39%"
"15-10-2024","284.70","290.15","290.15","283.65","244.14K","-2.06%"
"14-10-2024","290.70","291.85","294.25","286.60","524.85K","-0.26%"
"11-10-2024","291.45","278.00","298.50","276.85","3.03M","5.27%"
"10-10-2024","276.85","278.00","281.55","276.10","163.78K","-0.38%"
"09-10-2024","277.90","274.00","279.65","274.00","230.91K","1.02%"
"08-10-2024","275.10","271.25","275.90","269.70","219.82K","1.42%"
"07-10-2024","271.25","283.20","286.90","270.50","415.02K","-3.62%"
"04-10-2024","281.45","283.00","284.65","277.10","385.45K","-0.71%"
"03-10-2024","283.45","284.50","288.80","282.30","362.82K","-2.21%"
"01-10-2024","289.85","291.50","292.95","288.30","308.44K","-0.16%"
"30-09-2024","290.30","287.90","291.00","283.50","314.90K","0.78%"
"27-09-2024","288.05","288.20","290.70","287.35","242.86K","0.12%"
"26-09-2024","287.70","289.95","289.95","287.00","210.96K","-0.24%"
"25-09-2024","288.40","294.30","294.30","287.70","312.28K","-1.54%"
"24-09-2024","292.90","290.10","299.00","290.10","493.29K","1.14%"
"23-09-2024","289.60","286.00","293.30","285.30","510.71K","2.12%"
"20-09-2024","283.60","290.00","290.00","281.35","1.07M","-2.12%"
"19-09-2024","289.75","290.55","293.90","285.45","421.16K","-0.17%"
"18-09-2024","290.25","293.65","294.65","289.00","297.43K","-0.97%"
"17-09-2024","293.10","297.50","297.55","292.10","205.74K","-1.03%"
"16-09-2024","296.15","298.00","300.95","294.00","442.56K","0.08%"
"13-09-2024","295.90","292.30","299.95","292.00","937.58K","1.95%"
"12-09-2024","290.25","291.75","291.85","289.30","177.34K","0.14%"
"11-09-2024","289.85","294.50","294.65","289.05","225.31K","-1.14%"
"10-09-2024","293.20","292.10","294.20","291.15","219.86K","1.07%"
"09-09-2024","290.10","292.60","293.80","289.00","332.90K","-0.84%"
"06-09-2024","292.55","297.00","302.95","290.55","798.75K","-1.38%"
"05-09-2024","296.65","296.00","299.95","294.15","579.76K","1.18%"
"04-09-2024","293.20","293.10","298.00","292.05","370.01K","-0.15%"
"03-09-2024","293.65","293.45","294.80","292.40","256.00K","0.44%"
"02-09-2024","292.35","295.30","295.30","291.60","312.55K","-0.20%"
"30-08-2024","292.95","297.05","297.05","292.00","280.69K","-0.75%"
"29-08-2024","295.15","294.70","296.50","292.50","365.51K","0.65%"
"28-08-2024","293.25","296.20","306.95","291.30","1.71M","-0.74%"
"27-08-2024","295.45","293.05","298.00","292.75","290.21K","0.96%"
"26-08-2024","292.65","301.60","303.20","292.00","638.84K","-2.45%"
"23-08-2024","300.00","300.20","305.40","297.10","630.75K","0.57%"
"22-08-2024","298.30","296.40","309.55","296.05","1.55M","1.48%"
"21-08-2024","293.95","294.05","298.05","293.25","278.07K","-0.03%"
"20-08-2024","294.05","295.60","297.40","292.80","308.40K","0.22%"
"19-08-2024","293.40","291.30","299.45","290.95","475.96K","1.35%"
"16-08-2024","289.50","290.00","294.30","288.05","530.49K","-2.06%"
"14-08-2024","295.60","296.00","299.90","292.10","246.83K","0.34%"
"13-08-2024","294.60","300.00","300.85","293.05","269.16K","-0.29%"
"12-08-2024","295.45","294.20","297.85","291.35","294.16K","0.27%"
"09-08-2024","294.65","297.95","298.55","293.70","209.29K","-0.49%"
"08-08-2024","296.10","295.90","298.95","294.35","319.39K","0.27%"
"07-08-2024","295.30","292.00","297.70","291.90","320.61K","1.90%"
"06-08-2024","289.80","295.00","301.50","286.55","429.74K","-1.31%"
"05-08-2024","293.65","298.00","301.85","292.30","681.09K","-3.63%"
"02-08-2024","304.70","304.45","307.85","303.30","331.53K","-1.22%"
"01-08-2024","308.45","315.00","315.70","307.20","402.18K","-1.97%"
"31-07-2024","314.65","317.60","317.75","314.00","324.22K","-0.33%"
"30-07-2024","315.70","315.00","318.65","314.05","286.32K","0.11%"
"29-07-2024","315.35","315.00","322.60","314.00","498.64K","0.57%"
"26-07-2024","313.55","316.20","317.70","312.30","397.98K","-0.93%"
"25-07-2024","316.50","315.05","321.00","314.20","530.64K","-0.52%"
"24-07-2024","318.15","324.00","332.50","315.35","2.68M","0.66%"
"23-07-2024","316.05","302.40","322.20","298.50","6.78M","6.18%"
"22-07-2024","297.65","296.00","300.90","293.65","341.87K","-1.08%"
"19-07-2024","300.90","317.40","317.40","300.00","648.61K","-2.92%"
"18-07-2024","309.95","308.05","324.90","305.00","1.87M","0.15%"
"16-07-2024","309.50","306.00","312.30","304.55","549.44K","1.11%"
"15-07-2024","306.10","311.55","313.05","304.60","688.19K","-1.62%"
"12-07-2024","311.15","312.05","319.95","309.15","1.28M","-1.14%"
"11-07-2024","314.75","317.95","326.95","312.05","3.89M","-0.19%"
"10-07-2024","315.35","286.40","329.45","286.00","22.80M","10.11%"
"09-07-2024","286.40","287.00","289.90","285.50","238.91K","0.60%"
"08-07-2024","284.70","288.65","289.70","284.00","211.57K","-0.84%"
"05-07-2024","287.10","288.00","288.75","285.95","234.40K","-0.47%"
"04-07-2024","288.45","289.55","290.50","287.25","229.55K","0.24%"
"03-07-2024","287.75","286.35","291.55","284.75","336.52K","1.23%"
"02-07-2024","284.25","287.45","288.00","283.35","245.78K","-0.52%"
"01-07-2024","285.75","284.10","288.90","281.75","361.91K","1.29%"
"28-06-2024","282.10","281.00","285.55","280.50","259.00K","0.52%"
"27-06-2024","280.65","287.50","287.70","280.05","393.15K","-1.84%"
"26-06-2024","285.90","285.00","288.10","284.00","264.66K","-0.14%"
"25-06-2024","286.30","286.90","289.35","285.60","224.75K","-0.03%"
"24-06-2024","286.40","286.50","288.65","284.45","308.07K","-0.80%"
"21-06-2024","288.70","292.00","298.25","286.20","888.07K","-0.38%"
"20-06-2024","289.80","287.70","292.50","286.65","325.79K","0.85%"
"19-06-2024","287.35","289.20","290.20","284.05","312.52K","0.00%"
"18-06-2024","287.35","294.00","294.60","286.10","470.91K","-1.22%"
"14-06-2024","290.90","287.70","294.00","287.70","468.85K","1.27%"
"13-06-2024","287.25","286.00","288.75","284.75","250.48K","0.54%"
"12-06-2024","285.70","287.00","289.35","285.00","358.46K","0.39%"
"11-06-2024","284.60","284.00","287.00","282.95","382.67K","0.87%"
"10-06-2024","282.15","283.00","286.60","280.80","438.65K","0.93%"
"07-06-2024","279.55","273.70","283.70","272.05","756.28K","3.38%"
"06-06-2024","270.40","280.00","285.00","270.00","1.77M","-2.63%"
"05-06-2024","277.70","273.00","280.00","269.15","424.49K","3.18%"
"04-06-2024","269.15","290.00","291.85","262.40","782.02K","-6.66%"
"03-06-2024","288.35","300.00","303.95","287.30","626.95K","-2.75%"
"31-05-2024","296.50","291.60","302.00","282.45","1.93M","-0.95%"
"30-05-2024","299.35","298.55","303.35","297.00","274.26K","-0.22%"
