"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,681.55","3,669.95","3,726.45","3,661.00","14.57K","0.27%"
"05-11-2024","3,671.70","3,697.00","3,750.00","3,647.75","26.85K","-0.68%"
"04-11-2024","3,697.00","3,651.35","3,724.00","3,608.45","22.13K","0.75%"
"01-11-2024","3,669.35","3,684.50","3,713.10","3,647.70","1.75K","-0.29%"
"31-10-2024","3,679.95","3,637.00","3,718.15","3,619.85","21.02K","1.16%"
"30-10-2024","3,637.80","3,618.00","3,769.65","3,553.95","47.14K","2.63%"
"29-10-2024","3,544.70","3,510.30","3,574.00","3,473.35","11.46K","0.98%"
"28-10-2024","3,510.25","3,460.40","3,534.85","3,428.00","10.88K","1.95%"
"25-10-2024","3,443.15","3,519.20","3,560.25","3,422.30","24.26K","-2.82%"
"24-10-2024","3,543.10","3,500.75","3,600.00","3,430.00","12.49K","0.49%"
"23-10-2024","3,525.75","3,531.95","3,563.75","3,453.15","11.06K","0.32%"
"22-10-2024","3,514.35","3,598.00","3,619.90","3,500.00","13.37K","-2.16%"
"21-10-2024","3,592.05","3,649.00","3,673.15","3,550.10","7.64K","-1.52%"
"18-10-2024","3,647.60","3,565.00","3,675.00","3,496.05","24.39K","1.90%"
"17-10-2024","3,579.60","3,657.55","3,700.65","3,565.00","11.57K","-2.13%"
"16-10-2024","3,657.55","3,628.00","3,720.00","3,563.00","41.62K","0.74%"
"15-10-2024","3,630.55","3,608.05","3,671.70","3,562.25","18.49K","0.63%"
"14-10-2024","3,607.95","3,520.00","3,621.00","3,520.00","12.30K","2.07%"
"11-10-2024","3,534.90","3,540.50","3,558.25","3,506.15","10.83K","-0.16%"
"10-10-2024","3,540.50","3,577.25","3,577.25","3,514.75","47.96K","-0.14%"
"09-10-2024","3,545.30","3,548.05","3,600.00","3,526.80","38.21K","-0.38%"
"08-10-2024","3,558.90","3,570.35","3,583.05","3,481.95","14.74K","0.18%"
"07-10-2024","3,552.55","3,615.20","3,629.95","3,536.25","25.10K","-1.73%"
"04-10-2024","3,615.20","3,615.75","3,635.45","3,556.25","21.20K","0.05%"
"03-10-2024","3,613.50","3,680.00","3,710.00","3,558.65","36.46K","-1.87%"
"01-10-2024","3,682.20","3,685.00","3,700.70","3,635.00","17.16K","0.40%"
"30-09-2024","3,667.65","3,646.00","3,685.25","3,569.60","93.09K","0.59%"
"27-09-2024","3,646.00","3,636.00","3,773.00","3,630.15","46.99K","0.26%"
"26-09-2024","3,636.65","3,670.00","3,680.00","3,622.00","33.91K","-0.48%"
"25-09-2024","3,654.10","3,690.85","3,697.15","3,628.20","14.31K","-0.08%"
"24-09-2024","3,656.85","3,677.05","3,720.05","3,626.00","61.58K","0.25%"
"23-09-2024","3,647.70","3,712.15","3,712.25","3,619.50","14.77K","-0.85%"
"20-09-2024","3,678.85","3,698.05","3,731.30","3,662.00","12.77K","-0.52%"
"19-09-2024","3,698.05","3,702.00","3,753.15","3,672.00","61.01K","-0.54%"
"18-09-2024","3,718.30","3,810.00","3,813.00","3,686.30","124.35K","-1.61%"
"17-09-2024","3,779.00","3,753.70","3,820.20","3,750.00","25.49K","-0.92%"
"16-09-2024","3,814.15","3,795.00","3,837.95","3,770.00","102.37K","0.58%"
"13-09-2024","3,792.20","3,883.20","3,978.50","3,766.00","74.31K","-1.74%"
"12-09-2024","3,859.45","3,855.30","3,880.00","3,784.80","113.81K","1.03%"
"11-09-2024","3,820.25","3,838.45","3,891.00","3,780.15","53.35K","0.02%"
