"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,504.45","1,524.00","1,534.35","1,497.70","461.35K","0.30%"
"05-11-2024","1,500.00","1,509.70","1,531.80","1,496.05","294.15K","-0.25%"
"04-11-2024","1,503.75","1,540.00","1,542.00","1,495.00","47.02K","-2.26%"
"01-11-2024","1,538.50","1,530.00","1,549.00","1,521.05","10.53K","0.99%"
"31-10-2024","1,523.45","1,522.00","1,544.00","1,514.50","62.30K","0.00%"
"30-10-2024","1,523.45","1,506.90","1,547.00","1,503.00","60.14K","1.04%"
"29-10-2024","1,507.80","1,509.00","1,523.95","1,491.50","39.37K","0.14%"
"28-10-2024","1,505.70","1,519.70","1,529.00","1,496.05","59.99K","-0.13%"
"25-10-2024","1,507.70","1,511.70","1,520.00","1,486.15","94.98K","0.28%"
"24-10-2024","1,503.45","1,525.50","1,539.95","1,500.00","58.37K","-1.25%"
"23-10-2024","1,522.55","1,521.20","1,553.95","1,506.20","62.26K","-0.68%"
"22-10-2024","1,532.95","1,589.80","1,607.70","1,525.00","256.83K","-2.21%"
"21-10-2024","1,567.60","1,552.00","1,594.80","1,552.00","120.47K","1.07%"
"18-10-2024","1,550.95","1,557.70","1,566.00","1,540.60","38.54K","-0.47%"
"17-10-2024","1,558.30","1,582.10","1,589.95","1,555.00","41.00K","-1.48%"
"16-10-2024","1,581.75","1,558.25","1,595.90","1,539.90","82.34K","1.51%"
"15-10-2024","1,558.25","1,562.00","1,582.80","1,549.30","51.69K","-0.11%"
"14-10-2024","1,559.95","1,574.70","1,579.75","1,550.05","37.95K","-0.20%"
"11-10-2024","1,563.15","1,574.00","1,579.80","1,551.00","43.55K","-0.15%"
"10-10-2024","1,565.50","1,544.05","1,575.00","1,542.00","53.26K","1.73%"
"09-10-2024","1,538.85","1,528.00","1,557.90","1,528.00","42.73K","0.85%"
"08-10-2024","1,525.90","1,524.70","1,530.00","1,505.15","59.93K","0.47%"
"07-10-2024","1,518.80","1,556.00","1,563.05","1,510.00","125.29K","-2.15%"
"04-10-2024","1,552.20","1,553.00","1,580.00","1,535.20","82.66K","-1.24%"
"03-10-2024","1,571.65","1,571.90","1,587.00","1,561.05","85.50K","-0.49%"
"01-10-2024","1,579.35","1,565.20","1,601.55","1,556.45","94.32K","0.90%"
"30-09-2024","1,565.20","1,537.50","1,579.00","1,530.30","117.13K","1.80%"
"27-09-2024","1,537.50","1,592.50","1,608.80","1,530.00","148.30K","-3.47%"
"26-09-2024","1,592.85","1,574.00","1,601.95","1,561.00","90.16K","1.77%"
"25-09-2024","1,565.15","1,600.00","1,605.00","1,560.00","78.76K","-1.87%"
"24-09-2024","1,595.00","1,591.00","1,607.95","1,591.00","83.96K","-0.23%"
"23-09-2024","1,598.60","1,611.05","1,618.10","1,586.00","86.91K","0.00%"
"20-09-2024","1,598.60","1,622.00","1,622.00","1,591.75","110.09K","-0.20%"
"19-09-2024","1,601.75","1,657.00","1,657.40","1,591.00","148.50K","-2.18%"
"18-09-2024","1,637.50","1,673.30","1,673.30","1,628.00","190.29K","-2.14%"
"17-09-2024","1,673.35","1,670.05","1,677.00","1,645.70","232.13K","-0.46%"
"16-09-2024","1,681.00","1,699.00","1,707.00","1,667.80","259.65K","-0.86%"
"13-09-2024","1,695.50","1,702.05","1,707.00","1,673.95","337.58K","2.09%"
"12-09-2024","1,660.80","1,670.05","1,680.00","1,645.15","470.36K","1.34%"
