"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,530.60","1,573.95","1,573.95","1,520.55","177.81K","0.99%"
"05-11-2024","1,515.55","1,566.95","1,612.00","1,501.00","905.25K","-0.23%"
"04-11-2024","1,519.00","1,542.55","1,542.55","1,497.40","59.41K","-0.71%"
"01-11-2024","1,529.90","1,516.95","1,558.70","1,516.95","15.15K","1.54%"
"31-10-2024","1,506.65","1,480.00","1,522.00","1,464.80","139.66K","1.65%"
"30-10-2024","1,482.15","1,448.00","1,504.00","1,448.00","84.63K","1.68%"
"29-10-2024","1,457.60","1,451.85","1,482.90","1,422.75","99.83K","0.40%"
"28-10-2024","1,451.85","1,490.00","1,503.45","1,441.15","447.80K","-3.55%"
"25-10-2024","1,505.25","1,540.00","1,566.95","1,482.40","491.30K","-5.90%"
"24-10-2024","1,599.60","1,620.55","1,622.70","1,585.00","83.95K","-0.73%"
"23-10-2024","1,611.40","1,642.50","1,659.95","1,600.00","299.16K","-1.89%"
"22-10-2024","1,642.45","1,684.95","1,684.95","1,630.00","75.41K","-2.52%"
"21-10-2024","1,684.95","1,723.50","1,742.00","1,681.10","61.10K","-2.22%"
"18-10-2024","1,723.20","1,720.00","1,733.50","1,666.05","59.17K","-0.66%"
"17-10-2024","1,734.70","1,782.00","1,792.00","1,728.45","100.07K","-2.87%"
"16-10-2024","1,785.90","1,794.70","1,795.40","1,751.55","139.37K","0.06%"
"15-10-2024","1,784.75","1,740.40","1,814.80","1,735.05","227.96K","2.55%"
"14-10-2024","1,740.40","1,718.85","1,747.45","1,715.00","56.79K","1.25%"
"11-10-2024","1,718.85","1,726.00","1,748.50","1,711.10","77.11K","-0.37%"
"10-10-2024","1,725.25","1,735.50","1,752.45","1,708.05","68.31K","-0.54%"
"09-10-2024","1,734.55","1,758.80","1,762.45","1,723.95","95.95K","-0.97%"
"08-10-2024","1,751.50","1,789.95","1,789.95","1,731.30","126.45K","-1.17%"
"07-10-2024","1,772.30","1,736.35","1,786.90","1,698.75","192.06K","2.11%"
"04-10-2024","1,735.75","1,706.10","1,745.00","1,680.00","75.12K","0.78%"
"03-10-2024","1,722.25","1,690.00","1,729.60","1,690.00","53.90K","-0.71%"
"01-10-2024","1,734.60","1,749.70","1,764.80","1,725.00","134.69K","0.07%"
"30-09-2024","1,733.35","1,706.00","1,748.75","1,701.70","240.34K","1.60%"
"27-09-2024","1,706.00","1,701.00","1,720.20","1,676.95","122.49K","-0.23%"
"26-09-2024","1,709.85","1,679.00","1,724.90","1,667.25","183.95K","1.26%"
"25-09-2024","1,688.50","1,688.00","1,705.55","1,677.45","37.94K","-0.34%"
"24-09-2024","1,694.25","1,718.20","1,735.05","1,689.70","53.88K","-0.44%"
"23-09-2024","1,701.70","1,724.50","1,728.75","1,694.00","123.02K","-0.34%"
"20-09-2024","1,707.55","1,676.30","1,755.95","1,626.05","1.28M","1.86%"
"19-09-2024","1,676.30","1,667.10","1,684.90","1,647.00","141.81K","0.55%"
"18-09-2024","1,667.05","1,671.00","1,672.00","1,646.10","102.91K","-0.10%"
"17-09-2024","1,668.75","1,655.50","1,680.00","1,644.60","247.52K","0.50%"
"16-09-2024","1,660.50","1,654.00","1,672.75","1,644.80","141.47K","0.34%"
"13-09-2024","1,654.85","1,657.85","1,663.25","1,643.25","101.31K","-0.08%"
"12-09-2024","1,656.20","1,711.70","1,729.90","1,640.05","375.69K","-3.25%"
"11-09-2024","1,711.75","1,574.65","1,760.00","1,565.00","1.55M","8.71%"
"10-09-2024","1,574.65","1,530.75","1,586.80","1,530.75","240.93K","3.02%"
"09-09-2024","1,528.55","1,587.35","1,587.35","1,519.00","445.57K","-2.95%"
"06-09-2024","1,575.05","1,579.80","1,618.70","1,565.20","105.10K","-0.30%"
"05-09-2024","1,579.80","1,599.90","1,605.65","1,575.25","92.18K","-0.70%"
"04-09-2024","1,590.95","1,610.00","1,618.00","1,583.00","205.91K","-0.93%"
"03-09-2024","1,605.90","1,627.40","1,630.00","1,597.10","162.07K","-0.91%"
"02-09-2024","1,620.70","1,638.00","1,638.00","1,610.00","83.60K","0.42%"
"30-08-2024","1,614.00","1,595.00","1,636.95","1,595.00","728.05K","0.84%"
"29-08-2024","1,600.50","1,602.65","1,611.00","1,586.55","69.09K","-0.07%"
"28-08-2024","1,601.55","1,622.55","1,629.90","1,600.00","48.29K","-1.17%"
"27-08-2024","1,620.45","1,632.85","1,637.95","1,606.00","111.47K","0.14%"
"26-08-2024","1,618.15","1,640.00","1,644.90","1,608.50","235.03K","-1.31%"
"23-08-2024","1,639.65","1,646.35","1,653.00","1,625.15","86.76K","0.53%"
"22-08-2024","1,631.00","1,663.20","1,663.20","1,625.25","59.25K","-0.86%"
"21-08-2024","1,645.15","1,677.00","1,683.00","1,610.00","109.54K","-1.30%"
"20-08-2024","1,666.85","1,660.00","1,700.00","1,656.05","273.61K","1.95%"
"19-08-2024","1,634.95","1,650.00","1,688.25","1,630.00","82.85K","0.05%"
"16-08-2024","1,634.20","1,595.00","1,643.30","1,588.05","140.60K","3.57%"
"14-08-2024","1,577.80","1,585.00","1,608.75","1,556.30","128.54K","-0.79%"
"13-08-2024","1,590.35","1,625.00","1,635.95","1,580.00","100.82K","-2.13%"
"12-08-2024","1,625.00","1,630.00","1,649.90","1,615.65","143.67K","-1.15%"
"09-08-2024","1,643.95","1,683.90","1,691.55","1,625.00","171.48K","-1.14%"
"08-08-2024","1,662.90","1,700.85","1,712.90","1,652.05","77.14K","-2.23%"
"07-08-2024","1,700.85","1,655.00","1,705.25","1,652.25","49.34K","3.06%"
"06-08-2024","1,650.30","1,655.00","1,669.50","1,639.85","168.45K","0.28%"
"05-08-2024","1,645.65","1,684.00","1,684.00","1,635.35","138.78K","-3.83%"
"02-08-2024","1,711.15","1,740.00","1,750.95","1,697.95","180.04K","-1.67%"
"01-08-2024","1,740.20","1,778.00","1,790.00","1,724.65","382.64K","-3.06%"
"31-07-2024","1,795.05","1,746.00","1,799.00","1,723.75","182.11K","-0.30%"
"30-07-2024","1,800.45","1,800.00","1,825.00","1,770.00","161.03K","0.17%"
"29-07-2024","1,797.40","1,771.35","1,825.00","1,766.20","106.02K","2.34%"
"26-07-2024","1,756.30","1,725.00","1,759.60","1,725.00","24.42K","1.13%"
"25-07-2024","1,736.75","1,744.00","1,761.00","1,724.40","57.72K","-0.42%"
"24-07-2024","1,744.00","1,735.60","1,756.00","1,708.75","53.94K","0.48%"
"23-07-2024","1,735.60","1,742.00","1,745.00","1,681.00","66.09K","0.31%"
"22-07-2024","1,730.30","1,725.00","1,744.80","1,689.15","161.43K","-0.41%"
"19-07-2024","1,737.35","1,771.50","1,781.20","1,725.00","203.78K","-2.41%"
"18-07-2024","1,780.30","1,772.20","1,799.80","1,757.00","178.42K","0.46%"
"16-07-2024","1,772.20","1,774.00","1,799.90","1,754.05","97.87K","-0.12%"
"15-07-2024","1,774.35","1,792.00","1,801.90","1,763.25","96.28K","-0.06%"
"12-07-2024","1,775.35","1,804.75","1,828.00","1,770.20","148.08K","-1.57%"
"11-07-2024","1,803.60","1,830.00","1,839.70","1,801.20","35.83K","-1.17%"
"10-07-2024","1,824.95","1,841.00","1,850.00","1,778.05","186.91K","-0.29%"
"09-07-2024","1,830.25","1,831.40","1,850.00","1,810.00","113.72K","0.09%"
"08-07-2024","1,828.60","1,830.00","1,839.00","1,787.95","112.85K","1.14%"
"05-07-2024","1,807.95","1,801.00","1,825.00","1,785.05","118.50K","1.21%"
"04-07-2024","1,786.25","1,824.95","1,835.75","1,778.00","199.74K","-1.38%"
"03-07-2024","1,811.30","1,765.00","1,819.45","1,759.45","185.74K","3.22%"
"02-07-2024","1,754.85","1,765.00","1,765.80","1,739.10","100.79K","-0.32%"
"01-07-2024","1,760.55","1,736.20","1,769.00","1,736.20","73.30K","1.16%"
"28-06-2024","1,740.40","1,760.00","1,769.80","1,731.95","115.24K","-1.40%"
"27-06-2024","1,765.05","1,751.30","1,770.00","1,735.00","78.58K","0.23%"
"26-06-2024","1,761.00","1,760.00","1,775.00","1,747.10","129.58K","-0.03%"
"25-06-2024","1,761.50","1,736.05","1,808.55","1,736.05","197.95K","0.50%"
"24-06-2024","1,752.75","1,752.05","1,760.00","1,712.05","144.53K","0.04%"
"21-06-2024","1,752.05","1,752.30","1,759.95","1,725.30","103.04K","0.08%"
"20-06-2024","1,750.70","1,750.00","1,762.00","1,738.70","49.06K","-0.29%"
"19-06-2024","1,755.80","1,771.00","1,771.00","1,730.00","61.65K","-0.33%"
"18-06-2024","1,761.55","1,774.90","1,779.45","1,755.00","80.98K","0.23%"
"14-06-2024","1,757.45","1,756.05","1,799.00","1,750.20","147.83K","0.12%"
"13-06-2024","1,755.30","1,764.90","1,775.00","1,740.00","94.22K","0.54%"
"12-06-2024","1,745.80","1,734.60","1,779.00","1,726.55","99.09K","0.75%"
"11-06-2024","1,732.85","1,753.00","1,767.00","1,724.00","60.62K","-0.97%"
"10-06-2024","1,749.90","1,703.60","1,763.00","1,703.60","130.83K","2.87%"
"07-06-2024","1,701.10","1,682.90","1,708.00","1,665.00","98.95K","1.27%"
"06-06-2024","1,679.75","1,648.50","1,699.00","1,638.05","149.40K","3.03%"
"05-06-2024","1,630.35","1,600.00","1,645.00","1,528.30","147.06K","2.93%"
"04-06-2024","1,583.95","1,726.00","1,733.55","1,380.00","601.40K","-8.18%"
"03-06-2024","1,725.00","1,733.00","1,754.85","1,697.00","360.65K","-0.12%"
"31-05-2024","1,727.05","1,727.10","1,779.70","1,710.00","824.98K","-0.02%"
"30-05-2024","1,727.40","1,770.00","1,820.00","1,706.00","581.13K","0.18%"
"29-05-2024","1,724.25","1,860.00","1,860.00","1,702.00","451.27K","-4.78%"
"28-05-2024","1,810.85","1,822.00","1,895.00","1,775.00","419.61K","0.22%"
"27-05-2024","1,806.90","1,756.00","1,901.95","1,756.00","739.05K","2.99%"
"24-05-2024","1,754.40","1,759.85","1,787.00","1,735.00","106.12K","0.69%"
"23-05-2024","1,742.45","1,750.00","1,778.75","1,731.00","62.90K","-0.26%"
"22-05-2024","1,747.00","1,749.50","1,780.00","1,735.55","61.06K","-0.14%"
"21-05-2024","1,749.50","1,760.95","1,779.35","1,735.00","87.15K","-1.44%"
"18-05-2024","1,775.05","1,775.05","1,775.05","1,775.05","","0.06%"
"17-05-2024","1,773.90","1,733.05","1,801.85","1,727.30","173.80K","2.33%"
"16-05-2024","1,733.50","1,710.70","1,747.80","1,705.05","132.02K","1.74%"
"15-05-2024","1,703.80","1,704.20","1,729.00","1,685.05","70.83K","0.07%"
"14-05-2024","1,702.65","1,691.05","1,725.00","1,675.80","74.96K","1.57%"
"13-05-2024","1,676.40","1,715.00","1,720.00","1,631.15","176.43K","-1.40%"
"10-05-2024","1,700.25","1,635.00","1,734.15","1,583.00","488.01K","6.14%"
"09-05-2024","1,601.85","1,660.95","1,660.95","1,589.00","56.48K","-2.99%"
"08-05-2024","1,651.15","1,602.00","1,660.10","1,602.00","73.13K","2.81%"
"07-05-2024","1,606.00","1,676.00","1,689.95","1,582.10","144.78K","-4.33%"
"06-05-2024","1,678.60","1,700.00","1,706.95","1,658.65","83.57K","-0.65%"
"03-05-2024","1,689.55","1,698.45","1,720.00","1,677.05","142.38K","0.79%"
"02-05-2024","1,676.30","1,654.10","1,685.35","1,650.00","48.03K","1.35%"
"30-04-2024","1,654.05","1,681.20","1,689.50","1,646.00","55.26K","-1.61%"
"29-04-2024","1,681.20","1,681.95","1,700.80","1,670.00","45.35K","-0.03%"
"26-04-2024","1,681.70","1,658.00","1,690.15","1,643.85","92.64K","1.43%"
"25-04-2024","1,658.00","1,663.05","1,680.00","1,642.10","54.66K","0.50%"
"24-04-2024","1,649.80","1,645.00","1,674.00","1,619.95","82.43K","0.85%"
"23-04-2024","1,635.95","1,600.00","1,652.45","1,591.20","117.99K","0.03%"
"22-04-2024","1,635.45","1,625.00","1,646.00","1,609.30","87.56K","2.84%"
"19-04-2024","1,590.25","1,615.15","1,627.95","1,581.00","111.23K","-2.43%"
"18-04-2024","1,629.85","1,604.90","1,662.95","1,602.90","189.69K","1.68%"
"16-04-2024","1,602.85","1,574.85","1,606.50","1,564.85","89.15K","1.78%"
"15-04-2024","1,574.85","1,579.50","1,601.05","1,533.50","107.12K","-1.48%"
"12-04-2024","1,598.55","1,565.80","1,612.75","1,552.20","120.36K","2.09%"
"10-04-2024","1,565.80","1,600.00","1,600.00","1,557.90","50.07K","-2.17%"
"09-04-2024","1,600.45","1,570.00","1,613.05","1,564.50","126.74K","1.71%"
"08-04-2024","1,573.55","1,569.35","1,609.95","1,530.90","192.12K","1.77%"
"05-04-2024","1,546.15","1,561.90","1,577.00","1,528.90","35.24K","-0.73%"
"04-04-2024","1,557.55","1,563.00","1,581.20","1,548.00","53.53K","-0.35%"
"03-04-2024","1,563.00","1,525.05","1,575.00","1,525.05","50.74K","0.36%"
"02-04-2024","1,557.35","1,565.00","1,568.60","1,541.00","50.42K","-0.16%"
"01-04-2024","1,559.90","1,538.95","1,574.45","1,538.00","80.22K","1.36%"
"28-03-2024","1,538.95","1,545.00","1,564.35","1,503.95","92.73K","-0.39%"
"27-03-2024","1,545.00","1,528.00","1,554.90","1,506.35","218.93K","1.72%"
"26-03-2024","1,518.95","1,433.25","1,529.00","1,416.00","296.70K","6.71%"
"22-03-2024","1,423.40","1,423.40","1,429.85","1,414.00","67.80K","0.00%"
"21-03-2024","1,423.40","1,454.55","1,454.55","1,406.00","210.83K","-0.24%"
"20-03-2024","1,426.80","1,436.95","1,454.55","1,405.00","190.48K","0.33%"
"19-03-2024","1,422.15","1,404.95","1,443.00","1,372.00","117.72K","1.61%"
"18-03-2024","1,399.55","1,410.05","1,418.90","1,394.15","60.34K","-0.75%"
"15-03-2024","1,410.10","1,400.00","1,423.85","1,380.50","105.98K","0.11%"
"14-03-2024","1,408.60","1,337.25","1,426.65","1,318.60","402.38K","3.76%"
"13-03-2024","1,357.60","1,384.30","1,388.10","1,310.30","297.49K","-1.93%"
"12-03-2024","1,384.30","1,420.00","1,420.00","1,370.00","117.27K","-1.00%"
"11-03-2024","1,398.30","1,420.00","1,427.25","1,375.00","116.69K","-1.77%"
"07-03-2024","1,423.50","1,380.00","1,435.50","1,380.00","192.12K","2.86%"
"06-03-2024","1,383.90","1,416.00","1,425.80","1,380.00","145.09K","-2.97%"
"05-03-2024","1,426.30","1,448.30","1,448.30","1,421.10","123.88K","-1.52%"
"04-03-2024","1,448.35","1,462.30","1,475.00","1,445.05","43.98K","-0.73%"
"02-03-2024","1,459.00","1,455.10","1,470.00","1,451.00","5.32K","0.17%"
"01-03-2024","1,456.55","1,458.95","1,470.25","1,440.10","63.66K","0.84%"
"29-02-2024","1,444.40","1,440.00","1,452.00","1,433.40","75.97K","0.24%"
"28-02-2024","1,440.90","1,480.90","1,487.75","1,436.00","44.20K","-2.70%"
"27-02-2024","1,480.90","1,484.00","1,490.10","1,460.00","57.66K","-0.13%"
"26-02-2024","1,482.85","1,434.55","1,493.00","1,431.45","139.80K","2.68%"
"23-02-2024","1,444.20","1,434.95","1,453.75","1,431.00","68.16K","0.67%"
"22-02-2024","1,434.65","1,455.00","1,455.00","1,428.25","39.34K","-0.43%"
"21-02-2024","1,440.90","1,454.95","1,459.95","1,431.80","59.88K","-0.02%"
"20-02-2024","1,441.25","1,470.00","1,479.80","1,437.05","66.92K","-1.87%"
"19-02-2024","1,468.70","1,510.00","1,510.00","1,465.55","69.84K","-2.19%"
"16-02-2024","1,501.55","1,472.95","1,523.80","1,472.95","142.69K","1.95%"
"15-02-2024","1,472.90","1,420.00","1,478.90","1,414.00","107.13K","4.26%"
"14-02-2024","1,412.70","1,419.00","1,432.70","1,405.05","73.04K","-0.45%"
"13-02-2024","1,419.10","1,417.00","1,435.00","1,411.05","49.07K","-1.29%"
"12-02-2024","1,437.65","1,459.90","1,464.35","1,420.00","51.97K","-1.54%"
"09-02-2024","1,460.20","1,435.55","1,470.75","1,435.55","73.06K","0.39%"
"08-02-2024","1,454.50","1,467.15","1,480.90","1,442.05","77.29K","-0.78%"
"07-02-2024","1,466.00","1,497.00","1,503.95","1,460.50","80.85K","-1.74%"
"06-02-2024","1,491.90","1,454.00","1,499.35","1,452.65","199.17K","2.54%"
"05-02-2024","1,454.90","1,451.80","1,464.00","1,429.00","113.37K","0.51%"
"02-02-2024","1,447.55","1,428.95","1,464.00","1,421.55","121.92K","1.41%"
"01-02-2024","1,427.45","1,435.80","1,443.90","1,410.00","137.46K","-0.41%"
"31-01-2024","1,433.35","1,448.65","1,448.65","1,404.30","433.76K","-0.10%"
"30-01-2024","1,434.85","1,406.95","1,452.70","1,401.40","507.32K","-2.97%"
"29-01-2024","1,478.70","1,483.00","1,495.00","1,465.00","87.95K","0.79%"
"25-01-2024","1,467.10","1,455.00","1,474.95","1,439.50","99.02K","1.29%"
"24-01-2024","1,448.35","1,420.00","1,459.00","1,403.05","277.23K","1.40%"
"23-01-2024","1,428.30","1,469.80","1,469.80","1,411.05","167.05K","-1.50%"
"20-01-2024","1,450.00","1,460.85","1,480.95","1,450.00","43.72K","-0.25%"
"19-01-2024","1,453.70","1,465.00","1,470.75","1,428.00","159.76K","-0.28%"
"18-01-2024","1,457.85","1,468.85","1,469.00","1,428.35","116.59K","-0.28%"
"17-01-2024","1,462.00","1,480.00","1,500.60","1,449.00","186.26K","-2.57%"
"16-01-2024","1,500.60","1,523.00","1,523.00","1,498.00","112.73K","-0.89%"
"15-01-2024","1,514.10","1,485.05","1,533.70","1,481.50","200.27K","2.20%"
"12-01-2024","1,481.50","1,515.05","1,530.00","1,477.00","342.56K","-1.09%"
"11-01-2024","1,497.85","1,545.00","1,564.95","1,479.75","1.05M","-4.28%"
"10-01-2024","1,564.80","1,570.00","1,579.90","1,545.95","159.78K","-1.10%"
"09-01-2024","1,582.25","1,580.00","1,585.00","1,565.05","139.62K","1.05%"
"08-01-2024","1,565.80","1,591.95","1,596.95","1,557.20","94.27K","-0.61%"
"05-01-2024","1,575.45","1,589.40","1,597.80","1,557.05","114.12K","-0.88%"
"04-01-2024","1,589.45","1,550.00","1,595.00","1,548.00","144.00K","3.05%"
"03-01-2024","1,542.40","1,564.25","1,569.25","1,529.00","156.02K","-1.01%"
"02-01-2024","1,558.10","1,578.50","1,610.45","1,545.65","259.83K","-1.29%"
"01-01-2024","1,578.50","1,580.00","1,590.00","1,575.00","63.97K","0.45%"
