"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","167.65","162.20","168.15","161.42","2.69M","3.91%"
"05-11-2024","161.34","156.90","162.11","156.60","1.53M","2.08%"
"04-11-2024","158.06","162.45","162.47","156.20","1.12M","-2.70%"
"01-11-2024","162.45","161.90","163.00","161.65","325.81K","0.66%"
"31-10-2024","161.39","159.99","162.15","159.02","1.22M","0.57%"
"30-10-2024","160.48","154.57","162.49","154.01","3.18M","3.82%"
"29-10-2024","154.57","153.70","157.49","151.00","2.10M","1.06%"
"28-10-2024","152.95","149.65","153.90","147.93","1.89M","2.78%"
"25-10-2024","148.82","157.50","157.50","147.80","2.43M","-5.57%"
"24-10-2024","157.60","159.55","161.06","155.85","1.39M","-0.84%"
"23-10-2024","158.94","156.37","161.83","151.70","2.43M","1.64%"
"22-10-2024","156.38","167.20","167.63","153.78","2.31M","-6.50%"
"21-10-2024","167.25","173.20","173.85","166.00","1.18M","-3.04%"
"18-10-2024","172.50","173.20","173.95","169.11","1.61M","-1.50%"
"17-10-2024","175.12","175.01","178.70","171.26","2.69M","-0.11%"
"16-10-2024","175.32","174.85","179.73","174.05","2.45M","-0.08%"
"15-10-2024","175.46","176.36","177.29","174.24","1.02M","-0.41%"
"14-10-2024","176.18","179.95","181.24","174.90","1.46M","-2.02%"
"11-10-2024","179.82","182.59","182.59","178.46","2.14M","-1.55%"
"10-10-2024","182.66","176.46","185.31","175.12","17.56M","6.81%"
"09-10-2024","171.01","170.10","173.80","170.10","1.26M","1.00%"
"08-10-2024","169.31","163.50","170.50","162.51","1.75M","3.24%"
"07-10-2024","163.99","175.49","175.75","163.20","2.50M","-6.00%"
"04-10-2024","174.46","180.50","182.00","173.22","2.54M","-3.52%"
"03-10-2024","180.83","183.00","184.40","180.05","1.44M","-2.81%"
"01-10-2024","186.06","181.38","189.30","181.36","4.58M","2.59%"
"30-09-2024","181.36","182.50","183.99","180.21","1.12M","-0.83%"
"27-09-2024","182.88","182.20","185.65","181.82","1.63M","0.73%"
"26-09-2024","181.56","185.45","186.29","181.05","1.68M","-2.07%"
"25-09-2024","185.39","186.51","188.10","184.15","1.16M","-0.92%"
"24-09-2024","187.12","188.00","190.25","186.52","1.64M","-0.27%"
"23-09-2024","187.63","185.98","190.40","184.70","2.12M","1.45%"
"20-09-2024","184.94","187.40","187.65","183.35","2.24M","-1.06%"
"19-09-2024","186.92","194.40","194.95","183.16","4.10M","-2.42%"
"18-09-2024","191.56","185.50","194.59","182.01","6.81M","2.77%"
"17-09-2024","186.40","188.37","190.30","185.41","1.39M","-1.05%"
"16-09-2024","188.37","190.60","190.60","187.55","1.19M","-0.69%"
"13-09-2024","189.68","189.76","192.44","188.84","1.72M","0.24%"
"12-09-2024","189.23","192.20","193.19","188.20","1.70M","-0.96%"
"11-09-2024","191.07","189.95","193.99","188.37","3.81M","0.66%"
"10-09-2024","189.81","187.75","192.68","187.74","1.69M","1.51%"
"09-09-2024","186.98","192.45","192.65","184.00","2.85M","-2.50%"
"06-09-2024","191.78","200.12","202.11","191.10","3.07M","-3.69%"
"05-09-2024","199.12","201.24","203.88","198.16","2.35M","-0.47%"
"04-09-2024","200.06","197.51","204.25","197.51","3.33M","-0.40%"
