"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","72.520","71.600","72.800","71.100","3.05M","1.64%"
"05-11-2024","71.350","71.000","72.100","70.660","2.83M","-0.86%"
"04-11-2024","71.970","74.470","74.490","71.600","3.94M","-4.73%"
"01-11-2024","75.540","75.000","77.590","74.350","4.76M","1.81%"
"31-10-2024","74.200","65.900","75.500","64.800","47.27M","12.31%"
"30-10-2024","66.070","63.490","66.500","63.170","2.19M","4.43%"
"29-10-2024","63.270","63.800","63.990","62.380","1.91M","-0.77%"
"28-10-2024","63.760","64.000","64.430","61.260","4.79M","1.45%"
"25-10-2024","62.850","65.150","65.660","61.500","5.33M","-3.28%"
"24-10-2024","64.980","66.900","67.760","64.800","2.22M","-2.88%"
"23-10-2024","66.910","66.450","68.000","64.620","2.38M","0.68%"
"22-10-2024","66.460","69.870","70.400","66.010","5.01M","-4.88%"
"21-10-2024","69.870","71.590","72.340","69.570","2.88M","-1.69%"
"18-10-2024","71.070","70.400","72.180","69.600","2.09M","0.38%"
"17-10-2024","70.800","72.340","72.350","70.750","3.25M","-2.33%"
"16-10-2024","72.490","72.890","73.690","71.600","3.48M","-0.96%"
"15-10-2024","73.190","73.340","74.190","72.650","4.84M","-0.08%"
"14-10-2024","73.250","74.370","74.900","73.100","2.22M","-1.31%"
"11-10-2024","74.220","73.300","75.470","72.610","4.91M","1.63%"
"10-10-2024","73.030","73.760","74.500","72.130","4.13M","-0.26%"
"09-10-2024","73.220","73.100","75.100","72.580","3.67M","0.99%"
"08-10-2024","72.500","69.340","72.740","68.750","3.46M","4.56%"
"07-10-2024","69.340","74.260","74.260","69.010","5.59M","-5.22%"
"04-10-2024","73.160","73.950","74.700","71.560","3.57M","-0.49%"
"03-10-2024","73.520","75.000","76.160","72.970","3.57M","-3.47%"
"01-10-2024","76.160","76.700","77.450","75.890","2.25M","-0.17%"
"30-09-2024","76.290","77.100","77.400","75.860","3.83M","-0.75%"
"27-09-2024","76.870","78.460","79.170","76.720","5.89M","-2.65%"
"26-09-2024","78.960","79.340","79.870","78.550","1.90M","-0.44%"
"25-09-2024","79.310","80.970","81.230","78.960","3.77M","-2.05%"
"24-09-2024","80.970","81.400","83.000","80.750","4.82M","-0.05%"
"23-09-2024","81.010","80.700","82.400","80.350","5.04M","0.61%"
"20-09-2024","80.520","79.460","80.990","79.160","4.18M","2.18%"
"19-09-2024","78.800","82.000","82.570","78.280","5.22M","-3.50%"
"18-09-2024","81.660","84.100","84.700","81.400","6.45M","-1.42%"
"17-09-2024","82.840","82.180","83.750","80.870","11.27M","1.45%"
"16-09-2024","81.660","81.070","83.900","80.510","9.84M","2.08%"
"13-09-2024","80.000","80.000","81.800","79.700","5.36M","0.53%"
"12-09-2024","79.580","77.840","80.500","76.940","6.87M","2.78%"
"11-09-2024","77.430","78.350","78.700","77.150","3.25M","-0.87%"
"10-09-2024","78.110","79.000","79.850","77.820","4.62M","-0.19%"
"09-09-2024","78.260","79.000","79.110","76.830","4.98M","0.46%"
"06-09-2024","77.900","80.060","81.250","77.300","21.59M","-2.65%"
"05-09-2024","80.020","83.000","84.400","79.420","38.35M","-2.83%"
