"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","187.77","185.50","188.88","184.76","11.28M","1.95%"
"05-11-2024","184.17","184.23","186.50","181.92","14.97M","-0.51%"
"04-11-2024","185.11","182.32","185.50","180.70","18.80M","1.58%"
"01-11-2024","182.23","181.15","183.70","181.15","1.73M","0.71%"
"31-10-2024","180.95","185.00","186.40","179.66","15.21M","-2.22%"
"30-10-2024","185.06","190.26","190.95","184.55","14.47M","-2.74%"
"29-10-2024","190.27","190.45","191.40","187.00","11.58M","-0.09%"
"28-10-2024","190.45","187.01","192.46","187.01","7.64M","0.41%"
"25-10-2024","189.67","192.68","194.41","187.14","12.70M","-1.43%"
"24-10-2024","192.43","200.00","200.29","190.99","11.73M","-2.63%"
"23-10-2024","197.63","192.00","199.05","191.47","13.69M","2.14%"
"22-10-2024","193.49","199.96","201.18","192.76","14.30M","-2.95%"
"21-10-2024","199.37","205.14","206.66","199.00","8.94M","-2.81%"
"18-10-2024","205.14","202.00","205.80","198.54","13.90M","1.10%"
"17-10-2024","202.91","205.99","206.63","200.17","11.84M","-1.80%"
"16-10-2024","206.63","209.05","210.86","205.81","14.40M","-2.14%"
"15-10-2024","211.14","215.00","215.25","207.00","11.88M","-1.45%"
"14-10-2024","214.25","213.76","215.87","212.65","10.03M","0.67%"
"11-10-2024","212.82","210.50","214.15","209.20","10.04M","1.33%"
"10-10-2024","210.02","207.60","215.00","207.30","24.96M","1.93%"
"09-10-2024","206.05","205.00","208.78","204.08","9.19M","1.10%"
"08-10-2024","203.81","198.05","204.99","195.36","14.35M","2.39%"
"07-10-2024","199.05","200.86","203.96","197.25","16.99M","-0.93%"
"04-10-2024","200.92","203.94","205.86","199.52","11.38M","-1.47%"
"03-10-2024","203.92","201.50","208.35","201.50","19.96M","-3.24%"
"01-10-2024","210.75","212.00","214.45","209.33","10.43M","-0.30%"
"30-09-2024","211.39","214.11","214.40","209.31","20.14M","-1.72%"
"27-09-2024","215.10","213.95","216.99","213.54","33.22M","1.00%"
"26-09-2024","212.98","204.70","213.80","202.61","51.61M","3.65%"
"25-09-2024","205.48","206.99","207.18","204.60","13.19M","-0.33%"
"24-09-2024","206.17","208.00","208.63","204.53","21.53M","-0.56%"
"23-09-2024","207.34","204.00","210.60","203.60","23.02M","2.25%"
"20-09-2024","202.77","206.10","206.13","199.50","32.82M","-1.14%"
"19-09-2024","205.10","206.50","207.03","200.84","34.24M","0.46%"
"18-09-2024","204.16","195.40","208.60","195.05","93.86M","4.69%"
"17-09-2024","195.01","195.75","197.00","189.60","41.05M","0.63%"
"16-09-2024","193.79","190.00","194.40","189.68","22.12M","1.73%"
"13-09-2024","190.49","184.25","192.35","182.08","33.54M","0.87%"
"12-09-2024","188.85","185.41","190.00","185.41","11.32M","2.73%"
"11-09-2024","183.84","188.10","188.10","182.11","18.23M","-3.04%"
"10-09-2024","189.60","188.30","190.39","185.90","10.29M","1.20%"
"09-09-2024","187.36","187.00","189.23","185.03","9.88M","-0.25%"
"06-09-2024","187.83","193.00","193.85","187.40","9.19M","-2.77%"
"05-09-2024","193.19","193.50","195.65","192.52","9.33M","0.02%"
"04-09-2024","193.16","190.93","193.47","188.65","12.50M","0.21%"
"03-09-2024","192.75","193.20","194.50","190.69","11.91M","-0.24%"
"02-09-2024","193.22","195.28","195.75","192.88","4.67M","-1.05%"
