"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","6,577.55","6,629.00","6,675.00","6,556.00","4.97K","-0.44%"
"05-11-2024","6,606.95","6,600.00","6,695.45","6,550.00","8.10K","-0.79%"
"04-11-2024","6,659.40","6,777.00","6,822.65","6,614.80","6.32K","-1.67%"
"01-11-2024","6,772.25","6,796.55","6,899.00","6,754.55","1.53K","-0.32%"
"31-10-2024","6,794.30","6,559.45","6,850.00","6,515.75","16.62K","3.51%"
"30-10-2024","6,563.65","6,490.00","6,597.00","6,434.40","5.97K","2.10%"
"29-10-2024","6,428.80","6,535.00","6,558.65","6,380.55","13.61K","-2.09%"
"28-10-2024","6,565.85","6,352.40","6,634.70","6,262.05","8.73K","3.05%"
"25-10-2024","6,371.60","6,454.00","6,466.40","6,335.00","8.38K","-1.33%"
"24-10-2024","6,457.70","6,511.00","6,550.00","6,415.00","9.84K","-1.37%"
"23-10-2024","6,547.30","6,648.00","6,648.00","6,465.40","13.03K","-0.76%"
"22-10-2024","6,597.20","6,726.10","6,970.85","6,575.00","42.39K","-1.47%"
"21-10-2024","6,695.60","6,779.75","6,864.90","6,675.00","6.37K","-1.03%"
"18-10-2024","6,765.10","6,877.00","6,877.00","6,728.10","9.04K","-1.63%"
"17-10-2024","6,877.05","7,021.65","7,021.65","6,836.20","14.67K","-2.06%"
"16-10-2024","7,021.70","6,900.00","7,090.00","6,769.05","30.61K","2.25%"
"15-10-2024","6,866.90","6,866.00","6,902.00","6,801.00","10.47K","-0.21%"
"14-10-2024","6,881.05","6,984.25","7,000.00","6,851.75","12.53K","-0.49%"
"11-10-2024","6,915.10","6,900.00","6,950.00","6,836.15","21.17K","0.26%"
"10-10-2024","6,897.00","6,914.95","7,039.00","6,875.80","9.91K","-0.06%"
"09-10-2024","6,901.25","6,804.95","6,990.90","6,804.95","13.54K","1.72%"
"08-10-2024","6,784.35","6,710.50","6,800.00","6,673.90","12.13K","-0.16%"
"07-10-2024","6,795.40","6,970.40","6,992.00","6,649.95","26.35K","-1.05%"
"04-10-2024","6,867.40","6,860.00","6,937.55","6,762.00","9.93K","-0.50%"
"03-10-2024","6,901.65","7,009.85","7,248.75","6,880.00","15.52K","-2.94%"
"01-10-2024","7,110.50","6,999.50","7,150.00","6,940.55","13.21K","0.87%"
"30-09-2024","7,048.85","6,835.95","7,125.45","6,788.60","27.37K","4.40%"
"27-09-2024","6,751.80","6,923.45","6,940.00","6,705.00","48.69K","-2.48%"
