"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","320.00","322.00","323.50","315.10","462.32K","-0.39%"
"05-11-2024","321.25","312.90","334.35","310.55","894.93K","2.67%"
"04-11-2024","312.90","320.10","324.00","308.05","793.14K","-3.69%"
"01-11-2024","324.90","323.00","327.00","322.85","20.76K","1.21%"
"31-10-2024","321.00","324.00","324.00","319.55","788.26K","-1.19%"
"30-10-2024","324.85","321.35","331.90","320.35","203.70K","0.00%"
"29-10-2024","324.85","333.55","337.05","311.60","1.98M","-5.11%"
"28-10-2024","342.35","322.40","359.75","315.30","780.00K","5.71%"
"25-10-2024","323.85","330.00","334.45","321.20","379.52K","-1.86%"
"24-10-2024","330.00","331.00","333.90","323.15","646.53K","-0.48%"
"23-10-2024","331.60","333.95","341.15","329.20","314.51K","-2.20%"
"22-10-2024","339.05","340.25","343.75","335.35","275.25K","-1.72%"
"21-10-2024","345.00","345.20","350.30","342.55","133.97K","-0.62%"
"18-10-2024","347.15","350.00","351.00","341.05","207.89K","-0.89%"
"17-10-2024","350.25","358.70","358.70","347.65","1.04M","-1.74%"
"16-10-2024","356.45","361.00","361.00","354.00","196.91K","-0.29%"
"15-10-2024","357.50","358.15","358.95","354.15","269.14K","0.24%"
"14-10-2024","356.65","372.20","372.55","350.20","603.94K","-3.87%"
"11-10-2024","371.00","357.45","374.95","357.45","1.07M","3.79%"
"10-10-2024","357.45","354.00","360.10","346.10","339.97K","1.20%"
"09-10-2024","353.20","354.65","356.25","348.35","263.93K","1.06%"
"08-10-2024","349.50","347.80","352.10","343.20","857.54K","0.49%"
"07-10-2024","347.80","352.10","354.70","345.45","438.58K","-0.76%"
"04-10-2024","350.45","350.00","371.75","343.30","3.88M","-0.03%"
"03-10-2024","350.55","353.00","358.60","347.85","686.18K","-2.22%"
"01-10-2024","358.50","357.00","362.50","352.30","384.67K","0.38%"
"30-09-2024","357.15","372.70","372.70","354.05","1.05M","-4.19%"
"27-09-2024","372.75","380.95","382.40","370.10","1.01M","-2.32%"
"26-09-2024","381.60","367.50","391.70","358.45","3.05M","2.97%"
"25-09-2024","370.60","373.00","373.70","358.95","1.12M","-1.55%"
"24-09-2024","376.45","352.50","401.00","348.00","11.38M","6.79%"
"23-09-2024","352.50","353.65","360.95","347.95","808.90K","1.54%"
"20-09-2024","347.15","339.80","359.30","337.10","1.46M","2.65%"
"19-09-2024","338.20","345.00","345.00","335.20","742.59K","0.03%"
"18-09-2024","338.10","333.10","339.95","331.00","587.60K","1.53%"
"17-09-2024","333.00","333.00","334.95","326.30","255.52K","1.45%"
"16-09-2024","328.25","332.00","333.05","323.00","239.14K","0.00%"
"13-09-2024","328.25","330.00","334.70","327.05","245.21K","-0.09%"
